pos	category	stereotype	lemma	level
n	qas	no	morea	inclusive
n	an	no	víbora	inclusive
n	cds	no	latrocinio	inclusive
n	cds	no	malfeitor	conservative
n	cds	no	transgresor	inclusive
n	cds	no	caos	inclusive
n	an	no	bovino	inclusive
n	dmc	yes	delito	inclusive
a	qas	no	medieval	inclusive
n	pa	yes	empregada	inclusive
n	an	no	traza	inclusive
n	om	no	sodomía	inclusive
a	cds	no	normal	inclusive
a	dmc	yes	desprezábel	conservative
n	an	no	ganso	inclusive
n	an	no	boi	inclusive
n	svp	no	arrogancia	conservative
n	cds	no	francmasonería	inclusive
n	asm	no	parvo	inclusive
n	an	no	carantoña	inclusive
n	an	no	brutalidade	inclusive
n	dmc	yes	estafador	conservative
a	svp	no	gorxón	inclusive
a	qas	no	normal	inclusive
n	cds	no	pandemonio	inclusive
n	an	no	burro	conservative
a	is	yes	miserento	conservative
n	re	no	botín	inclusive
n	an	no	culex pipiens	inclusive
a	cds	no	arrogante	conservative
n	ps	yes	chinés	inclusive
n	qas	no	párroco	inclusive
n	asm	no	pito	conservative
n	ddp	yes	reino animal	inclusive
n	cds	no	fascismo	conservative
n	an	no	bisonte americano	inclusive
n	cds	no	pillabán	conservative
n	ps	yes	zulú	inclusive
n	re	no	roubo	inclusive
n	qas	no	lastre	inclusive
n	ddp	yes	parvo	conservative
n	cds	no	folgazán	conservative
n	re	no	ladrón	inclusive
n	an	no	fociño	inclusive
n	cds	no	autosatisfacción	inclusive
a	pa	yes	teórico	inclusive
a	ddp	yes	tolo	inclusive
n	re	no	latrocinio	inclusive
n	an	no	cabrún	inclusive
a	svp	no	láparo	inclusive
n	an	no	cabra	inclusive
a	ddp	yes	insípido	inclusive
n	rci	yes	pailán	conservative
n	cds	no	desvergoñado	conservative
n	an	no	fauna	inclusive
n	or	no	repolo	inclusive
n	an	no	desvergoñado	conservative
a	qas	no	alucinante	inclusive
a	cds	no	astuto	conservative
n	pa	yes	contador	inclusive
n	om	no	nádega	inclusive
n	cds	no	preguiceiro	conservative
n	cds	no	casino	inclusive
a	dmc	yes	estreito	conservative
a	ddf	yes	breco	inclusive
n	ps	yes	hibridación	inclusive
n	cds	no	proxeneta	conservative
n	asf	no	pelo pubiano	inclusive
a	cds	no	asustadizo	conservative
n	qas	no	acólito	inclusive
n	dmc	yes	lacaceiro	conservative
n	ddp	yes	atraso mental	inclusive
n	dmc	yes	ladrón	conservative
n	an	no	anguílidos	inclusive
a	om	no	anómalo	inclusive
n	or	no	nabo	inclusive
n	or	no	pataqueiro	inclusive
n	an	no	canciño	inclusive
n	an	no	faciana	inclusive
n	dmc	yes	paifoco	conservative
n	asm	no	ave	inclusive
n	an	no	moucho	inclusive
n	dmc	yes	pailán	conservative
n	an	no	porco	conservative
n	ps	yes	ostrogodos	inclusive
n	re	no	abuso sexual	inclusive
n	pr	no	bos taurus	inclusive
a	cds	no	descortés	conservative
n	cds	no	ladrón	inclusive
a	cds	no	bobo	conservative
n	qas	no	mentira	conservative
n	ddp	yes	prisioneiro	inclusive
n	asf	no	parrocha	conservative
n	cds	no	idiota	inclusive
n	an	no	euselachii	inclusive
n	an	no	can	inclusive
n	qas	no	negociante	inclusive
n	re	no	homicida	inclusive
n	qas	no	parásito	inclusive
n	asm	no	carallo	conservative
n	an	no	canis lupus familiaris	inclusive
n	cds	no	mafia	inclusive
n	qas	no	casoupa	inclusive
n	an	no	bos taurus	inclusive
a	svp	no	vingativo	conservative
n	asm	no	credulidade	conservative
n	om	no	homosexualidade	inclusive
a	cds	no	paifoco	conservative
a	dmc	yes	descortés	conservative
a	ddf	yes	chosco	inclusive
a	svp	no	doente	inclusive
n	ps	yes	bárbaro	conservative
n	dmc	yes	tufo	conservative
n	cds	no	integrismo	inclusive
n	qas	no	retórica	inclusive
a	cds	no	ordinario	inclusive
n	or	no	cucúrbita	inclusive
n	cds	no	camarilla	inclusive
a	ddp	yes	torpe	conservative
n	cds	no	hybris	conservative
n	ddp	yes	analfabeto	inclusive
n	an	no	cara	inclusive
n	dmc	yes	langrán	conservative
n	an	no	anguillidae	inclusive
n	om	no	burro	inclusive
n	or	no	fiúncho	inclusive
a	cds	no	venal	conservative
n	an	no	mulo	inclusive
n	pr	no	prostituto	conservative
n	cds	no	festa	inclusive
n	an	no	siphonaptera	inclusive
n	pa	yes	pailán	conservative
n	an	no	hoax	conservative
n	re	no	secuestrador	inclusive
n	an	no	chacal común	inclusive
n	pa	yes	partidario	inclusive
n	svp	no	futilidade	conservative
n	an	no	bico	inclusive
a	svp	no	presumido	conservative
n	svp	no	noxo	inclusive
n	svp	no	xenreira	inclusive
n	qas	no	bárbaros	conservative
a	is	yes	exiguo	inclusive
n	re	no	asasinato	inclusive
n	is	yes	vilán	conservative
n	asm	no	faba loba	inclusive
a	svp	no	larpeiro	inclusive
n	om	no	foeniculum vulgare	inclusive
n	cds	no	falcatruada	conservative
n	an	no	barbarie	inclusive
a	is	yes	egoísta	conservative
n	re	no	violencia	inclusive
n	pa	yes	letrado	inclusive
n	an	no	chacal dourado	inclusive
n	ps	yes	ridículo	conservative
n	dmc	yes	bárbaros	conservative
n	asm	no	faballón	inclusive
n	dmc	yes	torpe	conservative
n	an	no	microbio	inclusive
n	ps	yes	xitanos	inclusive
n	ps	yes	fridibaldo	inclusive
n	re	no	gángster	inclusive
n	asm	no	cretino	inclusive
n	dmc	yes	lombán	conservative
a	qas	no	ordinario	inclusive
n	an	no	porcino	inclusive
a	qas	no	desventurado	conservative
n	an	no	zoofilia	conservative
n	asf	no	cretino	conservative
n	asm	no	prepucio	inclusive
n	ddp	yes	delator	conservative
n	cds	no	delincuente	conservative
n	cds	no	reaccionario	conservative
n	cds	no	retrete	inclusive
n	cds	no	proxenetismo	inclusive
n	ps	yes	vándalos silingos	inclusive
a	is	yes	avaro	conservative
n	cds	no	mentira	conservative
n	re	no	violación	conservative
n	or	no	pataqueira	inclusive
n	an	no	pleurotremados	inclusive
n	pa	yes	universitario	inclusive
n	svp	no	degoro	inclusive
n	rci	yes	paifoco	conservative
a	dmc	yes	falso	conservative
n	rci	yes	pailaroco	conservative
a	is	yes	estreito	conservative
n	cds	no	asasino	inclusive
n	asf	no	peseta	conservative
n	cds	no	ladroízo	inclusive
n	qas	no	burguesía	inclusive
n	asm	no	membro	inclusive
n	an	no	pleurotremata	inclusive
n	qas	no	paiolo	conservative
n	re	no	quebrantamento	inclusive
n	ps	yes	híbrido	inclusive
n	qas	no	testículo	inclusive
n	asf	no	cona	conservative
n	rci	yes	badoco	conservative
n	or	no	batata	inclusive
n	re	no	extorsión	inclusive
n	an	no	anuros	inclusive
n	re	no	malfeitor	inclusive
n	dmc	yes	paduán	conservative
n	an	no	sus scrofa domesticus	inclusive
n	cds	no	vaidade	conservative
a	svp	no	agresivo	conservative
n	or	no	cabazo	inclusive
a	ddf	yes	malfeito	conservative
n	ddp	yes	bestialidade	conservative
n	asm	no	choucho	conservative
n	asf	no	perrecha	conservative
a	qas	no	da clase media	inclusive
n	ps	yes	pailán	conservative
n	cds	no	masonaría	inclusive
a	svp	no	avaro	conservative
n	dmc	yes	embuste	conservative
n	pa	yes	bárbaros	conservative
n	cds	no	paduán	conservative
n	pa	yes	admirador	inclusive
n	an	no	merda	conservative
n	asm	no	mouro	inclusive
n	om	no	gai	inclusive
a	dmc	yes	intolerante	conservative
n	re	no	mafia	conservative
n	an	no	lesma	inclusive
n	cds	no	propagandista	inclusive
a	is	yes	desafortunado	inclusive
n	ddp	yes	paiolo	conservative
n	re	no	crime	inclusive
n	cds	no	mestura	inclusive
n	an	no	miñoca	inclusive
n	cds	no	instrutor	inclusive
n	re	no	pillabán	conservative
n	or	no	peseta	conservative
n	an	no	cascudo	inclusive
n	pa	yes	profesor	inclusive
n	svp	no	fastío	inclusive
n	re	no	piratería	inclusive
n	cds	no	covardía	conservative
n	an	no	rostro	inclusive
n	cds	no	lacaceiro	conservative
n	an	no	bufo bufo	inclusive
n	an	no	selaquimorfo	inclusive
n	cds	no	crooner	inclusive
n	cds	no	rabañada	inclusive
n	or	no	paxara	conservative
n	ps	yes	xudeus	inclusive
n	ddp	yes	atraso	inclusive
a	cds	no	esixente	conservative
n	cds	no	xefe	inclusive
n	an	no	ovella	inclusive
n	asm	no	vicia faba	inclusive
n	svp	no	lombán	conservative
n	cds	no	cretino	inclusive
n	cds	no	parvo	inclusive
n	an	no	vulgaridade	conservative
n	ddp	yes	vítima	conservative
n	dmc	yes	mentireiro	inclusive
n	cds	no	sumidoiro	inclusive
n	an	no	galiña	inclusive
n	asm	no	imbécil	inclusive
a	re	no	desautorizado	inclusive
n	ddp	yes	cu	conservative
n	cds	no	desprezo	conservative
v	an	no	atouzar	inclusive
n	dmc	yes	gángster	inclusive
n	qas	no	lixo	inclusive
n	asf	no	imbécil	conservative
n	asm	no	galo	inclusive
n	or	no	burrán	conservative
n	dmc	yes	mentirán	inclusive
n	cds	no	usura	inclusive
a	or	no	esixente	conservative
n	or	no	solanum tuberosum	inclusive
a	is	yes	intolerante	conservative
a	svp	no	devorador	inclusive
n	or	no	foeniculum vulgare	inclusive
n	asm	no	peixe	inclusive
n	pr	no	harpía	conservative
n	ddp	yes	idiota	conservative
a	re	no	violento	inclusive
n	qas	no	ideólogo	inclusive
n	an	no	mosquito	inclusive
n	an	no	animais	inclusive
n	or	no	col	inclusive
n	an	no	gando vacún	inclusive
a	an	no	avaro	conservative
n	ddp	yes	imbécil	conservative
n	cds	no	gángster	inclusive
n	pr	no	couza	inclusive
a	cds	no	desprezable	conservative
n	asm	no	pardo	inclusive
n	pr	no	palaciano	inclusive
n	an	no	fisionomía	inclusive
n	cds	no	cientifismo	inclusive
a	svp	no	de moito xenio	conservative
n	ps	yes	visumaro	inclusive
n	ddp	yes	cretino	conservative
n	cds	no	policía	conservative
n	re	no	detención ilegal	inclusive
v	cds	no	preguntar	inclusive
n	cds	no	aldeán	conservative
n	an	no	abutre cinzento	inclusive
n	ddp	yes	preso	inclusive
n	an	no	hienas	inclusive
n	or	no	cucumis sativus	inclusive
a	is	yes	parco	inclusive
a	dmc	yes	fétido	conservative
n	om	no	homosexual	conservative
a	is	yes	escaso	inclusive
n	an	no	anano	conservative
n	qas	no	pailán	conservative
n	cds	no	cientificismo	inclusive
n	qas	no	disparate	inclusive
n	ddp	yes	brutalidade	inclusive
n	ddf	yes	anano	conservative
n	asm	no	ridículo	inclusive
n	re	no	estafador	inclusive
n	dmc	yes	folgazán	conservative
n	pa	yes	xesuíta	inclusive
n	om	no	fiúncho	inclusive
n	qas	no	comerciante	inclusive
n	cds	no	comerciante	inclusive
a	svp	no	larpán	inclusive
n	dmc	yes	trafulqueiro	conservative
n	asf	no	cono	conservative
n	qas	no	choupana	inclusive
n	cds	no	torpe	conservative
n	cds	no	bárbaro	conservative
n	om	no	queer	conservative
n	an	no	gyps fulvus	inclusive
n	pa	yes	peixeira	inclusive
n	asm	no	ervello	inclusive
a	ddp	yes	necio	conservative
n	re	no	delincuente	inclusive
a	svp	no	lambón	inclusive
n	qas	no	hortelán	inclusive
n	an	no	insecto	inclusive
n	ddp	yes	paifoco	conservative
n	an	no	tiburóns	inclusive
n	pa	yes	bárbaro	conservative
a	qas	no	tolo	conservative
n	pr	no	prostituta	inclusive
n	pr	no	traza	inclusive
n	an	no	anuro	inclusive
n	qas	no	conformista	conservative
n	pr	no	gando vacún	inclusive
n	cds	no	dandi	inclusive
n	cds	no	carroña	inclusive
a	is	yes	precario	inclusive
a	svp	no	lampantín	inclusive
a	asm	no	marrón	inclusive
n	re	no	terrorismo	inclusive
n	om	no	travesti	inclusive
n	rci	yes	paduán	conservative
a	dmc	yes	angustiado	inclusive
n	svp	no	vaidade	conservative
n	asm	no	moreno	inclusive
n	cds	no	roubo	inclusive
n	ddp	yes	retraso mental	inclusive
n	svp	no	aborrecemento	inclusive
n	pr	no	rattus	inclusive
n	or	no	burro	conservative
n	dmc	yes	mozzarella	inclusive
n	an	no	caprinae	inclusive
n	svp	no	fachenda	conservative
n	asm	no	proceso	inclusive
n	an	no	metazoa	inclusive
n	is	yes	desfavorecido	inclusive
a	svp	no	mioqueiro	conservative
n	pr	no	trilla	inclusive
a	cds	no	estúpido	conservative
n	an	no	bestialismo	conservative
n	or	no	mula	conservative
a	dmc	yes	sucio	inclusive
n	an	no	criatura	inclusive
a	svp	no	lapón	inclusive
n	cds	no	bandido	conservative
n	an	no	asno	inclusive
a	pa	yes	político	inclusive
a	svp	no	malhumorado	conservative
n	cds	no	prea	inclusive
a	an	no	miserento	conservative
n	is	yes	desterrado	inclusive
n	cds	no	mestre	inclusive
n	cds	no	rede de sumidoiros	inclusive
n	svp	no	ira	inclusive
n	ps	yes	reino dos vándalos	inclusive
a	dmc	yes	malvado	conservative
n	cds	no	turba	conservative
n	dmc	yes	trampulleiro	conservative
n	an	no	canis familiaris	inclusive
n	an	no	vermes	inclusive
a	ps	yes	chinés	inclusive
n	an	no	burrán	conservative
n	ddp	yes	bárbaro	conservative
a	svp	no	miserento	conservative
n	an	no	tiburón branco	inclusive
n	cds	no	balbordo	inclusive
a	dmc	yes	maligno	conservative
n	an	no	porquiño	inclusive
a	pa	yes	non manual	inclusive
n	svp	no	ansia	inclusive
n	or	no	gai	conservative
n	asm	no	aves	inclusive
n	dmc	yes	badoco	conservative
n	an	no	bisonte europeo	inclusive
n	an	no	fuciño	inclusive
n	or	no	cabaza	inclusive
n	dmc	yes	nugallán	conservative
a	dmc	yes	amoral	inclusive
n	is	yes	malicioso	conservative
n	cds	no	sobras	inclusive
n	an	no	invasor	conservative
n	ddp	yes	parvo	inclusive
a	cds	no	clandestino	inclusive
n	an	no	pillabán	conservative
n	cds	no	masón	inclusive
n	qas	no	organización da casa	inclusive
n	asm	no	pixa	conservative
n	cds	no	prelado	inclusive
n	pr	no	bovino	inclusive
n	cds	no	multitude	inclusive
n	an	no	molusco	inclusive
a	dmc	yes	avaro	conservative
n	cds	no	proxeneta	inclusive
n	dmc	yes	mentira	conservative
n	cds	no	prostíbulo	inclusive
n	or	no	coella	inclusive
a	cds	no	fachendoso	conservative
n	re	no	secuestro	inclusive
n	an	no	escualo	inclusive
a	cds	no	demagóxico	conservative
n	re	no	asasino	inclusive
n	ps	yes	idiota	conservative
n	qas	no	granxeiro	inclusive
n	an	no	caprinos	inclusive
n	an	no	piollo	inclusive
n	re	no	delito	inclusive
a	svp	no	comellón	conservative
n	asm	no	collón	inclusive
n	ps	yes	xudía	inclusive
n	an	no	cadela	inclusive
n	dmc	yes	paria	inclusive
n	ddp	yes	criatura	inclusive
n	cds	no	axente de bolsa	inclusive
n	an	no	sapo	inclusive
n	ps	yes	rao	inclusive
n	an	no	limacha	inclusive
n	dmc	yes	delincuente	inclusive
n	ddp	yes	besta	inclusive
n	cds	no	vulgo	conservative
n	asf	no	burro	conservative
n	re	no	slayer	inclusive
n	an	no	carcharodon carcharias	inclusive
a	svp	no	fachendoso	conservative
n	ddp	yes	ridículo	inclusive
n	re	no	violador	conservative
a	svp	no	rabuxento	conservative
n	re	no	terrorismo	conservative
a	an	no	bestial	conservative
n	an	no	capra	inclusive
a	ddp	yes	insán	inclusive
n	re	no	malos tratos	inclusive
n	qas	no	tendeiro	inclusive
n	asm	no	castaño	inclusive
n	ps	yes	vándalo	inclusive
n	cds	no	latrina	inclusive
n	an	no	animal	inclusive
n	an	no	moluscos	inclusive
n	or	no	perrecha	conservative
n	asm	no	pene	inclusive
n	svp	no	envexa	inclusive
n	an	no	escualos	inclusive
a	cds	no	covarde	conservative
n	cds	no	cativo	inclusive
n	an	no	estrixiformes	inclusive
n	is	yes	esmoleiro	inclusive
n	om	no	gay	inclusive
n	cds	no	lerchán	conservative
a	dmc	yes	egoísta	conservative
n	cds	no	unha chea	inclusive
n	ps	yes	pailaroco	conservative
n	re	no	terrorista	inclusive
a	dmc	yes	porco	inclusive
n	cds	no	paiolo	conservative
n	ddp	yes	pailaroco	conservative
n	an	no	mollusca	inclusive
n	om	no	hinoxo	inclusive
n	asm	no	fabaca	inclusive
n	ps	yes	mongol	inclusive
n	dmc	yes	preguiceiro	conservative
n	an	no	quenlla	inclusive
n	ddp	yes	animal	inclusive
n	cds	no	nugallán	conservative
n	an	no	cosco	inclusive
n	pa	yes	paifoco	conservative
n	cds	no	lixo	conservative
a	dmc	yes	maleducado	conservative
n	qas	no	magnate	inclusive
n	cds	no	ridículo	inclusive
n	ps	yes	vándalos asdingos	inclusive
n	cds	no	demagoxia	conservative
n	an	no	sifonáptero	inclusive
a	or	no	exixente	conservative
n	dmc	yes	bárbaro	conservative
a	cds	no	perspicaz	inclusive
n	cds	no	autocompracencia	inclusive
v	an	no	ladrar	inclusive
n	cds	no	porco	conservative
n	an	no	angüiliforme	inclusive
n	ddp	yes	malevolencia	conservative
n	re	no	tortura	inclusive
a	om	no	diferente	inclusive
n	pa	yes	badoco	conservative
a	svp	no	devorador	conservative
n	or	no	brassica rapa	inclusive
n	or	no	cacho	inclusive
n	pa	yes	cabo	inclusive
n	cds	no	ladrón de camiños	conservative
n	qas	no	can de presa	inclusive
a	cds	no	mestizo	inclusive
a	om	no	distinto	inclusive
n	an	no	peteiro	inclusive
n	om	no	asno	inclusive
n	cds	no	malfeitor	inclusive
n	cds	no	infractor	inclusive
n	ddp	yes	ollo do cu	conservative
a	dmc	yes	pestilente	conservative
n	dmc	yes	bufón	inclusive
n	qas	no	monaguillo	inclusive
n	cds	no	fascista	conservative
n	an	no	avelaíña	inclusive
n	dmc	yes	lacazán	conservative
n	an	no	animalia	inclusive
a	svp	no	lapadoiras	conservative
a	svp	no	irritado	inclusive
n	cds	no	mestra	inclusive
n	an	no	ovino	inclusive
n	asm	no	pirola	conservative
n	asm	no	testículo	inclusive
n	ddp	yes	charlatán	conservative
n	dmc	yes	malicioso	conservative
n	cds	no	proxenetismo	conservative
n	asf	no	burrán	conservative
n	svp	no	lacazán	conservative
n	om	no	transformismo	inclusive
n	an	no	burro	inclusive
n	re	no	ladroízo	inclusive
n	cds	no	choucho	conservative
a	cds	no	ilícito	inclusive
n	cds	no	tratante	inclusive
a	cds	no	intelixente	inclusive
a	cds	no	egoísta	conservative
n	an	no	couza	inclusive
n	re	no	pirata	inclusive
a	an	no	brutal	conservative
n	ps	yes	xudeu	inclusive
n	ddf	yes	invalidez	inclusive
n	an	no	salientio	inclusive
n	dmc	yes	moral	inclusive
a	ddf	yes	antiestético	conservative
n	an	no	tiburón	inclusive
a	svp	no	altivo	conservative
n	re	no	subtracción	inclusive
n	an	no	mula	inclusive
n	cds	no	misterio	conservative
n	pr	no	bois	inclusive
n	ddp	yes	ignorante	conservative
n	cds	no	lupanar	inclusive
n	cds	no	educador	inclusive
n	pr	no	vaca	inclusive
n	cds	no	astucia	inclusive
n	an	no	bison bonasus	inclusive
a	is	yes	desventurado	conservative
n	an	no	anguilliformes	inclusive
n	re	no	vilán	conservative
n	an	no	grifo cinzento	inclusive
a	svp	no	rabioso	inclusive
n	an	no	chinche	inclusive
n	or	no	crica	conservative
a	cds	no	renarte	inclusive
a	ddf	yes	cego	inclusive
n	svp	no	langrán	conservative
a	cds	no	banal	inclusive
n	qas	no	parroquia eclesiástica	inclusive
a	an	no	obstinado	inclusive
n	is	yes	mendigo	conservative
n	an	no	parvo	conservative
n	cds	no	conformista	conservative
n	pa	yes	xurista	inclusive
a	svp	no	lampantín	conservative
