n	cds	no	paifoco
n	pr	no	puta
n	dmc	yes	trampulleiro
n	asm	no	choucho
n	asf	no	ridículo
a	is	yes	desventurado
a	is	yes	miserento
n	ddp	yes	malevolencia
n	svp	no	fachenda
a	ddp	yes	pueril
a	ddp	yes	retardado
n	or	no	burrán
n	an	no	ignorante
a	svp	no	malhumorado
n	pa	yes	paifoco
n	cds	no	bárbaros
a	ddp	yes	incapaz
n	an	no	oportunista
n	ps	yes	pailaroco
a	qas	no	frenético
n	qas	no	bárbaro
n	ddp	yes	informador
n	svp	no	futilidade
n	om	no	gay
n	dmc	yes	lombán
n	ps	yes	mestizo
n	cds	no	bárbaro
n	asf	no	burro
n	asf	no	choucho
n	or	no	peseta
n	cds	no	pailán
n	dmc	yes	pailán
a	svp	no	lambón
n	cds	no	langrán
n	dmc	yes	pailaroco
n	ddp	yes	ollo do cu
n	an	no	vilán
n	asf	no	idiota
a	ddf	yes	malfeito
a	svp	no	altivo
n	cds	no	vago
n	ddp	yes	bestialismo
n	is	yes	vilán
n	cds	no	ladrón
n	ps	yes	parvo
n	ps	yes	vándalo
n	cds	no	asasino
n	ps	yes	bárbaros
n	asm	no	pirola
n	cds	no	altivez
n	is	yes	malicioso
n	dmc	yes	vago
n	cds	no	criminal
n	re	no	vilán
a	is	yes	avaro
n	an	no	anano
n	cds	no	fascismo
n	dmc	yes	mentireiro
a	svp	no	imperioso
n	asf	no	parvo
n	ddp	yes	bestialidade
n	qas	no	conformista
n	cds	no	conformista
a	svp	no	egoísta
a	cds	no	torpe
n	ddp	yes	ignorante
n	or	no	parrocha
a	svp	no	rancoroso
n	ddp	yes	idiota
n	dmc	yes	trafulqueiro
n	rci	yes	bárbaro
n	svp	no	preguiceiro
n	asm	no	pixa
n	pa	yes	pailaroco
n	svp	no	folgazán
n	svp	no	lombán
n	cds	no	bandido
n	or	no	mula
n	qas	no	paduán
n	cds	no	paiolo
n	pa	yes	pailán
n	re	no	mafia
n	cds	no	demagoxia
n	svp	no	inutilidade
n	rci	yes	badoco
n	cds	no	proxeneta
n	pr	no	rameira
a	svp	no	desagradábel
a	svp	no	agresivo
n	cds	no	vaidade
a	svp	no	larpeiro
a	svp	no	lapón
n	cds	no	inmoral
a	dmc	yes	malvado
n	cds	no	demagogo
a	an	no	egoísta
a	svp	no	desagradable
n	asf	no	imbécil
a	cds	no	desprezable
n	an	no	choucho
a	cds	no	astuto
a	cds	no	medroso
a	ddf	yes	decepcionante
n	dmc	yes	folgazán
a	dmc	yes	desprezábel
n	cds	no	parvo
n	cds	no	arrogancia
a	svp	no	vingativo
a	dmc	yes	catastrófico
n	cds	no	hybris
n	cds	no	lacazán
n	qas	no	torpe
a	dmc	yes	desprezable
n	ps	yes	badoco
n	ddp	yes	pailán
a	svp	no	miserento
n	ddp	yes	mula
a	dmc	yes	cheirento
n	dmc	yes	lacaceiro
n	asm	no	carallo
n	cds	no	reaccionario
n	ddp	yes	burro
n	or	no	perrecha
n	an	no	bestialidade
n	ddp	yes	ridículo
n	cds	no	vilán
n	om	no	gai
n	pr	no	prostitución
a	an	no	bestial
n	cds	no	proxenetismo
n	rci	yes	paduán
a	ddp	yes	bestial
n	or	no	gay
n	ps	yes	cretino
n	cds	no	pailaroco
n	re	no	violador
n	cds	no	soberbia
a	dmc	yes	egoísta
n	or	no	gai
n	re	no	terrorismo
a	dmc	yes	fedorento
n	an	no	zoofilia
n	ddp	yes	delator
n	cds	no	folgazán
n	pa	yes	paduán
n	an	no	burrán
n	dmc	yes	nugallán
a	dmc	yes	indecente
n	is	yes	esmoleiro
n	dmc	yes	cheiro
n	asf	no	mula
n	pa	yes	bárbaro
a	cds	no	asustadizo
n	cds	no	covardía
a	ddp	yes	bobo
a	ddf	yes	feo
n	an	no	merda
n	ddp	yes	charlatán
a	cds	no	demagóxico
n	cds	no	delincuente
n	an	no	rudeza
n	pa	yes	paiolo
n	cds	no	delator
n	ddp	yes	burrán
n	re	no	chantaxe
n	pr	no	prostituto
n	dmc	yes	engano
a	dmc	yes	falsificado
n	ddp	yes	torpe
a	dmc	yes	arrepiante
n	cds	no	fanatismo
n	cds	no	pecador
a	cds	no	estúpido
a	dmc	yes	cruel
a	svp	no	rabuxento
a	ddp	yes	brutal
n	ddp	yes	cu
n	qas	no	pailán
a	svp	no	larfón
n	ddp	yes	cretino
n	an	no	pillabán
a	an	no	avaro
n	cds	no	lombán
a	dmc	yes	groseiro
n	asm	no	pito
a	dmc	yes	pestilente
a	svp	no	devorador
a	dmc	yes	descortés
n	dmc	yes	fraude
n	ps	yes	paiolo
n	ddp	yes	zoofilia
n	rci	yes	paifoco
n	svp	no	lerchán
n	dmc	yes	estafador
a	cds	no	egoísta
a	an	no	brutal
n	or	no	homosexual
a	cds	no	paifoco
n	svp	no	langrán
n	or	no	crica
n	svp	no	lacazán
n	cds	no	misterio
n	cds	no	paduán
a	ddp	yes	crédulo
n	qas	no	paifoco
a	svp	no	láparo
a	cds	no	bobo
a	cds	no	malicioso
a	cds	no	covarde
n	ddp	yes	vítima
a	ddp	yes	torpe
a	dmc	yes	fedento
n	cds	no	pillería
n	cds	no	mafia
a	ddp	yes	infantil
a	svp	no	avaro
n	ddp	yes	bárbaro
n	cds	no	turba
n	ps	yes	ridículo
n	an	no	inmoral
n	svp	no	nugallán
n	ddp	yes	ignorancia
a	an	no	miserento
a	pa	yes	pedante
n	an	no	mula
n	cds	no	dogmatismo
n	cds	no	porco
a	svp	no	orgulloso
n	an	no	malicioso
n	dmc	yes	pillabán
n	qas	no	badoco
a	dmc	yes	pirata
n	re	no	malicioso
n	qas	no	mentira
n	dmc	yes	bárbaro
n	cds	no	fachenda
n	asf	no	paxara
n	cds	no	fascista
n	cds	no	torpe
n	dmc	yes	badoco
a	cds	no	fachendoso
n	cds	no	estafador
a	ddp	yes	incompetente
a	svp	no	resentido
n	an	no	invasor
n	dmc	yes	aldeán
a	svp	no	amuado
a	ddf	yes	desprezable
a	dmc	yes	atroz
n	or	no	burro
n	ddp	yes	bárbaros
n	pr	no	harpía
n	cds	no	malicioso
n	cds	no	pillaría
n	ddp	yes	imbécil
a	ddp	yes	estúpido
n	dmc	yes	bandido
a	ddf	yes	desprezábel
n	ps	yes	negro
n	cds	no	mentira
n	asf	no	cretino
n	dmc	yes	lerchán
n	or	no	cona
n	dmc	yes	bárbaros
n	or	no	cono
n	asf	no	peseta
n	an	no	burro
n	rci	yes	bárbaros
n	cds	no	preguiceiro
n	an	no	bestialismo
a	dmc	yes	maligno
n	dmc	yes	ladrón
n	cds	no	intolerancia
n	dmc	yes	paduán
n	dmc	yes	mentirán
n	svp	no	soberbia
a	or	no	exixente
n	ddp	yes	pailaroco
n	dmc	yes	tufo
n	asm	no	credulidade
a	svp	no	de moito xenio
n	cds	no	nugallán
n	cds	no	choucho
n	qas	no	paiolo
n	ddp	yes	badoco
n	dmc	yes	lacazán
n	or	no	paxara
n	cds	no	lacaceiro
a	cds	no	egocéntrico
a	cds	no	arrogante
a	qas	no	insán
n	cds	no	aldeán
n	ddp	yes	paifoco
a	svp	no	alarbe
n	dmc	yes	paifoco
a	cds	no	esixente
a	cds	no	exixente
n	dmc	yes	paiolo
n	cds	no	lixo
a	ddp	yes	insensato
n	om	no	homosexual
n	cds	no	insolencia
a	svp	no	lapadoiras
n	ps	yes	imbécil
a	qas	no	tolo
n	cds	no	snob
a	dmc	yes	sen escrúpulos
a	is	yes	egoísta
a	svp	no	gorxón
n	asf	no	cono
n	dmc	yes	langrán
n	asf	no	burrán
a	dmc	yes	falso
a	svp	no	mioqueiro
n	cds	no	desvergoñado
n	re	no	pillabán
n	cds	no	charlatán
n	dmc	yes	vilán
n	or	no	parvo
n	cds	no	falcatruada
a	dmc	yes	desastroso
a	dmc	yes	fétido
n	cds	no	malfeitor
n	svp	no	vaidade
a	dmc	yes	avaro
a	dmc	yes	maleducado
a	ddp	yes	necio
n	asf	no	cona
n	re	no	violación
n	cds	no	desprezo
n	rci	yes	pailán
n	asf	no	crica
n	an	no	desvergoñado
a	dmc	yes	bafento
n	ps	yes	bárbaro
n	dmc	yes	mentira
n	is	yes	pobre
n	om	no	queer
n	asf	no	moza
n	asf	no	parrocha
n	ps	yes	pailán
n	or	no	queer
a	ddf	yes	antiestético
a	dmc	yes	indecoroso
n	cds	no	policía
a	cds	no	enxeñoso
n	an	no	porco
n	ddp	yes	paduán
n	pr	no	prostituta
n	ddp	yes	parvo
n	an	no	vulgaridade
n	qas	no	pailaroco
a	svp	no	inchado
n	rci	yes	pailaroco
n	ddp	yes	paiolo
n	cds	no	badoco
a	svp	no	fachendoso
n	dmc	yes	embuste
n	an	no	malevolencia
n	qas	no	bárbaros
a	svp	no	arrogante
n	pa	yes	badoco
n	dmc	yes	malicioso
a	cds	no	desprezábel
n	an	no	hoax
a	svp	no	larpán
n	re	no	difamación
n	re	no	ladrón
