n	an	no	anuros
n	qas	no	conformista
n	asf	no	tecnicismo
a	ddp	yes	retardado
n	an	no	tiburón branco
n	asm	no	faba loba
n	re	no	delincuente
n	qas	no	bárbaro
n	an	no	bos taurus
n	svp	no	aburrimento
n	dmc	yes	lombán
n	asf	no	burro
n	ps	yes	híbrido
n	re	no	terrorismo
n	or	no	peseta
n	cds	no	pailán
n	an	no	ovino
n	re	no	ladroízo
n	an	no	peteiro
n	re	no	malos tratos
n	cds	no	dandi
n	cds	no	cretino
n	dmc	yes	pailaroco
n	qas	no	granxeiro
n	is	yes	vilán
n	cds	no	ladrón
n	cds	no	criminal
n	an	no	anano
a	cds	no	torpe
a	asm	no	castaño
n	an	no	bisonte
n	qas	no	organización da casa
n	qas	no	monaguillo
n	an	no	capra
n	ps	yes	vandalos
n	svp	no	folgazán
n	cds	no	ridículo
n	cds	no	paiolo
a	dmc	yes	bafento
n	ps	yes	mongol
n	cds	no	vaidade
n	an	no	caprinae
a	dmc	yes	malvado
n	ddp	yes	reino animal
n	cds	no	demagogo
n	cds	no	camarilla
a	cds	no	desprezable
n	an	no	cara
n	pr	no	cosco
n	cds	no	arrogancia
n	an	no	carroucha
n	cds	no	hybris
n	cds	no	pandemonio
n	ps	yes	badoco
a	svp	no	miserento
n	an	no	brutalidade
n	an	no	faciana
n	dmc	yes	lacaceiro
a	ddp	yes	insensato
n	ddp	yes	retraso mental
n	an	no	chinche
n	an	no	porcino
a	is	yes	parco
n	cds	no	masonaría
n	cds	no	carroña
n	cds	no	mestre
n	cds	no	proxenetismo
n	or	no	solanum tuberosum
n	an	no	piollo
n	rci	yes	paduán
n	dmc	yes	bufón
n	an	no	chacal común
n	an	no	canis aureus
n	an	no	tiburón
a	dmc	yes	egoísta
n	qas	no	acólito
n	an	no	carantoña
n	asm	no	mouro
n	re	no	tortura
n	ddp	yes	delator
n	pa	yes	avogacía
n	an	no	reino animal
n	pa	yes	paduán
n	an	no	ra
n	an	no	burrán
n	cds	no	lerchán
n	an	no	equus asinus
a	re	no	violento
n	pa	yes	bárbaro
a	ddf	yes	feo
n	asm	no	paxaro
n	ps	yes	zulú
n	ps	yes	pobo xitano
n	ddp	yes	preso
n	an	no	quenllas
n	or	no	batata
n	re	no	exceso
n	ddp	yes	analfabetismo
n	an	no	gando vacún
n	ddp	yes	torpe
n	an	no	burro fariñeiro galego
a	dmc	yes	arrepiante
n	an	no	sapo
n	re	no	piratería
a	asm	no	marrón
