id	pos	category	stereotype	lemma	level
GL332	n	cds	no	proxenetismo	conservative
GL424	n	qas	no	choupana	inclusive
GL116	n	cds	no	delincuente	inclusive
GL103	n	cds	no	pandemonio	inclusive
GL111	a	ddp	yes	pueril	conservative
GL408	n	ps	yes	xudaísmo	inclusive
GL289	n	cds	no	demagogo	conservative
GL356	n	cds	no	masón	inclusive
GL126	n	dmc	yes	inmoral	conservative
GL438	a	svp	no	miserento	conservative
GL85	a	svp	no	devorador	conservative
GL215	n	an	no	cabra	inclusive
GL498	n	pr	no	couza	inclusive
GL226	n	asm	no	pirola	inclusive
GL36	n	an	no	angüiliformes	inclusive
GL422	n	qas	no	organización da casa	inclusive
GL448	n	cds	no	instrutor	inclusive
GL518	n	qas	no	parasitismo	inclusive
GL276	n	or	no	cona	conservative
GL42	n	an	no	besta	inclusive
GL163	n	svp	no	altivez	conservative
GL266	n	an	no	estrixiformes	inclusive
GL200	n	asf	no	idiota	conservative
GL741	n	re	no	tortura	inclusive
GL572	n	pa	yes	admirador	inclusive
GL306	n	dmc	yes	vagabundo	inclusive
GL59	n	or	no	mula	conservative
GL39	n	ddp	yes	metazoa	inclusive
GL165	n	svp	no	arrogancia	conservative
GL79	n	cds	no	paiolo	conservative
GL203	n	cds	no	parvo	conservative
GL284	n	or	no	caiota	inclusive
GL140	n	an	no	malevolencia	conservative
GL508	n	cds	no	infractor	inclusive
GL83	n	rci	yes	paifoco	conservative
GL209	n	an	no	canis lupus familiaris	inclusive
GL109	a	cds	no	torpe	conservative
GL40	n	an	no	animalia	inclusive
GL314	a	qas	no	insán	conservative
GL90	n	pa	yes	avogado	inclusive
GL602	n	an	no	miñoca	inclusive
GL174	n	cds	no	folgazán	conservative
GL31	n	ddp	yes	analfabetismo	inclusive
GL727	a	ddp	yes	insípido	inclusive
GL419	a	svp	no	lapadoiras	inclusive
GL469	n	an	no	insecta	inclusive
GL685	n	an	no	ra	inclusive
GL271	n	or	no	peseta	conservative
GL151	n	cds	no	xefe	inclusive
GL399	n	cds	no	ladroízo	inclusive
GL80	n	qas	no	pailaroco	conservative
GL710	a	is	yes	exiguo	inclusive
GL195	n	cds	no	prea	inclusive
GL269	n	cds	no	hibridación	inclusive
GL32	n	an	no	anguilla	inclusive
GL108	a	cds	no	estúpido	conservative
GL100	n	pr	no	rameira	conservative
GL696	a	dmc	yes	fedento	conservative
GL331	n	cds	no	fanático	conservative
GL287	n	dmc	yes	embuste	conservative
GL412	a	svp	no	larpán	inclusive
GL43	n	an	no	animais	inclusive
GL608	n	or	no	pataqueira	inclusive
GL129	n	cds	no	metedura de pata	inclusive
GL112	n	an	no	pillabán	conservative
GL269	n	ps	yes	hibridación	inclusive
GL313	a	ddp	yes	tolo	inclusive
GL350	n	an	no	pulga	inclusive
GL218	n	an	no	cabrúa	inclusive
GL643	n	cds	no	neno	inclusive
GL472	n	asm	no	pene	inclusive
GL738	a	svp	no	imperioso	conservative
GL84	n	qas	no	bárbaros	conservative
GL2	v	an	no	atouzar	inclusive
GL274	n	or	no	paxara	conservative
GL38	n	an	no	anguilliformes	inclusive
GL176	n	svp	no	langrán	conservative
GL123	n	cds	no	pillería	conservative
GL199	n	is	yes	desterrado	inclusive
GL456	n	dmc	yes	embusteiro	conservative
GL230	n	cds	no	compracencia	inclusive
GL413	a	svp	no	alarbe	inclusive
GL644	a	an	no	brutal	conservative
GL647	a	ddf	yes	invidente	inclusive
GL500	n	pr	no	trilla	inclusive
GL504	n	dmc	yes	mozzarella	inclusive
GL530	n	asm	no	chícharo	inclusive
GL245	n	om	no	homosexual	inclusive
GL506	n	an	no	fuciño	inclusive
GL13	n	qas	no	comerciante	inclusive
GL398	n	cds	no	latrocinio	inclusive
GL436	a	svp	no	avaro	conservative
GL216	n	an	no	caprino	inclusive
GL171	n	svp	no	lacaceiro	conservative
GL372	n	asm	no	faballón	inclusive
GL80	n	ddp	yes	pailaroco	conservative
GL23	a	an	no	obstinado	inclusive
GL394	a	cds	no	astuto	inclusive
GL29	a	svp	no	agresivo	inclusive
GL435	a	is	yes	estreito	conservative
GL41	n	an	no	criatura	inclusive
GL202	n	cds	no	imbécil	inclusive
GL164	n	cds	no	soberbia	conservative
GL493	n	an	no	moluscos	inclusive
GL698	n	an	no	cascuda	inclusive
GL280	n	or	no	calacú	inclusive
GL180	n	is	yes	malicioso	conservative
GL67	n	ddp	yes	atraso	inclusive
GL145	n	pr	no	bovino	inclusive
GL275	n	asf	no	parrocha	conservative
GL756	n	re	no	ferocidade	inclusive
GL243	n	pa	yes	cabo	inclusive
GL79	n	ps	yes	paiolo	conservative
GL9	n	re	no	exceso	inclusive
GL247	n	om	no	gai	inclusive
GL142	n	svp	no	aborrecemento	inclusive
GL468	n	an	no	insecto	inclusive
GL683	n	an	no	anura	inclusive
GL704	a	ps	yes	xudaico	inclusive
GL204	n	asm	no	cretino	inclusive
GL739	a	svp	no	orgulloso	conservative
GL343	n	dmc	yes	cheiro	conservative
GL382	a	cds	no	clandestino	inclusive
GL76	n	cds	no	bandido	inclusive
GL550	n	an	no	escualos	inclusive
GL268	n	ps	yes	híbrido	inclusive
GL334	n	qas	no	hortelán	inclusive
GL351	n	an	no	sifonáptero	inclusive
GL203	n	an	no	parvo	conservative
GL132	n	cds	no	dogmatismo	conservative
GL81	n	dmc	yes	bárbaro	conservative
GL185	a	ddf	yes	desprezábel	conservative
GL444	n	ddp	yes	cu	conservative
GL389	n	an	no	sus	inclusive
GL231	n	cds	no	autosatisfacción	inclusive
GL500	n	an	no	trilla	inclusive
GL527	a	dmc	yes	maligno	conservative
GL752	n	cds	no	teoría da conspiración	inclusive
