n	qas	no	אספסוף
n	cds	no	גוזמן
n	dmc	yes	החברמן
a	an	no	בְּהֵמִי
n	ddp	yes	בן כלבה
n	ps	yes	קראוט
n	ps	yes	מסטיצו
n	ddp	yes	לבהות
n	qas	no	cadger
n	pr	no	אשת הרחוב
n	cds	no	מחזור מתכת
n	an	no	כך וכך
a	ddp	yes	טִפֵּשׁ
n	cds	no	מכור
a	svp	no	מתגרה
n	dmc	yes	בּוֹגֵד
a	ddp	yes	מְטֻפָּשׁ
n	an	no	tomfool
n	or	no	הומופיל
n	cds	no	איזה חנון
n	an	no	נבל על
n	cds	no	חנפן
n	cds	no	grifter
n	pr	no	זונות
n	asf	no	קולס
n	pr	no	ג'ון
n	svp	no	gorger
n	cds	no	מאפיונרים
n	cds	no	גרזן ספרותי
n	dmc	yes	פסאודו
n	asf	no	טפש
n	cds	no	finagler
n	svp	no	גבוה handedness
n	asm	no	דביל
n	pr	no	סרסורית לזנות
n	cds	no	שובבה
n	cds	no	המפלגה הפשיסטית
n	ps	yes	כושי
n	an	no	טומטום
a	dmc	yes	נִבְזֶה
n	om	no	מוזר
n	cds	no	כך וכך
a	ddp	yes	אַנְאַלְפָבֵּיתִי
n	or	no	הומוסקסואל
n	qas	no	שנורר
n	qas	no	!סִפּוּר
n	cds	no	מפברק
n	cds	no	מלוה בריבית
n	cds	no	dastardliness
n	cds	no	שובב
n	cds	no	רכלן
n	pr	no	זונה
n	re	no	טרוריסט
n	or	no	טמבל
n	asm	no	טִפֵּשׁ
n	cds	no	צרה
n	asm	no	גולם
n	asf	no	פרצוף תחת
n	cds	no	פחדן
n	ddp	yes	צק עצוב
n	pa	yes	החיספוס
n	asm	no	tomfool
n	cds	no	!חֻצְפָּה
n	qas	no	טַפִּיל
n	ddp	yes	חתיכת טיפש
n	asm	no	נופל בחור
n	ddp	yes	פראטר
n	dmc	yes	הולל
n	ddp	yes	טיפשות
a	dmc	yes	אַכְזָרִי
n	ddp	yes	פה גדול
n	qas	no	נוהג לפי מוסכמות
n	cds	no	לא יצלח
n	asm	no	להזדיין
n	cds	no	צָרָה
n	cds	no	נוהג לפי מוסכמות
n	svp	no	לפשל-off
n	dmc	yes	להתגנב גנב
n	svp	no	טוב ל- תוהו
n	cds	no	מַעֲשֵׂה-קֻנְדָּס
n	dmc	yes	כפרי
n	or	no	pudden ראש
n	qas	no	tagalong
n	svp	no	חסיד
n	an	no	מקל-in-the-הבץ
a	svp	no	עָצֵל
n	dmc	yes	צַחֲנָה
n	an	no	כלבה
a	cds	no	!טִפֵּשׁ
n	pr	no	המקצוע העתיק ביותר בעולם
n	svp	no	קַמְצָן
n	an	no	טַפִּיל
n	pr	no	אישה המשיכה
n	re	no	נוכלים
n	cds	no	נוכלים
n	an	no	קולס
n	svp	no	יוצלח-לעשות היטב
n	an	no	כלב מלוכלך
n	cds	no	רכילאים
n	cds	no	הוצאה לחוק
n	asm	no	מגע רך
n	dmc	yes	foetor
n	cds	no	גזור
n	ddp	yes	rumormonger
n	ddp	yes	rumourmonger
n	dmc	yes	כלב מלוכלך
n	cds	no	קצין המשטרה
n	cds	no	עָרְמָה
n	qas	no	דאובר
n	dmc	yes	grifter
n	cds	no	עזות-מצח
n	or	no	תנועת ההומופיל
n	cds	no	שסק
n	an	no	נָחָשׁ
n	ps	yes	דביל
n	dmc	yes	מטעה
n	cds	no	שודד
n	cds	no	ערמומיות
n	an	no	פחדנית
n	or	no	כוסית
n	re	no	משמיץ
n	re	no	maligner
n	an	no	זנות גברית
n	cds	no	המסכן הזה,
n	or	no	גולם
n	svp	no	משתמט
n	dmc	yes	כפרי ותמים
v	asm	no	יָדַע
n	an	no	עֲלוּקָה
a	an	no	בַּהֲמִי
n	cds	no	עצל
n	dmc	yes	dallier
n	cds	no	נפיחות
n	cds	no	להוציא מחוץ לחוק
n	re	no	נבל
n	cds	no	חטא ההיבריס
n	dmc	yes	מתחזה
n	cds	no	חתיכה על
n	cds	no	עסקן
n	ddp	yes	פראותו
n	cds	no	newsmonger
n	cds	no	טִפֵּשׁ
n	cds	no	יְהִירוּת
n	cds	no	פָנָטִיּוּת
n	ps	yes	בוש
n	an	no	נבל טרגי
n	cds	no	שרלטן
n	an	no	סרבול
n	cds	no	צדקן
n	cds	no	rumourmonger
n	cds	no	!עֵדֶר
n	cds	no	מַפִיָה
v	cds	no	!דָּרַשׁ
n	re	no	מאפיונרים
a	svp	no	!יָהִיר
n	cds	no	!הַשְׁעָרָה
n	an	no	בהמיות
n	cds	no	מורה
n	svp	no	superbia
n	qas	no	מסתבך
n	svp	no	minginess
a	dmc	yes	אַכְזָר
n	asm	no	אונן
n	om	no	הומופיל
n	or	no	מִתְרוֹמֵם
n	dmc	yes	יוצלח-לעשות היטב
n	re	no	אונס תאריך
n	ddp	yes	רופא אליל
n	ddp	yes	יוצלח
n	cds	no	סתם בכיין
n	cds	no	מיחזור מתכת
n	cds	no	כסיל
n	or	no	טומטום
n	asm	no	betise
