n	dmc	yes	ליצן חצר
n	cds	no	גוזמן
n	dmc	yes	החברמן
n	an	no	מוצץ כינה
a	an	no	בְּהֵמִי
n	ddp	yes	בן כלבה
n	pa	yes	עורך-דין
n	re	no	ניצול לרעה
n	qas	no	cadger
n	ps	yes	הכלאות
n	pr	no	אשת הרחוב
n	cds	no	מחזור מתכת
n	cds	no	צָרָה
n	an	no	bos taurus
n	an	no	caiman
n	qas	no	קהילות
n	re	no	נוכלים
n	cds	no	מייסון חינם
n	an	no	תנין
n	an	no	tomfool
n	asm	no	פאלי
n	an	no	דורס לילה
n	an	no	תוכאים
n	dmc	yes	שוטת מוטלים
n	pr	no	זונות
n	asf	no	קולס
n	re	no	גְּנֵבָה
n	pa	yes	הצווארון הלבן
n	ddp	yes	תת תריסיות מולדת
n	cds	no	גרזן ספרותי
n	asf	no	טפש
n	cds	no	משפחת פשע
n	svp	no	גבוה handedness
n	re	no	גזל הרבים
n	qas	no	boner
n	qas	no	פסולת עירונית מוצקה
n	qas	no	ציור הבית
n	cds	no	פה גדול
n	cds	no	פפראצי
n	an	no	הקדיר פנים
n	an	no	פאונה
n	cds	no	בגינות
n	cds	no	המפלגה הפשיסטית
n	cds	no	הבונים החופשים
n	cds	no	!הַרְבֵּה
n	ps	yes	bedu
n	om	no	מוזר
n	or	no	הומוסקסואל
n	cds	no	כאוס
n	cds	no	מלוה בריבית
n	om	no	בדיעבד
n	cds	no	קזינו הימורים
n	re	no	חטיפה
n	an	no	ברבריות
n	svp	no	קנאה
n	an	no	capra
n	cds	no	רכלן
n	cds	no	שדכן
n	cds	no	ג'יגולו
n	re	no	טרוריסט
n	re	no	grand theft
n	an	no	בעלי חיים
n	svp	no	עצלנות
n	asm	no	טִפֵּשׁ
n	cds	no	צרה
n	an	no	הבלים
n	re	no	שוד בנק
n	asm	no	גולם
n	om	no	אציל
n	ddp	yes	לבהות
n	asf	no	פרצוף תחת
n	an	no	ג'וּק
n	an	no	חיידק
n	an	no	מייקרו אורגניזמים
n	an	no	מגע רך
n	an	no	מכשיר האזנה
n	dmc	yes	ערכים מוסריים
n	an	no	caprinae
n	pr	no	rattus norvegicus
n	cds	no	אדם מרושל
n	is	yes	עוני
n	asm	no	מאוס
n	or	no	שמיר
n	ddp	yes	פה גדול
n	qas	no	נוהג לפי מוסכמות
n	an	no	כדי crocodilia
n	an	no	ביזון אירופאי
n	an	no	סטריקס varia
n	an	no	חלזון הגפן
n	om	no	דמות דראג
n	an	no	חלזונות
n	an	no	hemipteron
a	ddf	yes	רָע
n	re	no	שָׁלָל
n	an	no	hemipteran
n	qas	no	ביצים
n	dmc	yes	להתגנב גנב
n	cds	no	ליצן
n	svp	no	טוב ל- תוהו
n	dmc	yes	כפרי
n	dmc	yes	מוסריות
n	or	no	pudden ראש
n	an	no	כוס החרבות
n	qas	no	tagalong
n	ddp	yes	טפשה
n	cds	no	gobs
n	cds	no	סרסורים
n	ps	yes	יַהֲדוּת
a	svp	no	עָצֵל
n	ddp	yes	microcephalic
n	pr	no	המקצוע העתיק ביותר בעולם
n	cds	no	פשעים
n	cds	no	נובוריש
n	svp	no	קַמְצָן
n	an	no	ממלכת החי
n	pr	no	אישה המשיכה
n	re	no	חטיפות
n	om	no	פטישיזם טרנסווסטי
n	or	no	solanum tuberosum
n	svp	no	אדישות
n	an	no	המשפחה anguillidae
n	svp	no	יוצלח-לעשות היטב
n	an	no	כלב מלוכלך
a	ddp	yes	מְטֻפָּשׁ
n	an	no	באג המיטה
n	is	yes	מנודה
n	re	no	!נוֹכֵל
n	an	no	ניפש להיות
n	ddp	yes	rumormonger
n	dmc	yes	יוצלח
n	ddp	yes	לקות שכלית
n	re	no	עבירת אישום בלבד
n	cds	no	קצין המשטרה
n	ps	yes	בדואים
n	cds	no	גנגסטר
n	re	no	פירטים
n	ps	yes	inkiness
n	re	no	capturer
n	pa	yes	רעיית צאן
n	cds	no	שסק
n	an	no	נָחָשׁ
n	ps	yes	דביל
n	an	no	fulvus
n	cds	no	פעוט
n	re	no	חוק איסור לשון הרע
n	cds	no	מורים
n	cds	no	ערמומיות
n	an	no	עשים
n	cds	no	clann
n	or	no	כוסית
n	re	no	משמיץ
n	asm	no	זִקְפָּה
n	an	no	זנות גברית
n	asm	no	maxilliped
n	cds	no	אידיוט
n	an	no	suborder blattaria
n	qas	no	מאגנאט
n	qas	no	מיחזור מתכת
a	an	no	בַּהֲמִי
n	qas	no	תעשיין
n	cds	no	עצל
n	qas	no	אריס
n	cds	no	נפיחות
n	re	no	נבל
n	cds	no	חטא ההיבריס
n	cds	no	בגיניות ובגהרדים
n	cds	no	חתיכה על
n	cds	no	חברות שבטיות
n	an	no	תאנוס
n	cds	no	טִפֵּשׁ
n	om	no	רכרוכי
n	an	no	כִּבְשָׂה
n	qas	no	divulgence
n	ps	yes	בוש
n	cds	no	פגר
n	an	no	נבל טרגי
n	cds	no	כדורים למעלה
n	cds	no	פִּקְחוּת
n	an	no	אבחיים
n	asf	no	שְׂעַר הָעֶרְוָוה
n	an	no	סטפילוקוקוס canis
n	cds	no	צדקן
n	pa	yes	עובד צווארון לבן
n	cds	no	מסון
n	cds	no	!קַנַּאי
n	an	no	חסרי הזנב
