id	pos	category	stereotype	lemma	level
HE111	n	ddp	yes	בַּעַל-חַיִּים	inclusive
HE954	n	ps	yes	הורס	conservative
HE1357	n	pr	no	זונות	conservative
HE204	n	rci	yes	churl	conservative
HE2164	n	cds	no	סנוב	conservative
HE1383	n	om	no	הומוארוטית	inclusive
HE762	n	om	no	homophile	inclusive
HE1451	n	cds	no	אלילים	inclusive
HE1370	n	pr	no	שירותי מין	inclusive
HE1029	n	om	no	יַשְׁבָן	inclusive
HE1143	n	svp	no	faineance	inclusive
HE2116	n	re	no	שֹׁד	inclusive
HE234	n	qas	no	ברון	inclusive
HE966	n	re	no	הפרת החוק ה	inclusive
HE937	n	pr	no	פילגש	inclusive
HE1707	n	qas	no	טַפִּיל	inclusive
HE112	n	an	no	infauna	inclusive
HE527	n	dmc	yes	נבל-על	conservative
HE419	n	qas	no	fumbler	conservative
HE1255	n	asm	no	שדה שעועית	inclusive
HE791	n	ddp	yes	אליל	conservative
HE2202	a	svp	no	היצריות	conservative
HE1638	n	an	no	mosquitoe	inclusive
HE837	n	an	no	לנטוש	conservative
HE1486	n	svp	no	חוסר מעש	inclusive
HE177	n	svp	no	תאב-בצע	inclusive
HE1979	n	or	no	potatoe	inclusive
HE511	n	dmc	yes	תיק חלאות	inclusive
HE312	n	cds	no	בגהרדים	inclusive
HE258	n	or	no	pudden ראש	conservative
HE1259	n	asm	no	faba	inclusive
HE504	n	svp	no	עתק	conservative
HE97	n	an	no	צלופחאים	inclusive
HE1800	n	an	no	lamniformes	inclusive
HE293	n	cds	no	גַּנְדְּרָן	inclusive
HE108	n	an	no	animalia	inclusive
HE783	n	an	no	מוּג-לֵב	conservative
HE2361	n	an	no	limacidae	inclusive
HE305	n	ps	yes	בדואי	inclusive
HE245	n	cds	no	אישה מלומדת	inclusive
HE792	n	cds	no	מיחזור מתכת	conservative
HE328	n	cds	no	כנופיה	conservative
HE1364	n	pr	no	זמה	inclusive
HE750	n	cds	no	newswriter	inclusive
HE830	n	svp	no	tanha	inclusive
HE1702	n	cds	no	פפרצי	inclusive
HE1624	n	cds	no	!מִשְׁתַּמֵּט	conservative
HE286	n	pr	no	יצאנית	conservative
HE467	n	qas	no	חקלאי	inclusive
HE1950	n	dmc	yes	ליצנית	inclusive
HE148	n	asf	no	ראש פטיש	conservative
HE2172	n	cds	no	!קַפְּדָנוּת	inclusive
HE1796	n	an	no	כריש	inclusive
HE1295	n	cds	no	שסק	conservative
HE1005	n	dmc	yes	צבוע	conservative
HE988	n	cds	no	לכלוך	inclusive
HE562	n	dmc	yes	פסולת	inclusive
HE172	n	an	no	כִּילַי	conservative
HE180	n	ddp	yes	נחשלות	inclusive
HE523	n	cds	no	!נָבָל	conservative
HE88	n	ddp	yes	אנאלפביתים	inclusive
HE342	n	an	no	שָׂעִיר	inclusive
HE1100	n	asm	no	זִקְפָּה	inclusive
HE1127	a	cds	no	בזוי	conservative
HE143	n	asf	no	tomfool	conservative
HE418	n	dmc	yes	bumbler	conservative
HE1016	n	om	no	הפרוקסימלי	inclusive
HE142	n	ddp	yes	טִפֵּשׁ	conservative
HE109	n	ddp	yes	מטזואה	inclusive
HE176	n	svp	no	רדיפת בצע	inclusive
HE1048	n	svp	no	trencherman	inclusive
HE1237	n	an	no	זעם	inclusive
HE472	n	qas	no	בעל עסק	inclusive
HE1900	n	qas	no	חקלאות דייר	inclusive
HE173	n	is	yes	קַמְצָן	conservative
HE1396	n	om	no	ארוטיקה הומוסקסואלית	inclusive
HE1264	n	asf	no	ואגינה	conservative
HE2271	n	an	no	בולע בלון	inclusive
HE835	n	an	no	prickteaser	conservative
HE825	n	cds	no	ערמומיות	conservative
HE1699	n	cds	no	papparazzi	inclusive
HE1749	n	cds	no	תחבולן	inclusive
HE1132	n	an	no	רחל	inclusive
HE607	n	ddp	yes	הערב רב של החיילים וובייה	conservative
HE912	n	cds	no	לדחות	conservative
HE1298	n	an	no	יתוש	inclusive
HE1713	n	cds	no	chawbacon	conservative
HE405	n	qas	no	boner	inclusive
HE603	n	cds	no	chiseller	inclusive
HE248	n	ddp	yes	מגע רך	conservative
HE2297	n	pr	no	hetaera	inclusive
HE310	n	cds	no	beguine	inclusive
HE396	n	pa	yes	מנהל בית לוויות	inclusive
HE233	n	an	no	כלב	inclusive
HE1077	n	svp	no	בתיאבון	conservative
HE1488	n	an	no	לא מוכשר	conservative
HE1052	n	an	no	טלה	inclusive
HE47	n	pa	yes	אקדמיות	inclusive
HE1114	n	dmc	yes	קוד מוסרי	inclusive
HE220	n	pa	yes	עורך דין	inclusive
