id	pos	category	stereotype	lemma	level
HR618	n	ps	yes	usporiti	conservative
HR1602	n	ddp	yes	mentalnog nedostatka	inclusive
HR895	n	cds	no	mješanac	inclusive
HR375	n	cds	no	nestašna	conservative
HR1405	n	ps	yes	judaizam	inclusive
HR1055	n	om	no	dorzolateralnom	inclusive
HR1300	n	cds	no	gledalac	conservative
HR2278	a	is	yes	oskudan	inclusive
HR1486	n	asm	no	gluposti	conservative
HR221	n	qas	no	teste	inclusive
HR1787	n	re	no	pljačkaš	inclusive
HR421	n	re	no	ucjenjuje	conservative
HR746	n	pa	yes	prof.	inclusive
HR65	n	dmc	yes	lijenčina	conservative
HR268	n	cds	no	blackballing	inclusive
HR1608	n	re	no	konjokradica	inclusive
HR527	n	cds	no	oholost	conservative
HR1536	n	dmc	yes	nemoralno	inclusive
HR1724	n	qas	no	župi	inclusive
HR772	n	an	no	zeko	inclusive
HR316	n	cds	no	kaos	inclusive
HR876	n	ddf	yes	bogalj	inclusive
HR349	n	cds	no	skitnica	conservative
HR312	n	cds	no	clotheshorse	inclusive
HR2440	n	ps	yes	zulu	inclusive
HR453	n	qas	no	bumbler	conservative
HR3	v	an	no	lajati	inclusive
HR98	n	cds	no	fanatizam	inclusive
HR413	n	cds	no	mater	conservative
HR215	n	asm	no	testisi	inclusive
HR309	n	dmc	yes	izmišljotina	inclusive
HR828	n	cds	no	starog željeza	conservative
HR1633	n	cds	no	wc	inclusive
HR1485	n	ddp	yes	besmisleni	conservative
HR1538	n	om	no	plemkinja	inclusive
HR348	n	cds	no	benda	inclusive
HR1849	n	or	no	squash	inclusive
HR1162	n	cds	no	povlađivati	inclusive
HR523	n	qas	no	srednja klasa	inclusive
HR1980	v	qas	no	sprtljati	conservative
HR282	n	or	no	pudden-glava	conservative
HR1057	n	cds	no	prepredenko	conservative
HR376	n	cds	no	pokvarenost	conservative
HR2257	n	an	no	šakali	inclusive
HR61	n	om	no	analni snošaj	inclusive
HR1524	n	cds	no	šaljivčina	inclusive
HR274	n	asf	no	prostak	conservative
HR1634	n	cds	no	septičkih	inclusive
HR1674	n	svp	no	sramotu	inclusive
HR504	n	qas	no	gospodarstvenika	inclusive
HR228	n	qas	no	barbari	conservative
HR2034	v	cds	no	skončavati	inclusive
HR575	a	ddf	yes	neprikladan	inclusive
HR381	n	ps	yes	crna	inclusive
HR2017	v	is	yes	zaklinjati	inclusive
HR245	n	pa	yes	pobornik	inclusive
HR1680	n	cds	no	cosa nostra	inclusive
HR227	n	qas	no	barbarski	conservative
HR764	n	asm	no	komad magarca	conservative
HR1133	n	dmc	yes	zlo	inclusive
HR290	n	pr	no	bludnica	conservative
HR1124	n	dmc	yes	moralni kompas	inclusive
HR322	n	ps	yes	beduini	inclusive
HR555	n	dmc	yes	besposličar	conservative
HR2395	n	dmc	yes	skitnje	inclusive
HR1543	n	svp	no	lustfulness	inclusive
HR246	n	pa	yes	advokat	inclusive
HR1024	n	om	no	pih	inclusive
HR225	n	cds	no	razbojništvo	inclusive
HR1983	v	qas	no	uništavati	conservative
HR307	n	dmc	yes	laž	inclusive
HR1155	n	qas	no	divulgement	inclusive
HR536	n	svp	no	high-nespretnost	conservative
HR1569	n	cds	no	loanshark	inclusive
HR1231	n	cds	no	masonstvo	inclusive
HR264	n	qas	no	barokna arhitektura	inclusive
HR156	n	ddp	yes	betise	conservative
HR1759	n	cds	no	prankishness	inclusive
HR1566	n	cds	no	novca kreditiranja	conservative
HR2391	n	om	no	ženski imitator	inclusive
HR622	n	asm	no	changeling	inclusive
HR169	n	an	no	ne znaju ništa	conservative
HR1583	n	qas	no	magacioner	inclusive
HR1573	n	an	no	kukac	inclusive
HR550	n	an	no	tako i tako	conservative
HR998	n	an	no	diddlysquat	conservative
HR1844	n	cds	no	moralizma	inclusive
HR589	n	ddp	yes	zarobljenik	inclusive
HR1824	n	pa	yes	pastirica	inclusive
HR305	n	dmc	yes	laže	inclusive
HR2214	n	an	no	žabe	inclusive
HR370	n	cds	no	lupeštvo	conservative
HR365	n	cds	no	izdajnički	conservative
HR645	n	re	no	hahar	inclusive
HR1610	n	cds	no	provalnik	inclusive
HR15	n	re	no	zlostavljanje	inclusive
HR934	n	cds	no	frakcija u stranci	inclusive
HR552	n	cds	no	šljam torba	conservative
HR1888	n	cds	no	hypersexual	conservative
HR179	n	an	no	sivac	inclusive
HR1679	n	cds	no	murjak	conservative
HR231	n	ddp	yes	barbara	conservative
HR1556	n	svp	no	gorger	conservative
HR230	n	cds	no	grubijan	conservative
HR715	n	cds	no	nevolja	conservative
HR124	n	an	no	makrofaune	inclusive
HR65	n	svp	no	lijenčina	conservative
HR804	n	cds	no	kanalizacijski kanal	inclusive
HR137	n	re	no	objeda	conservative
HR1263	n	cds	no	fašisti	conservative
HR1676	n	cds	no	policajac	conservative
HR1750	n	cds	no	intrigant	inclusive
HR99	n	cds	no	zeloti	inclusive
HR1510	n	an	no	inexorableness	conservative
HR1234	n	cds	no	slobodnih i prihvaćenih zidara	inclusive
HR227	n	ps	yes	barbarski	conservative
HR619	n	asf	no	kreten	conservative
HR1146	n	dmc	yes	rasipnik	conservative
HR2033	v	cds	no	izdahnuti	inclusive
HR1650	n	an	no	komarac	inclusive
HR455	n	ddp	yes	pogriješiteljem	conservative
HR1140	n	an	no	lice	inclusive
HR2388	n	ps	yes	pikey	conservative
HR208	n	cds	no	nepristojni kuću	inclusive
HR1780	n	qas	no	retor	inclusive
