pos	category	stereotype	lemma	level
n	ddp	yes	barbár	conservative
n	ddp	yes	tanulatlan ember	conservative
n	re	no	zsaroló	inclusive
n	ddp	yes	kurafi	conservative
n	an	no	animalculum	inclusive
n	cds	no	hírharang	conservative
n	an	no	bölény bonasus	inclusive
n	cds	no	culchie	inclusive
n	asm	no	fütyülő	inclusive
n	an	no	gyáva	conservative
a	is	yes	szegény	inclusive
n	ddp	yes	szélhámos	conservative
n	cds	no	újságíró	inclusive
n	ps	yes	fajankó	conservative
n	ddp	yes	makrofauna	inclusive
n	om	no	dorsoventralis tengely	inclusive
n	or	no	bárgyú	conservative
a	svp	no	dölyfös	conservative
n	svp	no	conceitedness	conservative
n	om	no	peroneális	inclusive
n	asm	no	fallikus	inclusive
n	cds	no	a nagy mosdatlan	inclusive
n	ps	yes	judaizmus	inclusive
n	dmc	yes	hamisítás	inclusive
n	or	no	ostoba	conservative
n	cds	no	maradék	inclusive
n	an	no	tehén	conservative
n	svp	no	csavargó	conservative
n	asm	no	faba bab	inclusive
n	cds	no	kanna hal	inclusive
n	cds	no	pedagógus	inclusive
n	om	no	homosexualism	inclusive
n	an	no	toportyánféreg	inclusive
n	qas	no	mágnás	inclusive
a	re	no	erőszakos	inclusive
n	pr	no	tehén	inclusive
n	cds	no	harccal	inclusive
n	an	no	culex pipiens	inclusive
n	asf	no	balek	conservative
n	is	yes	szegény ördög	inclusive
n	asm	no	bunkó	inclusive
n	or	no	pityóka	inclusive
n	dmc	yes	megalázottság	inclusive
n	cds	no	hazudós	conservative
n	an	no	fehércápa	inclusive
n	an	no	állatvilág	inclusive
n	cds	no	ez és ez	conservative
n	or	no	kerti édeskömény	inclusive
n	cds	no	nyáj	inclusive
n	asm	no	farok	conservative
n	ddp	yes	semmit sem	conservative
n	ps	yes	romák	inclusive
n	re	no	rablás	inclusive
n	re	no	másodfokú gyilkossággal	inclusive
n	cds	no	bűntény	inclusive
n	cds	no	utcai banda	inclusive
n	svp	no	bigott	conservative
n	dmc	yes	svindler	conservative
n	svp	no	düh	conservative
n	svp	no	féltékenység	inclusive
n	cds	no	scammer	conservative
n	om	no	midclavicular vonal	inclusive
n	pa	yes	professzora extraordinarius	inclusive
n	cds	no	betyár	conservative
n	qas	no	konformizmus	inclusive
n	cds	no	japán mértékegységeket	inclusive
n	asm	no	fallosz	inclusive
n	an	no	fauna	inclusive
n	re	no	rabló	conservative
n	an	no	kecske-antilop	inclusive
n	cds	no	szarvasmarha rustler	inclusive
n	cds	no	ördögfióka	conservative
n	an	no	kukacok	inclusive
a	ddp	yes	hiszékeny	conservative
n	om	no	mediánsík	inclusive
n	cds	no	papír-toló	inclusive
n	ddp	yes	illetéktelen személy	conservative
n	is	yes	csirkefogó	conservative
n	an	no	igazi angolna	inclusive
