id	pos	category	stereotype	lemma	level
HU262	n	ddp	yes	pillock	conservative
HU569	n	asf	no	gyengeelméjű	conservative
HU516	n	cds	no	léhűtő	conservative
HU3	n	svp	no	lustaság	inclusive
HU1219	n	cds	no	fundamentalizmus	inclusive
HU416	n	ddp	yes	kétbalkezes	conservative
HU154	n	ddp	yes	tökfilkó	conservative
HU523	n	cds	no	tragacs	inclusive
HU1933	n	an	no	cootie	inclusive
HU1250	n	pr	no	pisztoly moll	inclusive
HU1542	n	cds	no	betörő	inclusive
HU1352	n	om	no	homosexualism	inclusive
HU1603	n	cds	no	vétkes	inclusive
HU567	n	ddp	yes	kretén	conservative
HU538	n	ddp	yes	foglyok	inclusive
HU711	n	asm	no	nooky	conservative
HU1609	n	cds	no	rendőr	inclusive
HU404	n	cds	no	line-shooter	conservative
HU869	n	dmc	yes	megtévesztés	conservative
HU712	n	an	no	nyuszi	inclusive
HU330	n	dmc	yes	gazember	conservative
HU1980	n	cds	no	bébi qualifier	inclusive
HU2166	n	re	no	kínzóeszköz	inclusive
HU1701	n	cds	no	főkolompos	inclusive
HU821	n	ps	yes	növény nemesítő	inclusive
HU565	n	asf	no	changelings	conservative
HU892	n	ps	yes	uprooter	conservative
HU1523	n	asm	no	fütyi	inclusive
HU689	n	pa	yes	professzor	inclusive
HU935	n	dmc	yes	álszent	conservative
HU599	n	cds	no	grifter	conservative
HU2211	n	cds	no	Összeesküvéselmélet	inclusive
HU213	n	cds	no	barbár	conservative
HU1265	n	asf	no	intim szőrzet	inclusive
HU595	n	cds	no	svindler	conservative
HU2188	n	pr	no	hellcat	conservative
HU853	n	qas	no	selejtezett	conservative
HU436	n	an	no	tehenek	inclusive
HU568	n	asm	no	idióta	inclusive
HU882	n	cds	no	egyszerű ember	conservative
HU1946	a	svp	no	haragos	inclusive
HU1211	n	cds	no	szabadkőművesek	inclusive
HU889	n	ps	yes	ügyefogyott ember	conservative
HU224	n	pa	yes	különleges megbízottja	inclusive
HU213	n	qas	no	barbár	conservative
HU1377	n	cds	no	főpap	inclusive
HU505	n	svp	no	semmirekellő	conservative
HU262	n	cds	no	pillock	conservative
HU83	n	asm	no	függelékek	inclusive
HU1566	n	cds	no	latrina	inclusive
HU307	n	pr	no	szarvasmarha	inclusive
HU448	n	ddp	yes	agykárosodás	inclusive
HU1340	n	pr	no	call-girl	inclusive
HU968	n	om	no	várusz	inclusive
HU855	n	qas	no	selejtezés	conservative
HU521	n	dmc	yes	gonosz	conservative
HU367	n	cds	no	szlovén	conservative
HU564	n	asm	no	bunkó	inclusive
HU1612	n	re	no	maffia	inclusive
HU676	n	qas	no	casteism	inclusive
HU1607	n	cds	no	rendőrök	conservative
HU1400	n	an	no	hiéna	inclusive
HU897	n	cds	no	bűnözői magatartás	inclusive
HU1612	n	cds	no	maffia	conservative
HU147	n	asf	no	ostoba	conservative
HU1669	n	cds	no	párt	inclusive
HU2152	n	re	no	terroristák	inclusive
HU1394	n	cds	no	hübrisz	conservative
HU417	n	cds	no	fuser	conservative
HU602	n	ddp	yes	riffraff	conservative
HU127	n	an	no	epifaunal	inclusive
HU769	n	an	no	cimex lectularius	inclusive
