pos	category	stereotype	lemma	level
n	dmc	yes	menggelandang	inclusive
n	cds	no	orang cerdik pandai	inclusive
n	cds	no	saintisme	inclusive
n	an	no	biri	inclusive
n	an	no	animalculum	inclusive
n	ddf	yes	katik	conservative
n	qas	no	keterlanjuran	inclusive
n	ps	yes	pemurah	conservative
n	is	yes	kikir	conservative
n	cds	no	narsisme	inclusive
v	cds	no	mengumpat	inclusive
n	pr	no	jorok wanita	conservative
n	cds	no	kucar-kacir	inclusive
n	an	no	perangkat mendengarkan rahasia	inclusive
n	dmc	yes	cempiang	inclusive
n	an	no	babi	inclusive
a	dmc	yes	tengik	conservative
n	om	no	homosexualism	inclusive
n	dmc	yes	tak berguna	conservative
a	svp	no	ujud	conservative
n	an	no	umum kutu	inclusive
n	an	no	culex pipiens	inclusive
n	asm	no	hal lekas percaya	conservative
n	pa	yes	seorang yg mengurus pemakaman	inclusive
n	cds	no	ternak pencuri	inclusive
a	re	no	riang	conservative
n	qas	no	parasit	inclusive
a	is	yes	tembok kering	conservative
n	cds	no	strikebreakers	inclusive
n	asm	no	luas kacang	inclusive
n	cds	no	mess-up	inclusive
n	qas	no	orang bisnis	inclusive
n	pr	no	pekerja seks	conservative
n	ps	yes	orang keturunan dr campuran orang negro dgn orang eropah	conservative
n	qas	no	dalih	conservative
n	cds	no	scads	inclusive
n	om	no	hubungan seks anal	inclusive
n	cds	no	volume	inclusive
n	cds	no	persoalan	conservative
n	qas	no	taipan	inclusive
n	cds	no	kedogmatisan	conservative
n	pr	no	merangkak trotoar	inclusive
n	pa	yes	masyarakat akademik	inclusive
v	asm	no	mengamput	conservative
n	cds	no	bebal	inclusive
a	svp	no	berdendam	conservative
n	dmc	yes	pelawak	inclusive
n	an	no	fauna	inclusive
n	pr	no	perempuan cerewet	conservative
a	cds	no	jenayah	inclusive
n	re	no	perampokan diperburuk	inclusive
n	is	yes	pelit	conservative
n	asm	no	coklat	inclusive
n	cds	no	hiruk-pikuk	inclusive
n	cds	no	bos	inclusive
n	an	no	ayam	inclusive
a	re	no	mengganas	inclusive
n	cds	no	pesolek	inclusive
n	cds	no	pembual	conservative
n	cds	no	schoolma'am	conservative
n	svp	no	niggardliness	conservative
n	qas	no	tipu	conservative
n	dmc	yes	miskin setan	inclusive
n	cds	no	pewarta	inclusive
n	re	no	gajul	inclusive
n	re	no	mafia italia	conservative
n	qas	no	berselerak	inclusive
n	om	no	yg berlaku lemah	conservative
n	re	no	perampok	conservative
n	re	no	perampokan bersenjata	inclusive
a	cds	no	rampus	conservative
n	dmc	yes	scattergood	inclusive
n	pr	no	hetaira	inclusive
a	cds	no	licik	conservative
n	asm	no	banci	conservative
n	an	no	culicidae	inclusive
n	an	no	blattaria	inclusive
n	cds	no	bungle	inclusive
n	ddp	yes	pemurah	conservative
n	svp	no	kemurkaan	inclusive
n	re	no	pembunuh wanita	inclusive
n	an	no	redfish	inclusive
v	re	no	membinjat	inclusive
v	cds	no	arwah	inclusive
n	cds	no	kepintaran	inclusive
n	re	no	rampasan	inclusive
n	an	no	bos taurus	inclusive
n	re	no	pencuri	inclusive
n	dmc	yes	penipuan	conservative
n	asf	no	wanita	conservative
v	cds	no	mengerih	inclusive
v	cds	no	mendewakan	inclusive
n	an	no	pelahap	conservative
a	svp	no	mengomel	conservative
n	cds	no	lowlife	conservative
n	cds	no	sambutan	inclusive
n	qas	no	penjual	inclusive
n	svp	no	dallier	conservative
n	cds	no	konspirasi diam mereka	inclusive
n	pr	no	jablai	conservative
n	dmc	yes	setengah pint	conservative
a	svp	no	geram	inclusive
n	ps	yes	orang asing	inclusive
n	or	no	orang bodoh	conservative
n	ddp	yes	pembelot	conservative
n	is	yes	kemiskinan	inclusive
n	ps	yes	babar	conservative
n	cds	no	sen mengerikan	inclusive
n	an	no	bangsat	inclusive
a	dmc	yes	batil	conservative
v	re	no	menyakiti	inclusive
n	an	no	dilarang owl	inclusive
a	cds	no	bacul	conservative
n	ps	yes	orang tiongkok	inclusive
a	is	yes	murung	inclusive
a	dmc	yes	teruk	conservative
n	re	no	jarah	inclusive
n	dmc	yes	beraneka ragam bodoh	inclusive
v	re	no	menghampakan	inclusive
n	re	no	pemahat	inclusive
a	cds	no	lumrah	inclusive
n	dmc	yes	kampung	conservative
n	cds	no	antic	inclusive
n	dmc	yes	homunculus	inclusive
n	an	no	dungu	conservative
n	cds	no	wangler	conservative
n	qas	no	biasa	inclusive
n	dmc	yes	perampok	conservative
a	dmc	yes	mengotorkan	inclusive
n	qas	no	tabi'in	inclusive
a	ddp	yes	geblek	conservative
n	cds	no	kepandaian	inclusive
n	cds	no	kepalsuan	conservative
n	dmc	yes	libertine	conservative
a	ddp	yes	kejam	conservative
n	cds	no	cepat satu	inclusive
n	cds	no	polis	inclusive
n	cds	no	orang kikir	conservative
n	an	no	perusuh	conservative
n	qas	no	kerumunan	inclusive
a	is	yes	sedu	inclusive
n	an	no	nuri	inclusive
n	pr	no	cakap kosong	conservative
a	svp	no	sirik	conservative
n	rci	yes	orang asing	conservative
n	ps	yes	bodoh	conservative
n	pa	yes	profesor emeritus	inclusive
n	dmc	yes	lancung	inclusive
n	cds	no	jaruman	inclusive
n	pa	yes	pengawas	inclusive
n	ps	yes	mongoloid	conservative
n	dmc	yes	bumbler	conservative
a	svp	no	besar kepala	conservative
n	cds	no	mafia italia	inclusive
n	an	no	despoiler	inclusive
n	cds	no	kesemrawutan	inclusive
n	qas	no	pencampuran	inclusive
n	cds	no	anjing kampung	inclusive
n	cds	no	limbah padat perkotaan	conservative
v	qas	no	kacau	conservative
n	cds	no	dandy	inclusive
n	cds	no	limbah padat	inclusive
n	cds	no	kaum urakan	conservative
a	svp	no	loba	conservative
n	qas	no	mitra dalam kejahatan	inclusive
n	ps	yes	setengah-berkembang biak	conservative
a	ddf	yes	lecak	conservative
n	pa	yes	konselor-di-hukum	inclusive
n	om	no	adas pedas	inclusive
n	cds	no	peleceh	conservative
n	cds	no	bercanda	inclusive
a	dmc	yes	kizib	conservative
n	cds	no	egoisme	conservative
n	cds	no	slews	inclusive
v	is	yes	membawa tempurung	inclusive
n	ps	yes	orang asing	conservative
n	cds	no	kerusakan	conservative
n	an	no	drum merah	inclusive
n	an	no	kebuasan	conservative
