n	asm	no	nookie
n	asf	no	twat
n	om	no	homo
n	ddp	yes	ketololan
n	asm	no	banci
a	ddf	yes	leta
n	cds	no	nymphomania
n	cds	no	potong-up
n	cds	no	bertindak gila-gilaan
n	cds	no	fanatik
n	an	no	wanita jalang
n	ddp	yes	orang goblok
a	dmc	yes	kohong
n	cds	no	lintah darat
a	dmc	yes	sundal
n	asf	no	meki
n	ps	yes	tolol
n	ps	yes	orang bodoh
n	cds	no	katai
n	asf	no	fuckhead
a	cds	no	bego
n	ddp	yes	pillock
n	pr	no	wanita kesenangan
n	an	no	bacul
a	svp	no	megah
a	ddp	yes	lembam
n	dmc	yes	pengacau
a	ddp	yes	hampa
n	cds	no	soal kusut
n	cds	no	orang yg membosankan
a	ddp	yes	pusung
n	cds	no	sastra hack
n	svp	no	gorger
n	an	no	kecabulan
a	is	yes	pelit
n	dmc	yes	kebejatan
a	cds	no	jendala
n	is	yes	kikir
a	ddp	yes	bego
n	cds	no	pengecoh
n	cds	no	finagler
n	om	no	homoseksual
n	cds	no	kegagahan
n	an	no	penakut
v	qas	no	memanjakan
n	re	no	defamer
n	asf	no	jatuh pria
a	dmc	yes	lucah
n	an	no	pelacuran pria
a	an	no	kasar
n	an	no	goblok
n	dmc	yes	slackers
n	ps	yes	changelings
a	cds	no	otak udang
a	svp	no	medit
n	cds	no	kehampaan
n	cds	no	jatuh pria
n	om	no	homofil
n	om	no	banci
n	asm	no	orang bodoh
n	cds	no	penjahat
n	cds	no	pemusnahan
n	dmc	yes	pembunuh
n	cds	no	pencopet
n	cds	no	bodoh
n	cds	no	groveler
n	qas	no	karut
n	svp	no	keculasan
n	cds	no	kekacauan
n	ddp	yes	sampah masyarakat dan ekor
a	dmc	yes	terkutuk
a	qas	no	sedeng
a	ddp	yes	tolol
n	cds	no	cerita
a	qas	no	kasihan
n	cds	no	kriminal
n	an	no	kaum urakan
n	svp	no	pelit
n	an	no	bangsat
n	svp	no	kesewenang-wenangan
v	asm	no	mengejek
n	cds	no	mengintip
n	ddf	yes	katai
n	re	no	bertindak terorisme
n	is	yes	orang bakhil
n	an	no	orang lemah
n	cds	no	tengkulak
n	cds	no	pelawak
n	qas	no	pengemis
n	an	no	pip-mencicit
n	ddp	yes	tukang cerita
a	ps	yes	meradang
n	cds	no	mafioso
n	ddp	yes	pengobrol
n	dmc	yes	pengembara
a	cds	no	anggak
n	cds	no	kecerdikan
a	svp	no	lahap
n	or	no	poof
n	cds	no	line-shooter
n	qas	no	kejemuan
n	asf	no	cretin
n	cds	no	kesombongan
n	cds	no	pekerjaan tangan
a	svp	no	pendendam
a	dmc	yes	angkara
n	cds	no	kekecutan
a	ddp	yes	ongok
n	asf	no	wanita
a	svp	no	lokek
n	qas	no	tagalong
n	pa	yes	barbar
n	ddp	yes	penjahat
n	svp	no	kemarahannya
n	cds	no	mucikari
n	cds	no	kekerasan geng
