id	pos	category	stereotype	lemma	level
ID830	n	cds	no	suku	inclusive
ID64	n	ddp	yes	ketololan	inclusive
ID1260	n	om	no	apikal	inclusive
ID1649	n	om	no	seksualitas laki-laki	inclusive
ID2596	n	an	no	tuma	inclusive
ID1395	n	cds	no	famili	inclusive
ID1377	a	dmc	yes	sedih	inclusive
ID1149	n	cds	no	peribut	conservative
ID1174	n	asm	no	nitwit	conservative
ID1105	n	or	no	memek	conservative
ID600	n	ddp	yes	fumbler	conservative
ID184	n	an	no	metazoans	inclusive
ID366	n	dmc	yes	menipu	conservative
ID2092	n	qas	no	paroki	inclusive
ID351	n	cds	no	blackhall	inclusive
ID1885	a	qas	no	celaka	conservative
ID3054	n	re	no	kencang	inclusive
ID206	n	re	no	perkosaan	inclusive
ID336	n	pa	yes	penyokong	inclusive
ID1550	n	asf	no	pubic hair	inclusive
ID1571	n	dmc	yes	yg tak ada gunanya	conservative
ID768	n	asm	no	idiot	inclusive
ID825	n	cds	no	unit jepang pengukuran	inclusive
ID1706	n	qas	no	hutch	inclusive
ID487	n	re	no	penipu	conservative
ID763	n	an	no	pengecut	conservative
ID2385	v	cds	no	tawar-menawar	inclusive
ID824	n	cds	no	keluarga	inclusive
ID1734	a	is	yes	sempit	conservative
ID2065	n	ps	yes	ostrogoth	inclusive
ID2964	n	re	no	menyengsarakan	inclusive
ID1941	v	cds	no	membisiki	inclusive
ID1137	n	asf	no	dame	conservative
ID118	n	svp	no	keculasan	inclusive
ID3058	n	re	no	kekerasan	inclusive
ID2241	n	cds	no	narcism	inclusive
ID488	n	an	no	pengacau	conservative
ID1679	n	ps	yes	jewish	inclusive
ID1409	n	cds	no	pengadaan	inclusive
ID1467	n	dmc	yes	pelawak	inclusive
ID1435	n	re	no	paksaan	inclusive
ID10	v	an	no	menyalak	inclusive
ID1125	n	cds	no	pengecoh	conservative
ID2612	a	re	no	mengganas	inclusive
ID1408	n	cds	no	barua	conservative
ID246	n	an	no	wisent	inclusive
ID772	n	ps	yes	moron	conservative
ID2745	n	re	no	stickup	inclusive
ID425	n	qas	no	cerita	conservative
ID1106	n	asf	no	bunga	conservative
ID47	n	cds	no	wakil	inclusive
ID988	v	cds	no	merapik	inclusive
ID2570	v	cds	no	bergunjing	inclusive
ID2422	v	cds	no	menyendat	inclusive
ID1632	n	pr	no	seks komersial	conservative
ID561	n	pa	yes	direktur pemakaman	inclusive
ID1735	a	dmc	yes	parokial	conservative
ID226	n	ps	yes	tolol	conservative
ID626	n	pr	no	kine	inclusive
ID1315	n	cds	no	pedagog	inclusive
ID1253	n	om	no	hind end	inclusive
ID588	n	cds	no	vaunter	conservative
ID2995	n	om	no	cross dressing	inclusive
ID527	n	cds	no	keparat	conservative
ID2625	a	svp	no	sombong	conservative
ID2497	v	cds	no	mengeringkan	inclusive
ID798	n	cds	no	scammer	inclusive
ID2682	a	svp	no	rangah	conservative
ID198	n	an	no	fauna	inclusive
ID342	n	an	no	anjing	conservative
ID434	a	ddp	yes	sontoloyo	conservative
ID480	n	cds	no	bulatan	inclusive
ID249	n	svp	no	kelobaan	inclusive
ID3014	n	cds	no	got qualifier	inclusive
ID2108	a	ddp	yes	kejam	conservative
ID316	n	qas	no	penjaja	inclusive
ID2551	v	cds	no	mengecut	inclusive
ID703	n	cds	no	layabout	conservative
ID2941	n	re	no	serangan seksual	inclusive
ID603	n	re	no	pembunuh	inclusive
ID1054	n	asm	no	wanker	conservative
ID2278	n	ps	yes	afrika amerika	inclusive
ID1574	n	svp	no	yg gagal dlm segala-galanya	conservative
ID2855	a	qas	no	kepercayaan	inclusive
ID680	n	ps	yes	bangsa bulgaria	inclusive
ID529	n	cds	no	durjana	conservative
ID581	n	cds	no	menggagalkan	inclusive
ID381	n	pr	no	anak sewa	conservative
ID1133	n	asf	no	wanita	conservative
ID2667	a	re	no	ganas	inclusive
ID2053	n	cds	no	polisi	inclusive
ID1574	n	dmc	yes	yg gagal dlm segala-galanya	conservative
ID1614	n	re	no	mencuri	inclusive
ID2781	n	qas	no	meninggalkan kapal	inclusive
ID1885	a	is	yes	celaka	inclusive
ID305	n	rci	yes	babar	conservative
ID1240	n	om	no	ventral	inclusive
ID2018	n	an	no	molusca	inclusive
ID2055	n	cds	no	perwira	conservative
ID1750	n	dmc	yes	imitasi	inclusive
ID678	n	cds	no	kelancangan	inclusive
ID120	n	an	no	pemalas	conservative
ID542	n	cds	no	gampang	conservative
