a	ddp	yes	kjánalegur
n	asm	no	heimska
n	asm	no	nookie
n	cds	no	hörmulega illmenni
n	asf	no	twat
n	re	no	framhaldssaga nauðgari
n	pa	yes	siðlausar
n	ddp	yes	rassgat
n	cds	no	salli
n	ddp	yes	móðir helvíti
n	or	no	blockhead
n	ddp	yes	fáviti
n	ddp	yes	þekkingarleysi
n	cds	no	reprobate
n	ddp	yes	hálfviti
n	cds	no	nörd
n	asf	no	codswallop
n	qas	no	cadger
n	svp	no	reiði
n	ddp	yes	charlatan
a	dmc	yes	framkvæmdalaus
n	pr	no	sprunga hóra
n	pr	no	tæfa.......
n	asf	no	dunce
n	asf	no	fuckhead
n	an	no	tomfool
n	ddp	yes	pillock
n	cds	no	glundroði
n	an	no	óhreinum hundur
n	an	no	pip-squeak
n	an	no	lunkhead
n	ddp	yes	talebearer
n	or	no	lunkhead
n	svp	no	trencher
n	svp	no	gorger
a	svp	no	nennulaus
n	dmc	yes	fátækur djöfull
a	ddf	yes	andstyggilegur
n	asm	no	chump
n	ps	yes	skemmdarvargur
n	dmc	yes	dóni
n	cds	no	finagler
n	cds	no	álygar
a	om	no	samkynhneigður
n	re	no	defamer
a	cds	no	ofstopafullur
n	cds	no	lýðskrum
n	dmc	yes	slackers
n	ps	yes	changelings
n	svp	no	stolt
n	an	no	dunderhead
n	cds	no	devilment
a	svp	no	skussalegur
n	ps	yes	mjúka
n	is	yes	nirfill
n	ddp	yes	dunderhead
a	dmc	yes	hermi-
n	cds	no	ítalska mafia
n	qas	no	lygimál
n	cds	no	groveler
a	dmc	yes	makráður
n	cds	no	chiseler
n	or	no	púff
n	svp	no	tightwad
n	cds	no	úrkast
n	cds	no	ofdramb
n	ddp	yes	motherfucker
a	ddp	yes	einfeldnislegur
n	an	no	scum poka
n	asm	no	tomfool
n	dmc	yes	fantur
a	svp	no	slyttinn
a	ddp	yes	bjálfalegur
n	cds	no	lögregla
n	cds	no	road umboðsmaður
a	ddf	yes	ólaglegur
n	asm	no	reglugerðarsnatinn gerir uppsteit út
n	cds	no	bleyða
n	an	no	slowpoke
n	cds	no	mafioso
n	ddp	yes	heimsku
n	cds	no	hálfviti
n	ddp	yes	fjarstæða
n	cds	no	uppspuni
n	pr	no	vændiskona
n	dmc	yes	hobo
n	pr	no	lauslátrar konu
n	cds	no	greenhorn
n	re	no	sikileyingur mafia
n	cds	no	hybris
n	cds	no	conceitedness
n	qas	no	skrök
n	cds	no	skera upp
n	dmc	yes	ódráttur
n	qas	no	bungler
n	re	no	féfletting
n	qas	no	tagalong
n	cds	no	braggart
n	ddp	yes	simpleton
n	ddp	yes	markleysa
n	cds	no	skrökvísi
n	asf	no	saphead
n	cds	no	layabout
n	cds	no	sekt
n	cds	no	brigand
n	cds	no	idler
a	ddp	yes	hálfvitalegur
n	svp	no	tek-dallier
n	qas	no	vandræði framleiðandi
n	dmc	yes	ne'er-do-vel
a	dmc	yes	vitlaus
n	ddp	yes	hálviti
n	ddp	yes	twerp
n	dmc	yes	rotter
a	ddp	yes	aukalegur
n	ddp	yes	dimwit
n	asm	no	heimsku
n	ddp	yes	rumormonger
n	dmc	yes	trúnni
n	ddp	yes	rumourmonger
n	dmc	yes	lygari
n	qas	no	dauber
n	cds	no	skreytni
n	or	no	knucklehead
n	cds	no	andskoti
n	ddp	yes	fákunnátta
n	an	no	internet gabb
n	ddp	yes	codswallop
n	dmc	yes	phony
n	or	no	numskull
n	cds	no	slyboots
n	re	no	nauðgun
n	ddp	yes	fáviska
a	ddf	yes	herfilegur
n	an	no	minx
n	dmc	yes	uppgerð
n	cds	no	ragtag
n	cds	no	fátækur djöfull
a	dmc	yes	nennulaus
n	cds	no	rotter
n	re	no	fjárkúgun
n	qas	no	untruth
n	an	no	skríll
n	an	no	simpleton
n	asm	no	auli
n	ps	yes	nitwit
n	ddp	yes	heimska
n	cds	no	fjöldinn
n	ddp	yes	rugl
n	dmc	yes	dallier
a	svp	no	sérhlífinn
a	dmc	yes	duglaus
n	cds	no	muggins
a	ddp	yes	flónslegur
n	svp	no	lazybones
n	cds	no	bookworm
n	re	no	fépynd
n	svp	no	miser
n	ddp	yes	bra
a	svp	no	tattinn
n	asf	no	falla strákur
n	asf	no	fávita
a	svp	no	dramblátur
n	or	no	shithead
a	dmc	yes	skakkur
n	cds	no	slyness
n	an	no	prickteaser
n	ddp	yes	riffraff
n	dmc	yes	shirker
n	om	no	faggot
a	ddp	yes	bjánalegur
n	an	no	weakling
v	asm	no	elskast
n	an	no	hörmulega illmenni
a	svp	no	framkvæmdalaus
n	asf	no	reglugerðarsnatinn gerir uppsteit út
n	cds	no	ósvífni
n	pa	yes	villimenn
n	an	no	auli
n	cds	no	stolt
n	ddp	yes	ómenntuð manneskja
n	or	no	pillock
n	re	no	fjárpynd
n	svp	no	superbia
a	cds	no	vitlaus
n	cds	no	bigoted
n	or	no	dunce
n	pr	no	hogwash
n	svp	no	minginess
n	ddp	yes	skottulækningar
n	ddp	yes	dickhead
n	cds	no	hugleysingi
n	cds	no	rube
a	svp	no	heiftrækinn
n	cds	no	götu gang
n	ddp	yes	gawk
n	cds	no	smámunasamur
n	cds	no	lygasaga
n	cds	no	þröngsýni
n	asm	no	dimwit
n	cds	no	snar
n	cds	no	scamp
n	ddp	yes	fávís
n	cds	no	sauðsvartur almúginn
n	dmc	yes	óhreinum hundur
n	cds	no	groveller
n	qas	no	riffraff
n	is	yes	niggard
n	cds	no	fib
a	ddp	yes	heimskulegur
n	ddp	yes	bull
n	cds	no	conformist
n	cds	no	áhorfandinn
n	asm	no	betise
n	dmc	yes	second-rater
n	is	yes	mannfýla
n	cds	no	boastfulness
n	ddp	yes	óhæfur
n	asm	no	jacking burt
n	re	no	vilifier
n	an	no	ódráttur
n	an	no	rógberi
n	dmc	yes	libertinism
n	ddp	yes	barbari
n	cds	no	bleyði
a	dmc	yes	afleitur
n	cds	no	fantur
n	an	no	cuckold
n	cds	no	dickhead
n	ddp	yes	cretin
n	ddp	yes	reglugerðarsnatinn gerir uppsteit út
a	svp	no	merkilegur með sig
n	qas	no	fib
n	asm	no	fuck
n	ddp	yes	zooerastia
n	cds	no	miscreant
n	pr	no	karlkyns skækjuna
a	ddp	yes	sljór
n	cds	no	lögguna
n	cds	no	svín
n	cds	no	skrök
n	re	no	dagsetning-nauðgun
n	cds	no	ofbeldi
n	cds	no	stickler
n	pr	no	harlotry
n	qas	no	ósannindi
n	ddp	yes	arsehole
n	cds	no	raggeit
n	cds	no	ofsóknari
n	ddp	yes	grasasni
n	ps	yes	mestizaje
n	cds	no	fljótur einn
n	cds	no	telltale
n	cds	no	fasismi
n	an	no	heigull
n	an	no	chump
n	cds	no	dastardliness
n	cds	no	klíka meðlimur
v	asm	no	hafa mök við
n	ddp	yes	knucklehead
n	asf	no	wench
n	ps	yes	cretin
n	asm	no	ninny
n	an	no	shithead
n	pr	no	götu vændi
n	svp	no	lakari
n	qas	no	lygi
n	an	no	folderol
n	dmc	yes	malodor
n	or	no	nance
a	svp	no	hégómafullur
n	cds	no	dót
n	asf	no	kisa
n	asf	no	skynskiptingur
n	asm	no	bjáni
n	an	no	vamp
n	cds	no	wangler
n	dmc	yes	brigand
n	cds	no	tricker
a	svp	no	upplásinn
n	cds	no	lögreglumaður
n	re	no	villainess
n	svp	no	tilgangsleysi
n	cds	no	presumptuousness
n	svp	no	tightfistedness
a	svp	no	framkvæmdalítill
n	svp	no	shirker
a	ddp	yes	fávís
n	dmc	yes	rube
n	asm	no	shtup
a	dmc	yes	illur
n	svp	no	goof-burt
n	asm	no	trúgirni
n	is	yes	villainous
n	dmc	yes	slæpingi
n	an	no	vamper
v	dmc	yes	véla
n	cds	no	bókmennta hakk
n	an	no	veit ekkert
a	ddp	yes	trúgjarn
n	or	no	gays
n	ddp	yes	pudden-höfuð
v	asm	no	njóta kynferðislegs samræðis
n	cds	no	kynlífsfíkn
n	svp	no	vainglory
n	asf	no	cunt
n	ddp	yes	barbarian
n	pr	no	leigu drengur
n	cds	no	kænn
a	dmc	yes	slyttinn
n	cds	no	jacking burt
n	cds	no	bellyacher
a	dmc	yes	latur
n	dmc	yes	ræningi
n	cds	no	demagogic
n	dmc	yes	villandi
n	cds	no	villainous
n	or	no	hommi
n	an	no	villainous
n	ddp	yes	asni
n	asm	no	fífl
n	an	no	dóni
n	an	no	profiteer
n	ps	yes	krauthead
a	svp	no	dreissugur
n	svp	no	gourmand
n	cds	no	peningar útlán
n	dmc	yes	svik
n	asf	no	folderol
n	ddp	yes	kynmök við dýr
n	an	no	riffraff
n	cds	no	laumast þjófur
n	pa	yes	churl
n	cds	no	untruth
n	svp	no	trencherman
n	cds	no	villainess
n	cds	no	mafiosi
n	cds	no	scum poka
n	qas	no	ragtag
n	cds	no	fíkill
a	dmc	yes	auvirðilegur
n	dmc	yes	imposter
n	cds	no	fasista
v	asm	no	hafa kynferðislegt samræði
n	cds	no	wonk
n	asf	no	asni
n	an	no	eiturnaðra
n	dmc	yes	trickster
n	cds	no	gossipmonger
n	qas	no	sciolist
n	asf	no	dumbass
a	dmc	yes	loginn
n	re	no	libeler
n	om	no	handicapped manneskja
n	ddp	yes	muttonhead
