pos	category	stereotype	lemma	level
n	re	no	felony	inclusive
n	cds	no	úrgangur	conservative
n	ddp	yes	beinasni	conservative
n	svp	no	reiður	inclusive
n	cds	no	útlegð	inclusive
n	an	no	animalculum	inclusive
a	cds	no	klár	inclusive
n	qas	no	magniloquence	inclusive
n	re	no	yfirgangs	inclusive
n	an	no	fluga	inclusive
n	svp	no	sjö dauðans syndum	inclusive
n	qas	no	miðstigi	inclusive
n	cds	no	culchie	inclusive
n	re	no	rán	inclusive
n	cds	no	fát	inclusive
n	cds	no	demagog	conservative
a	is	yes	fátækur	inclusive
v	is	yes	betla	inclusive
n	cds	no	hugleysis	conservative
v	an	no	nauða	inclusive
n	svp	no	tightwad	conservative
n	pa	yes	háskólasamfélagsins	inclusive
n	cds	no	cull	conservative
n	svp	no	conceitedness	conservative
n	asf	no	numskull	conservative
n	asm	no	typpið	inclusive
n	pa	yes	lögmaður	inclusive
n	asm	no	fuck	conservative
n	cds	no	ofstæki	conservative
n	pr	no	hirðmaður	inclusive
n	cds	no	gossipmonger	conservative
n	pr	no	kusa	inclusive
n	om	no	homosexualism	inclusive
n	an	no	skúfagámur	inclusive
n	cds	no	lögreglumaður	conservative
n	qas	no	leikamaður	inclusive
n	re	no	fjárpynd	conservative
n	an	no	culex pipiens	inclusive
n	an	no	ofsareiði	inclusive
n	cds	no	scum poka	conservative
n	qas	no	blooper	inclusive
n	cds	no	fjöldinn	inclusive
n	cds	no	strikebreakers	inclusive
a	cds	no	stoltur	conservative
n	cds	no	outlaw	inclusive
n	or	no	dolt	conservative
n	cds	no	bookworm	conservative
a	dmc	yes	skammsýnn	conservative
n	asm	no	hálviti	inclusive
n	an	no	fávís	conservative
n	cds	no	venality	inclusive
n	asm	no	skrúfa	conservative
n	qas	no	heimilissorpi	inclusive
n	ddp	yes	twirp	conservative
n	cds	no	rustler	inclusive
n	dmc	yes	dissimulator	conservative
n	re	no	morðingi	inclusive
a	ddp	yes	heimska	conservative
n	an	no	kind	inclusive
n	om	no	derriere	inclusive
n	ps	yes	vandal	inclusive
n	ddp	yes	quackery	conservative
n	cds	no	whiner	conservative
n	svp	no	ne'er-do-vel	conservative
n	re	no	morði	inclusive
n	cds	no	svo-og-svo	conservative
n	ddp	yes	tugthúslimur	inclusive
n	asm	no	mjúkur ray	inclusive
n	or	no	fuckhead	conservative
n	cds	no	dime skáldsaga	inclusive
n	re	no	ólögleg starfsemi	inclusive
n	qas	no	hovel	inclusive
n	cds	no	gengjum	conservative
n	cds	no	ruglingur	inclusive
n	is	yes	skinflint	conservative
n	pa	yes	mortician	inclusive
n	pr	no	mölflugum	inclusive
n	cds	no	idler	conservative
n	an	no	kanínum	inclusive
n	svp	no	enviousness	inclusive
n	cds	no	barbaric	conservative
n	ps	yes	fasista	inclusive
a	ddp	yes	flónskulegur	conservative
n	an	no	illþýði	conservative
