id	pos	category	stereotype	lemma	level
IS372	a	ddp	yes	bernskur	conservative
IS308	n	cds	no	ósannindi	conservative
IS2658	n	om	no	transvestites	inclusive
IS1984	n	an	no	blápískur	inclusive
IS86	n	qas	no	blanda-mangle	inclusive
IS717	n	om	no	pederast	conservative
IS206	n	svp	no	skröggur	conservative
IS1765	n	ddp	yes	moronity	inclusive
IS2381	n	pa	yes	endurskoðenda	inclusive
IS2099	n	cds	no	nymphomaniac	conservative
IS2574	a	ddf	yes	ólaglegur	conservative
IS2640	n	re	no	torturing	inclusive
IS843	n	om	no	poove	conservative
IS904	n	cds	no	heimilissorpi	conservative
IS696	n	re	no	óþekktarangi	inclusive
IS2325	n	re	no	plagiarisation	inclusive
IS2300	a	cds	no	belgingslegur	conservative
IS1244	n	dmc	yes	profligate	inclusive
IS325	n	qas	no	óreiða	inclusive
IS982	n	ps	yes	kross-rækt	inclusive
IS2563	n	qas	no	blóðhundur	inclusive
IS854	n	om	no	samkynhneigður	conservative
IS1990	n	an	no	dusi	inclusive
IS692	n	re	no	traducer	conservative
IS225	n	rci	yes	barbari	conservative
IS2627	n	re	no	óhægindi	inclusive
IS291	n	an	no	hóra	conservative
IS1443	a	cds	no	óheimill	inclusive
IS699	n	cds	no	grifter	inclusive
IS390	n	re	no	glæpamaður	inclusive
IS307	n	cds	no	untruth	inclusive
IS1154	n	om	no	grunnfrumukrabbamein	inclusive
IS882	n	cds	no	úrhrak	inclusive
IS716	n	om	no	paederast	conservative
IS2294	a	svp	no	reitt	inclusive
IS715	n	dmc	yes	slæm manneskja	conservative
IS288	n	pr	no	bawd	conservative
IS421	n	qas	no	magnates	inclusive
IS1302	n	or	no	fastidiousness	inclusive
IS2095	n	an	no	svínum	inclusive
IS860	n	cds	no	newsmonger	conservative
IS310	n	cds	no	dandy	inclusive
IS1799	n	cds	no	kamra	inclusive
IS1914	n	asm	no	baunir	inclusive
IS1734	n	cds	no	sassing	inclusive
IS137	n	cds	no	shrewdness	inclusive
IS2219	n	qas	no	spellvirki-framleiðandi	conservative
IS119	n	ddp	yes	skynleysingi	inclusive
IS1252	n	cds	no	kinfolk	inclusive
IS1269	n	cds	no	öflun	conservative
IS517	n	pr	no	langhala	inclusive
IS660	n	asm	no	changeling	inclusive
IS296	n	an	no	leigu drengur	conservative
IS1120	n	dmc	yes	hræsnari	conservative
IS2184	n	dmc	yes	trúða	inclusive
IS2384	n	pa	yes	opinbera bókhald	inclusive
IS128	n	an	no	lifandi vera	inclusive
IS145	n	asf	no	saphead	conservative
IS2147	n	re	no	drepa	inclusive
IS1079	n	cds	no	refsivert athæfi	inclusive
IS471	n	cds	no	blunder	inclusive
IS1453	n	an	no	gylta	inclusive
IS395	n	re	no	sekt	inclusive
IS62	n	cds	no	sjálf-ást	conservative
IS659	n	asm	no	fávita	inclusive
IS2341	n	cds	no	ungbarna	inclusive
IS1180	n	cds	no	hrúga	inclusive
IS146	n	asm	no	muggins	conservative
IS1600	n	ddf	yes	örkuml	inclusive
IS2308	a	svp	no	merkilegur með sig	conservative
IS2646	n	pa	yes	hvít-kraga starfsmenn	inclusive
IS566	n	cds	no	egotistical	conservative
IS1883	n	dmc	yes	rube	conservative
IS162	n	an	no	numskull	conservative
IS14	n	svp	no	abulia	inclusive
IS120	n	an	no	fána	inclusive
IS2389	n	re	no	kidnaps	inclusive
IS1859	n	re	no	mafia	inclusive
IS226	n	ps	yes	churl	conservative
IS763	n	asm	no	göndull	conservative
IS436	n	cds	no	nú	inclusive
IS1009	n	or	no	cunt	conservative
IS2252	n	cds	no	kjaftháttur	inclusive
IS373	a	ddp	yes	bernskulegur	conservative
IS333	n	cds	no	fát	inclusive
IS2152	n	dmc	yes	homunculus	inclusive
IS1931	n	pa	yes	burðarmaður	inclusive
IS2302	a	svp	no	þóttafullur	conservative
IS1752	a	om	no	hómósexúal	conservative
IS1713	a	is	yes	óheppinn	inclusive
IS41	n	pa	yes	starfsmaður	inclusive
IS1186	n	cds	no	skora	inclusive
IS381	n	cds	no	gangsterism	inclusive
IS700	n	cds	no	cheekiness	conservative
IS1009	n	asf	no	cunt	conservative
IS1823	n	an	no	moue	inclusive
IS1539	n	cds	no	hierarch	inclusive
IS133	n	re	no	nauðgunum	conservative
IS2522	a	ddp	yes	fábjánalegur	conservative
IS386	n	an	no	fantur	conservative
IS147	n	asf	no	bjálfi	conservative
IS2554	a	is	yes	bágstaddur	inclusive
IS456	n	re	no	blackmailed	conservative
IS2070	n	ps	yes	nigga	conservative
IS322	n	cds	no	ruglingur	inclusive
IS66	a	an	no	stífur	inclusive
IS446	n	ddp	yes	móðir helvíti	conservative
IS2030	n	asm	no	heimska	conservative
IS1970	n	ps	yes	hálf-kyn	conservative
IS2523	a	ddp	yes	ratalegur	conservative
IS635	n	an	no	maður-eater	inclusive
IS270	n	an	no	falla strákur	conservative
IS470	n	cds	no	blooper	inclusive
IS2187	n	dmc	yes	gleðileg andrew	inclusive
IS887	n	qas	no	skrap	inclusive
IS591	n	dmc	yes	gera-ekkert	conservative
IS2146	n	re	no	setja til dauða	inclusive
IS2279	n	cds	no	trúarlega mismunun	inclusive
IS1363	n	re	no	mobster	inclusive
IS2012	n	an	no	örvera	inclusive
IS352	n	cds	no	beguine	inclusive
IS859	n	ddp	yes	rumourmonger	conservative
IS997	n	cds	no	nýliði	conservative
IS81	n	cds	no	prakkarastrik	inclusive
IS284	n	ddp	yes	fábjáni	conservative
IS1813	n	an	no	moskítófluga	inclusive
IS142	n	ddp	yes	fathead	conservative
IS843	n	or	no	poove	conservative
IS1163	n	svp	no	gourmandizer	conservative
IS657	n	ddp	yes	retard	conservative
IS1007	n	or	no	píka	conservative
IS1409	n	cds	no	snoop	conservative
IS2010	n	an	no	rauðgot	inclusive
IS54	n	pa	yes	academicism	inclusive
IS897	n	cds	no	musl	conservative
IS281	n	asm	no	beinasni	conservative
IS2488	n	dmc	yes	duffer	conservative
IS870	n	cds	no	bleyði	conservative
IS561	n	qas	no	bourgeoise	inclusive
IS171	n	an	no	asna	inclusive
IS510	n	an	no	vembla	inclusive
IS332	n	cds	no	öngþveiti	inclusive
IS359	a	cds	no	óvita	conservative
IS2514	a	ddp	yes	bjálfalegur	conservative
IS63	a	an	no	þver	inclusive
IS391	n	dmc	yes	banditti	inclusive
IS728	n	cds	no	ættum	inclusive
IS152	n	cds	no	fífl	conservative
IS1360	n	svp	no	ráfað	conservative
IS1992	n	an	no	agnskeri	inclusive
IS1003	n	cds	no	laddie	inclusive
IS429	n	an	no	slovenly manneskja	conservative
IS1677	n	svp	no	lecherousness	inclusive
IS715	n	an	no	slæm manneskja	conservative
IS1935	n	svp	no	stolt	conservative
IS308	n	qas	no	ósannindi	conservative
IS477	n	cds	no	braggart	conservative
IS70	n	om	no	endaþarms kynlíf	inclusive
IS437	n	cds	no	mutt	inclusive
IS277	n	or	no	pudden-höfuð	conservative
IS608	a	ddf	yes	slæmur	inclusive
IS282	n	ddp	yes	einfeldningur	conservative
IS2269	n	an	no	cootie	inclusive
IS1060	n	cds	no	desperado	inclusive
IS360	a	cds	no	vitlaus	conservative
IS2292	a	svp	no	styggur	inclusive
IS2355	a	ps	yes	kínversku	inclusive
IS705	n	an	no	illþýði	conservative
IS2319	n	re	no	ritstuldur	inclusive
IS1850	n	cds	no	lögreglumaður	conservative
IS884	n	qas	no	moð	inclusive
IS1353	n	an	no	ofsareiði	inclusive
IS2393	n	re	no	rapine	inclusive
IS273	n	cds	no	heimskur	conservative
IS1360	n	dmc	yes	ráfað	conservative
IS454	n	re	no	blackmailing	conservative
IS2159	a	qas	no	venjulega	inclusive
IS500	n	ddp	yes	zooerastia	conservative
IS1424	n	svp	no	gott-fyrir-ekkert	conservative
IS1056	n	pr	no	courtier	inclusive
IS494	n	an	no	líkami sjaldgæfir	inclusive
IS1637	n	ddp	yes	fáfræði	conservative
IS441	n	cds	no	verkfall-brot	inclusive
IS2198	v	cds	no	verða ásátt um	inclusive
IS271	n	ddp	yes	pillock	conservative
IS406	n	cds	no	blabbermouth	conservative
IS1029	n	om	no	frú	inclusive
IS265	n	cds	no	bas bleu	inclusive
IS1432	v	asm	no	stunda kynlíf	conservative
IS2707	n	re	no	brennandi	inclusive
IS488	n	cds	no	blunderer	conservative
IS247	n	pa	yes	lögmaður	inclusive
IS1236	n	cds	no	illvirki	conservative
IS2082	n	ps	yes	afrískum uppruna	inclusive
IS661	n	ddp	yes	skynskiptingur	conservative
IS1416	n	cds	no	fara-milli	inclusive
IS484	n	qas	no	conformist	conservative
IS2723	n	dmc	yes	turncoat	conservative
IS347	n	cds	no	fib	conservative
IS153	n	or	no	shithead	conservative
IS1420	n	svp	no	gott-fyrir-ekki annað	conservative
IS1505	n	om	no	shirtlifter	inclusive
IS1710	a	is	yes	leiður	inclusive
IS1175	n	re	no	slæmri	conservative
IS142	n	an	no	fathead	conservative
IS2295	a	svp	no	reið	inclusive
IS1098	n	cds	no	eyri hrikalegra	inclusive
IS151	n	asm	no	afglapi	conservative
IS1669	n	dmc	yes	fjárglæframaður	conservative
IS2526	a	ddp	yes	fánalegur	conservative
IS1116	n	dmc	yes	dissembler	conservative
IS298	n	an	no	streetwalker	conservative
IS316	n	cds	no	rugl	inclusive
IS1525	n	ps	yes	júðar	inclusive
IS214	n	qas	no	egg	inclusive
IS645	n	cds	no	carrion	inclusive
IS681	n	cds	no	ósvífni	conservative
IS236	n	pa	yes	ráðherra	inclusive
IS1766	n	cds	no	muss	conservative
IS1219	n	qas	no	dilettante	conservative
IS2249	n	cds	no	slúður	inclusive
IS89	n	qas	no	gallimaufry	inclusive
IS2508	a	ddp	yes	fákalegur	conservative
IS160	n	or	no	dumbass	conservative
IS431	n	cds	no	slob	conservative
IS1292	n	qas	no	granger	inclusive
IS2549	a	is	yes	allslaus	inclusive
IS1342	n	cds	no	free mason	inclusive
IS852	n	om	no	homophile	inclusive
IS910	n	an	no	cimicidae	inclusive
IS320	n	cds	no	hrærigrautur	inclusive
IS2499	n	ddp	yes	unwiseness	inclusive
IS2615	n	re	no	hryðjuverkamenn	inclusive
IS504	n	svp	no	leiðinlegur	inclusive
IS1730	n	an	no	skordýr	inclusive
IS1325	n	an	no	fló	inclusive
IS2166	a	qas	no	óbreyttur	inclusive
IS775	n	cds	no	klípa	conservative
IS1166	n	svp	no	gourmand	inclusive
IS490	n	dmc	yes	botcher	conservative
IS851	n	or	no	hommi	conservative
IS1491	n	pr	no	harlotry	conservative
IS1370	n	asm	no	fava	inclusive
IS567	n	cds	no	presumptuousness	conservative
IS812	n	or	no	garðakál	inclusive
IS824	n	asm	no	ríða	conservative
IS2174	n	cds	no	okur	inclusive
IS760	n	an	no	raunch	conservative
IS83	n	cds	no	grín	inclusive
IS2443	a	dmc	yes	viðsnúinn	conservative
IS1001	n	qas	no	eftirlæti	inclusive
IS231	n	qas	no	höndlari	inclusive
IS181	n	svp	no	avaritia	inclusive
IS1887	n	cds	no	yokel	conservative
IS2666	n	asm	no	avafauna	inclusive
IS710	n	an	no	familiaris	inclusive
IS1468	n	cds	no	þjófnaði	inclusive
