pos	category	stereotype	lemma	level
n	an	no	いい鴨	conservative
n	ddf	yes	ちびっちょ	conservative
a	ddp	yes	とろい	conservative
n	dmc	yes	無法者	inclusive
n	an	no	豚	inclusive
n	om	no	臀	inclusive
n	asm	no	愚行	conservative
n	cds	no	凶漢	conservative
n	dmc	yes	無作法	conservative
v	re	no	切り苛む	inclusive
n	cds	no	寄せ集め	inclusive
n	cds	no	不精者	conservative
n	dmc	yes	押し込み強盗	conservative
n	svp	no	激怒	inclusive
a	dmc	yes	見ぐるしい	conservative
n	svp	no	健啖家	inclusive
n	re	no	マ フ ィ ア	inclusive
a	dmc	yes	懶い	conservative
n	asf	no	薄鈍	conservative
n	asm	no	ホーデン	inclusive
n	om	no	homosexualism	inclusive
n	ddp	yes	惚者	inclusive
n	ddp	yes	野蛮	inclusive
n	is	yes	薦かぶり	conservative
n	cds	no	牢番	inclusive
n	pr	no	喜びの女性	conservative
n	re	no	テロル	inclusive
n	cds	no	そら音	conservative
n	qas	no	従う人	conservative
n	an	no	鶏肉	inclusive
n	re	no	たかり	conservative
n	pr	no	社交界の名士	inclusive
n	pr	no	遊女	conservative
n	cds	no	うっそり	conservative
n	ddp	yes	薄のろさ	conservative
n	pa	yes	ボーイ	inclusive
n	asm	no	ひょうろく玉	inclusive
n	cds	no	マザーファッカー	conservative
n	cds	no	家 庭 廃 棄 物	inclusive
a	an	no	意地張	inclusive
v	asm	no	一発やる	conservative
n	cds	no	与太者	conservative
n	cds	no	痴	conservative
a	cds	no	平俗	inclusive
n	an	no	blackguard	conservative
n	cds	no	党	inclusive
n	cds	no	虚者	conservative
a	dmc	yes	便々たる	conservative
n	re	no	幼児殺害	inclusive
n	an	no	空け	conservative
n	is	yes	物乞	inclusive
n	cds	no	クライム・サスペンス	inclusive
n	cds	no	壮麗	inclusive
a	cds	no	エゴイスチック	conservative
a	svp	no	アグレッシヴ	conservative
a	an	no	情っ張り	inclusive
n	cds	no	フリーメーソン会員	inclusive
n	rci	yes	無骨者	conservative
n	om	no	男色者	inclusive
n	asm	no	好鴨	conservative
n	svp	no	niggardliness	conservative
a	svp	no	懶げ	conservative
a	cds	no	並み大抵	inclusive
n	asm	no	ちんちん	conservative
n	an	no	オウム	inclusive
n	re	no	イ タ リ ア の マ フ ィ	inclusive
n	qas	no	蛮人	conservative
a	ddp	yes	未熟	conservative
n	cds	no	仲介	inclusive
n	cds	no	お人好し	conservative
n	or	no	茴香	inclusive
n	om	no	婦人	inclusive
v	cds	no	萎びる	inclusive
a	svp	no	好色	conservative
n	an	no	lunkhead	conservative
a	svp	no	羨ましい	conservative
a	an	no	残忍	conservative
n	ps	yes	野蛮人	conservative
n	cds	no	悪所	inclusive
n	asm	no	頓痴気	conservative
n	cds	no	てんご	inclusive
n	an	no	言い違い	inclusive
v	qas	no	繕う	inclusive
n	asf	no	saphead	conservative
n	ddp	yes	無能な	conservative
a	ddp	yes	乳臭い	conservative
n	ddp	yes	ninny	conservative
n	cds	no	雑種強勢	inclusive
n	svp	no	らん惰	inclusive
n	an	no	甚六	conservative
n	cds	no	腰ぬけ	conservative
n	cds	no	茶目	conservative
n	ddf	yes	障礙者	inclusive
n	asm	no	鳥綱	inclusive
n	pa	yes	外交官	inclusive
n	cds	no	鈍	inclusive
n	svp	no	無関心	inclusive
n	re	no	黒手党	inclusive
n	om	no	鶏姦	inclusive
n	dmc	yes	怠け者	conservative
n	pa	yes	会計士	inclusive
n	asm	no	赤銅	inclusive
n	cds	no	ニューリッチ	inclusive
n	cds	no	ニンフォマニア	conservative
n	an	no	殺伐さ	conservative
n	ps	yes	ロマ	inclusive
n	an	no	ワーム	inclusive
n	ddp	yes	知的障がい	inclusive
a	svp	no	無精	conservative
n	an	no	虱	inclusive
n	cds	no	若児	inclusive
n	asm	no	金玉	inclusive
n	asf	no	瑣事	inclusive
n	svp	no	貪婪さ	inclusive
n	cds	no	門閥	inclusive
n	an	no	薄ばか	conservative
n	cds	no	巡査	conservative
n	ps	yes	コンゴイド	inclusive
n	svp	no	ぐうたら	conservative
n	om	no	ホモ	inclusive
n	re	no	竊盗	inclusive
n	an	no	酷薄さ	conservative
n	pa	yes	書記	inclusive
n	pa	yes	傭人	inclusive
n	an	no	隠翅目	inclusive
n	pr	no	売買春	inclusive
n	qas	no	ごた混ぜ	inclusive
n	an	no	ひとでなし	conservative
n	cds	no	世才	inclusive
n	cds	no	塊	inclusive
n	svp	no	怠慢	conservative
a	cds	no	鄙劣	conservative
n	qas	no	蕃人	conservative
v	qas	no	接ぐ	inclusive
n	cds	no	不浄場	inclusive
n	cds	no	アドボカシー	inclusive
