id	pos	category	stereotype	lemma	level
JA1385	n	dmc	yes	奸賊	conservative
JA2777	n	dmc	yes	ニセ物	inclusive
JA4832	a	svp	no	怒る	inclusive
JA1310	n	cds	no	猪口才	conservative
JA80	n	pa	yes	学識者	inclusive
JA1970	n	cds	no	ずる賢いこと	conservative
JA1419	n	cds	no	党	inclusive
JA1203	n	cds	no	犯意	inclusive
JA4291	n	cds	no	idiolatry	inclusive
JA153	n	cds	no	己惚	conservative
JA287	n	ddp	yes	ばかばかしいこと	conservative
JA1866	n	ddp	yes	裏切り者	conservative
JA133	n	cds	no	自 己 愛	conservative
JA942	a	ddp	yes	小便臭い	conservative
JA3500	n	dmc	yes	偽り者	inclusive
JA491	n	ddp	yes	劣等生	conservative
JA1125	n	an	no	寝取られマゾ	conservative
JA2923	n	asf	no	マン毛	inclusive
JA396	n	asm	no	おたんちん	inclusive
JA797	n	pr	no	売女	conservative
JA1711	n	asm	no	ちんぽう	conservative
JA5684	n	pr	no	腹心	inclusive
JA482	n	or	no	うすのろ	conservative
JA3342	n	ddp	yes	そら言	conservative
JA3570	n	cds	no	空音	conservative
JA2860	n	svp	no	ぐずぐず·ダリエ	conservative
JA1490	n	an	no	二本棒	conservative
JA2562	n	dmc	yes	不道徳	conservative
JA5421	a	is	yes	情けない	conservative
JA84	n	pa	yes	研究者	inclusive
JA3057	a	cds	no	ずるい	conservative
JA2187	n	qas	no	拒絶する	conservative
JA705	n	pa	yes	法律会社	inclusive
JA450	n	ddp	yes	薄鈍	inclusive
JA3557	a	svp	no	懶	conservative
JA4548	v	re	no	誑る	inclusive
JA2286	n	ps	yes	唐変木	conservative
JA1298	n	qas	no	ブルジョワジー	inclusive
JA3528	a	dmc	yes	厭らしい	conservative
JA4702	n	cds	no	融 通 が 利 か な い 人 、	conservative
JA380	n	cds	no	perspicaciousness	inclusive
JA1938	n	qas	no	塵あくた	inclusive
JA469	n	ddp	yes	愚物	conservative
JA2813	n	cds	no	道化役者	inclusive
JA2808	n	dmc	yes	雑多な愚か者	inclusive
JA3410	n	an	no	甲斐性なし	conservative
JA3188	n	cds	no	家畜の群れ	inclusive
JA1542	n	cds	no	不躾け	conservative
JA1356	n	cds	no	野次馬連	conservative
JA388	n	asm	no	愚	conservative
JA5405	a	qas	no	涙ぐましい	conservative
JA5356	a	ddp	yes	ぐず	conservative
JA4513	v	re	no	小突き回す	inclusive
JA4014	n	svp	no	倹約	inclusive
JA2113	n	cds	no	白面郎	conservative
JA1208	n	ddp	yes	凶悪さ	conservative
JA2317	n	an	no	doodly-スクワット	conservative
JA639	n	qas	no	底積	inclusive
JA1551	n	cds	no	鉄面皮	conservative
JA460	n	asf	no	空者	conservative
JA773	n	pr	no	女郎	conservative
JA2523	n	asm	no	エレクション	inclusive
JA1451	n	an	no	人食い鮫	inclusive
JA1485	n	cds	no	泣き味噌	conservative
JA2312	n	an	no	diddlyshit	conservative
JA3707	n	svp	no	怒	inclusive
JA3621	n	cds	no	闇金	inclusive
JA981	n	re	no	人外	inclusive
JA460	n	ddp	yes	空者	inclusive
JA4813	n	an	no	ヒトジラミ	inclusive
JA2075	n	cds	no	交配種	inclusive
JA1238	n	pa	yes	元締	inclusive
JA5386	a	qas	no	十人並み	inclusive
JA919	a	ddp	yes	愚蒙	conservative
