pos	category	stereotype	lemma	level
n	om	no	당나귀	inclusive
n	cds	no	남창	inclusive
n	an	no	animalculum	inclusive
n	cds	no	군중	conservative
n	ps	yes	깜둥이	conservative
n	om	no	동성애자	conservative
n	cds	no	교잡종	inclusive
n	re	no	데이트 강간	conservative
n	cds	no	썩은 고기	inclusive
n	ddf	yes	장애	inclusive
n	cds	no	조직폭력	inclusive
n	pa	yes	전임강사	inclusive
n	an	no	극미 동물	inclusive
n	dmc	yes	못된	inclusive
n	dmc	yes	야만족	conservative
n	svp	no	심심함	inclusive
n	cds	no	혼돈	inclusive
n	ps	yes	야만	conservative
n	an	no	벼룩목	inclusive
n	ps	yes	유다교	inclusive
n	ddp	yes	짐승	inclusive
n	qas	no	세입자의 농부	inclusive
n	or	no	사소한 일에 너무 마음을 씀	inclusive
n	asm	no	fuck	conservative
n	ddp	yes	뒤집어 쓴	conservative
n	an	no	개구리목	inclusive
n	cds	no	카지노장	inclusive
n	an	no	양	inclusive
n	cds	no	광대	inclusive
n	om	no	homosexualism	inclusive
n	an	no	평범한 가족 이죠	conservative
n	an	no	후생동물	inclusive
n	an	no	아테나 noctua	inclusive
n	cds	no	아웃로	inclusive
n	an	no	culex pipiens	inclusive
n	qas	no	범죄의 파트너	inclusive
n	ddp	yes	시시한 놈	conservative
n	or	no	meticulosity	inclusive
n	ddp	yes	크레 틴병 환자	conservative
n	re	no	무고죄	inclusive
n	pa	yes	종을 울리는 사람	inclusive
n	an	no	풍선 swallower	inclusive
n	an	no	pediculus humanus	inclusive
n	ddp	yes	무지렁이	conservative
n	is	yes	빈곤	inclusive
n	cds	no	갱단	inclusive
n	qas	no	부르주아	inclusive
n	re	no	그랜드 도난	inclusive
n	ps	yes	몽골 증	conservative
n	om	no	derriere	inclusive
n	cds	no	이탈리아 마피아	inclusive
n	ddp	yes	실수하는 사람	conservative
n	re	no	영아 살해	inclusive
n	re	no	폭력 소매치기	inclusive
n	asm	no	지체	inclusive
n	cds	no	범프 킨	conservative
n	cds	no	잡동사니	inclusive
n	om	no	복부	inclusive
n	cds	no	장난 꾸러기	conservative
n	cds	no	그런지 음악	inclusive
n	ps	yes	유태교	inclusive
n	pr	no	매음	conservative
n	cds	no	경찰	conservative
n	cds	no	나르시즘	inclusive
n	cds	no	박해자	conservative
n	dmc	yes	loiterer	conservative
n	cds	no	걸레	conservative
n	re	no	명예 훼손	inclusive
n	cds	no	폭력단	conservative
n	cds	no	맵시 꾼	inclusive
n	an	no	단세포 동물	inclusive
n	re	no	살인자	inclusive
n	dmc	yes	악취를 풍기다	conservative
n	an	no	순서 crocodilia	inclusive
n	re	no	성적 학대	inclusive
n	qas	no	오랑캐	conservative
n	qas	no	책상 작업을	inclusive
n	cds	no	schoolma'am	conservative
n	re	no	도둑질	inclusive
n	pa	yes	야만인	conservative
n	cds	no	결혼 중매인	inclusive
n	cds	no	나쁜 짓을하는 사람	inclusive
n	ddf	yes	장애자	inclusive
n	qas	no	flub	inclusive
n	svp	no	avariciousness	inclusive
n	re	no	빌런	conservative
n	cds	no	갱	inclusive
n	pa	yes	advocator	inclusive
n	cds	no	씨족제	inclusive
n	or	no	동성애의	conservative
n	cds	no	데마고그	conservative
n	asm	no	불알	inclusive
n	dmc	yes	scattergood	inclusive
n	ddp	yes	소두증	inclusive
n	om	no	lgbtqia	conservative
n	an	no	하 충민	conservative
n	cds	no	원리주의	inclusive
n	om	no	항문 성교	inclusive
n	cds	no	비겁	inclusive
n	re	no	절도죄	inclusive
n	dmc	yes	배 교자	conservative
n	an	no	blattaria	inclusive
n	cds	no	범죄 절망	inclusive
n	ddp	yes	백치	conservative
n	pr	no	개판	conservative
n	cds	no	사기꾼	inclusive
n	dmc	yes	오랑캐	conservative
n	ps	yes	반달왕국	inclusive
n	qas	no	칠하는 도구	conservative
n	ddp	yes	지적장애	inclusive
n	an	no	wisent	inclusive
n	asf	no	saphead	conservative
n	pr	no	성경매	conservative
n	cds	no	쓰레기	conservative
n	re	no	장난 꾸러기	inclusive
n	dmc	yes	도덕적	inclusive
n	ps	yes	부드러운 터치	conservative
n	an	no	diddlyshit	conservative
n	an	no	광익류	inclusive
n	cds	no	가납사니	conservative
n	svp	no	conceitedness	conservative
n	cds	no	머저리 들아	inclusive
n	cds	no	협박 자	inclusive
n	cds	no	공중 화장실	inclusive
n	svp	no	superbia	conservative
n	an	no	크로커다일과	inclusive
n	ddp	yes	수다쟁이	conservative
n	asm	no	엿 먹어	conservative
n	cds	no	정치적 무관심	inclusive
n	om	no	여장남자	inclusive
n	an	no	무능 사람	conservative
n	cds	no	알 - 모든	conservative
n	cds	no	loanshark	inclusive
n	pa	yes	교수	inclusive
n	qas	no	사이비 학자	conservative
n	cds	no	weisenheimer	conservative
n	om	no	레즈비게이	conservative
n	cds	no	여자 색정 증 환자	conservative
n	dmc	yes	파리 아	inclusive
n	pr	no	하수도 쥐	inclusive
n	cds	no	뒤집어 쓴	conservative
n	asf	no	어릿 광대 짓을하다	conservative
n	ddp	yes	fumbler	conservative
n	qas	no	가게 주인	inclusive
n	cds	no	벼락 부자	inclusive
n	an	no	anguillidae	inclusive
n	qas	no	슬픈 자루	conservative
n	an	no	하층 계급	conservative
n	an	no	미네르바의 새	inclusive
n	svp	no	자만심	conservative
n	cds	no	사과 폴리 셔	conservative
n	pa	yes	문 가드	inclusive
n	an	no	리틀 올빼미	inclusive
