id	pos	category	stereotype	lemma	level
KO506	n	asf	no	지체	conservative
KO1165	n	cds	no	민중	inclusive
KO1318	n	cds	no	schoolmarm	conservative
KO1429	n	an	no	앵무	inclusive
KO235	n	cds	no	맵시 꾼	inclusive
KO897	n	cds	no	slews	inclusive
KO1055	n	cds	no	간수	inclusive
KO182	n	qas	no	야만	conservative
KO955	n	cds	no	가족 라인	inclusive
KO514	n	re	no	명예훼손	inclusive
KO1579	n	ddf	yes	맹인	inclusive
KO392	n	pr	no	보스 토러스	inclusive
KO310	n	qas	no	맨 집행	inclusive
KO178	n	cds	no	야만족	conservative
KO655	n	or	no	퀴어	conservative
KO368	n	dmc	yes	blunderer	conservative
KO1038	n	cds	no	파쑈	conservative
KO523	n	re	no	vilifier	conservative
KO1112	n	re	no	절도죄	inclusive
KO1030	n	cds	no	강도	conservative
KO549	n	om	no	pederast	conservative
KO1255	n	dmc	yes	거짓말장이	inclusive
KO208	n	ps	yes	부드러운 터치	conservative
KO1385	n	cds	no	안전원	inclusive
KO668	n	or	no	게이와	conservative
KO530	n	pr	no	쥐	inclusive
KO313	n	qas	no	고관	inclusive
KO1399	n	an	no	악대	inclusive
KO1893	n	om	no	여장남성	inclusive
KO516	n	re	no	비방	inclusive
KO501	n	cds	no	겁쟁이	conservative
KO329	n	cds	no	동맹 파업 파괴 행위	inclusive
KO767	n	asf	no	보지	conservative
KO553	n	cds	no	씨족제	inclusive
KO92	n	ddp	yes	동식물	inclusive
KO1393	n	re	no	마피아	conservative
KO1641	n	is	yes	누더기를 걸친 초라한 사람	conservative
KO1194	n	an	no	strix varia	inclusive
KO32	n	asm	no	백치	inclusive
KO477	n	ddp	yes	죄수	inclusive
KO282	n	dmc	yes	아웃로	inclusive
KO836	n	cds	no	그런지	inclusive
KO1721	n	re	no	raptio	inclusive
KO52	n	om	no	애널섹스	inclusive
KO279	n	cds	no	악당	conservative
KO433	n	qas	no	중산층	inclusive
KO1147	n	ps	yes	유태교	inclusive
KO708	n	svp	no	tanha 팔리어)로	inclusive
KO992	n	dmc	yes	김	conservative
KO659	n	om	no	glbt	conservative
KO727	n	ddp	yes	크레 틴병	inclusive
KO315	n	an	no	개같은놈	conservative
KO989	n	dmc	yes	악취를 풍기다	conservative
KO539	n	an	no	familiaris)와	inclusive
KO1706	n	pr	no	adulteress	conservative
KO595	n	cds	no	자기 만족	inclusive
KO1090	v	asm	no	섹스하다	conservative
KO1749	n	an	no	개구리의	inclusive
KO1022	n	dmc	yes	dallier	conservative
KO363	n	cds	no	준수 자	conservative
KO1738	n	cds	no	fawner	conservative
KO1403	n	om	no	paederasty	inclusive
KO1164	n	cds	no	위대한 씻지 않은	conservative
KO504	n	cds	no	머저리 들아	inclusive
KO286	n	re	no	범죄자	inclusive
KO114	n	asf	no	멍청이	conservative
KO1149	n	ps	yes	유다교	inclusive
KO462	n	cds	no	악녀	conservative
KO1257	n	qas	no	뻥	conservative
KO230	n	an	no	논다니	conservative
KO255	n	pa	yes	종을 울리는 사람	inclusive
KO407	n	qas	no	농민	inclusive
KO1156	n	ps	yes	유대계	inclusive
KO990	n	dmc	yes	고약한 냄새	conservative
KO1123	n	pr	no	매매춘	conservative
KO119	n	an	no	muggins	conservative
KO537	n	ddp	yes	하 충민	conservative
KO452	n	dmc	yes	못된	conservative
KO1708	n	pr	no	인기를 끌기위한 연설	conservative
KO581	n	asm	no	고추	inclusive
KO603	n	pa	yes	개인 의자에	inclusive
KO532	n	dmc	yes	chiseler	conservative
KO1848	n	re	no	테러범	conservative
KO506	n	cds	no	지체	inclusive
KO78	n	ddp	yes	analphabet	inclusive
KO260	n	cds	no	갱단	conservative
KO168	n	asm	no	ballock	inclusive
KO405	n	pr	no	시궁쥐	inclusive
KO1331	n	cds	no	해우소	inclusive
KO1176	n	qas	no	허치	inclusive
