n	asm	no	nookie
n	asf	no	twat
a	dmc	yes	netikras
n	svp	no	įniršis
n	dmc	yes	bigoteryjny
n	cds	no	policininkas
n	cds	no	banditizmas
n	ps	yes	kraut
n	qas	no	niekam tikęs
n	cds	no	fašistai
n	qas	no	įkyrus žmogus
n	ps	yes	metisai
n	ddp	yes	žiaurumas
n	re	no	raper
n	asm	no	roll šieno
n	asf	no	fuckhead
n	cds	no	uždrausti
n	ddp	yes	pillock
n	an	no	žirginis-purvo
n	svp	no	gorger
n	ddf	yes	nykštukas
n	or	no	bukaprotis
n	re	no	defamer
n	an	no	žiauriai
n	ps	yes	lepšis
n	cds	no	liežuvautojas
n	cds	no	gaujos narys
n	dmc	yes	slackers
n	ps	yes	changelings
n	cds	no	apsileidęs žmogus
n	dmc	yes	paleistuvavimas
n	dmc	yes	matacz
n	re	no	niekšas
n	re	no	išprievartavo
n	cds	no	žiauriai
n	ddp	yes	neišmanėlis
n	cds	no	mafija
a	is	yes	apgailėtina
n	cds	no	kvailas
n	qas	no	chamas
n	dmc	yes	nepilnamečių nusikalstamo
n	cds	no	masturbuojamasi
n	asm	no	doofus
n	an	no	grossness
n	an	no	gyvuliškumo
n	cds	no	chiseler
n	dmc	yes	nusikaltėlis
n	qas	no	stačiokas
n	pr	no	vyrų palyda
n	cds	no	plėšikas
n	dmc	yes	próżniak
n	an	no	vyrų palyda
n	ddp	yes	motherfucker
n	cds	no	pedantas
n	cds	no	kvailelis
n	ddp	yes	gyvuliškumo
n	dmc	yes	netikras
n	cds	no	vargšas
a	om	no	homoseksualus
n	ps	yes	barbarų
a	ddp	yes	kvailas
n	ddp	yes	lepšis
n	an	no	gatvės mergina
n	ddp	yes	nežinojimas
n	dmc	yes	gamintojais
n	ps	yes	naktipuodis
n	cds	no	scrawler
n	cds	no	fanatizmas
v	asm	no	dulkintis
n	cds	no	conceitedness
n	ddp	yes	blēņas
n	pa	yes	laukinis
n	cds	no	išdaigininkas
n	qas	no	tagalong
n	ddp	yes	barbarai
n	cds	no	aklatikis
n	dmc	yes	slampinėtojas
n	cds	no	domino
n	asm	no	flouter
n	an	no	žmonos apgautas vyras
n	cds	no	fašizmas
n	ddf	yes	nykštukinė
n	asm	no	varžtais
n	cds	no	greitasis
n	pr	no	ragana
n	an	no	bezlitosność
n	an	no	nekompetentingas asmuo
n	is	yes	piktadarys
n	dmc	yes	provincijos
n	ddp	yes	dimwit
n	cds	no	savimeilė
n	or	no	pusgalvis
n	or	no	knucklehead
n	dmc	yes	apgailėtinus buvimas
n	qas	no	konformistas
n	ddp	yes	pudingas vadovas
n	pr	no	ištvirkėlė
n	ddp	yes	beprotybė
n	cds	no	uždrausta
n	or	no	mulkis
n	cds	no	vargšelis
n	cds	no	ragtag
n	pr	no	pažaboti zaindeksowaniem
n	dmc	yes	rozpustnik
n	re	no	maligner
n	cds	no	baseinas hustling
n	cds	no	banditas
