pos	category	stereotype	lemma	level
n	cds	no	pakalikų	conservative
n	qas	no	parapijos	inclusive
n	svp	no	nuobodumas	inclusive
n	an	no	animalculum	inclusive
n	ps	yes	mišrūnas	inclusive
n	svp	no	chełpliwość	conservative
n	cds	no	culchie	inclusive
n	cds	no	laisvosios kuopos	inclusive
n	ddp	yes	neišsilavinęs žmogus	conservative
n	cds	no	demagog	conservative
n	or	no	gėjus	conservative
n	an	no	moliuskų	inclusive
n	dmc	yes	tremtis	inclusive
n	cds	no	pudden galvutė	conservative
n	an	no	žmogėdra	inclusive
n	an	no	sraigė	inclusive
n	svp	no	conceitedness	conservative
n	cds	no	melagis	conservative
n	cds	no	pažeidėjas	inclusive
n	cds	no	amatorstwo	conservative
n	qas	no	lumber baron	inclusive
n	is	yes	atstumtasis	inclusive
n	cds	no	aferistas	inclusive
n	asm	no	bỹbis	conservative
n	ddp	yes	nuožmumas	conservative
n	cds	no	pedagogė	inclusive
n	cds	no	hierarhs	inclusive
n	qas	no	buržuazijos	inclusive
n	qas	no	vidurinioji klasė	inclusive
n	asm	no	šūdas	conservative
n	an	no	moskitai	inclusive
n	an	no	moskitas	inclusive
n	an	no	culex pipiens	inclusive
n	pa	yes	mergintojas	inclusive
n	re	no	piktadarys	conservative
n	qas	no	blooper	inclusive
a	ddf	yes	baisus	conservative
n	cds	no	strikebreakers	inclusive
n	dmc	yes	slampinėtojas	conservative
n	ddp	yes	brednie	inclusive
n	ddp	yes	šnipas	conservative
n	cds	no	nesąžiningi	conservative
n	qas	no	profesinės klasės	inclusive
n	cds	no	bookworm	conservative
v	asm	no	dulkintis	conservative
n	re	no	mafijozas	conservative
n	re	no	šmeižto	inclusive
n	ddp	yes	twirp	conservative
n	cds	no	rustler	inclusive
n	cds	no	išskyrus	inclusive
n	cds	no	melas	conservative
a	is	yes	gaila	inclusive
n	pr	no	sugulovė	inclusive
a	svp	no	geidulingas	conservative
a	is	yes	liūdna	inclusive
n	cds	no	fantazuoti	conservative
n	asm	no	tamsiai rudos spalvos	inclusive
n	an	no	fauna	inclusive
n	svp	no	įtūžis	conservative
n	cds	no	žiauriai	conservative
n	asm	no	paukščių	inclusive
n	cds	no	gentis	inclusive
n	cds	no	neteisybė	inclusive
n	om	no	drag queen	inclusive
n	pr	no	jaučių	inclusive
n	qas	no	prisitaikėliškumas	inclusive
n	cds	no	'ndrangheta	inclusive
n	asm	no	mulkis	conservative
n	cds	no	omerta	inclusive
n	cds	no	schoolma'am	conservative
n	om	no	ponia	inclusive
n	re	no	delinkventas	inclusive
n	or	no	pedantyczność	inclusive
n	ddp	yes	barbariškumas	inclusive
n	cds	no	greitasis	conservative
n	svp	no	avariciousness	inclusive
n	ps	yes	nigeris	conservative
n	cds	no	barbaras	conservative
n	qas	no	konformizmas	inclusive
n	an	no	branta bernicla	inclusive
n	qas	no	darbo stalo	inclusive
a	an	no	užsispyręs	inclusive
n	om	no	analinė sueitis	inclusive
n	qas	no	didingoms	inclusive
a	qas	no	eilinis	inclusive
n	dmc	yes	scattergood	inclusive
n	pa	yes	teisininkas	inclusive
n	cds	no	sutenerių	conservative
n	dmc	yes	valkata	conservative
n	ps	yes	judaizmo	inclusive
n	cds	no	pedantę	conservative
n	cds	no	baudžiamasis	conservative
n	an	no	culicidae	inclusive
n	an	no	asilas	inclusive
n	an	no	angys	inclusive
a	qas	no	parapijos	inclusive
n	svp	no	dykinėtojas	conservative
n	cds	no	streikas-iųjų	inclusive
n	pa	yes	chamas	conservative
n	ddp	yes	pudingas vadovas	conservative
n	cds	no	tuntas	inclusive
n	ddp	yes	beprasmybė	inclusive
n	or	no	pudingas vadovas	conservative
n	om	no	gale	inclusive
n	om	no	elnė pabaiga	inclusive
n	cds	no	literatūros hack	conservative
n	cds	no	gudruolis	conservative
n	cds	no	liaudis	inclusive
n	an	no	wisent	inclusive
n	asf	no	saphead	conservative
n	cds	no	fundamentalistas	inclusive
n	ddp	yes	dvokla	inclusive
n	qas	no	magnatų	inclusive
n	asm	no	profesinės pražangą	inclusive
n	qas	no	sėklidė	inclusive
n	qas	no	vidutines pajamas	inclusive
n	an	no	diddlyshit	conservative
n	asm	no	pupų	inclusive
n	an	no	bos taurus	inclusive
n	svp	no	savìmeilė	conservative
n	an	no	berniklės	inclusive
n	asm	no	atauga	inclusive
n	cds	no	silpna	conservative
n	svp	no	superbia	conservative
n	an	no	nenaudėlis	conservative
n	qas	no	pažas	inclusive
n	cds	no	bulvarinis romanas	inclusive
n	dmc	yes	simulants	conservative
n	an	no	klausymosi prietaisas	inclusive
n	cds	no	loanshark	inclusive
n	cds	no	masė	inclusive
n	ddp	yes	gyvūnų	inclusive
n	or	no	głupek	conservative
n	an	no	kvailelis	conservative
n	is	yes	beturčiai	inclusive
n	cds	no	prasčiokai-rouser	conservative
