id	pos	category	stereotype	lemma	level
LT553	n	dmc	yes	dilba	conservative
LT1592	n	an	no	moliuskų	inclusive
LT605	n	ddp	yes	dvokla	conservative
LT823	n	cds	no	kietųjų atliekų	conservative
LT1513	n	cds	no	lupikautojus	inclusive
LT1145	n	cds	no	sutenerių	inclusive
LT2135	n	an	no	blattodea	inclusive
LT1878	n	re	no	žmogžudystė	inclusive
LT312	n	cds	no	melagystė	conservative
LT399	n	an	no	dručkis	conservative
LT899	n	qas	no	konformizmas	inclusive
LT163	n	ddp	yes	knucklehead	conservative
LT1161	n	cds	no	fašistas	conservative
LT370	n	dmc	yes	szajka bandycka	inclusive
LT610	n	asm	no	kvaiša	inclusive
LT778	n	or	no	patekti į nepatogią padėtį	conservative
LT374	n	ps	yes	necivilizuotas žmogus	inclusive
LT75	n	dmc	yes	tinginys	conservative
LT2042	n	pa	yes	stytoja	inclusive
LT1191	n	qas	no	virdulys žuvies	inclusive
LT1598	n	ps	yes	mongolai	inclusive
LT874	n	an	no	krokodilų	inclusive
LT1846	n	ps	yes	azijos	inclusive
LT1344	n	is	yes	beturtis	inclusive
LT697	n	asm	no	gaidys	inclusive
LT1027	n	om	no	aboral	inclusive
LT2204	n	re	no	lytiniai nusikaltimai	inclusive
LT167	n	an	no	avigalvis	conservative
LT1236	n	cds	no	fašistai	conservative
LT544	n	dmc	yes	toks ir toks	conservative
LT1847	n	ps	yes	balta	inclusive
LT33	n	cds	no	makleris	inclusive
LT1413	n	asf	no	merga	conservative
LT275	n	ps	yes	kvailelis	conservative
LT542	n	dmc	yes	git	inclusive
LT1458	n	ddp	yes	nekompetentingas	conservative
LT1589	n	svp	no	slacker	conservative
LT35	n	pa	yes	akademinės bendruomenės	inclusive
LT794	n	cds	no	liežuvautojas	conservative
LT653	n	om	no	vaikas molester	conservative
LT2108	n	an	no	beuodegės amfibijos	inclusive
LT1116	n	an	no	eurypterid	inclusive
LT607	n	ddp	yes	debilas	inclusive
LT1566	n	cds	no	vagis	inclusive
LT2095	a	dmc	yes	bjaurus	inclusive
LT1385	n	dmc	yes	benamis	inclusive
LT1964	n	dmc	yes	slampinėtojas	conservative
LT905	n	cds	no	berniūkštis	inclusive
LT1089	n	re	no	deliktas	inclusive
LT311	n	cds	no	neteisybė	inclusive
LT293	n	pr	no	paleistuvės	conservative
LT1908	n	dmc	yes	netinkamas	inclusive
LT1457	n	svp	no	neveiklumas	inclusive
LT2116	n	an	no	bufo	inclusive
LT731	n	pa	yes	profesorių	inclusive
LT2198	n	re	no	tvirkinami	inclusive
LT1568	n	ps	yes	kosmetika	inclusive
LT168	n	or	no	fuckhead	conservative
LT1386	n	qas	no	tapytojas ir dekoratorius	inclusive
LT1951	n	or	no	solanum tuberosum	inclusive
LT1944	v	cds	no	nugaišti	inclusive
LT1488	n	dmc	yes	amoralumo	inclusive
LT258	n	an	no	šuniškas	inclusive
LT1527	n	an	no	vabalas	inclusive
LT1861	n	an	no	žąsis	inclusive
LT762	n	an	no	triušis	inclusive
LT1220	n	cds	no	fundamentalistai	inclusive
LT1839	n	ps	yes	juodaodį	inclusive
LT120	n	an	no	epifauna	inclusive
LT1352	n	om	no	male	inclusive
LT635	n	cds	no	kamora	inclusive
LT1854	n	cds	no	nympho	conservative
LT1147	n	cds	no	pandar	inclusive
LT2219	n	cds	no	laisvoji gvardija	inclusive
LT988	n	cds	no	bulvarinis romanų	inclusive
LT1609	n	pr	no	drugys	inclusive
LT443	n	qas	no	netaktas	inclusive
LT153	n	asm	no	mulkis	conservative
LT355	n	cds	no	gaujų	conservative
LT2302	n	re	no	smurtas	inclusive
LT1868	n	an	no	brent	inclusive
LT2096	n	qas	no	pompastiškumas	inclusive
LT754	n	asm	no	nooky	conservative
LT175	n	an	no	equus asinus	inclusive
LT151	n	asf	no	kvailys	conservative
LT748	n	svp	no	lytinis potraukis	inclusive
LT884	n	ps	yes	tarprūšinį hibridą	inclusive
LT2171	n	cds	no	iekalšana	conservative
LT640	n	qas	no	apgavikas	conservative
LT411	n	cds	no	bastard	inclusive
LT1138	n	cds	no	fanatizmo	conservative
LT667	n	cds	no	klano	inclusive
LT1405	n	an	no	hieniniai	inclusive
LT271	n	cds	no	išskyrus	inclusive
LT875	n	an	no	crocodylian	inclusive
LT572	n	cds	no	mafia	inclusive
LT1567	n	ps	yes	metic	inclusive
LT1812	n	cds	no	narcism	inclusive
LT476	n	svp	no	nuobodu	inclusive
LT780	n	om	no	fagotas	conservative
LT931	n	om	no	dama	inclusive
LT304	n	an	no	kekšė	conservative
LT1384	n	cds	no	archpriest	inclusive
LT16	n	qas	no	psalmininkas	inclusive
LT1731	n	cds	no	šventą relikviją	inclusive
LT236	n	qas	no	treideriai	inclusive
LT791	n	om	no	pyderas	conservative
LT412	n	cds	no	motherfucker	conservative
LT121	n	ddp	yes	padaras	inclusive
