n	or	no	homofils kustība
n	asm	no	nookie
n	pa	yes	īpašais sūtnis
n	asf	no	twat
n	svp	no	augstprātīgums
n	pa	yes	gane
n	qas	no	pamesta kuģis
n	pr	no	kode
n	cds	no	savedējs
n	an	no	animēt ir
n	ddp	yes	pēkšķēt medicīnā
a	is	yes	nabags
n	ps	yes	idiote
n	asf	no	codswallop
n	an	no	sunītis
n	ps	yes	kritums puisis
n	asf	no	plānprātīgs
n	an	no	bos taurus
n	qas	no	nepatiesība
n	ddp	yes	brutalitāti
n	cds	no	lepnība
n	ddp	yes	pillock
n	re	no	noziedzība
n	qas	no	biznesa līderi
n	ddp	yes	būtne
n	or	no	lunkhead
n	an	no	fulvus
n	cds	no	pudden galvas
n	ddp	yes	slikta zivis
n	svp	no	dilly-dallier
n	asm	no	gabals ass
n	re	no	finanšu ļaunprātīgu
n	an	no	utis
n	pr	no	slampa
n	an	no	ovis orientalis aries
n	pr	no	žurkām
n	asm	no	piedēkļu
n	pa	yes	grāmatvedis
n	pr	no	prostitūtu
n	pr	no	norway žurka
n	ddp	yes	pūšļošana
n	dmc	yes	slackers
n	re	no	piespiedu izvarošanu
n	an	no	dzīvnieki
n	dmc	yes	neīsto
n	ps	yes	mongoļu
n	cds	no	jūtīgs-parker
n	cds	no	devilment
n	asm	no	neprāte
n	cds	no	noziegums kungs
n	asm	no	muļķis
n	ps	yes	dabas hibrīds
n	cds	no	tējkanna zivju
n	qas	no	teste
n	qas	no	apkalpes
n	cds	no	sīko zagli
n	asm	no	doofus
n	cds	no	chiseler
n	re	no	grand theft
n	an	no	dusmas
n	an	no	ģīmis
n	ps	yes	Ēbreji
n	qas	no	buržuāziskās
n	an	no	spekulants
n	pr	no	courtesan
n	cds	no	ārlaulības bērns
n	asf	no	pīzda
n	cds	no	masas
n	cds	no	pienapuika
n	qas	no	nemākulis
n	cds	no	laupītājs barons
n	an	no	caprinae
n	om	no	invalīds
n	an	no	ģimenes anguillidae
n	svp	no	netikls
n	pr	no	savedēja
n	pr	no	rattus norvegicus
n	cds	no	problēmu
n	qas	no	baronu
n	cds	no	jauktas šķirnes suns
n	cds	no	freemasons
n	an	no	dzēlējodu dzimta
n	cds	no	mafioso
n	cds	no	pūlis
n	om	no	midclavicular līniju
n	cds	no	palaidnība
n	an	no	hemipteron
n	or	no	poof
n	an	no	hemipteran
n	an	no	mānīšana
n	ddp	yes	blēņas
n	pr	no	palaistuve
n	qas	no	tagalong
n	ddp	yes	tenku vācele
n	ddf	yes	akls cilvēks
n	cds	no	sabiedrības padibenes
n	cds	no	gobs
n	is	yes	traģisks nelietis
n	an	no	cilvēka ēšanas haizivs
n	ddp	yes	microcephalic
n	re	no	negodīgi
n	an	no	dzēlējodi
n	ps	yes	sarkano kartīti
n	an	no	koķete
n	om	no	anālo seksu
n	re	no	notiesāts kriminālnoziedznieks
n	cds	no	outlawry
n	ddp	yes	plānprātīgs
n	qas	no	kuģniecības magnāts
n	pr	no	vietējiem liellopiem
n	svp	no	dusmas
n	ddf	yes	invalīds
n	cds	no	baseinu hustling
n	cds	no	barbari
n	cds	no	conventicles
n	ps	yes	austrumgoti
n	pr	no	vazaņķe
n	dmc	yes	negatīvais tēls
n	om	no	anatomiskās gan no atrašanās vietas
n	om	no	pāri kleita
n	an	no	crocodylian
n	qas	no	māja gleznotājs un dekorators
n	or	no	knucklehead
n	re	no	pārkāpumiem
n	qas	no	pauninieks
a	dmc	yes	netikumisks
n	an	no	knauši
n	qas	no	grandiosity
n	cds	no	bawdyhouse
n	cds	no	Ļaundaris
n	ps	yes	inkiness
n	dmc	yes	bandītu
n	re	no	capturer
n	an	no	maitas putns
n	an	no	īres zēns
n	or	no	vientiesis
n	cds	no	barbariem
n	an	no	naktstaurenis
n	an	no	nevīžīgs cilvēks
n	cds	no	krustošanos
n	cds	no	ragtag
n	cds	no	klans
n	ps	yes	judaisms
n	cds	no	rotter
n	cds	no	plosti
n	re	no	izvaro
n	asm	no	maxilliped
n	an	no	lielā balta haizivs
n	pa	yes	šveicars
n	an	no	suborder blattaria
n	re	no	neonaticide
n	dmc	yes	melkulis
n	cds	no	slampa
n	or	no	cunt
n	pa	yes	aizstāvības advokāts
n	cds	no	reliģiozitāte
n	an	no	putns nakts
n	dmc	yes	sociālā izstumtais
n	qas	no	divulgence
n	cds	no	sazvērestība klusēšanas
n	pr	no	rattus
