pos	category	stereotype	lemma	level
n	dmc	yes	dilly-dallier	conservative
n	pr	no	brīvs sieviete	conservative
n	an	no	animalculum	inclusive
n	cds	no	junk pastu	inclusive
n	qas	no	zemnieku	inclusive
a	ps	yes	ķīniešu	inclusive
n	pr	no	seksuālo pakalpojumu	inclusive
n	cds	no	culchie	inclusive
n	pr	no	dāma par prieku	conservative
n	ddf	yes	fiziski apstrīdēt	inclusive
n	ps	yes	ebreju	inclusive
n	cds	no	demagog	conservative
n	ddp	yes	makrofauna	inclusive
n	pr	no	mauka	inclusive
n	cds	no	nelietīgs	conservative
n	svp	no	lepnums	inclusive
n	cds	no	lieguma	inclusive
n	qas	no	metāllūžņu	inclusive
n	cds	no	pedantiska	conservative
n	svp	no	conceitedness	conservative
n	cds	no	fašismu	conservative
n	cds	no	reliģisko diskrimināciju	inclusive
n	svp	no	korporatīvo alkatību	inclusive
n	pr	no	vazaņķe	inclusive
n	pr	no	konkubīne	inclusive
n	pa	yes	balto apkaklīšu	inclusive
n	cds	no	hierarhs	inclusive
n	cds	no	haoss	inclusive
a	dmc	yes	netikumisks	conservative
n	or	no	geju	conservative
n	om	no	homosexualism	inclusive
n	om	no	cross-kumodes	inclusive
n	dmc	yes	Ļaundaris	conservative
n	an	no	culex pipiens	inclusive
n	an	no	kukaiņu	inclusive
n	qas	no	blooper	inclusive
n	cds	no	itālijas mafijas	conservative
n	cds	no	idiots	conservative
n	cds	no	māja sliktu reputāciju	inclusive
n	ps	yes	greutungi	inclusive
n	cds	no	strikebreakers	inclusive
n	re	no	slaists	inclusive
n	re	no	nepilngadīgo likumpārkāpumu	conservative
n	cds	no	negodīgas	conservative
n	dmc	yes	drifters	inclusive
n	ddp	yes	dzīvnieku	inclusive
n	ddp	yes	twirp	conservative
n	cds	no	grifter	inclusive
n	cds	no	idiote	conservative
n	re	no	nelietis	conservative
n	qas	no	uzlikt ielāpu	inclusive
n	re	no	spīdzināšanu	inclusive
n	cds	no	scammer	conservative
n	an	no	govs	inclusive
n	cds	no	rokaspuisis	conservative
n	ps	yes	imbecils	conservative
n	an	no	fauna	inclusive
n	pr	no	heterocera	inclusive
n	cds	no	dimetānnaftalīns romāniem	inclusive
n	or	no	pampalis	inclusive
n	pr	no	piparu kožu	inclusive
n	cds	no	pulciņš	inclusive
n	re	no	precīzs	inclusive
n	cds	no	fanātisks	conservative
n	re	no	nolaupīt	inclusive
n	dmc	yes	loiterer	conservative
n	pr	no	eskortēšana	inclusive
n	qas	no	nojume	inclusive
n	cds	no	meli	conservative
n	an	no	krupis	inclusive
n	cds	no	gļēvulība	conservative
n	cds	no	omerta	inclusive
n	cds	no	schoolma'am	conservative
n	svp	no	niggardliness	conservative
n	svp	no	baudkārs	inclusive
n	pa	yes	akadēmiķis	inclusive
n	re	no	plaģiātisms	inclusive
n	qas	no	flub	inclusive
n	svp	no	avariciousness	inclusive
n	ps	yes	kroplītis	conservative
n	pa	yes	advocator	inclusive
a	ddf	yes	neglīts	conservative
n	pa	yes	korespondētājloceklis	inclusive
n	an	no	haizivis	inclusive
n	is	yes	Ļaundaris	conservative
n	cds	no	negatīvais tēls	conservative
n	dmc	yes	scattergood	inclusive
n	pr	no	hetaira	inclusive
n	an	no	lunkhead	conservative
n	an	no	culicidae	inclusive
n	an	no	blattaria	inclusive
n	cds	no	blooper	inclusive
n	qas	no	lauksaimnieks	inclusive
n	an	no	krokodils	inclusive
n	ps	yes	staigulis	inclusive
n	ddp	yes	nodevīgs	conservative
n	svp	no	iedomība	conservative
n	an	no	klausīšanās ierīci	inclusive
n	re	no	dienesta stāvokļa ļaunprātīgu izmantošanu	inclusive
n	ps	yes	vandalis	inclusive
n	an	no	wisent	inclusive
n	asf	no	saphead	conservative
n	an	no	putot maisā	conservative
n	ddp	yes	prater	conservative
n	cds	no	suteners	conservative
n	an	no	vista	inclusive
n	an	no	diddlyshit	conservative
n	svp	no	fanātiķis	conservative
n	an	no	bos taurus	inclusive
n	cds	no	tualetes	inclusive
n	cds	no	jaundzimušais	inclusive
n	cds	no	konformists	conservative
n	an	no	neprātis	conservative
n	cds	no	muļķības	inclusive
n	re	no	likumpārkāpums	inclusive
n	asf	no	muļķība	conservative
n	svp	no	superbia	conservative
