id	pos	category	stereotype	lemma	level
MK2697	n	ps	yes	metys	conservative
MK3036	n	or	no	બટાકાં	inclusive
MK711	n	cds	no	spielbank	inclusive
MK1746	n	ps	yes	judeisme	inclusive
MK1984	n	cds	no	idolatría	inclusive
MK479	n	an	no	howjado	inclusive
MK574	n	asm	no	braun	inclusive
MK1723	n	ps	yes	Ġudaiżmu	inclusive
MK903	n	an	no	huussääge	inclusive
MK523	n	an	no	Корова	inclusive
MK65	n	an	no	Хайваннар	inclusive
MK412	n	svp	no	verveling	inclusive
MK198	n	asm	no	here	inclusive
MK135	n	ddp	yes	mhuka	inclusive
MK257	n	dmc	yes	barbarid	conservative
MK259	n	dmc	yes	дивјак	conservative
MK2498	n	re	no	máfia	inclusive
MK3426	a	ddp	yes	глупав	conservative
MK527	n	an	no	နွား	inclusive
MK703	n	cds	no	קזינו	inclusive
MK1224	n	or	no	Огурец обыкновенный	inclusive
MK3793	n	ps	yes	롬	inclusive
MK3414	n	an	no	aourgi alaouret	inclusive
MK1020	n	om	no	gei	inclusive
MK470	n	an	no	bó	inclusive
MK740	n	ps	yes	idiot	conservative
MK1521	n	cds	no	法西斯主義	conservative
MK1633	n	om	no	tông-sèng-loân	inclusive
MK1151	n	an	no	गोही	inclusive
MK157	n	qas	no	testiklar	inclusive
MK727	n	cds	no	Казинo	inclusive
MK1374	n	dmc	yes	จรรยาธรรม	inclusive
MK1726	n	ps	yes	djudayisse	inclusive
MK556	n	asm	no	啡色	inclusive
MK234	n	ps	yes	Варвари	conservative
MK2055	n	is	yes	siromaštvo	inclusive
MK636	n	ps	yes	bangsa bulgaria	inclusive
MK1728	n	ps	yes	juddentum	inclusive
MK2532	n	asm	no	pysen	inclusive
MK1579	n	asf	no	އަންހެނާގެ ޖިންސީ ގުނަވަން	conservative
MK641	n	ps	yes	ბულგარელები	inclusive
MK3322	n	an	no	pijavica	inclusive
MK2490	n	cds	no	माफिया	inclusive
MK2853	n	ps	yes	mongoloidi	conservative
MK469	n	an	no	bò	inclusive
MK2275	n	qas	no	مزيج	inclusive
MK1653	n	om	no	தற்பால்சேர்க்கை	inclusive
MK2788	n	an	no	tiburóns	inclusive
MK3379	n	an	no	orea shakalo	inclusive
MK742	n	asm	no	idioto	inclusive
MK1587	n	asf	no	Пичка	conservative
MK1312	n	dmc	yes	дволичник	conservative
MK189	n	qas	no	igruk	inclusive
MK3514	n	om	no	Трансвестизм двойной роли	inclusive
MK2505	n	qas	no	Паразитизам	inclusive
MK3450	n	re	no	terorîzm	inclusive
MK1028	n	om	no	გეი	inclusive
MK2085	n	an	no	Жәндіктер	inclusive
MK330	n	ps	yes	ནག་པོ།	inclusive
