n	asm	no	nookie
n	cds	no	keji
n	cds	no	kacukan
n	cds	no	makelar
n	om	no	punggung
v	an	no	kemarahan
n	cds	no	fanatik
n	cds	no	atasan
n	qas	no	benalu
n	an	no	belut
n	cds	no	lintah darat
n	an	no	monyong
n	an	no	caiman
n	ps	yes	tolol
n	ps	yes	orang bodoh
n	ps	yes	lelaki kulit hitam
n	asm	no	ikan
n	cds	no	keadaan kucar-kacir
n	qas	no	muluk
n	cds	no	penggermoan
a	svp	no	megah
n	cds	no	amour propre
n	an	no	kedekut
n	pa	yes	pengebumian undertaker
n	om	no	kehomoseksualan
n	cds	no	kegagahan
n	cds	no	faktor
n	svp	no	parit
a	ddf	yes	leta
n	qas	no	murahan
n	cds	no	kecanggungan
n	ps	yes	changelings
a	svp	no	medit
a	is	yes	sepi
n	ps	yes	bedu
a	an	no	bedegong
a	an	no	ungkal
n	cds	no	orang kampung
n	ddf	yes	binatang pongsu
n	an	no	kutu biasa
n	cds	no	delinkuen juvana
n	cds	no	penjahat
n	dmc	yes	pembunuh
n	an	no	strix ampat
n	cds	no	pencopet
n	cds	no	kekacauan
n	an	no	kambing
n	cds	no	cerita
n	an	no	bahlul
n	qas	no	granger
n	re	no	penganiayaan
n	ps	yes	mongol
n	ddf	yes	katai
n	is	yes	orang bakhil
n	om	no	darai
n	cds	no	tengkulak
n	re	no	gajul
n	an	no	caprinae
n	qas	no	pengintip
n	pr	no	rattus norvegicus
n	cds	no	camarilla
n	om	no	menyeberangi berpakaian
n	qas	no	st hubert hound
n	dmc	yes	kecemerkapan
n	cds	no	mafioso
n	dmc	yes	karut
n	pa	yes	orang-orang gasar
n	pa	yes	penasihat
n	cds	no	bajul
n	dmc	yes	tidak bermoral
a	qas	no	kebanyakan
a	svp	no	pendendam
n	an	no	burung bangkai grifon
n	dmc	yes	orang yg tak berguna
n	an	no	katak biasa
n	asf	no	wanita
n	ps	yes	ganas
n	cds	no	jahat
n	cds	no	gobs
n	cds	no	jual temberang
n	ddp	yes	senarai haiwan
n	asm	no	flouter
n	cds	no	orang hulu
n	pa	yes	mahaguru
n	an	no	pencuri
n	ddp	yes	umpatan
n	qas	no	penyokong
n	dmc	yes	bajingan
n	cds	no	seloroh
n	cds	no	neonatal
n	ps	yes	judaisme
n	cds	no	mel sampah
n	qas	no	kenel
n	qas	no	orang penghuni kota
n	cds	no	binatang pongsu
v	is	yes	berdoa
n	an	no	ayam domestik
n	cds	no	perompak
n	qas	no	kebosanan
n	qas	no	pertanian penyewa
n	an	no	jalang
n	asm	no	skru
n	cds	no	lelaki bijak
a	svp	no	anggak
n	or	no	pondan
n	cds	no	ceneker
n	asf	no	sentuhan lembut
a	ddp	yes	beku otak
n	cds	no	skor
n	an	no	penyerang
n	an	no	swallower belon
n	asm	no	maxilliped
n	an	no	suborder blattaria
n	qas	no	berselerak
n	pa	yes	porter
n	an	no	kecabulan
n	cds	no	barah
n	an	no	penjarah
n	ddp	yes	perubatan dukun
n	ps	yes	orang romani
n	svp	no	berlengah-dallier
a	qas	no	gundah
n	cds	no	baka anjing kacuk
n	an	no	belalai
n	dmc	yes	kedurjanaan
n	an	no	pediculus humanus
n	cds	no	berkecamuk
a	dmc	yes	bersempuras
a	dmc	yes	berfoya-foya
n	cds	no	beban
n	dmc	yes	penjahat
v	re	no	menjepit
n	qas	no	penternak
n	cds	no	jenayah
n	an	no	pelahap
n	ddp	yes	orang kikir
n	asf	no	kuda kayu
a	cds	no	lapuk
n	an	no	jackals
n	ddp	yes	kebinatangan
n	ps	yes	orang bulgaria
n	ps	yes	bersifat negro
n	cds	no	jilid
n	ddp	yes	dickhead
a	is	yes	kuyu
a	is	yes	sungkawa
a	dmc	yes	berat tulang
n	cds	no	menolak
n	cds	no	pengacau
n	dmc	yes	orang-orang gasar
a	is	yes	bulus
n	qas	no	tauke
v	cds	no	berjalan
n	or	no	sativus
n	asm	no	burung qualifier
a	is	yes	jentaka
n	dmc	yes	pseudo
n	an	no	orang yg lembam
n	ddp	yes	tidak cekap
n	ddp	yes	manusia
a	svp	no	mengomel
n	cds	no	perengek
n	re	no	menculik
n	dmc	yes	penipu
n	pr	no	gun moll
n	om	no	salib-almari
n	an	no	bandot
a	cds	no	rampus
n	an	no	betina
n	dmc	yes	libertinism
n	asf	no	bahlul
a	an	no	kasar
n	dmc	yes	orang kasar
n	cds	no	samseng
n	ddp	yes	sato
n	cds	no	bohong
n	ddp	yes	cretin
a	ddp	yes	cogo
n	cds	no	kumbahan mentah
n	or	no	sifat cermat sekali
n	re	no	memeras
n	cds	no	hibrid intergeneric
n	cds	no	penjilat
n	om	no	garis midclavicular
n	qas	no	ahli perniagaan besar
n	pr	no	pengiring lelaki
n	or	no	meticulosity
n	an	no	haiwan
n	an	no	canis familiaris
a	om	no	berbeza
n	cds	no	murahan
n	dmc	yes	mozzarella
n	om	no	dame
n	re	no	cempiang
n	an	no	senarai haiwan
n	qas	no	sisa domestik
n	cds	no	melampau betul-pemain sayap
n	cds	no	free mason
a	cds	no	fatan
n	an	no	folderol
n	pr	no	pelacuran lelaki
v	qas	no	menuntut
n	ps	yes	bastar
n	cds	no	pembetung sanitari
n	an	no	peranti mendengar rahsia
n	cds	no	mobster
n	pr	no	gundik
n	asm	no	peler
n	cds	no	pengejut
a	cds	no	bacul
n	ps	yes	peranakan
n	qas	no	kesalahan
n	cds	no	ejen jalan
a	ddp	yes	bengap
n	an	no	lupus familiaris
v	cds	no	menjunjung
n	ddp	yes	hooey
n	pr	no	pelacur lelaki
n	cds	no	lembu pencuri
n	cds	no	bola-
a	re	no	gembira
n	an	no	kuda kayu
n	om	no	ipsilateral
n	an	no	vamper
n	cds	no	sekerap
n	svp	no	kebongkakan
n	an	no	anjing sebagai binatang kesayangan
a	svp	no	meradang
n	ps	yes	bodoh
n	cds	no	perbuatan jenayah
n	asm	no	jahang
n	an	no	zooerasty
v	qas	no	kusut
v	cds	no	tersedak
n	cds	no	blackballing
n	cds	no	bellyacher
v	cds	no	menyembah
a	dmc	yes	jendala
n	or	no	mentimun
n	dmc	yes	kemerosotan
n	ddp	yes	bebal
n	asm	no	zakar qualifier
v	cds	no	mampus
n	cds	no	wali gereja
n	is	yes	cheapskate
n	cds	no	kusut
n	qas	no	perniagaan
n	cds	no	mogok-pecah
n	an	no	ixodida
n	dmc	yes	jual temberang
n	asm	no	kemaluan
n	pa	yes	orang tani
n	ddp	yes	shithead
n	svp	no	ketidakacuhan
n	ps	yes	dungu
v	re	no	mengacau
n	re	no	wang kotor
a	dmc	yes	celekeh
n	cds	no	pencuri
n	pa	yes	gasar
n	an	no	diramkan asio
n	ps	yes	romanis
n	cds	no	chiseler
v	cds	no	pulang ke rahmatullah
v	cds	no	bersembang
n	qas	no	sciolist
n	cds	no	tan
a	ddp	yes	hamik
n	ddp	yes	muttonhead
v	cds	no	mengumpat
a	ddp	yes	buta huruf
n	cds	no	kuantiti
n	an	no	diddlysquat
n	an	no	kambing tenusu
n	cds	no	loansharking
n	qas	no	menggagalkan
n	cds	no	saudara-mara
n	re	no	sakit penggunaan
n	ddp	yes	pendusta
n	qas	no	peladang
n	an	no	cacing
n	pr	no	pelacur retak
n	an	no	lembu domestik
n	cds	no	peninjau
n	qas	no	berpendapatan sederhana
n	qas	no	divulgement
a	dmc	yes	salah angkuh
n	asm	no	appendages
n	svp	no	kesewenang-wenangan
n	ddp	yes	ikan miskin
a	svp	no	berang
