pos	category	stereotype	lemma	level
n	an	no	animalculum	inclusive
n	ddf	yes	katik	conservative
n	qas	no	keterlanjuran	inclusive
n	is	yes	kikir	conservative
v	cds	no	mengumpat	inclusive
n	cds	no	kucar-kacir	inclusive
a	svp	no	dongkol	conservative
a	svp	no	takbur	conservative
n	dmc	yes	cempiang	inclusive
n	an	no	babi	inclusive
n	cds	no	gossipmonger	conservative
n	qas	no	jual temberang	conservative
n	om	no	homosexualism	inclusive
a	svp	no	ujud	conservative
n	an	no	culex pipiens	inclusive
a	dmc	yes	comot-momot	inclusive
n	an	no	keji	conservative
a	re	no	riang	conservative
n	qas	no	parasit	inclusive
a	is	yes	tembok kering	conservative
n	cds	no	strikebreakers	inclusive
n	cds	no	pembohongan	conservative
n	cds	no	gasar	conservative
n	qas	no	dalih	conservative
n	cds	no	scads	inclusive
n	dmc	yes	tidak bermoral	inclusive
n	an	no	moa	inclusive
n	pr	no	melacur	conservative
n	cds	no	persoalan	conservative
n	asm	no	kulit khatan	inclusive
v	asm	no	mengamput	conservative
n	cds	no	bebal	inclusive
n	cds	no	orang-orang musyrik	inclusive
n	dmc	yes	pelawak	inclusive
n	an	no	fauna	inclusive
a	cds	no	jenayah	inclusive
v	cds	no	mencekik	inclusive
n	an	no	cengkenik	inclusive
n	cds	no	hiruk-pikuk	inclusive
n	cds	no	bos	inclusive
n	an	no	ayam	inclusive
n	ps	yes	negroes	inclusive
n	asm	no	ലിംഗം	inclusive
a	re	no	mengganas	inclusive
n	cds	no	pesolek	inclusive
n	an	no	belon swallower	inclusive
n	cds	no	pembual	conservative
n	cds	no	schoolma'am	conservative
n	svp	no	niggardliness	conservative
n	cds	no	penagih	conservative
n	qas	no	tipu	conservative
n	cds	no	pewarta	inclusive
n	re	no	gajul	inclusive
n	qas	no	berselerak	inclusive
n	dmc	yes	tiruan	inclusive
n	re	no	perampok	conservative
a	cds	no	rampus	conservative
n	dmc	yes	scattergood	inclusive
n	pr	no	hetaira	inclusive
n	an	no	lunkhead	conservative
a	dmc	yes	kikir	conservative
n	an	no	culicidae	inclusive
n	an	no	blattaria	inclusive
n	cds	no	bungle	inclusive
n	svp	no	kemurkaan	inclusive
n	an	no	redfish	inclusive
v	re	no	membinjat	inclusive
v	cds	no	arwah	inclusive
n	cds	no	kepintaran	inclusive
a	cds	no	takbur	conservative
n	svp	no	baik untuk-sia-sia	conservative
n	re	no	rampasan	inclusive
n	cds	no	tulis-menulis	conservative
v	cds	no	bertawar-tawaran	inclusive
n	qas	no	kerja meja	inclusive
v	qas	no	mengacah-acah	conservative
n	asf	no	wanita	conservative
v	cds	no	mengerih	inclusive
v	cds	no	mendewakan	inclusive
n	an	no	pelahap	conservative
n	cds	no	gangsterisme	inclusive
a	svp	no	mengomel	conservative
n	cds	no	lowlife	conservative
n	cds	no	sambutan	inclusive
n	ddp	yes	merepek	conservative
n	om	no	buggery	inclusive
n	qas	no	penjual	inclusive
n	svp	no	dallier	conservative
a	cds	no	beku otak	conservative
n	ps	yes	vandals	inclusive
n	an	no	laut kala jengking	inclusive
a	svp	no	geram	inclusive
n	ddp	yes	pembelot	conservative
a	ddf	yes	jelik	conservative
n	cds	no	jual temberang	conservative
n	is	yes	kemiskinan	inclusive
n	an	no	ketampi	inclusive
n	an	no	bangsat	inclusive
a	dmc	yes	batil	conservative
v	re	no	menyakiti	inclusive
a	cds	no	bacul	conservative
a	dmc	yes	ceporah	inclusive
a	is	yes	murung	inclusive
n	cds	no	sesuku	inclusive
a	dmc	yes	teruk	conservative
n	re	no	jarah	inclusive
n	cds	no	presumptuousness	conservative
v	re	no	menghampakan	inclusive
n	pr	no	courtesans	inclusive
n	qas	no	kapal terbengkalai	inclusive
a	cds	no	lumrah	inclusive
n	dmc	yes	kampung	conservative
n	cds	no	antic	inclusive
n	dmc	yes	homunculus	inclusive
n	cds	no	mogok-pecah	inclusive
n	an	no	dungu	conservative
v	re	no	terseksa	inclusive
n	cds	no	wangler	conservative
n	qas	no	biasa	inclusive
n	dmc	yes	perampok	conservative
a	dmc	yes	mengotorkan	inclusive
n	qas	no	tabi'in	inclusive
n	cds	no	kepandaian	inclusive
n	cds	no	kepalsuan	conservative
n	cds	no	akademi	inclusive
n	qas	no	pencoret	conservative
n	cds	no	polis	inclusive
a	om	no	abnormal	inclusive
n	an	no	perusuh	conservative
n	qas	no	reban	inclusive
n	qas	no	kerumunan	inclusive
a	is	yes	sedu	inclusive
n	an	no	nuri	inclusive
a	svp	no	sirik	conservative
n	ps	yes	bodoh	conservative
n	dmc	yes	lancung	inclusive
n	cds	no	jaruman	inclusive
n	pa	yes	pengawas	inclusive
n	ps	yes	mongoloid	conservative
n	dmc	yes	bumbler	conservative
