n	asm	no	nookie
n	asf	no	twat
n	cds	no	estrem dritt ġwejnħa
n	or	no	blockhead
n	svp	no	futilità
n	cds	no	reprobate
n	cds	no	nofs pinta
n	asf	no	codswallop
n	qas	no	cadger
n	cds	no	maħmuġin kelb
n	ddp	yes	ras żobbi
n	ddp	yes	charlatan
n	re	no	raper
n	asf	no	dunce
n	asf	no	fuckhead
n	an	no	tomfool
n	ddp	yes	pillock
n	qas	no	dauber
n	cds	no	faxxiżmu
n	an	no	lunkhead
n	or	no	lunkhead
n	svp	no	trencher
n	re	no	rapist
n	cds	no	mases
n	cds	no	żibel
n	svp	no	dilly-dallier
n	asm	no	chump
n	cds	no	finagler
n	re	no	defamer
n	ddp	yes	bestjalità
n	dmc	yes	slackers
n	ps	yes	changelings
n	pr	no	guff
n	is	yes	villain
n	cds	no	devilment
n	an	no	subien kera
n	svp	no	ebda kont
n	ddp	yes	dunderhead
n	qas	no	barbarians
n	dmc	yes	pilferer
n	pr	no	prostituta maskili
n	cds	no	groveler
n	asm	no	doofus
n	an	no	grossness
n	cds	no	chiseler
n	an	no	diddly-shit
n	svp	no	tightwad
n	ddp	yes	frodi saħħa
n	cds	no	tirrifjuta
n	ddp	yes	motherfucker
n	asm	no	tomfool
n	asm	no	xogħol idejn
n	cds	no	mischievous
n	ps	yes	cretin
n	an	no	slowpoke
n	cds	no	mafioso
n	cds	no	omm ħaxxej
n	dmc	yes	deceiver
n	or	no	poof
n	cds	no	line-shooter
n	cds	no	greenhorn
n	cds	no	conceitedness
n	dmc	yes	defrauder
n	asm	no	stupidity
n	qas	no	bungler
n	qas	no	tagalong
n	cds	no	braggart
n	ddp	yes	simpleton
n	pr	no	prostituzzjoni maskili
n	ddp	yes	jaqgħu guy
n	asm	no	flouter
n	asf	no	saphead
n	cds	no	layabout
n	dmc	yes	scoundrel
n	cds	no	brigand
n	dmc	yes	sneak ħalliel
n	cds	no	idler
n	cds	no	outlawry
n	ddp	yes	twerp
n	dmc	yes	rotter
n	ddp	yes	dimwit
n	ddp	yes	rumormonger
n	ddp	yes	rumourmonger
n	cds	no	looker-on
n	cds	no	yokel
n	or	no	knucklehead
n	ddp	yes	omm ħaxxej
n	ddp	yes	codswallop
n	dmc	yes	phony
n	or	no	numskull
n	dmc	yes	mope
n	cds	no	skart domestiku
n	an	no	minx
n	cds	no	ragtag
n	cds	no	rotter
n	qas	no	untruth
n	re	no	maligner
n	an	no	simpleton
n	re	no	terroriżmu
n	re	no	l-mafja taljana
n	ddp	yes	soft touch
n	ps	yes	nitwit
n	cds	no	pedantic
n	dmc	yes	dallier
n	cds	no	muggins
n	svp	no	gorger
n	svp	no	lazybones
n	svp	no	miser
n	cds	no	newsmonger
n	an	no	villain traġiku
n	ddp	yes	churl
n	pr	no	sportivi mara
n	cds	no	slyness
n	re	no	minorenni delinkwenti
n	ddp	yes	riffraff
n	dmc	yes	shirker
