id	pos	category	stereotype	lemma	level
MT776	n	or	no	cunt	conservative
MT1411	n	cds	no	shirker	conservative
MT1226	n	qas	no	pittura dar	inclusive
MT465	n	an	no	rotter	conservative
MT611	n	cds	no	ballup	inclusive
MT1882	n	cds	no	dweeb	conservative
MT520	n	asf	no	retard	conservative
MT375	n	cds	no	boner	inclusive
MT122	n	ddp	yes	tomfool	conservative
MT479	n	an	no	villainous	conservative
MT976	n	dmc	yes	l-moralità	inclusive
MT1196	n	om	no	omosesswalità	inclusive
MT523	n	cds	no	changelings	inclusive
MT1064	n	cds	no	masons ħieles u aċċettati	inclusive
MT1741	n	cds	no	religiosity	inclusive
MT1903	n	re	no	kriminalità sess	inclusive
MT638	n	cds	no	throng	inclusive
MT1027	n	cds	no	waħda veloċi	conservative
MT291	n	svp	no	bigoted	conservative
MT1670	a	qas	no	tas-soltu	inclusive
MT189	n	qas	no	barbaric	conservative
MT493	n	cds	no	ingroup	inclusive
MT962	n	qas	no	dilettante	conservative
MT1775	n	pr	no	fornicatress	conservative
MT697	n	cds	no	skart solidu	conservative
MT840	n	re	no	reat	inclusive
MT1477	n	dmc	yes	hick	conservative
MT1273	n	is	yes	il-faqar urban	inclusive
MT830	n	ddp	yes	doofus	conservative
MT779	n	or	no	sativus	inclusive
MT258	n	pr	no	tifel kera	conservative
MT1933	n	om	no	cross-dresers	inclusive
MT129	n	asf	no	dunderhead	conservative
MT309	n	cds	no	outlawry	inclusive
MT1819	n	qas	no	magniloquence	inclusive
MT820	n	an	no	looter	inclusive
MT1509	n	cds	no	racketeer	inclusive
MT1985	n	re	no	vjolenti	inclusive
MT228	n	ps	yes	soft touch	conservative
MT1502	n	pa	yes	biċċier majjal	inclusive
MT1202	n	om	no	l-omosesswalità	inclusive
MT266	n	qas	no	falsità	conservative
MT1081	n	re	no	gangster	inclusive
MT1591	n	cds	no	autolatry	inclusive
MT1075	n	dmc	yes	dillydallier	conservative
MT886	n	om	no	lura	inclusive
MT1008	n	cds	no	pandar	inclusive
MT86	n	cds	no	zealots	inclusive
MT1397	n	cds	no	lokijiet pubblika	inclusive
MT1126	n	qas	no	snooper	inclusive
MT1913	n	cds	no	conventicle	inclusive
MT698	n	cds	no	ruttam	conservative
MT477	n	an	no	villain	conservative
MT363	n	pa	yes	mortician	inclusive
MT1583	n	dmc	yes	nofs pinta	conservative
MT1892	n	an	no	lampyris noctiluca	inclusive
MT175	n	qas	no	ballock	inclusive
MT549	n	cds	no	chiseller	conservative
MT377	n	qas	no	bungle	inclusive
MT239	n	ddp	yes	dupe	conservative
MT1641	n	re	no	terroristiku	inclusive
MT187	n	pa	yes	barbarians	conservative
MT98	n	an	no	macrofauna	inclusive
MT700	n	cds	no	skart muniċipali	conservative
MT475	n	cds	no	idler	conservative
MT1318	n	dmc	yes	imposter	conservative
MT477	n	cds	no	villain	conservative
MT865	n	dmc	yes	hypocrisy	conservative
MT306	n	cds	no	banditti	conservative
MT135	n	or	no	muttonhead	conservative
MT241	n	asm	no	ninny	conservative
MT382	n	cds	no	vaunter	conservative
MT1419	n	an	no	nemus	inclusive
MT305	n	cds	no	malefactor	conservative
MT554	n	cds	no	grifter	inclusive
MT1507	n	svp	no	superbia	conservative
MT1685	n	qas	no	scrounger	conservative
MT1898	n	re	no	molestation sesswali	inclusive
MT1300	n	cds	no	buffu	inclusive
MT1949	n	asm	no	avifawna	inclusive
MT424	n	qas	no	bdiewa	inclusive
MT1334	a	is	yes	ħasra	inclusive
MT1048	n	dmc	yes	falsifikazzjoni	inclusive
MT83	n	cds	no	codswallop	conservative
MT1429	n	an	no	slowpoke	conservative
MT1444	n	cds	no	uffiċjal	conservative
MT1005	n	cds	no	pimping	inclusive
MT253	n	pr	no	gagazza	conservative
MT3	n	svp	no	acedia	inclusive
MT714	n	cds	no	wiliness	conservative
MT1036	n	dmc	yes	fetor	conservative
MT550	n	dmc	yes	chiseler	conservative
MT131	n	ddp	yes	fuckhead	conservative
MT136	n	an	no	jafu xejn	conservative
MT1215	n	cds	no	l-unwashed kbira	conservative
MT1346	n	cds	no	self flus	inclusive
MT1157	n	cds	no	reprobate	conservative
MT182	n	asm	no	testikola	inclusive
MT563	n	an	no	familiaris	inclusive
MT771	n	cds	no	sonny	inclusive
MT1035	n	dmc	yes	stink	conservative
MT1330	n	qas	no	jimteddu	conservative
MT590	n	svp	no	tightfistedness	conservative
MT908	n	svp	no	trencher	inclusive
MT524	n	ps	yes	moron	conservative
MT688	n	ddp	yes	mountebank	conservative
MT129	n	an	no	dunderhead	conservative
MT1954	n	re	no	ndrangheta	inclusive
MT1139	n	svp	no	goof-off	conservative
MT1831	n	an	no	frogspawn	inclusive
MT1679	n	dmc	yes	buffoon	inclusive
MT1496	n	an	no	qażquż	inclusive
MT577	n	cds	no	tribesmen	inclusive
MT503	n	an	no	carcharodon	inclusive
MT758	n	ps	yes	ikabbar pjanti	inclusive
MT1090	n	asm	no	wiesgħa fażola	inclusive
MT184	n	dmc	yes	brigand	conservative
MT262	n	an	no	triq girl	conservative
MT1028	n	re	no	extort	inclusive
MT70	n	qas	no	farrago	inclusive
MT524	n	asm	no	moron	inclusive
MT614	n	cds	no	complacence	inclusive
MT652	n	asm	no	nooky	conservative
MT260	n	pr	no	floozie	conservative
MT119	n	asm	no	betise	conservative
MT339	n	an	no	slob	conservative
MT369	n	qas	no	botch	inclusive
MT227	n	ddp	yes	chump	conservative
MT1085	n	cds	no	fascists	conservative
MT703	n	an	no	bugging	inclusive
MT393	n	an	no	snatcher ġisem	inclusive
MT1409	n	dmc	yes	slacker	conservative
MT1082	n	re	no	gangsters	inclusive
MT1304	n	cds	no	jokester	inclusive
MT1810	n	cds	no	fawner	conservative
MT999	n	qas	no	divulgence	inclusive
MT310	n	re	no	jillegalizza	inclusive
MT73	n	qas	no	omnium-gatherum	inclusive
MT647	n	asm	no	screwing	conservative
MT1007	n	cds	no	pimps	inclusive
MT1723	n	cds	no	complainer	conservative
MT226	n	cds	no	bluestocking	inclusive
MT1491	a	dmc	yes	ħażen	conservative
MT37	n	pa	yes	academician	inclusive
MT805	n	cds	no	rabble-rouser	conservative
MT1046	n	pa	yes	fishwife	inclusive
MT540	n	re	no	akkużi foloz	inclusive
MT1718	n	is	yes	xiħ	inclusive
MT938	n	cds	no	peon	inclusive
MT124	n	an	no	iqarqu	conservative
MT76	n	cds	no	mishmash	inclusive
MT763	n	cds	no	cross-tgħammir	inclusive
MT893	n	om	no	nates	inclusive
MT10	n	qas	no	acolyte	inclusive
MT1483	n	qas	no	parassitiżmu	inclusive
MT1791	n	re	no	mugging	inclusive
MT597	n	an	no	raunch	conservative
MT554	n	dmc	yes	grifter	conservative
MT1240	n	an	no	hyenas	inclusive
MT1895	n	re	no	raper	conservative
MT167	n	cds	no	bawdyhouse	inclusive
MT618	n	qas	no	kasti	inclusive
MT395	n	an	no	korp ta snatching	inclusive
MT523	n	ddp	yes	changelings	conservative
MT700	n	cds	no	skart muniċipali	inclusive
MT75	n	cds	no	gallimaufry	inclusive
MT1833	n	an	no	bufo	inclusive
MT678	n	ddp	yes	gossipmonger	conservative
MT1426	n	an	no	moue	inclusive
MT326	n	qas	no	tycoon	inclusive
MT1687	n	qas	no	mooch	conservative
MT194	n	qas	no	monger	inclusive
MT99	n	ddp	yes	metazoans	inclusive
MT1021	n	qas	no	sodbuster	inclusive
MT1625	n	cds	no	nymphomaniac	conservative
MT191	n	ddp	yes	churl	conservative
MT667	n	cds	no	newspaperman	inclusive
MT1055	n	cds	no	buffoonery	inclusive
MT330	n	qas	no	mexxejja tan-negozju	inclusive
MT1452	n	re	no	mafja	inclusive
MT926	n	cds	no	scads	inclusive
MT521	n	ps	yes	imbecile	conservative
MT1952	n	asm	no	għasafar	inclusive
MT1195	n	om	no	shirtlifter	inclusive
MT136	n	ddp	yes	jafu xejn	conservative
MT469	n	dmc	yes	hobos	conservative
MT1288	n	cds	no	splashiness	conservative
MT1524	n	an	no	scorpionfish	inclusive
MT1278	n	is	yes	vow tal-faqar	inclusive
MT108	n	re	no	rapists	conservative
MT78	n	asm	no	appendage	inclusive
MT1072	n	svp	no	rage	conservative
MT554	n	re	no	grifter	inclusive
MT1851	n	an	no	arlinga	inclusive
MT1010	n	pr	no	comare	conservative
MT1094	n	asm	no	ewropea fażola	inclusive
MT581	n	an	no	ġeneru capra	inclusive
MT1319	n	dmc	yes	pseud	conservative
MT1247	n	qas	no	ideologue	inclusive
MT1121	n	cds	no	nosey-parker	conservative
MT119	n	asf	no	betise	conservative
MT696	n	cds	no	skart domestiku	conservative
MT1014	n	qas	no	idejn qasam	inclusive
MT124	n	asm	no	iqarqu	conservative
MT892	n	om	no	warrani	inclusive
MT1654	n	re	no	omiċidju	inclusive
MT189	n	cds	no	barbaric	conservative
MT460	n	svp	no	hauteur	conservative
MT429	n	qas	no	businessperson	inclusive
MT1182	n	pr	no	prostituti	conservative
MT736	n	an	no	athene noctua	inclusive
MT1474	n	cds	no	hayseed	conservative
MT271	n	cds	no	dandies	inclusive
MT901	n	om	no	hind aħħar	inclusive
MT127	n	an	no	dunce	conservative
MT1691	n	qas	no	inkwiet-maker	conservative
MT1564	n	qas	no	sinker	inclusive
MT514	n	is	yes	pariah	inclusive
MT1433	n	cds	no	nursling	inclusive
MT389	n	ddp	yes	bungler	conservative
MT985	n	dmc	yes	libertinism	conservative
MT1294	n	cds	no	instructor	inclusive
MT1857	n	an	no	wirdiena	inclusive
MT601	n	asm	no	cockerel	inclusive
MT246	n	pr	no	sportivi mara	conservative
MT553	n	cds	no	scammer	inclusive
MT1059	n	cds	no	freemason	inclusive
MT1391	n	cds	no	pilferer	conservative
MT1839	n	cds	no	prig	conservative
MT1708	n	cds	no	know-it-all	conservative
MT140	n	an	no	donkey	inclusive
MT389	n	cds	no	bungler	conservative
MT1287	n	an	no	inexorability	conservative
MT942	n	ddf	yes	nanus	conservative
MT309	n	cds	no	outlawry	conservative
MT699	n	cds	no	żibel	inclusive
MT957	n	re	no	felons	inclusive
MT1128	n	asf	no	pussy	conservative
MT556	n	ddp	yes	riffraff	conservative
MT1083	n	cds	no	mobster	inclusive
MT1274	n	is	yes	foqra	inclusive
MT878	n	om	no	keister	inclusive
MT738	n	qas	no	l-ekwipaġġ	inclusive
MT1321	n	dmc	yes	faker	conservative
MT727	n	asm	no	gullibility	conservative
MT956	n	re	no	felon ħatja	inclusive
