n	ddp	yes	mispunt
n	asm	no	nookie
n	cds	no	bietser
n	om	no	homo
n	cds	no	lazerstraal
n	cds	no	prul
a	ddp	yes	stomme
n	ddp	yes	jojo
n	cds	no	mafiabaas
a	qas	no	zielig
n	pr	no	prostituee
n	asm	no	schroeven
n	asf	no	codswallop
n	qas	no	heikneuter
n	an	no	onverbiddelijkheid
n	cds	no	eigenliefde
n	ddp	yes	charlatan
n	ps	yes	leeghoofd
n	or	no	poesje
n	qas	no	tuig
n	ddp	yes	pillock
n	an	no	pip-squeak
n	rci	yes	palurk
n	asm	no	stomkop
n	cds	no	ellendeling
n	pr	no	tippelaarster
n	ps	yes	boerenkaffer
v	qas	no	verbruien
n	pr	no	del
n	or	no	bal gehakt
n	pr	no	straatprostituee
n	asf	no	gestoorde
v	asm	no	ketsen
v	qas	no	haspelen
n	an	no	steenezel
a	svp	no	hovaardig
n	or	no	homofiel
a	dmc	yes	ongehoord
n	an	no	straatmadelief
n	ddp	yes	barbaarse
a	cds	no	arrogant
a	svp	no	driftig
n	an	no	vallen guy
n	cds	no	politieagenten
n	cds	no	roddelaarster
n	rci	yes	boerenkinkel
n	dmc	yes	frutselaar
n	or	no	weetniet
n	ddp	yes	kalf
n	an	no	weetniet
n	ddp	yes	hufter
n	pr	no	tippelen
n	pr	no	moervos
n	cds	no	kelerelijder
n	or	no	sufkont
n	ddp	yes	uil
n	cds	no	steekneus
n	or	no	dom persoon
n	cds	no	boef
a	ddp	yes	onbenullig
n	asm	no	droplul
n	cds	no	vuilnis
n	ddp	yes	gestoorde
n	dmc	yes	smoelentrekker
a	ddp	yes	geesteloos
n	ps	yes	kwezel
n	cds	no	arrogantie
n	rci	yes	kaffer
n	cds	no	kuiken
n	asm	no	kloris
n	dmc	yes	zo-en-zo
n	asm	no	doofus
n	or	no	stommerik
n	cds	no	chiseler
n	an	no	schelm
n	asm	no	steenezel
n	svp	no	leegloper
n	asf	no	lobbes
n	ps	yes	moor
n	cds	no	klerezooi
n	om	no	bruinwerker
n	cds	no	zwijnezooi
n	cds	no	boerenkarhengst
n	pr	no	lichtekooi
n	asm	no	mannelijkheid
n	an	no	smeerpoets
n	svp	no	intolerantie
n	cds	no	rakker
n	dmc	yes	zwerver
n	or	no	stomkop
n	qas	no	bietser
n	om	no	reetkever
n	dmc	yes	misleiding
n	ps	yes	mongool
n	asm	no	eendvogel
n	qas	no	kladschilder
n	cds	no	misdadiger
n	cds	no	geldschieters
n	asf	no	oelewapper
n	dmc	yes	valsaard
n	cds	no	zwijneboel
a	qas	no	krankzinnige
n	cds	no	fascisme
n	qas	no	herrieschopper
n	ps	yes	zwartje
n	ddp	yes	mafketel
n	asm	no	nar
n	ddp	yes	stommerd
n	an	no	gierigheid
n	asm	no	f-bomb
n	qas	no	tagalong
n	an	no	luiaard
a	is	yes	sneu
n	an	no	kaffer
n	cds	no	bendeoorlogen
n	qas	no	leugentje
n	asm	no	flouter
n	dmc	yes	januskop
n	cds	no	goorlap
a	dmc	yes	vrekkig
n	cds	no	oetlul
n	ps	yes	bal gehakt
n	ddf	yes	onderkruipsel
n	cds	no	nietsdoener
n	or	no	steenezel
n	or	no	sodemieter
n	cds	no	stomkop
n	om	no	kinderlokker
n	an	no	hals
n	asf	no	mafkikker
n	re	no	daad van terrorisme
a	cds	no	laf
n	dmc	yes	stinken
n	asm	no	piel
n	ddp	yes	rumormonger
n	cds	no	practical-joker
n	cds	no	demagogie
n	qas	no	parasiet
n	an	no	slordig persoon
n	asf	no	mogool
n	ddp	yes	mafkikker
n	pr	no	slak
n	cds	no	bendelid
n	dmc	yes	snoever
n	dmc	yes	minimumlijder
n	cds	no	zemelaar
n	ddp	yes	zakkenwasser
n	rci	yes	pummel
n	re	no	gewelddadige verkrachting
n	cds	no	lapzwans
n	an	no	bangerd
n	dmc	yes	jezuïet
a	om	no	homoseksuele
n	an	no	mini-
n	cds	no	vervolger
n	ddp	yes	reptiel
n	ddp	yes	vallen guy
n	ddp	yes	flapdrol
n	or	no	klootzak
n	cds	no	struikrover
n	cds	no	knuppel
n	cds	no	knurft
n	cds	no	zelfzuchtigheid
n	ps	yes	hork
n	cds	no	kattekwaad
n	or	no	sufkut
n	dmc	yes	schuldig
n	dmc	yes	lummel
n	ps	yes	kinkel
n	svp	no	smulpaap
n	ps	yes	nitwit
n	asm	no	rund
n	ddp	yes	pens
n	cds	no	zanik
n	cds	no	barbaarse
n	dmc	yes	mislukkeling
n	qas	no	boerenkarhengst
n	ps	yes	plomperd
n	re	no	violatie
n	cds	no	hack schrijver
n	qas	no	schorremorrie
n	dmc	yes	huichelarij
n	svp	no	zelf-liefde
n	ddp	yes	goedzak
n	svp	no	dilly-dallier
n	cds	no	etter
n	cds	no	schurk
n	cds	no	paardenlul
a	svp	no	trots
n	cds	no	dogmatisme
v	qas	no	verwarren
n	an	no	dikkop
n	ps	yes	uilenbal
n	dmc	yes	veinzer
n	cds	no	knoeier
n	pr	no	echtbreekster
n	cds	no	simpele
n	cds	no	bangeschijter
n	or	no	pillock
n	ddp	yes	hondenlul
a	cds	no	uitgekookt
n	svp	no	superbia
n	dmc	yes	viezerik
n	rci	yes	boer
a	dmc	yes	onwelriekend
n	an	no	lafaard
n	cds	no	misdadige ellende
n	or	no	uilenbal
n	cds	no	bloodaard
v	asm	no	pompen
n	ddp	yes	eend
n	ddp	yes	lijp
a	svp	no	geldzuchtig
n	ddp	yes	dickhead
a	dmc	yes	namaak
n	or	no	fuckhoofd
n	ps	yes	geesteszieke
n	svp	no	hovaardij
n	rci	yes	woudezel
n	or	no	holebi
a	dmc	yes	verachtelijk
n	an	no	eendenkuiken
n	asm	no	f***
n	an	no	mug
n	dmc	yes	galgebrok
n	qas	no	hork
n	ddp	yes	onnozele bloed
n	dmc	yes	pseudo
n	cds	no	sufferd
n	om	no	mietje
n	svp	no	inertie
n	qas	no	opruier
n	an	no	kwibus
n	an	no	nar
v	qas	no	mispeuteren
n	ps	yes	plebejer
n	re	no	belediging
n	or	no	augurk
n	pa	yes	pummel
n	cds	no	verboden
n	re	no	vilifier
n	ddp	yes	hondelul
n	ddp	yes	boerenkinkel
n	pr	no	hip
n	an	no	schijter
n	or	no	geïnverteerde
n	cds	no	dondersteen
v	asm	no	poepen
v	asm	no	vozen
n	dmc	yes	prutser
n	ddp	yes	cretin
n	pa	yes	rouwdouwer
n	dmc	yes	slackers
v	qas	no	verkankelemienen
n	qas	no	pummel
n	re	no	lasteraar
a	cds	no	zelfingenomen
n	cds	no	flauwerik
n	cds	no	gang
n	an	no	schijtlijster
n	or	no	sufkop
n	cds	no	galgebrok
n	dmc	yes	hork
n	asm	no	flapdrol
n	ddp	yes	kloris
n	an	no	brutale meid
n	cds	no	prutsding
n	cds	no	ikzuchtig
n	dmc	yes	bedrieger
n	asf	no	augurk
n	cds	no	schijtluis
n	asm	no	lichtgelovigheid
n	asm	no	goedzak
n	cds	no	zaag
n	dmc	yes	snoodaard
v	ddp	yes	verblinden
n	ddp	yes	plebejer
n	an	no	folderol
n	ddp	yes	miesgasser
n	asm	no	kinderkaartspel
n	cds	no	ostentatiousness
n	an	no	dwaas
n	cds	no	pagadder
a	svp	no	bits
v	asm	no	bedriegen
n	ps	yes	palurk
n	svp	no	arrogantie
n	an	no	vamp
n	qas	no	onrustzaaier
n	an	no	bitch
n	cds	no	teringlijder
n	asm	no	goedgelovige
n	cds	no	vallen guy
n	cds	no	oelewapper
n	svp	no	hoogmoed
n	qas	no	boerenhufter
n	asf	no	muttonhead
n	asf	no	droplul
n	svp	no	tightfistedness
a	cds	no	demagogisch
n	asf	no	wisselkind
n	ddp	yes	prutser
a	ddp	yes	argeloos
n	dmc	yes	rube
n	dmc	yes	vuilik
n	ddp	yes	dom
a	dmc	yes	nagemaakt
n	asf	no	vaginaal
n	om	no	queer
n	an	no	vamper
n	dmc	yes	verrader
n	dmc	yes	slechterik
n	ps	yes	boerenpummel
n	dmc	yes	hongerlijder
n	dmc	yes	galgenaas
n	ddp	yes	heikneuter
n	pr	no	brutaaltje
n	an	no	zooerasty
n	cds	no	hondenlul
n	ddf	yes	dwerg
n	qas	no	roffelaar
n	cds	no	bellyacher
n	asf	no	snee
n	asf	no	onnozel persoon
n	pr	no	slet
n	ps	yes	lomp iemand
n	ps	yes	idioot
n	svp	no	kniezen
n	cds	no	groveler
n	dmc	yes	spitsboef
n	asm	no	halvezool
n	an	no	taddik
n	is	yes	cheapskate
n	rci	yes	proleet
n	ddp	yes	pleurislijder
n	or	no	dom
n	svp	no	gourmand
n	pr	no	hoererij
n	svp	no	minimumlijder
n	an	no	sufferd
n	qas	no	bedelaar
n	pr	no	kankerwijf
n	ddp	yes	shithead
n	cds	no	gewichtigheid
n	ps	yes	primitieveling
n	dmc	yes	tragische slechterik
n	re	no	terroristische organisatie
n	or	no	uilebal
n	or	no	domoor
n	cds	no	stouterik
n	ps	yes	uilebal
n	ddp	yes	fumbler
n	cds	no	woekeraarster
n	an	no	idioot
a	svp	no	geërgerde
n	svp	no	zelfingenomenheid
n	or	no	kalfskop
n	cds	no	rotzak
n	cds	no	wonk
n	cds	no	juut
n	dmc	yes	stuntel
n	asm	no	malloot
n	ps	yes	homp
n	cds	no	italiaanse maffia
n	ps	yes	zakkenwasser
n	cds	no	lijpo
n	dmc	yes	vagebond
n	asf	no	dumbass
n	dmc	yes	barbaars
n	cds	no	hooimold
n	re	no	defamer
n	cds	no	veelweter
n	ddp	yes	muttonhead
n	dmc	yes	palurk
n	asm	no	lul
n	an	no	lowlife
n	an	no	diddlysquat
n	ddp	yes	gezondheid fraude
n	or	no	homo's
n	cds	no	loansharking
n	an	no	halvezool
n	ddp	yes	weetniet
n	or	no	kut
n	cds	no	belhamel
a	svp	no	vijandig
v	qas	no	verkloten
n	qas	no	schooien
n	cds	no	agent
v	qas	no	verbrodden
n	cds	no	lijntrekker
n	cds	no	koe
n	ddp	yes	vlerk
n	an	no	grofheid
n	cds	no	eendenkuiken
n	cds	no	zelf-liefde
n	ddp	yes	imbeciliteit
n	qas	no	wilde
n	pa	yes	boerenpummmel
n	om	no	gay
n	asm	no	spotter
n	asm	no	wanker
a	svp	no	opvliegend
n	pr	no	john
n	dmc	yes	rouwdouw
n	svp	no	luierik
n	re	no	aanranding
n	cds	no	motoragent
n	dmc	yes	toddik
n	is	yes	boef
n	pr	no	hoertje
n	or	no	vagina
n	cds	no	hoaxer
n	asm	no	fucked
n	ddp	yes	zoöfilie
n	ps	yes	eendenkuiken
n	an	no	lapzwans
n	cds	no	kwakzalver
n	ps	yes	boerenkarhengst
n	cds	no	kinderkaartspel
n	asf	no	dombo
n	cds	no	kloris
n	dmc	yes	vuilpoes
n	cds	no	bendes
n	pa	yes	lomperik
n	cds	no	lammeling
n	ps	yes	nikker
n	asf	no	doos
n	svp	no	goed-voor-niets
n	dmc	yes	boerenkinkel
n	cds	no	lelijkerd
n	cds	no	plattelander
n	an	no	deerne
a	dmc	yes	nep
n	cds	no	plichtsverzaker
v	asm	no	vrijen
n	ddp	yes	kankeraar
n	ddp	yes	janhagel
n	cds	no	fascistisch
v	an	no	woeden
