id	pos	category	stereotype	lemma	level
NL993	n	dmc	yes	lowlife	inclusive
NL1573	n	ddf	yes	kreupele	inclusive
NL2211	n	an	no	dwergvleermuis	inclusive
NL274	n	cds	no	druiloor	conservative
NL2525	n	cds	no	lorejas	conservative
NL2813	n	or	no	acribie	inclusive
NL93	n	svp	no	narcisme	conservative
NL671	n	re	no	schelm	inclusive
NL3778	n	cds	no	pedanterie	inclusive
NL1021	n	dmc	yes	galgebrok	conservative
NL1169	n	cds	no	waanzinnige	inclusive
NL1664	n	cds	no	verwerpen	conservative
NL290	n	ddp	yes	uilskuiken	conservative
NL1103	n	an	no	antropofaag	inclusive
NL1515	n	an	no	bedwants	inclusive
NL684	n	dmc	yes	balling	inclusive
NL932	n	qas	no	zakenman	inclusive
NL650	n	svp	no	dweper	conservative
NL3946	n	re	no	zedenmisdrijf	inclusive
NL1986	a	cds	no	verfoeilijk	conservative
NL281	n	asf	no	droplul	conservative
NL304	n	asf	no	gehaktbal	conservative
NL2524	n	dmc	yes	donderstraal	inclusive
NL435	n	ddp	yes	boerenkaffer	conservative
NL3429	v	cds	no	uitdrogen	inclusive
NL224	n	re	no	geklets	conservative
NL3602	n	an	no	goeierd	conservative
NL1125	n	is	yes	paria	inclusive
NL2970	n	om	no	knapenschennis	inclusive
NL3506	n	cds	no	zemel	conservative
NL1612	n	ps	yes	hybride	inclusive
NL2156	n	svp	no	futiliteit	conservative
NL297	n	cds	no	onbenul	inclusive
NL868	n	cds	no	klungel	conservative
NL571	n	pr	no	prostituée	conservative
NL418	n	pr	no	onzin	conservative
NL276	n	asm	no	eend	conservative
NL4172	n	ps	yes	rommany	inclusive
NL3642	a	cds	no	laf	conservative
NL830	n	cds	no	stommelen	inclusive
NL3198	n	an	no	sucker	inclusive
NL2647	n	dmc	yes	morele bankroet	inclusive
NL3495	n	cds	no	jammeraar	conservative
NL1865	n	om	no	laterale	inclusive
NL347	n	svp	no	schraapzucht	inclusive
NL96	n	svp	no	hoogmoed	conservative
NL213	n	ddp	yes	epifauna	inclusive
NL961	n	cds	no	ikzuchtig	conservative
NL1374	n	svp	no	fysieke aantrekkingskracht	inclusive
NL416	n	asm	no	zaadballen	inclusive
NL455	n	ddp	yes	rouwdouw	conservative
NL313	n	ps	yes	leeghoofd	conservative
NL442	n	ddp	yes	vlegel	conservative
NL3599	n	an	no	kippen	inclusive
NL267	n	ps	yes	kwezel	conservative
NL293	n	cds	no	sufkut	inclusive
NL1197	n	re	no	lasteraar	conservative
NL4169	n	ps	yes	roma-zigeuner	inclusive
NL1114	n	cds	no	site	inclusive
NL1974	n	dmc	yes	moraal	inclusive
NL963	n	cds	no	egoïstische	conservative
NL2880	n	an	no	nachtvlinders	inclusive
NL409	n	asm	no	ballock	inclusive
NL3446	n	cds	no	veelweter	conservative
NL282	n	asm	no	koe	conservative
NL2567	n	is	yes	berooid	inclusive
NL1882	n	pa	yes	huisbewaarder	inclusive
NL3570	a	svp	no	geërgerd	conservative
NL896	n	an	no	ossen	inclusive
NL3204	n	ps	yes	wit	inclusive
NL3919	n	ddp	yes	wijvenpraat	inclusive
NL1671	n	cds	no	schavuit	inclusive
NL447	n	dmc	yes	kinkel	conservative
NL2322	a	cds	no	snood	conservative
NL1168	n	ddp	yes	moron	inclusive
NL3391	v	cds	no	de geest geven	inclusive
NL4119	n	cds	no	corrupte	inclusive
NL75	n	cds	no	idioot	conservative
NL436	n	dmc	yes	pummel	conservative
NL1293	n	asm	no	piemel	conservative
NL58	n	ddp	yes	imbeciliteit	inclusive
NL1253	n	cds	no	soortgenoten	inclusive
NL1121	n	is	yes	outcast	inclusive
NL467	n	an	no	beestachtigheid	inclusive
NL301	n	cds	no	eendenkuiken	inclusive
NL3283	n	ps	yes	vernieler	conservative
NL3630	a	dmc	yes	vals	conservative
NL2023	n	cds	no	gedrevene	conservative
NL3625	a	ps	yes	chinees	inclusive
NL828	n	qas	no	boo-boo	inclusive
NL634	n	cds	no	begarden	inclusive
NL308	n	asm	no	minkukel	inclusive
NL2790	n	cds	no	teringzooi	conservative
NL3989	n	an	no	kaaimannen	inclusive
NL3852	a	ddp	yes	stompzinnig	conservative
NL2668	n	qas	no	liegen	conservative
NL997	n	dmc	yes	gannef	inclusive
NL2728	n	qas	no	markt keeper	inclusive
NL2938	n	cds	no	flic	inclusive
NL545	n	asf	no	appelflap	conservative
NL449	n	ps	yes	hufter	conservative
NL1660	n	or	no	cucurbita maxima	inclusive
NL2623	n	cds	no	onderwijzeres	inclusive
NL3680	n	re	no	kinderontvoering	inclusive
NL542	n	cds	no	sufkop	conservative
NL1563	n	cds	no	jerk-off	conservative
NL1451	n	ddp	yes	gossiper	conservative
NL298	n	asm	no	oen	conservative
NL439	n	qas	no	boer	inclusive
NL298	n	ddp	yes	oen	inclusive
NL532	n	an	no	homp	conservative
NL1694	n	cds	no	agitator	conservative
NL1613	n	ps	yes	plantenveredeling	inclusive
NL867	n	ddp	yes	fumbler	conservative
NL260	n	asm	no	uil	conservative
NL455	n	rci	yes	rouwdouw	conservative
NL794	n	cds	no	patjakker	conservative
NL592	n	cds	no	onwaarheid	conservative
NL775	n	ddp	yes	fielt	conservative
NL1541	n	an	no	vamper	conservative
NL2169	n	asm	no	breed-boon plant	inclusive
NL1997	n	an	no	bakkes	inclusive
NL3183	n	ps	yes	negers	inclusive
NL258	n	asm	no	ei	conservative
NL1689	n	dmc	yes	misleidende	conservative
NL120	n	qas	no	volgeling	inclusive
NL3611	n	cds	no	baby's	inclusive
NL3246	n	re	no	moord-zelfmoord	inclusive
NL307	n	ps	yes	sufkont	conservative
NL1296	n	asm	no	tampeloeres	conservative
NL2236	n	cds	no	onderhandelaar	inclusive
NL593	n	cds	no	leugen	conservative
NL752	n	ddp	yes	schoft	conservative
NL447	n	pa	yes	kinkel	conservative
NL3281	n	cds	no	woekerrente	inclusive
NL274	n	asm	no	druiloor	inclusive
NL3572	a	svp	no	kribbig	conservative
NL1953	n	qas	no	amateur	conservative
NL1878	n	svp	no	gourmand	conservative
NL624	n	ps	yes	bedoeïenen	inclusive
NL1696	n	cds	no	demagogie	conservative
NL1907	n	ps	yes	haringbuis	inclusive
NL436	n	pa	yes	pummel	conservative
NL1017	n	dmc	yes	clochard	inclusive
NL279	n	dmc	yes	boerenlul	conservative
NL3028	n	asm	no	tuinerwt	inclusive
NL3657	n	pr	no	pesterij	conservative
NL2076	n	cds	no	finagler	conservative
NL395	n	cds	no	bordeelhouder	inclusive
NL2265	v	asm	no	de liefde bedrijven	conservative
NL412	n	qas	no	kloot	inclusive
NL2338	n	re	no	dieven	inclusive
NL1028	n	svp	no	nietsnut	conservative
NL254	n	asf	no	domkop	conservative
NL2520	n	cds	no	stouterik	conservative
NL287	n	an	no	lijp	conservative
NL823	n	cds	no	misslag	inclusive
NL762	n	ddp	yes	hondenlul	conservative
NL962	n	cds	no	ikzucht	conservative
NL1499	n	qas	no	tinnef	inclusive
NL563	n	an	no	prostituee	conservative
NL2563	n	ddp	yes	flauwekul	inclusive
NL439	n	ddp	yes	boer	conservative
NL1723	n	ddp	yes	slungel	conservative
NL3622	a	ddf	yes	blind	inclusive
NL516	n	qas	no	adellijke	inclusive
NL155	n	an	no	codswallop	conservative
NL2506	n	dmc	yes	imitatie	inclusive
NL3746	n	an	no	kikvors	inclusive
NL537	n	asf	no	soft touch	conservative
NL263	n	an	no	stomkop	conservative
NL303	n	qas	no	kaffer	conservative
NL905	n	cds	no	hoofd	inclusive
NL1490	n	cds	no	huisvuil	conservative
NL3118	n	ddp	yes	onbenulligheid	conservative
NL436	n	ps	yes	pummel	conservative
NL1840	n	om	no	achterkant	inclusive
NL2463	n	cds	no	hybris	inclusive
NL1285	n	asm	no	roede	conservative
NL1528	n	svp	no	verlangen	inclusive
NL2336	n	cds	no	diefstallen	inclusive
NL4042	n	om	no	travestie	inclusive
NL40	n	cds	no	makelaars	inclusive
NL1273	n	cds	no	rotzooi	conservative
