n	cds	no	politifolk
n	cds	no	designerfritidsklær
n	asm	no	nookie
n	cds	no	onde
n	dmc	yes	mozarella
n	re	no	sicilianske mafiaen
n	cds	no	knep
n	ps	yes	zuluer
n	or	no	blockhead
n	cds	no	børsmeglere
n	an	no	hundemidd
n	re	no	ransmann
n	cds	no	nörd
n	asf	no	codswallop
n	qas	no	cadger
n	asf	no	twat
n	asm	no	fisk
n	svp	no	kjedelig
n	an	no	bos taurus
n	an	no	caiman
n	pa	yes	personlig stol
n	svp	no	cardinal sins
n	asf	no	dunce
n	cds	no	alfons
n	an	no	tomfool
n	ddp	yes	pillock
n	an	no	slask
n	qas	no	klossmajor
n	or	no	lunkhead
n	an	no	rivjern
n	cds	no	hyklersk
n	dmc	yes	pariakaste
n	qas	no	tabbe
n	om	no	kryss-kjole
n	cds	no	villmann
n	cds	no	faktor
n	qas	no	boner
n	an	no	gjerrigknark
n	qas	no	storbonde
n	an	no	får
n	cds	no	reaksjonær
n	dmc	yes	barbarer
n	dmc	yes	slackers
n	an	no	papegøyer
a	dmc	yes	falske
n	an	no	villokse
n	re	no	lovbestemte voldtekt
n	pr	no	sankthansorm
n	cds	no	devilment
n	pa	yes	pikkolo
n	om	no	homofil
n	cds	no	rampete
n	cds	no	ekstrem høyre-ving
n	cds	no	toalettene
n	an	no	capra
n	asm	no	doofus
n	an	no	grossness
n	cds	no	chiseler
n	cds	no	hallikvirksomhet
n	re	no	grand theft
n	dmc	yes	sosialt utskudd
n	svp	no	tightwad
n	qas	no	granger
n	ddp	yes	dum
n	dmc	yes	spøkefugl
n	ddp	yes	motherfucker
n	cds	no	høy handedness
n	qas	no	sognebarn
n	cds	no	meglere
n	qas	no	lurvete og bobtail
n	dmc	yes	klossmajor
n	an	no	caprinae
n	qas	no	parasitter
n	qas	no	industrimagnat
n	pr	no	rattus norvegicus
n	cds	no	camarilla
n	an	no	kanin
n	re	no	politiet misbruk
n	cds	no	mafioso
n	ps	yes	svarte kvinner
n	cds	no	tonn
n	asm	no	brun
n	re	no	økonomisk misbruk
n	pr	no	hoffmann
n	ddf	yes	funksjonshemninger
n	cds	no	purk
n	cds	no	djevelskap
n	dmc	yes	deceiver
n	an	no	hemipteron
n	or	no	poof
n	dmc	yes	hobo
n	cds	no	klok fyr
n	re	no	'ndrangheta
n	an	no	hemipteran
n	pr	no	nattsommerfugler
n	an	no	biston betularia
n	re	no	ran
n	pa	yes	cordwainer
n	qas	no	kastene
n	cds	no	så-og-så
n	cds	no	dandy
n	dmc	yes	hjemløse
n	qas	no	tagalong
n	qas	no	klemme
n	cds	no	prelat
n	ddp	yes	simpleton
n	re	no	lovbrudd
n	an	no	gosling
n	om	no	analsex
n	ddp	yes	microcephalic
a	cds	no	krevende
n	cds	no	synge
n	ps	yes	halv kaste
n	qas	no	baroner
n	cds	no	søppelpost
n	ps	yes	dust
n	an	no	nattsvermer
n	qas	no	jordbrukere
n	cds	no	brigand
n	re	no	ærekrenkende
n	cds	no	åtsel
n	an	no	stick-in-the-mud
n	cds	no	frekkhet
n	an	no	sjakaler
n	qas	no	barokk arkitektur
n	an	no	hai
n	cds	no	conventicles
n	qas	no	baronen
n	cds	no	neonatal
n	cds	no	avfall
n	om	no	krysse dressing
n	cds	no	svermerier
n	ddp	yes	rumormonger
n	qas	no	baronessen
n	rci	yes	barbarer
n	an	no	crocodylian
n	cds	no	relikvium
n	or	no	knucklehead
n	cds	no	skolelærer
n	an	no	genus anguilla
n	dmc	yes	dagdriver
n	qas	no	grandiosity
n	asm	no	skru
n	ps	yes	inkiness
n	an	no	tulling
n	ddf	yes	uførhet
n	re	no	capturer
n	dmc	yes	barbarisk
n	qas	no	skrapjern
n	an	no	fulvus
n	an	no	stikkemygg
n	cds	no	tosk
n	cds	no	rotter
n	qas	no	toppleder
a	re	no	voldelig
n	om	no	rumpe
n	asm	no	maxilliped
n	an	no	simpleton
n	an	no	lyngbobb
n	an	no	suborder blattaria
n	cds	no	penger utlån
n	dmc	yes	ne'er-do-well
n	an	no	branta bernicla
n	dmc	yes	så-og-så
n	an	no	snigel
n	cds	no	dusinvis
n	pr	no	løs kvinne
n	re	no	storfe rustling
n	cds	no	muggins
n	om	no	boller
n	re	no	thievery
v	cds	no	forgude
n	cds	no	lån sharking
n	pa	yes	porter
n	ddp	yes	uvitenhet
n	ddp	yes	kvakksalver lege
n	ddf	yes	half-pint
n	re	no	dømt forbryter
n	qas	no	divulgence
n	ps	yes	mosaittiske
n	ps	yes	planteforedling
n	ddp	yes	pudding hodet
n	cds	no	gigolo
n	ddp	yes	mor fucker
n	dmc	yes	utstøtt
n	cds	no	lurvete
n	om	no	faggot
n	re	no	villskap
n	ps	yes	mongoloids
n	an	no	felles lus
n	svp	no	fysisk tiltrekning
n	an	no	viciousness
n	an	no	pediculus humanus
n	cds	no	dogmatisme
n	pr	no	hunnhund
n	re	no	traducement
n	qas	no	cull
n	pa	yes	ekstraordinær professor
n	qas	no	profesjonell klasse
n	ps	yes	afrikansk avstamning
n	or	no	pillock
n	cds	no	politisk reaksjon
n	svp	no	slackers
n	an	no	rynke
n	svp	no	superbia
n	cds	no	forbrytelser
n	re	no	defrauder
n	cds	no	demagogiske
n	svp	no	minginess
n	om	no	handikappet person
n	ddp	yes	dickhead
n	an	no	lus
n	re	no	piratkopiering
n	cds	no	snobb
n	cds	no	rube
n	pr	no	doxy
n	cds	no	klossmajor
n	ddp	yes	analfabet person
n	pa	yes	bellboy
n	cds	no	propagandist
n	re	no	voldtektsmann
n	is	yes	sosialt utskudd
n	cds	no	konspirasjonsteori
n	ps	yes	mosaittisk
n	qas	no	parasittoid
n	or	no	sativus
n	cds	no	score
n	asf	no	kalvehode
n	ddp	yes	epifauna
n	dmc	yes	pseudo
n	an	no	vinbergsnegl
n	ddp	yes	quack
n	ps	yes	hispanic
n	an	no	gatepiken
n	cds	no	intergeneric hybrid
v	an	no	gøy
n	cds	no	late
n	is	yes	tragisk skurk
n	an	no	tamhunder
n	asm	no	ert plante
n	cds	no	conformist
n	cds	no	scientisme
n	ddp	yes	tilbakeliggenhet
n	cds	no	fop
n	om	no	ikke-vestlige begrepene mannlig seksualitet
n	pr	no	gun moll
n	cds	no	rettsbrudd
n	an	no	mygg
n	cds	no	omertà
n	an	no	bikkje
n	re	no	vilifier
n	an	no	anguilla
n	dmc	yes	libertinism
n	ddp	yes	barbari
n	ddp	yes	stupe
n	an	no	kakerlakker
n	dmc	yes	slubbert
n	ddp	yes	cretin
n	cds	no	fangevokter
n	qas	no	fib
n	re	no	tortur
n	pr	no	rotte
a	ddp	yes	dum
n	or	no	faggot
n	pa	yes	hyrdinnen
n	cds	no	tørkestativ
a	cds	no	sleip
n	cds	no	italienske mafiaen
n	pr	no	mannlig eskorte
n	pr	no	prostituerte
n	qas	no	ballock
n	ps	yes	jøde
n	cds	no	strikebreakers
n	an	no	sea scorpion
n	ddf	yes	funksjonshemning
n	an	no	grisene
n	an	no	canis familiaris
n	cds	no	dastardliness
n	om	no	dame
n	ps	yes	jødedom
n	re	no	bakvaskelse
n	pr	no	mannlig prostituert
n	cds	no	satyroman
n	pa	yes	professorkompetanse
n	an	no	chinch
n	svp	no	sloth
n	pa	yes	tilsvarende medlem
n	or	no	poteter
n	asm	no	fallisk
n	cds	no	fanatikere
n	cds	no	overfallsmenn
n	cds	no	nerder
n	an	no	folderol
a	is	yes	fattig
n	cds	no	den store massen
n	re	no	annengrads mord
n	pr	no	kjeftesmelle
n	an	no	visent
n	an	no	mikrobiell
n	svp	no	apati
n	dmc	yes	jester
n	re	no	første grad drap
n	qas	no	velte
n	cds	no	stammesamfunn
n	an	no	bitch
n	ps	yes	romanifolket
n	an	no	griser
n	qas	no	hutch
n	cds	no	kaos
n	pr	no	lysbille
n	an	no	skjørt chaser
n	an	no	grisunge
n	an	no	kaninen
n	svp	no	lustfulness
n	qas	no	hytte
n	re	no	politi overgrep
n	an	no	brent goose
n	pa	yes	barbarer
n	ddp	yes	hooey
n	svp	no	tightfistedness
n	ddp	yes	idiotés
n	cds	no	barbarisk
n	re	no	backbiter
n	om	no	fenikkel
n	dmc	yes	rube
a	ps	yes	jødiske
n	cds	no	advocacy
a	ddf	yes	frastøtende
n	om	no	queer
n	an	no	vamper
n	ddp	yes	newsmonger
n	dmc	yes	hjemløs person
n	ddp	yes	dunderhead
n	an	no	heterocera
n	qas	no	avvise
n	an	no	dirty trick
n	ps	yes	mestiser
n	dmc	yes	betalingsudyktig
n	asm	no	testikkel
n	cds	no	mutt
