pos	category	stereotype	lemma	level
n	ddp	yes	tullebukk	conservative
n	dmc	yes	dilly-dallier	conservative
n	pr	no	biston betularia	inclusive
n	an	no	kaimaner	inclusive
n	an	no	gatepiken	conservative
n	ps	yes	bulgarsk	inclusive
n	an	no	animalculum	inclusive
n	ps	yes	blackamoor	inclusive
n	cds	no	løgner	inclusive
n	qas	no	magniloquence	inclusive
n	dmc	yes	andre-rater	conservative
n	qas	no	villmann	conservative
n	ddf	yes	handikap	inclusive
n	svp	no	lustfulness	inclusive
n	cds	no	culchie	inclusive
n	cds	no	kryss-avl	inclusive
n	is	yes	gnier	conservative
n	cds	no	komfort-stasjon	inclusive
n	an	no	insekter	inclusive
n	svp	no	stoltheit	inclusive
n	cds	no	demagog	conservative
n	qas	no	bommert	inclusive
n	re	no	kriminalitet	inclusive
n	asf	no	tullebukk	conservative
n	cds	no	stortyv	inclusive
n	qas	no	magnat	inclusive
n	cds	no	folkehav	inclusive
n	re	no	drapsmann	inclusive
n	cds	no	cull	conservative
n	svp	no	conceitedness	conservative
n	asf	no	numskull	conservative
n	dmc	yes	villmann	conservative
n	an	no	barnepike-geit	inclusive
n	or	no	cucurbita maxima	inclusive
n	asm	no	tissefant	inclusive
n	re	no	ærekrenkelse	conservative
n	asm	no	fuck	conservative
n	qas	no	gårdsarbeider	inclusive
n	cds	no	betjent	conservative
n	svp	no	dødssynder	inclusive
n	dmc	yes	onde	inclusive
n	ddp	yes	stupiditet	conservative
n	an	no	late	conservative
n	cds	no	gossipmonger	conservative
n	om	no	rumpeball	inclusive
n	cds	no	pyse	conservative
n	cds	no	moneylending	conservative
n	pa	yes	frieren	inclusive
n	ps	yes	jødedom	inclusive
n	om	no	homosexualism	inclusive
n	re	no	drap	inclusive
n	an	no	culex pipiens	inclusive
n	ddp	yes	mental retardasjon	inclusive
n	ddp	yes	oaf	conservative
n	qas	no	blooper	inclusive
n	asm	no	tosk	conservative
n	cds	no	strikebreakers	inclusive
n	qas	no	ugagn-maker	conservative
n	cds	no	outlaw	inclusive
n	ddp	yes	naut	conservative
n	an	no	hoggorm	inclusive
n	cds	no	bookworm	conservative
n	cds	no	scads	inclusive
n	svp	no	vrede	inclusive
n	re	no	terrorangrep	conservative
n	an	no	blodsuger	inclusive
n	an	no	grisene	inclusive
n	cds	no	forbryter	conservative
n	cds	no	rustler	inclusive
n	dmc	yes	dissimulator	conservative
n	dmc	yes	svindler	conservative
n	om	no	derriere	inclusive
n	ps	yes	vandal	inclusive
n	cds	no	whiner	conservative
n	om	no	ipsilaterale	inclusive
n	qas	no	gårdbruker	inclusive
n	re	no	lidelse	inclusive
n	om	no	anatomiske gjelder plassering	inclusive
n	an	no	fauna	inclusive
n	pr	no	heterocera	inclusive
v	an	no	bjeffe	inclusive
n	cds	no	ungdomsforbryter	conservative
n	svp	no	begjær	inclusive
n	pa	yes	mortician	inclusive
n	cds	no	fascisme	conservative
n	re	no	grifter	inclusive
n	re	no	kidnappere	inclusive
n	an	no	ildflue	inclusive
n	pa	yes	begravelse direktør	inclusive
n	cds	no	partiet	inclusive
n	qas	no	husarbeid	inclusive
n	pr	no	kommersielle seksuelle	inclusive
n	cds	no	lærerinne	inclusive
n	pr	no	prostituert	conservative
n	cds	no	knipe	inclusive
n	an	no	biff	inclusive
n	cds	no	avløpssystem	inclusive
n	cds	no	røver	conservative
n	pr	no	rattus	inclusive
n	an	no	dunce	conservative
n	cds	no	masse	inclusive
n	qas	no	løgner	conservative
n	qas	no	vanskelighet  t	inclusive
n	cds	no	schoolma'am	conservative
n	svp	no	niggardliness	conservative
n	an	no	sjakaler	inclusive
n	or	no	fuckhead	conservative
v	cds	no	dø	inclusive
n	qas	no	flub	inclusive
n	svp	no	avariciousness	inclusive
n	svp	no	gjerrigknark	inclusive
n	asm	no	cockerel	inclusive
n	pa	yes	advocator	inclusive
n	pr	no	prostitusjon	conservative
n	an	no	vamper	conservative
n	an	no	tamhund	inclusive
n	pa	yes	revisor	inclusive
n	an	no	hunden	inclusive
n	dmc	yes	scattergood	inclusive
n	pr	no	hetaira	inclusive
n	ddp	yes	idioti	inclusive
n	ddp	yes	blabber	conservative
n	an	no	culicidae	inclusive
n	an	no	blattaria	inclusive
n	cds	no	nå	inclusive
n	cds	no	fanatiker	conservative
n	ps	yes	metoiker	inclusive
n	cds	no	planteforedlerrett	inclusive
n	qas	no	boor	conservative
n	ps	yes	jøde	inclusive
n	an	no	krokodiller	inclusive
n	cds	no	selvtilfredshet	inclusive
n	cds	no	tørkestativ	inclusive
n	an	no	wisent	inclusive
n	an	no	skrik-ugle	inclusive
n	cds	no	egenkjærlighet	conservative
n	ddp	yes	ninny	conservative
n	an	no	diddlyshit	conservative
n	om	no	barnemishandler	conservative
n	an	no	bos taurus	inclusive
n	ddp	yes	idiotés	conservative
n	svp	no	mope	conservative
n	cds	no	motley fool	inclusive
n	svp	no	eros	inclusive
n	dmc	yes	turncoat	conservative
n	qas	no	løgn	conservative
n	pa	yes	prof	inclusive
n	svp	no	superbia	conservative
n	cds	no	plantebioteknologi	inclusive
n	pr	no	socialite	inclusive
n	pa	yes	korporal	inclusive
n	cds	no	lowlife	conservative
n	cds	no	renkesmed	inclusive
n	an	no	pyse	conservative
n	om	no	buggery	inclusive
n	qas	no	lurvete	conservative
n	qas	no	housekeeping	inclusive
n	om	no	boller	inclusive
n	cds	no	gutt	inclusive
n	cds	no	loanshark	inclusive
n	om	no	lesbisk	inclusive
n	an	no	animalcule	inclusive
n	cds	no	weisenheimer	conservative
n	qas	no	commoners	inclusive
a	svp	no	olm	inclusive
n	an	no	crocodilian	inclusive
n	dmc	yes	forfalskeri	inclusive
n	cds	no	banditti	conservative
n	cds	no	litterær hack	conservative
n	ps	yes	doofus	conservative
n	re	no	ran	inclusive
