id	pos	category	stereotype	lemma	level
NO1363	n	svp	no	raseri	conservative
NO1837	n	dmc	yes	mozarella	inclusive
NO2370	n	re	no	kidnappe	inclusive
NO1921	n	qas	no	parasittisk	inclusive
NO156	n	or	no	nick jr.	inclusive
NO1736	n	an	no	insekter	inclusive
NO1022	n	dmc	yes	svik	conservative
NO2387	n	cds	no	bootlicker	conservative
NO982	n	cds	no	mengd	inclusive
NO81	n	om	no	analt samleie	inclusive
NO483	n	dmc	yes	rakehell	conservative
NO1855	n	cds	no	nurseling	inclusive
NO522	n	an	no	viciousness	conservative
NO480	n	pa	yes	begravelse begravelsesbyrå	inclusive
NO1368	n	svp	no	dillydallier	conservative
NO2496	n	ddp	yes	poppycock	inclusive
NO2037	n	cds	no	puzzler	conservative
NO766	n	asm	no	kuk	inclusive
NO173	n	an	no	blockhead	conservative
NO700	n	cds	no	svindler	conservative
NO939	n	an	no	kirkeugle	inclusive
NO1906	n	dmc	yes	uhøflig	conservative
NO1874	n	re	no	mafioso	inclusive
NO283	n	pa	yes	rådgiver-at-loven	inclusive
NO2087	n	ps	yes	negre	inclusive
NO721	n	an	no	bisk	inclusive
NO573	n	qas	no	middelklasse	inclusive
NO2636	n	re	no	furiousness	inclusive
NO1613	n	cds	no	falsk idol	inclusive
NO715	n	an	no	hundene	inclusive
NO1146	n	svp	no	trencherman	inclusive
NO602	n	dmc	yes	dirty dog	conservative
NO2574	n	om	no	crossdresser	inclusive
NO1679	n	cds	no	pedagogisk hjelpemiddel	inclusive
NO1896	n	an	no	pudge	conservative
NO2651	n	dmc	yes	desertør	conservative
NO1496	n	re	no	tjuv	inclusive
NO1485	a	cds	no	slu	conservative
NO172	n	cds	no	drittsekk	inclusive
NO954	n	an	no	crocodilian	inclusive
NO1130	n	om	no	dorsolaterale	inclusive
NO175	n	ddp	yes	dumbass	conservative
NO317	n	cds	no	syndebukk	conservative
NO143	n	ddp	yes	epifaunal	inclusive
NO1006	n	qas	no	culling	conservative
NO1763	n	svp	no	sint	inclusive
NO1967	n	pr	no	rotte	inclusive
NO86	n	svp	no	late	conservative
NO128	n	an	no	animalia	inclusive
NO1179	n	svp	no	ravenousness	conservative
NO2579	n	om	no	transvestitism	inclusive
NO1899	n	om	no	pederastic	inclusive
NO2491	a	ddf	yes	frastøtende	conservative
NO2446	n	an	no	kakerlakker	inclusive
NO935	n	an	no	bird of minerva	inclusive
NO186	n	om	no	ass	inclusive
NO1244	n	cds	no	svermeri	conservative
NO2535	n	re	no	terrorister	conservative
NO896	n	cds	no	skrap	conservative
NO263	n	rci	yes	barbarer	conservative
NO167	n	ps	yes	dust	conservative
NO2475	a	is	yes	patetisk	conservative
NO141	n	ddp	yes	fauna	inclusive
NO591	n	cds	no	hauteur	conservative
NO557	n	qas	no	bedrift person	inclusive
NO265	n	ps	yes	barbariske	conservative
NO2646	n	an	no	hoggorm	inclusive
NO508	n	qas	no	blunderer	conservative
NO1367	n	dmc	yes	dilly-dallier	conservative
NO56	n	ddp	yes	psykisk utviklingshemning	inclusive
NO2050	n	qas	no	åndelig leder	inclusive
NO1467	n	an	no	griseslekten	inclusive
NO1014	n	om	no	ma'am	inclusive
NO1620	n	dmc	yes	slubbert	inclusive
NO2056	n	cds	no	runt	conservative
NO2624	n	cds	no	bestikkelig	inclusive
NO1068	n	an	no	diddley	conservative
NO706	n	an	no	riffraff	conservative
NO569	n	qas	no	borgerklassen	inclusive
NO1869	n	cds	no	tenestemann	conservative
NO2652	n	dmc	yes	turncoat	conservative
NO861	n	or	no	homoseksuell	conservative
NO788	n	cds	no	selvtilfredshet	inclusive
NO104	n	cds	no	codswallop	conservative
NO1349	n	cds	no	frimurerordenen	inclusive
NO755	n	svp	no	minginess	conservative
NO1870	n	cds	no	purk	conservative
NO1247	n	cds	no	sutenør	conservative
NO1156	n	cds	no	betalingsudyktig	conservative
NO2372	n	re	no	ran	inclusive
NO1900	n	om	no	pederasti	inclusive
NO2151	n	an	no	skauflått	inclusive
NO1861	n	svp	no	utuktig	inclusive
NO286	n	pa	yes	sakfører	inclusive
NO1330	n	dmc	yes	hoffnarr	inclusive
NO166	n	asf	no	tullebukk	conservative
NO540	n	cds	no	mafiabossen	inclusive
NO208	n	svp	no	de syv kardinalsyndene	inclusive
NO411	n	cds	no	forbryter	conservative
NO183	n	an	no	afrikansk villesel	inclusive
NO1742	n	cds	no	backtalk	inclusive
NO1630	n	ddf	yes	funksjonshemninger	inclusive
NO603	n	dmc	yes	scum bag	inclusive
NO1995	n	ps	yes	mestizo	conservative
NO2450	n	cds	no	andre-rater	conservative
NO1389	n	asm	no	bred bønne	inclusive
NO1067	n	an	no	diddly	conservative
NO2576	n	om	no	transvestitter	inclusive
NO399	n	cds	no	bande	inclusive
NO35	n	cds	no	meglere	inclusive
NO405	n	cds	no	kriminelle	inclusive
NO1599	n	an	no	hyaena	inclusive
NO55	n	ddp	yes	tilbakestående	inclusive
NO1320	n	qas	no	dilemma	inclusive
NO506	n	qas	no	bumbler	conservative
NO96	n	qas	no	omnium-gatherum	inclusive
NO1707	n	dmc	yes	bedragar	conservative
NO1142	n	qas	no	kennel	inclusive
NO2300	a	re	no	olm	inclusive
NO1107	n	om	no	ventrolateral	inclusive
NO904	n	an	no	veggdyr	inclusive
NO2218	n	an	no	skjørt chaser	conservative
NO2301	a	re	no	rasende	inclusive
NO2293	n	an	no	pels- og fjærlus	inclusive
NO1103	n	om	no	boller	inclusive
NO75	n	svp	no	sloth	inclusive
NO165	n	ps	yes	tosk	conservative
NO897	n	cds	no	metallavfall	inclusive
NO2582	n	om	no	transvestittisme	inclusive
NO1302	n	asm	no	fiskers anatomi	inclusive
NO2607	n	cds	no	konspirasjonsteorier	inclusive
NO617	n	an	no	skurk	conservative
NO824	n	svp	no	begjær	inclusive
NO2572	n	om	no	kryss-kjole	inclusive
NO670	n	asf	no	idiotés	conservative
NO541	n	ddp	yes	hjerneskade	inclusive
NO194	n	svp	no	gjerrighet	inclusive
NO490	n	cds	no	bommert	inclusive
NO486	n	cds	no	botch	inclusive
NO1082	n	cds	no	grunge	inclusive
NO999	n	or	no	sativus	inclusive
NO167	n	asf	no	dust	conservative
NO1264	n	qas	no	felt hånd	inclusive
NO1842	n	an	no	stick-in-the-mud	conservative
NO260	n	cds	no	brigand	conservative
NO764	n	an	no	raunch	conservative
NO472	n	re	no	utpresset	conservative
NO753	n	an	no	hun-geit	inclusive
NO1222	n	an	no	søye	inclusive
NO687	n	re	no	traducement	inclusive
NO57	n	ddp	yes	utviklingshemmede	inclusive
NO1494	n	cds	no	thievery	inclusive
NO648	n	cds	no	åtsel	inclusive
NO1250	n	cds	no	hallik	inclusive
NO1427	n	an	no	mygg	inclusive
NO2180	n	re	no	sette til døden	inclusive
NO386	n	dmc	yes	fordommer	conservative
NO667	n	asf	no	byttinger	conservative
NO317	n	asf	no	syndebukk	conservative
NO2653	n	dmc	yes	frafalne	conservative
NO1802	n	cds	no	do	inclusive
NO2282	n	an	no	humanus	inclusive
NO306	n	qas	no	baroner	inclusive
NO150	n	re	no	voldtekter	conservative
NO356	n	cds	no	usannhet	conservative
NO1578	n	dmc	yes	hjemløs person	inclusive
NO985	n	qas	no	konformitet	inclusive
NO1288	n	dmc	yes	fetor	conservative
NO2159	n	an	no	tikk	inclusive
NO616	n	re	no	onde	conservative
NO313	n	cds	no	sperring	inclusive
NO942	n	qas	no	mannskapet	inclusive
NO1461	n	an	no	tamsvin	inclusive
NO84	n	om	no	anal penetrering	inclusive
NO1287	n	or	no	finocchio	inclusive
NO908	n	an	no	vegglus	inclusive
NO897	n	qas	no	metallavfall	inclusive
NO2669	n	ps	yes	romani	inclusive
NO1049	n	ddp	yes	lout	conservative
NO1003	n	or	no	cuke	inclusive
NO740	n	cds	no	slekt	inclusive
NO879	n	ddp	yes	tyster	conservative
NO1590	n	qas	no	shack	inclusive
NO355	n	dmc	yes	løgn	inclusive
NO28	n	cds	no	børsmegler	inclusive
NO2135	n	an	no	hundemidd	inclusive
NO601	n	cds	no	så-og-så	conservative
NO264	n	dmc	yes	boor	conservative
NO1878	n	cds	no	mafiaen	inclusive
NO329	n	ddp	yes	lettlurt	conservative
NO1754	n	asm	no	tisselur	inclusive
NO946	n	asm	no	twirp	conservative
NO1056	n	cds	no	lovbrudd	inclusive
NO894	n	cds	no	husholdningsavfall	conservative
NO1960	n	svp	no	ærekjensle	inclusive
NO414	n	ddp	yes	varsellampene	conservative
NO175	n	or	no	dumbass	conservative
NO697	n	re	no	vilifier	conservative
NO849	n	cds	no	newspaperwoman	inclusive
NO2470	a	qas	no	vanlig	inclusive
NO297	n	an	no	pooch	inclusive
NO1180	n	an	no	helix pomatia	inclusive
NO759	n	qas	no	fuddle	inclusive
NO1328	n	an	no	siphonaptera	inclusive
NO980	n	cds	no	million	inclusive
NO977	n	ps	yes	kryss-avl	inclusive
NO2538	n	re	no	terrorangrep	conservative
NO646	n	an	no	white shark	inclusive
NO971	n	cds	no	hybrid	inclusive
NO261	n	cds	no	bandittvirksomhet	inclusive
NO876	n	dmc	yes	forræder	conservative
NO79	n	om	no	analsex	inclusive
NO2551	n	re	no	lidelse	inclusive
NO921	n	cds	no	bedrag	inclusive
NO502	n	cds	no	dogmatisme	conservative
NO862	n	or	no	gay	conservative
NO1709	n	svp	no	lustfulness	inclusive
NO408	n	re	no	outlaw	inclusive
NO154	n	cds	no	kløkt	inclusive
NO1604	n	cds	no	synge	inclusive
NO613	n	dmc	yes	villainess	conservative
NO668	n	cds	no	imbecile	inclusive
NO2366	n	re	no	kidnappinger	inclusive
NO2232	n	qas	no	trouble maker	conservative
NO328	n	cds	no	dolt	conservative
NO1183	n	an	no	vinbergsnegler	inclusive
NO853	n	cds	no	avismann	inclusive
NO2167	n	re	no	drepe	inclusive
NO1266	n	qas	no	storbonde	inclusive
NO833	n	asm	no	stykke halen	conservative
NO880	n	ddp	yes	blabber	conservative
NO324	n	ddp	yes	pudding hodet	conservative
NO1038	n	an	no	simpleton	conservative
NO116	n	ddp	yes	analfabetisme	inclusive
NO1550	n	ps	yes	mosaittisk	inclusive
NO189	n	an	no	visent	inclusive
NO2656	n	dmc	yes	landsforræder	conservative
NO289	n	pa	yes	advokat	inclusive
NO1276	n	cds	no	fascistiske	conservative
NO1121	n	om	no	tooshie	inclusive
NO590	n	svp	no	hovmod	inclusive
NO1499	n	re	no	tjuveri	inclusive
NO1657	n	is	yes	fattige	inclusive
NO957	n	an	no	crocodilia	inclusive
NO47	n	qas	no	amateurishness	conservative
NO1758	n	svp	no	enviousness	inclusive
NO2441	n	an	no	kakerlakk	inclusive
NO446	n	an	no	slask	conservative
NO510	n	ddp	yes	klossmajor	conservative
NO792	n	qas	no	kaste	inclusive
NO422	n	cds	no	devilment	conservative
NO2216	n	an	no	forsnakkelse	inclusive
NO53	n	ddp	yes	idioti	inclusive
NO514	n	an	no	body snatchers	inclusive
NO281	n	pa	yes	spesialutsending	inclusive
NO670	n	ps	yes	idiotés	conservative
NO2388	n	cds	no	truckler	conservative
NO2606	n	cds	no	konspirasjonsteori	inclusive
NO1386	n	asm	no	engelsk bean	inclusive
NO2467	n	ddp	yes	dårskap	inclusive
NO1725	n	cds	no	loanshark	inclusive
NO523	n	ddp	yes	ferociousness	conservative
