n	or	no	kartofle
n	asm	no	nookie
n	an	no	brant gęś
n	cds	no	alfonsiak
n	ps	yes	nocnik
a	svp	no	dumny
n	an	no	komarowate
n	ddp	yes	oligofrenia
n	cds	no	bookworm
n	cds	no	komediant
n	svp	no	nadaremność
n	dmc	yes	wisus
n	cds	no	paskudzić
n	pr	no	niechlujnie kobieta
n	an	no	biston betularia
n	re	no	zabójstw
n	om	no	homo
n	cds	no	alfons
n	re	no	organizacja terrorystyczna
n	an	no	zakuta pała
n	an	no	fulvus
n	dmc	yes	odszczepieniec
n	cds	no	ubikacja
n	cds	no	zarozumiałość
n	svp	no	dilly-dallier
n	dmc	yes	szwindel
n	cds	no	urwipołeć
n	cds	no	faktor
n	qas	no	boner
n	cds	no	fiut
n	pr	no	prostytucji ulicznej
n	an	no	owadów
n	re	no	seksualnie
n	cds	no	blef
a	ddf	yes	nikczemny
n	cds	no	praca ręka
n	cds	no	umyć pokój
n	svp	no	leniwiec
n	pr	no	utrzymanką
n	svp	no	nicestwo
n	re	no	pozbawienie życia
n	asm	no	english bean
n	qas	no	brakorób
n	an	no	zygzakowata żmija
n	an	no	wesz odzieżową
n	re	no	przestępstwa
n	qas	no	magnat biznesu
n	an	no	żubr
v	cds	no	przesłonić się
a	dmc	yes	rozwiązły
n	an	no	capra
n	asm	no	doofus
n	re	no	grand theft
n	cds	no	błazna
n	an	no	szakale
n	dmc	yes	odstępca
n	dmc	yes	bufonady
n	cds	no	kosa
n	qas	no	granger
n	ps	yes	mongol
n	qas	no	granda
n	svp	no	daremność
n	asm	no	peluszka
n	an	no	insekty
n	an	no	caprinae
n	svp	no	partacz dobrze
n	asm	no	jaja
n	re	no	przemoc fizyczna
n	cds	no	kutafon
n	pr	no	rattus norvegicus
n	or	no	cipsko
n	asf	no	małe piwo
n	re	no	macher
n	cds	no	szalet
n	cds	no	ślepa ulica
n	cds	no	omerta
n	re	no	łajdak
n	asm	no	upośledzenie umysłowe znaczne
v	cds	no	zepsuć się
a	ddp	yes	obłędny
n	dmc	yes	odór
n	cds	no	teorii spiskowych
n	an	no	hemipteron
n	cds	no	bałwochwalcami
n	dmc	yes	hobo
n	om	no	pośladka
n	ps	yes	hodowla roślin
n	re	no	nadużyć władzy
n	om	no	homofilia
n	ps	yes	metyska
n	dmc	yes	błazen
a	dmc	yes	nienaturalny
n	asm	no	flouter
n	pa	yes	monger ryb
n	cds	no	hałdy
n	svp	no	chciwości korporacji
n	re	no	przemoc psychiczna
n	asm	no	barwa brązowa
n	cds	no	podgryzacz
n	or	no	twat
n	ddp	yes	bzdury
a	cds	no	bystry
n	asm	no	jajo
n	svp	no	wyniosłość
a	ddp	yes	łatwowierny
n	or	no	kartofel
n	re	no	banicja
a	cds	no	niesmaczny
a	om	no	przebogaty
n	cds	no	fuszerka
n	cds	no	impertynenckość
v	asm	no	prześmiewać się
n	an	no	bazyliszek
n	an	no	wolec
n	an	no	pójdźka
a	om	no	anormalny
n	an	no	łajdak
n	asm	no	przydatków
n	svp	no	enviousness
n	cds	no	bujda na resorach
n	dmc	yes	urwis
n	qas	no	jajo
a	ps	yes	rozzłoszczony
n	pa	yes	pracownica
n	cds	no	samo-uwielbienie
n	an	no	ośli łeb
n	ps	yes	hermetycznych
n	dmc	yes	rozpustnik
n	ps	yes	innych ras
n	re	no	koniokrad
n	asm	no	maxilliped
n	an	no	twarz
n	re	no	zniesławienie
