pos	category	stereotype	lemma	level
n	re	no	złoczyńca	conservative
n	qas	no	popijawa	inclusive
n	ddf	yes	handicap	inclusive
n	or	no	irish potato	inclusive
n	an	no	animalculum	inclusive
n	cds	no	kościotrup	conservative
n	an	no	prostaczek	conservative
a	qas	no	nędzny	conservative
a	an	no	mocny	inclusive
n	cds	no	klozet	inclusive
n	svp	no	oburzenie	inclusive
n	ps	yes	negroidalnej	inclusive
n	cds	no	gmin	conservative
n	is	yes	niezamożność	inclusive
n	pr	no	pinda	conservative
n	cds	no	chłopczyna	inclusive
n	cds	no	wieśniak	conservative
n	cds	no	mędrek	conservative
n	asm	no	jajco	inclusive
n	cds	no	trik	inclusive
n	dmc	yes	trzpiot	conservative
a	dmc	yes	fałszywe	conservative
n	re	no	nadużyć	inclusive
n	cds	no	granda	conservative
n	ps	yes	cham	conservative
n	cds	no	chytrus	conservative
n	or	no	kapuściana głowa	conservative
n	cds	no	komediant	conservative
a	dmc	yes	drastyczny	conservative
n	an	no	culex pipiens	inclusive
v	asm	no	naśmiewać się	inclusive
n	pr	no	męskiej eskorty	conservative
n	cds	no	mess-up	inclusive
n	ddp	yes	skarżypyta	conservative
n	pa	yes	żłób	conservative
n	qas	no	zdradzanie	inclusive
n	cds	no	bania	inclusive
n	cds	no	stan trzeci	conservative
n	cds	no	scads	inclusive
n	ps	yes	zaczernić	inclusive
a	om	no	niezgodny	inclusive
n	cds	no	rustler	inclusive
n	dmc	yes	dissimulator	conservative
n	om	no	pederasta	conservative
n	cds	no	policjantka	conservative
n	dmc	yes	niekulturalność	conservative
n	pa	yes	starający się	inclusive
n	cds	no	literatura wagonowa	inclusive
v	cds	no	wyschnąć	inclusive
n	an	no	fauna	inclusive
n	dmc	yes	obłudnik	conservative
n	re	no	łup	inclusive
n	asm	no	głupota	conservative
n	qas	no	wielkościowe	inclusive
n	or	no	barania głowa	conservative
n	an	no	snatcher ciała	inclusive
n	cds	no	próżność	conservative
a	cds	no	standardowy	inclusive
n	asm	no	bób	inclusive
n	cds	no	chewra	inclusive
n	ps	yes	nigga	conservative
n	asf	no	detal	inclusive
n	re	no	hybrydyzowanie	inclusive
a	svp	no	butny	conservative
n	ps	yes	fryc	conservative
n	ddp	yes	barbarzyństwo	conservative
n	re	no	wyrwanie	inclusive
n	cds	no	gołowąs	conservative
n	asf	no	pustogłów	conservative
n	ddp	yes	gbur	conservative
n	om	no	zadek	inclusive
n	cds	no	szargać	inclusive
n	cds	no	idolatria	inclusive
n	dmc	yes	złodziejaszek	conservative
n	cds	no	schoolma'am	conservative
n	svp	no	niggardliness	conservative
