id	pos	category	stereotype	lemma	level
PL1913	n	qas	no	rolnik	inclusive
PL2120	n	dmc	yes	goof-off	conservative
PL1608	n	an	no	nic	conservative
PL2561	n	qas	no	opiekun rynku	inclusive
PL591	n	an	no	łobuz	conservative
PL2582	n	asm	no	siusiak	inclusive
PL2469	n	cds	no	sowizrzał	inclusive
PL2396	n	ddp	yes	nonsens	conservative
PL3687	n	an	no	lampyris noctiluca	inclusive
PL3605	a	is	yes	lichy	inclusive
PL219	n	re	no	zgwałcenie	conservative
PL3731	n	re	no	agonia	inclusive
PL2611	n	ddp	yes	moronity	inclusive
PL2452	n	cds	no	psor	inclusive
PL1972	n	pa	yes	fishwife	inclusive
PL1700	n	om	no	dorsoventral	inclusive
PL3181	n	an	no	pijawka	inclusive
PL261	n	asf	no	nieuk	conservative
PL3069	n	qas	no	dzierżawców	inclusive
PL160	a	svp	no	drapieżny	conservative
PL2533	n	cds	no	sharking kredytu	conservative
PL1891	n	cds	no	sutenerstwo	inclusive
PL868	n	qas	no	tłum	inclusive
PL2709	n	an	no	komary	inclusive
PL2250	n	om	no	homoseksualność	inclusive
PL2215	n	pr	no	prostytucja	inclusive
PL265	n	asm	no	cymbał	conservative
PL1152	n	asm	no	kurka	inclusive
PL3830	a	asm	no	kawowy	inclusive
PL779	n	asm	no	brązowość	inclusive
PL1151	n	cds	no	przeklętnik	conservative
PL1537	n	dmc	yes	szalbierstwo	conservative
PL3713	n	re	no	akt terroryzmu	conservative
PL3207	v	re	no	przywłaszczać	inclusive
PL2103	n	cds	no	buchać	conservative
PL2316	n	qas	no	prace domowe	inclusive
PL1594	n	ps	yes	niszczyciel	conservative
PL896	a	ddf	yes	nikczemny	conservative
PL2777	n	cds	no	paparazzi	inclusive
PL208	n	an	no	reprodukcja zwierzęca	inclusive
PL1003	n	pr	no	suka	conservative
PL2526	n	re	no	neonaticide	inclusive
PL2871	n	svp	no	honor	inclusive
PL378	n	qas	no	trader	inclusive
PL2955	n	an	no	trzonkooczne	inclusive
PL568	n	dmc	yes	bigoterii	conservative
PL577	n	qas	no	szajka	inclusive
PL422	n	cds	no	blackballing	inclusive
PL1499	n	om	no	pani	inclusive
PL2769	n	an	no	wolec	inclusive
PL2054	n	dmc	yes	gangsterów	inclusive
PL2739	n	cds	no	stróż prawa	inclusive
PL3566	n	an	no	żaby	inclusive
PL3792	n	cds	no	'ndrangheta	inclusive
PL590	n	cds	no	grupa	inclusive
PL1573	n	qas	no	łajdus	conservative
PL1902	n	pr	no	flama	conservative
PL3217	n	qas	no	bad hat	conservative
PL1131	n	qas	no	zamęt	inclusive
PL129	n	svp	no	gnuśność	inclusive
PL3655	n	an	no	sciaenops	inclusive
PL2458	n	cds	no	pan	inclusive
PL2536	n	cds	no	loansharking	inclusive
PL41	n	re	no	znęcanie się	inclusive
PL873	n	qas	no	hołota	conservative
PL3807	n	cds	no	teoria spiskowa	inclusive
