id	pos	category	stereotype	lemma	level
PT1494	n	cds	no	moralismo	inclusive
PT2220	n	an	no	pau-no-lama	conservative
PT97	n	an	no	moleirão	conservative
PT464	n	cds	no	mentirinha	conservative
PT111	n	cds	no	melange	inclusive
PT201	n	or	no	estúpido	conservative
PT827	n	asf	no	cretino	conservative
PT630	n	an	no	zoossexualidade	conservative
PT292	n	asm	no	ovos	inclusive
PT814	n	cds	no	chafariz	conservative
PT925	n	an	no	grosseria	conservative
PT1837	n	is	yes	pobre	inclusive
PT686	n	qas	no	campesino	inclusive
PT1896	n	cds	no	arcipreste	inclusive
PT1809	n	cds	no	grilar	inclusive
PT1407	n	svp	no	gourmand	conservative
PT1696	n	asm	no	europeu de feijão	inclusive
PT2872	n	or	no	nabo	inclusive
PT827	n	ddp	yes	cretino	inclusive
PT993	n	cds	no	turba	inclusive
PT854	n	cds	no	chiseller	conservative
PT1460	n	cds	no	não profissional	inclusive
PT2676	v	qas	no	maquiar	inclusive
PT1429	n	cds	no	gobs	inclusive
PT1310	n	an	no	diddly	conservative
PT1462	n	cds	no	amador	inclusive
PT915	n	svp	no	minginess	conservative
PT3190	n	pr	no	cortesões	inclusive
PT1060	n	om	no	sapatão	inclusive
PT3002	a	qas	no	normal	inclusive
PT383	n	ps	yes	fall guy	conservative
PT890	n	cds	no	sociedades tribais	inclusive
PT2514	n	qas	no	rendeiro	inclusive
PT2814	a	ddf	yes	cego	inclusive
PT260	n	svp	no	sovinice	inclusive
PT80	a	an	no	teimoso	inclusive
PT430	n	pr	no	michê	conservative
PT2069	n	re	no	assassina	inclusive
PT112	n	qas	no	omnium-gatherum	inclusive
PT343	n	pa	yes	advogada	inclusive
PT105	n	cds	no	esquisito	inclusive
PT2207	n	an	no	careta	inclusive
PT1122	n	an	no	insecto	inclusive
PT324	n	dmc	yes	selvagem	conservative
PT1418	n	cds	no	delinquente	conservative
PT2261	n	re	no	mafiosos	inclusive
PT2257	n	re	no	cosa nostra	inclusive
PT2808	n	cds	no	recém-nascido	inclusive
PT1247	n	om	no	senhora	inclusive
PT752	n	cds	no	vilão	conservative
PT2434	n	cds	no	puzzler	conservative
PT270	n	cds	no	cathouse	inclusive
PT159	n	or	no	besta	conservative
PT2388	n	an	no	cação	inclusive
PT1771	v	asm	no	fazer amor	conservative
PT160	n	an	no	animais	inclusive
PT880	n	ps	yes	chinês	inclusive
PT110	n	cds	no	salgalhada	inclusive
PT1487	n	dmc	yes	imoralidade	conservative
PT3023	n	an	no	serpente na grama	conservative
PT1751	n	svp	no	zero à esquerda	conservative
PT2376	n	an	no	escorpião	inclusive
PT246	n	svp	no	avareza	conservative
PT1808	n	cds	no	ladrões	inclusive
PT1235	n	cds	no	selecionar	conservative
PT1578	n	re	no	extorquir	inclusive
PT1100	n	cds	no	lixos urbanos	conservative
PT2991	a	is	yes	escasso	inclusive
PT1522	n	dmc	yes	perdulários	inclusive
PT172	n	an	no	criança	inclusive
PT617	n	ddp	yes	fera	conservative
PT201	n	dmc	yes	estúpido	conservative
PT2058	a	svp	no	vagaroso	conservative
PT671	n	asm	no	marrom	inclusive
PT3016	a	is	yes	humilde	inclusive
PT2699	a	pa	yes	pedante	conservative
PT618	n	dmc	yes	fumbler	conservative
PT2773	n	re	no	plagiar-lo	inclusive
PT889	n	cds	no	tribo	inclusive
PT2256	n	re	no	máfia	conservative
PT1041	n	or	no	veado	conservative
PT2087	n	qas	no	lojista	inclusive
PT937	n	asm	no	cacete	conservative
PT729	n	cds	no	elevado-high-handedness	conservative
PT1778	a	cds	no	ilegal	inclusive
PT1559	n	pr	no	amantes	conservative
PT1830	n	pr	no	putaria	inclusive
PT125	n	asf	no	folharada	conservative
PT1390	n	om	no	distal	inclusive
PT1984	n	ddp	yes	insensatez	conservative
PT325	n	ddp	yes	barbárie	inclusive
PT1959	n	re	no	diabrete	inclusive
PT2254	n	cds	no	polícia	inclusive
PT3097	n	re	no	torturas	inclusive
PT754	n	is	yes	vilânia	conservative
PT2822	a	ps	yes	sino	inclusive
PT2833	a	cds	no	covarde	conservative
PT1494	n	dmc	yes	moralismo	inclusive
PT2050	n	svp	no	lecherousness	inclusive
PT119	n	qas	no	confusão	inclusive
PT2332	a	dmc	yes	pecaminoso	conservative
PT1218	n	or	no	conas	conservative
PT3232	n	cds	no	brigantaggio	inclusive
PT1920	n	qas	no	barraco	inclusive
PT500	n	cds	no	círculo	inclusive
PT74	n	an	no	búfalo	inclusive
PT1276	n	re	no	assaltante	inclusive
PT708	n	qas	no	burguesia	inclusive
PT765	a	ddf	yes	ruim	inclusive
PT1359	n	om	no	keister	inclusive
PT3154	n	cds	no	conspiracionismo	inclusive
PT2518	n	an	no	gansos	inclusive
PT2576	a	qas	no	habitual	inclusive
PT856	n	cds	no	scammer	inclusive
PT386	n	asf	no	toque suave	conservative
PT294	n	asm	no	teste	inclusive
PT1982	n	ddp	yes	fanfarronada	conservative
PT508	n	cds	no	canalha	conservative
PT823	n	ddp	yes	changelings	conservative
PT1688	n	cds	no	facismo	conservative
PT164	n	an	no	macrofauna	inclusive
PT1293	n	cds	no	crimes	inclusive
PT1083	n	qas	no	charlatão	conservative
PT84	n	om	no	penetração anal	inclusive
PT651	n	pr	no	bos taurus	inclusive
PT1742	n	cds	no	intercessor	inclusive
PT1377	n	om	no	basal	inclusive
PT470	n	dmc	yes	gracejador	conservative
PT85	n	om	no	sodomizado	inclusive
PT281	n	cds	no	bawdyhouse	inclusive
PT2621	n	is	yes	pedinte	conservative
PT2742	a	svp	no	zangado	inclusive
PT1098	n	qas	no	sucata	inclusive
PT2757	a	svp	no	arrogante	conservative
PT1736	n	cds	no	pessoa intrometida	conservative
PT2803	n	cds	no	bebé	inclusive
PT119	n	cds	no	confusão	conservative
PT389	n	or	no	pillock	conservative
PT1228	n	or	no	sativus	inclusive
PT2764	n	re	no	plagiarization	inclusive
PT730	n	svp	no	orgulho	inclusive
PT197	n	asm	no	burrice	conservative
PT2375	n	cds	no	cabeça	inclusive
PT2327	a	dmc	yes	má	conservative
PT258	n	svp	no	mesquinhez	inclusive
PT165	n	ddp	yes	animalia	inclusive
PT322	n	qas	no	camponês	conservative
PT257	n	is	yes	parcimónia	conservative
PT1105	n	qas	no	rsu	inclusive
PT2378	n	an	no	scorpionfish	inclusive
PT250	n	svp	no	cobiça	inclusive
PT2309	n	an	no	psitacídeos	inclusive
PT1935	n	cds	no	balladeer	inclusive
PT2607	v	qas	no	confundir	conservative
PT1434	n	ps	yes	traineira	inclusive
PT1385	n	ddp	yes	ânus	conservative
PT403	n	pr	no	rameira	inclusive
PT537	n	cds	no	tratantada	conservative
PT1360	n	om	no	cu	inclusive
PT995	n	svp	no	atração física	inclusive
PT654	n	pr	no	bois	inclusive
PT2425	n	pa	yes	pastores	inclusive
PT803	n	cds	no	casino	inclusive
PT1740	n	qas	no	bisbilhotar	inclusive
PT2463	n	cds	no	narcisismo	inclusive
PT383	n	cds	no	fall guy	conservative
PT202	n	an	no	asno	inclusive
PT822	n	cds	no	changeling	inclusive
PT1391	n	om	no	região glútea	inclusive
PT2060	n	cds	no	mentiras	conservative
PT308	n	qas	no	estiva	inclusive
PT652	n	an	no	vacas	inclusive
PT1933	n	an	no	hienídeos	inclusive
PT2052	a	dmc	yes	impolido	conservative
PT542	n	ps	yes	preto	conservative
PT1959	n	cds	no	diabrete	inclusive
PT1379	n	om	no	posterior	inclusive
PT2384	n	ps	yes	cafuzos	conservative
PT794	n	an	no	tubarão-branco	inclusive
PT1888	n	cds	no	massas	inclusive
PT510	n	dmc	yes	velhaco	conservative
PT516	n	cds	no	bandidos	conservative
PT1815	n	cds	no	latrocinio	inclusive
PT3233	n	an	no	mocho-galega	inclusive
PT1710	a	dmc	yes	fedida	conservative
PT62	n	ddp	yes	idiotia	conservative
PT261	n	svp	no	pão-duro	inclusive
PT2873	n	or	no	brassica rapa	inclusive
PT1236	n	cds	no	rejeição	conservative
PT2394	n	an	no	microrganismo	inclusive
PT1855	n	om	no	homoerótica	inclusive
PT479	a	ddp	yes	imbecil	conservative
PT1326	n	cds	no	solo	inclusive
PT614	n	cds	no	preconceito	conservative
PT299	n	asm	no	óvulo	inclusive
PT176	n	re	no	difamação	inclusive
PT2314	n	svp	no	centavo beliscar-	inclusive
PT1006	n	asm	no	metida	conservative
PT635	n	an	no	brutalidade	conservative
PT641	n	svp	no	fastio	inclusive
PT2042	n	om	no	lady	inclusive
PT321	n	pa	yes	bárbaro	conservative
PT2133	a	svp	no	petulante	conservative
PT1619	a	dmc	yes	artificial	inclusive
PT430	n	cds	no	michê	conservative
PT1239	n	cds	no	rejeitar	conservative
PT775	n	cds	no	panelinha	inclusive
PT1003	n	asm	no	coito	conservative
PT953	n	cds	no	estragar-	inclusive
PT319	n	ps	yes	churl	conservative
PT2564	n	cds	no	homunculus	inclusive
PT454	n	ps	yes	beduínos	inclusive
PT407	n	an	no	vadia	conservative
PT574	n	asm	no	retardado	inclusive
PT2469	n	ps	yes	crioulo	conservative
PT1495	n	dmc	yes	ética	inclusive
PT1255	n	cds	no	demagógica	conservative
PT2597	n	pa	yes	carroceiro	inclusive
PT2256	n	cds	no	máfia	inclusive
PT895	n	cds	no	povos tribais	inclusive
PT2998	a	ddp	yes	tolo	conservative
PT2064	n	re	no	infanticídio	inclusive
PT246	n	svp	no	avareza	inclusive
PT2353	n	ddp	yes	parlador	inclusive
PT772	n	an	no	boca	inclusive
PT370	n	qas	no	barroco	inclusive
PT221	n	an	no	bonehead	conservative
PT2121	a	svp	no	invejosa	conservative
PT1548	n	cds	no	caftina	conservative
PT2456	n	qas	no	clérigo	inclusive
PT1587	n	om	no	finocchio	inclusive
PT126	n	an	no	codswallop	conservative
PT3210	n	dmc	yes	renegados	conservative
PT1272	n	cds	no	intrigante	inclusive
PT1267	n	ddp	yes	simplória	conservative
PT2776	a	cds	no	batido	inclusive
PT206	n	asf	no	paspalhão	conservative
PT1274	n	an	no	looter	inclusive
PT147	n	an	no	anguilliformes	inclusive
PT327	n	rci	yes	indivíduo impertinente	conservative
PT152	n	an	no	metazoários	inclusive
PT323	n	dmc	yes	rústico	conservative
PT1408	n	svp	no	gourmandizer	inclusive
PT3008	n	an	no	cilindro vermelho	inclusive
PT2823	a	ps	yes	chinesa	inclusive
PT2075	n	cds	no	loansharking	inclusive
PT2078	n	cds	no	agiotagem	conservative
PT1294	n	cds	no	atividades ilegais	inclusive
PT183	n	re	no	estupro	inclusive
PT511	n	cds	no	traste	conservative
PT515	n	cds	no	proscrição	inclusive
PT862	n	cds	no	atrevimento	conservative
PT1818	n	re	no	botim	inclusive
PT2483	n	ps	yes	as mulheres negras	inclusive
PT1276	n	re	no	assaltante	conservative
PT2260	n	cds	no	mafia siciliana	conservative
PT771	n	an	no	goela	inclusive
PT214	n	ddp	yes	fuckhead	conservative
PT1706	a	dmc	yes	fedido	conservative
PT2240	n	cds	no	cú de ferro	conservative
PT332	n	ddp	yes	barbarismo	inclusive
PT125	n	ddp	yes	folharada	conservative
PT2197	n	ps	yes	mongol	inclusive
PT971	n	pa	yes	cadeira	inclusive
PT2550	n	re	no	homicidio	inclusive
PT2475	n	ps	yes	darky	conservative
PT562	n	cds	no	vira-latas	inclusive
PT2859	a	svp	no	malévolo	conservative
PT1811	n	cds	no	latrocida	inclusive
PT1243	n	cds	no	fraudador	conservative
PT1155	n	an	no	estrigiformes	inclusive
PT1320	n	cds	no	terrível centavo	inclusive
PT700	a	qas	no	burguesa	inclusive
PT401	n	cds	no	cafetina	inclusive
PT2733	a	an	no	piolhoso	inclusive
PT2601	n	dmc	yes	clown	inclusive
PT76	n	svp	no	amor próprio	conservative
PT1912	n	qas	no	trabalhos domésticos	inclusive
PT3094	n	re	no	torturado	inclusive
PT2962	a	is	yes	miserável	conservative
PT1654	n	cds	no	francomaçom	inclusive
PT2051	a	dmc	yes	indelicado	conservative
PT750	n	svp	no	pessoa ociosa	conservative
PT992	n	cds	no	povo	inclusive
PT1519	n	dmc	yes	libertinismo	conservative
PT3189	a	re	no	descontrolado	conservative
PT2244	n	cds	no	primeira infância	inclusive
PT262	n	svp	no	avaro	inclusive
PT1829	n	pr	no	serviços sexuais	inclusive
PT325	n	qas	no	barbárie	conservative
PT2306	n	an	no	papagaio	inclusive
PT517	n	re	no	fora da lei	inclusive
PT733	n	svp	no	convencimento	conservative
PT469	n	cds	no	fabricador	conservative
PT2755	a	svp	no	ufano	conservative
PT1509	n	cds	no	pecador	conservative
PT2988	a	svp	no	libidinoso	conservative
PT388	n	or	no	pessoa estúpida	conservative
PT219	n	or	no	ignorante	conservative
PT1945	n	asf	no	garota	conservative
PT465	n	cds	no	beguina	inclusive
PT506	n	cds	no	patife	inclusive
PT2165	n	qas	no	heterogênea	inclusive
PT71	n	an	no	bisão	inclusive
PT1276	n	cds	no	assaltante	conservative
PT2651	n	qas	no	mal-maker	conservative
PT508	n	dmc	yes	canalha	inclusive
PT1013	n	asm	no	foda	conservative
PT1964	n	ddf	yes	retardo	inclusive
PT1349	n	dmc	yes	dissimulação	conservative
PT1366	n	om	no	nalgas	inclusive
PT1059	n	or	no	gays	conservative
PT329	n	ps	yes	bárbaros	conservative
PT2666	n	or	no	batata	inclusive
PT2082	n	an	no	insecta	inclusive
PT485	n	svp	no	intolerante	conservative
PT574	n	asf	no	retardado	conservative
PT2953	n	an	no	sanguessugas	inclusive
PT814	n	an	no	chafariz	conservative
PT2158	n	qas	no	misturas	inclusive
PT325	n	pa	yes	barbárie	conservative
PT180	n	re	no	estupradores	conservative
PT1905	n	qas	no	pintura	inclusive
PT305	a	svp	no	avarento	conservative
PT2887	n	re	no	roubos	inclusive
PT463	n	cds	no	história	inclusive
PT535	n	cds	no	travesso	conservative
PT1084	n	ddp	yes	capadócio	conservative
PT319	n	qas	no	churl	conservative
PT1487	n	dmc	yes	imoralidade	inclusive
PT1599	n	asm	no	raios moles	inclusive
PT2857	a	svp	no	rancoroso	conservative
PT400	n	pr	no	messalina	conservative
PT96	n	an	no	preguiçoso	conservative
PT1385	n	om	no	ânus	inclusive
PT1675	n	dmc	yes	dallier	conservative
PT1257	n	pr	no	concubinas	inclusive
PT231	n	an	no	equus asinus	inclusive
PT2395	n	an	no	micróbios	inclusive
PT1678	n	dmc	yes	mafioso	inclusive
PT444	n	an	no	cara	inclusive
PT1282	n	asm	no	doofus	conservative
PT508	n	is	yes	canalha	conservative
PT3158	n	cds	no	teorias conspiratórias	inclusive
PT1202	n	re	no	crucificação	inclusive
PT2179	n	cds	no	retrete	inclusive
PT2689	v	qas	no	pintar	inclusive
PT1932	n	an	no	hienas	inclusive
PT1170	n	cds	no	punheteiro	conservative
PT1507	n	dmc	yes	maldade	inclusive
PT368	n	qas	no	arquitectura barroca	inclusive
PT3128	n	asm	no	avifauna	inclusive
PT1827	n	pr	no	meretrício	conservative
PT324	n	ps	yes	selvagem	conservative
PT2317	a	dmc	yes	desalmado	conservative
PT262	n	an	no	avaro	conservative
PT212	n	or	no	hammerhead	conservative
PT159	n	ddp	yes	besta	inclusive
PT1267	n	cds	no	simplória	conservative
PT1050	n	om	no	gueis	conservative
PT58	n	ddp	yes	retardamento mental	inclusive
PT1062	n	ddp	yes	gossipmonger	conservative
PT810	n	an	no	bundão	conservative
PT2354	n	svp	no	pridefulness	inclusive
PT1177	n	an	no	crocodylian	inclusive
PT2515	n	qas	no	fazenda inquilino	inclusive
PT1238	n	qas	no	abate	conservative
PT2595	n	an	no	urubu	inclusive
PT146	n	an	no	anguilla	inclusive
PT1421	n	cds	no	heaps	inclusive
PT557	n	cds	no	vira lata	inclusive
PT211	n	or	no	shithead	conservative
PT2377	n	an	no	peixe-escorpião	inclusive
PT293	n	asm	no	bagos	inclusive
PT2175	n	cds	no	vestiário	inclusive
PT900	n	pa	yes	escriturário	inclusive
PT3133	n	asm	no	aves	inclusive
PT1433	n	ps	yes	mendigo	inclusive
PT1075	n	pr	no	moo-vaca	inclusive
PT849	n	re	no	difamador	conservative
PT536	n	cds	no	coisa diabólica	conservative
PT3038	n	re	no	violador	conservative
PT2141	n	re	no	abactor	inclusive
PT210	n	asm	no	tolo	conservative
PT1607	n	pa	yes	peixeira	inclusive
PT1167	n	qas	no	equipagem	inclusive
PT3165	n	ps	yes	cigano	conservative
PT170	n	ddp	yes	criatura	inclusive
PT865	n	qas	no	ralé	conservative
PT1754	n	svp	no	inútil	conservative
PT384	n	asf	no	trouxa	conservative
PT811	n	an	no	pessoa fraca	conservative
PT640	n	svp	no	tédio	inclusive
PT439	n	cds	no	fop	inclusive
PT1292	n	re	no	criminalidades	inclusive
PT125	n	cds	no	folharada	conservative
PT1955	a	is	yes	paroquial	conservative
PT663	n	pr	no	bovinos	inclusive
PT315	n	cds	no	bandido	conservative
PT1812	n	re	no	latrocínio	inclusive
PT2563	n	cds	no	homúnculos	inclusive
PT532	n	ddp	yes	fofoqueiro	conservative
PT159	n	an	no	besta	conservative
PT8	n	svp	no	preguiça	inclusive
PT799	n	cds	no	carniceiro	inclusive
PT3141	n	re	no	onorata società	inclusive
PT1958	n	dmc	yes	contrafação	inclusive
