pos	category	stereotype	lemma	level
n	ddf	yes	handicap	inclusive
n	re	no	hoţ	inclusive
n	qas	no	Ţărani	inclusive
n	dmc	yes	bigotă	conservative
n	an	no	animalculum	inclusive
a	ddf	yes	urât	conservative
n	an	no	hemipteron	inclusive
n	cds	no	măscărici	inclusive
n	dmc	yes	nătâng	conservative
n	asf	no	neghiobie	conservative
n	ps	yes	iudaism	inclusive
n	asm	no	pasare	inclusive
n	cds	no	elan	inclusive
n	qas	no	retoric	inclusive
n	cds	no	ștrengărie	conservative
n	asm	no	puţă	inclusive
n	pr	no	canalizare șobolan	inclusive
n	cds	no	târâtură	conservative
n	cds	no	toaletă	inclusive
n	asm	no	prepuţ	inclusive
n	pa	yes	facultate	inclusive
n	cds	no	closetpublic	inclusive
n	cds	no	teoretician al conspirației	inclusive
n	an	no	purcel	inclusive
n	cds	no	aroganță	conservative
n	cds	no	gossipmonger	conservative
n	cds	no	polițist	inclusive
n	om	no	homosexualism	inclusive
n	an	no	nesimțit	conservative
a	qas	no	tradițional	inclusive
n	an	no	culex pipiens	inclusive
n	cds	no	selecta	conservative
a	cds	no	agil	inclusive
n	cds	no	strikebreakers	inclusive
n	qas	no	obișnuiți	inclusive
n	or	no	cartofi	inclusive
n	cds	no	delincvent	inclusive
n	ddp	yes	slabă de pește	conservative
n	an	no	rechini mare și alb	inclusive
n	cds	no	scads	inclusive
n	ps	yes	rromii	inclusive
n	cds	no	labagiu	conservative
n	asm	no	fasole larg	inclusive
n	cds	no	poveste	conservative
n	cds	no	rustler	inclusive
n	dmc	yes	dissimulator	conservative
n	an	no	microorganism	inclusive
n	dmc	yes	țoapă	conservative
n	dmc	yes	furișa hoț	conservative
n	pa	yes	membru al facultatii	inclusive
n	pr	no	femeieușoară	conservative
n	an	no	vacă	inclusive
n	ps	yes	prostan	conservative
n	an	no	bug-uri de pat	inclusive
n	cds	no	mediocritate	conservative
n	cds	no	confortul stație	inclusive
n	cds	no	trib wurundjeri	inclusive
n	an	no	fauna	inclusive
n	ddp	yes	debilitate	inclusive
n	or	no	pederast	conservative
n	svp	no	nepăsare	inclusive
n	pa	yes	căruțaș	inclusive
n	is	yes	nenorocit	conservative
n	cds	no	fundamentalist	inclusive
n	cds	no	regimul fascist	conservative
n	cds	no	întruniri	inclusive
n	an	no	porcan	conservative
n	cds	no	hipersexualitate	conservative
n	svp	no	poftă nemăsurată	inclusive
n	cds	no	hoț	inclusive
a	dmc	yes	false	conservative
n	cds	no	fleac	conservative
n	dmc	yes	secătură	conservative
n	qas	no	om afaceri	inclusive
n	cds	no	schoolma'am	conservative
n	or	no	fuckhead	conservative
n	or	no	napalb	inclusive
n	is	yes	jurământ de sărăcie	inclusive
