id	pos	category	stereotype	lemma	level
RO233	n	asm	no	imbecil	inclusive
RO161	n	cds	no	armată	inclusive
RO122	n	cds	no	miscelaneu	inclusive
RO1329	n	an	no	diddlyshit	conservative
RO233	n	asf	no	imbecil	conservative
RO1351	n	svp	no	aversiune	inclusive
RO788	n	dmc	yes	villainess	conservative
RO2380	n	pa	yes	păstor	inclusive
RO295	n	ddp	yes	flecar	conservative
RO350	n	rci	yes	țopârlan	conservative
RO2289	a	re	no	violent	inclusive
RO2870	a	dmc	yes	murdar	inclusive
RO413	n	cds	no	femeie savantă	inclusive
RO1913	n	cds	no	neastâmpărat	inclusive
RO853	n	asf	no	changelings	conservative
RO1527	n	ddf	yes	handicapat	inclusive
RO2994	n	an	no	roșu cilindru	inclusive
RO1272	n	dmc	yes	înșelăciune	conservative
RO7	n	svp	no	lene	inclusive
RO693	n	pa	yes	țăran	inclusive
RO311	n	cds	no	sportive de lux	inclusive
RO364	n	an	no	sălbăticie	inclusive
RO2724	n	cds	no	mână de locuri de muncă	conservative
RO781	n	qas	no	buluc	inclusive
RO649	n	pa	yes	vulgaritate	conservative
RO1645	n	re	no	furie	inclusive
RO643	n	an	no	hot de corp	inclusive
RO1033	n	asm	no	shtup	conservative
RO249	n	ddp	yes	cretinule	conservative
RO375	n	pa	yes	ministru	inclusive
RO1819	n	om	no	homosexualism	inclusive
RO888	n	dmc	yes	necuviință	conservative
RO1910	a	dmc	yes	calicie	conservative
RO3035	a	re	no	neîmputernicit	inclusive
RO3160	n	cds	no	fricos	conservative
RO385	n	pa	yes	susținător	inclusive
RO72	n	pa	yes	scolasticism	inclusive
RO1453	n	an	no	melcul de livada	inclusive
RO1407	n	svp	no	gurmand	inclusive
RO1636	n	cds	no	fundamentalism	inclusive
RO1212	n	ps	yes	reproducere a plantelor	inclusive
RO453	n	an	no	escorta de sex masculin	conservative
RO1958	n	ddp	yes	incompetent	conservative
RO969	n	cds	no	bile-up	inclusive
RO778	n	dmc	yes	parazit	conservative
RO1057	n	or	no	homosexual	conservative
RO233	n	cds	no	imbecil	inclusive
RO2606	v	re	no	tragepesfoară	inclusive
