pos	category	stereotype	lemma	level
n	re	no	Мафиози	conservative
n	svp	no	траншеекопатель	conservative
n	cds	no	коллектор	inclusive
n	qas	no	Церковь	inclusive
n	an	no	animalculum	inclusive
n	an	no	кляча	inclusive
n	svp	no	гнев	conservative
n	dmc	yes	не-счета	conservative
n	cds	no	Папарацци	inclusive
n	cds	no	скоморох	inclusive
n	cds	no	Фундаменталистка	inclusive
n	cds	no	ставленник	conservative
n	ddp	yes	неграмотный	inclusive
n	an	no	порочность	conservative
n	cds	no	негодяй	inclusive
n	om	no	Фенхель обыкновенный	inclusive
n	om	no	Содомный грех	inclusive
n	pr	no	Куртизанка	inclusive
n	an	no	Полосатая неясыть	inclusive
n	asf	no	тупица	conservative
n	cds	no	туалеты	inclusive
n	ddp	yes	Зэка	inclusive
n	asm	no	Анатомия рыб	inclusive
n	svp	no	скупердяй	inclusive
n	dmc	yes	непоседа	inclusive
n	cds	no	туалет	inclusive
a	pa	yes	теоретические	inclusive
n	cds	no	шалу́нья	inclusive
n	qas	no	магнатов	inclusive
n	ps	yes	черный	inclusive
n	cds	no	процентщица	inclusive
n	cds	no	воришка	conservative
n	an	no	culex pipiens	inclusive
n	ddp	yes	неведение	conservative
n	cds	no	была закона	conservative
n	asf	no	болван	conservative
n	re	no	злоупотребление	inclusive
n	ddp	yes	зверство	conservative
n	an	no	Свинья домашняя	inclusive
n	cds	no	престу́пник	inclusive
n	svp	no	разврат	inclusive
n	asm	no	Яички	inclusive
a	ddp	yes	тупоумный	conservative
n	svp	no	скука	inclusive
n	asm	no	пенис	inclusive
n	qas	no	Конформисты	inclusive
n	ddp	yes	жо́па	conservative
n	cds	no	Гангста	inclusive
n	re	no	налет	inclusive
n	asm	no	vicia конских	inclusive
n	cds	no	общественная польза	inclusive
n	cds	no	ротозей	conservative
n	ddp	yes	глупость	inclusive
n	dmc	yes	перебежчик	conservative
n	cds	no	общественных туалетах	inclusive
a	or	no	взыскательный	conservative
n	cds	no	бездельник	conservative
a	cds	no	соображающий	inclusive
n	cds	no	сброд	conservative
n	cds	no	фундаменталистский	inclusive
v	asm	no	насмехаться	inclusive
n	asm	no	зеленого горошка	inclusive
n	re	no	Террорист	inclusive
