id	pos	category	stereotype	lemma	level
RU1466	n	re	no	Декриминализация	inclusive
RU2548	n	re	no	cosa nosta	inclusive
RU469	n	cds	no	франт	inclusive
RU1412	n	om	no	сударыня	inclusive
RU2209	n	re	no	шалу́нья	inclusive
RU883	n	an	no	слаба́к	conservative
RU557	n	qas	no	король	inclusive
RU671	n	an	no	порочность	conservative
RU515	n	an	no	мошенник	conservative
RU2836	n	cds	no	Омерта	inclusive
RU1649	n	dmc	yes	деликт	inclusive
RU1410	n	cds	no	шутником	conservative
RU72	n	ddp	yes	идиотизм	inclusive
RU3540	n	dmc	yes	Делинквент	inclusive
RU3043	n	re	no	Пират	inclusive
RU2685	n	pr	no	канализационную крысу	inclusive
RU1918	n	an	no	нетопырь	inclusive
RU2067	n	pr	no	коммерческие акты	inclusive
RU664	n	pa	yes	кассир	inclusive
RU1006	n	cds	no	Го	inclusive
RU462	n	cds	no	денди	inclusive
RU3520	n	pa	yes	служащая	inclusive
RU2164	n	cds	no	Хибрис	conservative
RU1921	n	asf	no	мохнатка	inclusive
RU873	n	dmc	yes	Пария	inclusive
RU1328	n	an	no	crocodilia	inclusive
RU2204	n	re	no	прока́зник	inclusive
RU1493	n	an	no	дерьмо́	conservative
RU49	n	pa	yes	преподаватель	inclusive
RU908	n	pr	no	сука	conservative
RU1490	n	an	no	гомно́	conservative
RU768	n	cds	no	объём	inclusive
RU1649	n	re	no	деликт	inclusive
RU688	n	an	no	корова	inclusive
RU214	n	asf	no	валять дурака	conservative
RU677	n	an	no	коровы	inclusive
RU3118	n	pr	no	болтовня	conservative
RU967	n	an	no	собака	inclusive
RU1602	n	svp	no	траншеекопатель	inclusive
RU1794	n	cds	no	motley fool	inclusive
RU2761	n	cds	no	нарциссизм	inclusive
RU1648	n	dmc	yes	Деликт	inclusive
RU471	n	cds	no	пижон	inclusive
RU512	n	re	no	плут	conservative
RU1863	n	cds	no	Парафашизм	conservative
RU88	n	om	no	Анальный половой акт	inclusive
RU1341	n	cds	no	interfertility	inclusive
RU443	n	pr	no	проститу́т	conservative
RU896	n	asf	no	замедлять	conservative
RU1588	n	om	no	Дорсальный	inclusive
RU774	n	dmc	yes	дрянь	conservative
RU2040	n	re	no	Хищения	inclusive
RU2223	n	ddf	yes	инвалидность	inclusive
RU938	n	cds	no	каморра	inclusive
RU2589	n	qas	no	Паразиты	inclusive
RU1187	n	om	no	гомосексуальный	conservative
RU3106	a	cds	no	трусливый	conservative
RU391	n	cds	no	забаллотирован	inclusive
RU2389	a	svp	no	негоду́ющий	conservative
RU735	n	qas	no	буржуазного общества	inclusive
RU1702	n	dmc	yes	Либертины	conservative
RU3177	a	dmc	yes	загрязненных	inclusive
RU859	n	an	no	Животные-людоеды	inclusive
RU796	n	cds	no	чернь	inclusive
RU1855	n	cds	no	обма́нщик	conservative
RU2372	n	qas	no	рынка хранитель	inclusive
RU292	n	qas	no	яйцо	inclusive
RU599	n	cds	no	дитя́ любви́	inclusive
RU791	n	svp	no	лоботря́с	conservative
RU3035	a	cds	no	остроумный	inclusive
RU164	n	an	no	animalia	inclusive
