id	pos	category	stereotype	lemma	level
SIMPLE508	n	cds	no	gossip simple	inclusive
SIMPLE312	n	re	no	stealing simple	inclusive
SIMPLE408	n	an	no	moths simple	inclusive
SIMPLE370	n	cds	no	lie simple	conservative
SIMPLE75	n	qas	no	testicular diseases simple	inclusive
SIMPLE439	n	pr	no	rats simple	inclusive
SIMPLE519	n	an	no	rooster simple	inclusive
SIMPLE455	n	an	no	ovis aries simple	inclusive
SIMPLE548	n	re	no	molested simple	inclusive
SIMPLE51	n	an	no	animal characteristics simple	inclusive
SIMPLE522	n	cds	no	infancy simple	inclusive
SIMPLE21	n	asm	no	uniramous simple	inclusive
SIMPLE494	n	ps	yes	vandals simple	inclusive
SIMPLE140	n	pr	no	rattus norvegicus simple	inclusive
SIMPLE224	n	or	no	cucumber simple	inclusive
SIMPLE416	n	cds	no	cosa nostra simple	conservative
SIMPLE280	n	cds	no	buffoon simple	inclusive
SIMPLE211	n	cds	no	scrap simple	inclusive
SIMPLE30	n	an	no	metazoan simple	inclusive
SIMPLE372	n	qas	no	lying simple	conservative
SIMPLE463	n	ps	yes	nigga simple	conservative
SIMPLE585	n	an	no	adder simple	inclusive
SIMPLE414	n	cds	no	mafia simple	inclusive
SIMPLE479	n	re	no	murdered simple	inclusive
SIMPLE371	n	cds	no	lies simple	inclusive
SIMPLE79	n	asm	no	bollocks simple	inclusive
SIMPLE531	n	an	no	toad simple	inclusive
SIMPLE71	n	svp	no	greed (emotion) simple	inclusive
SIMPLE115	n	cds	no	outlaw simple	inclusive
SIMPLE132	n	pr	no	bull simple	inclusive
SIMPLE349	n	an	no	crocuta simple	inclusive
SIMPLE512	n	re	no	plagiarism simple	inclusive
SIMPLE63	n	an	no	donkeys simple	inclusive
SIMPLE35	n	an	no	fauna simple	inclusive
SIMPLE247	n	asm	no	ithyphallic simple	inclusive
SIMPLE79	n	qas	no	bollocks simple	inclusive
SIMPLE82	n	asm	no	testicular simple	inclusive
SIMPLE152	n	qas	no	business man simple	inclusive
SIMPLE73	n	svp	no	greed simple	inclusive
SIMPLE477	n	re	no	assassination simple	inclusive
SIMPLE56	n	an	no	animalia kingdom simple	inclusive
SIMPLE521	n	an	no	chicken simple	inclusive
SIMPLE570	n	asm	no	chirp simple	inclusive
SIMPLE221	n	an	no	crocodylidae simple	inclusive
SIMPLE92	n	pa	yes	attorney simple	inclusive
SIMPLE127	n	svp	no	boredom simple	inclusive
SIMPLE254	n	asm	no	hardon simple	inclusive
SIMPLE402	n	ps	yes	mongols simple	inclusive
SIMPLE9	n	ddp	yes	retardation simple	inclusive
SIMPLE290	n	re	no	gangster simple	inclusive
SIMPLE444	n	cds	no	sewage simple	inclusive
SIMPLE174	n	re	no	libel simple	inclusive
SIMPLE416	n	re	no	cosa nostra simple	conservative
SIMPLE170	n	asf	no	changeling simple	conservative
SIMPLE229	n	pr	no	courtesan simple	inclusive
SIMPLE106	n	ps	yes	bedu simple	inclusive
SIMPLE559	n	asm	no	phallus simple	inclusive
SIMPLE428	n	dmc	yes	evil simple	inclusive
SIMPLE33	n	an	no	anamalia simple	inclusive
SIMPLE342	n	an	no	hyaenidae simple	inclusive
SIMPLE41	n	ddp	yes	lodderena nana pooki simple	inclusive
SIMPLE421	n	qas	no	ectoparasite simple	inclusive
SIMPLE492	n	dmc	yes	trickery simple	conservative
SIMPLE249	n	asm	no	ithyphallus simple	inclusive
SIMPLE237	n	om	no	butt simple	inclusive
SIMPLE305	n	an	no	goat-antelopes simple	inclusive
SIMPLE126	n	svp	no	boring simple	inclusive
SIMPLE235	n	cds	no	grunge simple	inclusive
SIMPLE209	n	om	no	twink simple	conservative
SIMPLE407	n	an	no	moth simple	inclusive
SIMPLE186	n	pa	yes	clerk simple	inclusive
SIMPLE90	n	cds	no	barbarians simple	conservative
SIMPLE138	n	ddp	yes	brain damage simple	inclusive
SIMPLE169	n	ps	yes	idiot simple	conservative
SIMPLE323	n	om	no	homosexual simple	inclusive
SIMPLE161	n	cds	no	villain simple	conservative
SIMPLE230	n	re	no	crimes simple	inclusive
SIMPLE438	n	pr	no	rat simple	inclusive
SIMPLE104	n	cds	no	dandyism simple	inclusive
SIMPLE269	n	pr	no	mistress simple	conservative
SIMPLE171	n	cds	no	idiots simple	inclusive
SIMPLE343	n	an	no	hyaeninae simple	inclusive
SIMPLE165	n	an	no	carcharodon carcharias simple	inclusive
SIMPLE276	n	an	no	siphonaptera simple	inclusive
SIMPLE475	n	an	no	gosling simple	inclusive
SIMPLE30	n	ddp	yes	metazoan simple	inclusive
SIMPLE222	n	cds	no	plant breeding simple	inclusive
SIMPLE558	n	an	no	caimaninae simple	inclusive
SIMPLE550	n	re	no	sexual abuse simple	inclusive
SIMPLE49	n	ddp	yes	animalia 101 simple	inclusive
SIMPLE359	n	ddf	yes	disability simple	inclusive
SIMPLE482	n	re	no	assassin simple	inclusive
SIMPLE220	n	an	no	crocodile simple	inclusive
SIMPLE500	n	an	no	earthworm simple	inclusive
SIMPLE277	n	cds	no	the fool (tarot card) simple	inclusive
SIMPLE52	n	ddp	yes	animal phylogeny simple	inclusive
SIMPLE88	n	asm	no	balls (slang) simple	inclusive
SIMPLE489	n	re	no	slayer simple	inclusive
SIMPLE297	n	asf	no	pubes simple	inclusive
SIMPLE48	n	an	no	metazoon simple	inclusive
SIMPLE316	n	pr	no	escort-girl simple	conservative
SIMPLE355	n	ddf	yes	handicap simple	inclusive
SIMPLE483	n	re	no	murder simple	inclusive
SIMPLE123	n	pa	yes	funeral director simple	inclusive
SIMPLE238	n	om	no	buttock simple	inclusive
SIMPLE418	n	qas	no	parasitology simple	inclusive
SIMPLE525	n	cds	no	newborn simple	inclusive
SIMPLE412	n	cds	no	police officer simple	inclusive
SIMPLE44	n	an	no	metazoans simple	inclusive
SIMPLE260	n	dmc	yes	immorality simple	inclusive
SIMPLE110	n	dmc	yes	bigotry simple	conservative
SIMPLE322	n	pr	no	prostitute simple	inclusive
SIMPLE328	n	ps	yes	judism simple	inclusive
SIMPLE50	n	ddp	yes	animalia simple	inclusive
SIMPLE543	n	ddp	yes	foolish simple	inclusive
SIMPLE187	n	an	no	capra (genus) simple	inclusive
SIMPLE110	n	svp	no	bigotry simple	conservative
SIMPLE78	n	asm	no	testical simple	inclusive
SIMPLE111	n	cds	no	gang simple	inclusive
SIMPLE413	n	cds	no	police officers simple	inclusive
SIMPLE284	n	cds	no	freemasons simple	inclusive
SIMPLE320	n	pr	no	hooker simple	conservative
SIMPLE583	n	re	no	violence simple	inclusive
SIMPLE437	n	pr	no	rattus simple	inclusive
SIMPLE258	n	dmc	yes	morality simple	inclusive
SIMPLE363	n	ddp	yes	asshole simple	conservative
SIMPLE545	n	qas	no	bloodhound simple	inclusive
SIMPLE344	n	an	no	hyenas simple	inclusive
SIMPLE270	n	qas	no	farmers simple	inclusive
SIMPLE304	n	an	no	caprinae simple	inclusive
SIMPLE130	n	pr	no	oxen simple	inclusive
SIMPLE17	n	om	no	anal sex simple	inclusive
SIMPLE472	n	qas	no	tenant farming simple	inclusive
SIMPLE415	n	re	no	mafioso simple	inclusive
SIMPLE24	n	an	no	elver simple	inclusive
SIMPLE14	n	svp	no	sloth (deadly sin) simple	inclusive
SIMPLE15	n	om	no	butt sex simple	inclusive
SIMPLE319	n	pr	no	sex worker simple	inclusive
SIMPLE87	n	qas	no	testis simple	inclusive
SIMPLE212	n	cds	no	scrap metal simple	inclusive
SIMPLE205	n	or	no	gay male simple	conservative
SIMPLE538	n	an	no	canis aureus simple	inclusive
SIMPLE207	n	om	no	gay simple	inclusive
SIMPLE192	n	an	no	goat simple	inclusive
SIMPLE390	n	ps	yes	metics simple	inclusive
SIMPLE110	n	cds	no	bigotry simple	conservative
SIMPLE66	n	an	no	donkey simple	inclusive
SIMPLE90	n	dmc	yes	barbarians simple	conservative
SIMPLE568	n	asm	no	avian simple	inclusive
SIMPLE98	n	pa	yes	lawyers simple	inclusive
SIMPLE36	n	an	no	nonhuman simple	inclusive
SIMPLE370	n	cds	no	lie simple	inclusive
SIMPLE118	n	an	no	bison simple	inclusive
SIMPLE135	n	pr	no	cattle simple	inclusive
SIMPLE97	n	pa	yes	advocate simple	inclusive
SIMPLE204	n	om	no	bean queen simple	conservative
SIMPLE467	n	ps	yes	nigger simple	conservative
SIMPLE162	n	an	no	villains simple	conservative
SIMPLE137	n	an	no	heifer simple	inclusive
SIMPLE589	n	ps	yes	gipsy simple	inclusive
SIMPLE122	n	re	no	blackmail simple	conservative
SIMPLE3	n	pa	yes	academia simple	inclusive
SIMPLE80	n	asm	no	testicular size simple	inclusive
SIMPLE95	n	pa	yes	solicitor simple	inclusive
SIMPLE518	n	an	no	chicken (food) simple	inclusive
SIMPLE91	n	dmc	yes	barbarian simple	conservative
SIMPLE372	n	cds	no	lying simple	inclusive
SIMPLE77	n	qas	no	testes simple	inclusive
SIMPLE171	n	asf	no	idiots simple	conservative
SIMPLE291	n	cds	no	fascist simple	conservative
SIMPLE584	n	pa	yes	employee simple	inclusive
SIMPLE567	n	asm	no	bird simple	inclusive
SIMPLE581	n	an	no	maggot simple	inclusive
SIMPLE561	n	re	no	torture simple	inclusive
SIMPLE361	n	ddf	yes	handicapped simple	inclusive
SIMPLE32	n	ddp	yes	anumal simple	inclusive
SIMPLE295	n	asf	no	pussy simple	conservative
SIMPLE395	n	an	no	molluscs simple	inclusive
SIMPLE86	n	asm	no	testicles simple	inclusive
SIMPLE64	n	an	no	jackass simple	inclusive
SIMPLE471	n	cds	no	hypersexuality simple	conservative
SIMPLE590	n	ps	yes	roma (people) simple	inclusive
SIMPLE370	n	qas	no	lie simple	conservative
SIMPLE294	n	asf	no	vaginal simple	conservative
SIMPLE300	n	an	no	caprid simple	inclusive
SIMPLE362	n	ddf	yes	special needs simple	inclusive
SIMPLE233	n	re	no	criminal simple	inclusive
SIMPLE162	n	dmc	yes	villains simple	conservative
SIMPLE170	n	ps	yes	changeling simple	conservative
SIMPLE386	n	svp	no	wrath simple	inclusive
SIMPLE422	n	qas	no	parasite simple	inclusive
SIMPLE268	n	pr	no	mistress (lover) simple	conservative
SIMPLE85	n	asm	no	testicular disorder simple	inclusive
SIMPLE289	n	an	no	rage (emotion) simple	inclusive
SIMPLE172	n	re	no	defamation simple	inclusive
SIMPLE580	n	pa	yes	cobbler simple	inclusive
SIMPLE277	n	dmc	yes	the fool (tarot card) simple	inclusive
SIMPLE211	n	cds	no	scrap simple	conservative
SIMPLE353	n	an	no	hyaena simple	inclusive
SIMPLE367	n	cds	no	teachers simple	inclusive
SIMPLE549	n	re	no	molestation simple	inclusive
SIMPLE10	n	ddp	yes	mental deficiency simple	inclusive
SIMPLE157	n	qas	no	bourgeois simple	inclusive
SIMPLE257	n	qas	no	amateur simple	inclusive
SIMPLE332	n	ps	yes	jewish simple	inclusive
SIMPLE290	n	cds	no	gangster simple	inclusive
SIMPLE473	n	an	no	goose simple	inclusive
SIMPLE504	n	or	no	potatoe simple	inclusive
SIMPLE290	n	dmc	yes	gangster simple	inclusive
SIMPLE161	n	an	no	villain simple	conservative
SIMPLE405	n	an	no	mosquitos simple	inclusive
SIMPLE385	n	svp	no	anger simple	inclusive
SIMPLE345	n	an	no	parahyaena brunnea simple	inclusive
SIMPLE275	n	an	no	flea simple	inclusive
SIMPLE547	n	re	no	indecently assaulted simple	inclusive
SIMPLE44	n	ddp	yes	metazoans simple	inclusive
SIMPLE109	n	an	no	beeves simple	inclusive
SIMPLE310	n	an	no	sus (genus) simple	inclusive
SIMPLE210	n	ddp	yes	quack simple	conservative
SIMPLE225	n	or	no	cucumbers simple	inclusive
SIMPLE325	n	om	no	homosexuality simple	inclusive
SIMPLE156	n	qas	no	middle-class simple	inclusive
SIMPLE91	n	pa	yes	barbarian simple	conservative
SIMPLE163	n	cds	no	clique simple	inclusive
SIMPLE461	n	an	no	snail simple	inclusive
SIMPLE563	n	an	no	biston betularia simple	inclusive
SIMPLE322	n	pr	no	prostitute simple	conservative
SIMPLE400	n	ps	yes	mongol people simple	inclusive
SIMPLE87	n	asm	no	testis simple	inclusive
SIMPLE94	n	pa	yes	lawyer simple	inclusive
SIMPLE495	n	an	no	vulture simple	inclusive
SIMPLE396	n	an	no	mollusc simple	inclusive
SIMPLE4	n	pa	yes	academic simple	inclusive
SIMPLE59	n	ddp	yes	animal evolution simple	inclusive
SIMPLE445	n	ps	yes	mestizo simple	conservative
SIMPLE288	n	an	no	rage simple	inclusive
SIMPLE117	n	an	no	buffalo simple	inclusive
SIMPLE51	n	ddp	yes	animal characteristics simple	inclusive
SIMPLE130	n	an	no	oxen simple	inclusive
SIMPLE253	n	asm	no	erect simple	inclusive
SIMPLE556	n	re	no	terrorists simple	conservative
SIMPLE296	n	asf	no	vagina simple	conservative
SIMPLE202	n	an	no	rabbits simple	inclusive
SIMPLE171	n	ddp	yes	idiots simple	conservative
SIMPLE75	n	asm	no	testicular diseases simple	inclusive
SIMPLE480	n	re	no	murders simple	inclusive
SIMPLE566	n	om	no	cross-dressing simple	inclusive
SIMPLE219	n	an	no	crocodiles simple	inclusive
SIMPLE509	n	an	no	lice simple	inclusive
SIMPLE324	n	om	no	gay sex simple	inclusive
SIMPLE76	n	asm	no	testicle simple	inclusive
SIMPLE319	n	pr	no	sex worker simple	conservative
SIMPLE481	n	re	no	assassinate simple	inclusive
SIMPLE158	n	ps	yes	bulgarians simple	inclusive
SIMPLE207	n	om	no	gay simple	conservative
SIMPLE116	n	an	no	bisons simple	inclusive
SIMPLE218	n	an	no	crocodilia simple	inclusive
SIMPLE591	n	re	no	robber simple	inclusive
SIMPLE301	n	an	no	goat antelope simple	inclusive
SIMPLE231	n	re	no	crime simple	inclusive
SIMPLE553	n	re	no	terrorist simple	inclusive
SIMPLE380	n	asm	no	maroon (colour) simple	inclusive
SIMPLE274	n	dmc	yes	forgery simple	inclusive
SIMPLE415	n	cds	no	mafioso simple	inclusive
SIMPLE70	n	svp	no	seven deadly sins simple	inclusive
SIMPLE184	n	cds	no	clans simple	inclusive
SIMPLE336	n	cds	no	herd simple	inclusive
