pos	category	stereotype	lemma	level
n	pa	yes	sluha	inclusive
n	pa	yes	academia	inclusive
n	cds	no	panovačnosť	conservative
n	re	no	mladistvý páchateľ	conservative
n	ddf	yes	handicap	inclusive
n	cds	no	béguin	inclusive
n	asf	no	trúba	conservative
n	cds	no	zbojník	conservative
n	an	no	animalculum	inclusive
n	cds	no	reakčné	conservative
n	cds	no	šmelinár	inclusive
n	svp	no	averzia	inclusive
n	ddp	yes	nezmyselný	conservative
n	an	no	hovädzí dobytok	inclusive
n	om	no	rovnakého pohlavia	inclusive
n	or	no	biela repa	inclusive
n	cds	no	culchie	inclusive
n	an	no	ovce	inclusive
n	pr	no	mora	inclusive
n	cds	no	nezákonnosť	inclusive
n	qas	no	potápanie váhový systém	inclusive
n	cds	no	lotr	conservative
n	cds	no	čmáranica	inclusive
n	an	no	stvorenia	inclusive
n	svp	no	neľúbosť	inclusive
n	cds	no	clann	inclusive
v	an	no	jedovať sa	conservative
n	cds	no	mladistvý previnilec	conservative
n	svp	no	conceitedness	conservative
n	dmc	yes	zpustlík	conservative
n	dmc	yes	vyvrheľ	inclusive
n	asf	no	vôl	conservative
n	ps	yes	judaizmus	inclusive
n	ps	yes	ostrogóti	inclusive
n	or	no	teploš	conservative
n	cds	no	trik	inclusive
n	re	no	ukradnutý majetok	inclusive
n	qas	no	chaos	inclusive
n	cds	no	babrácka práca	inclusive
n	re	no	týranie	inclusive
n	cds	no	comfort station	inclusive
n	re	no	špinavé peniaze	inclusive
n	cds	no	gossipmonger	conservative
n	an	no	zlodej	inclusive
n	an	no	húsatko	inclusive
n	cds	no	hazardných hier	inclusive
n	ddp	yes	changeling	conservative
n	pr	no	trosky	conservative
n	re	no	čin	inclusive
n	cds	no	lotor	conservative
n	ddf	yes	invalidita	inclusive
n	cds	no	spevák šlágrov	inclusive
n	pa	yes	minister-poradca	inclusive
n	an	no	culex pipiens	inclusive
n	om	no	anatomické podmienky umiestnenia	inclusive
n	svp	no	chamtivosť	inclusive
n	an	no	zubor	inclusive
n	cds	no	modloslužobníci	inclusive
n	dmc	yes	hýril	inclusive
n	cds	no	gigolo	inclusive
n	om	no	gluteálnej oblasti	inclusive
n	or	no	meticulosity	inclusive
n	cds	no	zbabelec	conservative
n	cds	no	šelestu dobytku	inclusive
n	ps	yes	židovskej tradícii	inclusive
n	asm	no	jadro	inclusive
n	is	yes	majú-nie	inclusive
n	pa	yes	emeritný profesor	inclusive
n	ps	yes	rommany	inclusive
a	ps	yes	čínsky	inclusive
n	an	no	kmeň mollusca	inclusive
n	cds	no	prasa	conservative
v	asm	no	mrdať	conservative
n	dmc	yes	pokrytec	conservative
n	cds	no	klebety	inclusive
v	qas	no	trýzniť	conservative
n	an	no	tlama	inclusive
n	cds	no	rustler	inclusive
n	svp	no	samoľúbosť	inclusive
n	cds	no	synáčik	inclusive
v	cds	no	umierať	inclusive
n	cds	no	povrchnosti	inclusive
n	ps	yes	negroidní	inclusive
n	ps	yes	Židia	inclusive
n	asm	no	obetný baránok	conservative
n	ps	yes	vandal	inclusive
n	cds	no	whiner	conservative
n	dmc	yes	mravnosť	inclusive
n	an	no	telo vši	inclusive
n	dmc	yes	rozmařilec	conservative
n	qas	no	konformizmus	inclusive
n	qas	no	špiceľ	inclusive
n	ps	yes	bulhari	inclusive
n	ps	yes	blbec	conservative
n	cds	no	donáška	conservative
n	re	no	zlé zaobchádzanie	inclusive
n	an	no	fauna	inclusive
a	cds	no	bežný	inclusive
n	an	no	zasypal mora	inclusive
n	cds	no	miešanec	inclusive
n	cds	no	zpackat	inclusive
n	om	no	termoš	inclusive
n	ps	yes	černoch	inclusive
n	ddp	yes	krysa	conservative
n	an	no	neúprosnosťou	conservative
n	or	no	hlúpy	conservative
n	cds	no	klauniáda	inclusive
a	qas	no	provinčný	inclusive
n	re	no	darebný	conservative
n	re	no	teroristov	inclusive
n	cds	no	náboženský fanatik	conservative
n	is	yes	chudobný človek	inclusive
n	asf	no	pošvy	conservative
n	ddp	yes	imbecil	inclusive
n	ps	yes	šľachtiteľov rastlín	inclusive
n	ps	yes	černosi	inclusive
n	asm	no	tyč	inclusive
a	dmc	yes	predstieraný	conservative
n	pa	yes	radový vojak	inclusive
n	cds	no	omerta	inclusive
n	cds	no	schoolma'am	conservative
n	svp	no	niggardliness	conservative
n	re	no	vrahovia	inclusive
n	qas	no	podnikateľka	inclusive
n	pa	yes	účtovný	inclusive
n	dmc	yes	mozzarella	inclusive
n	svp	no	avariciousness	inclusive
n	cds	no	hriešnica	conservative
n	cds	no	retard	inclusive
n	pa	yes	advocator	inclusive
n	dmc	yes	kaukliar	conservative
n	svp	no	abúlia	inclusive
n	dmc	yes	scattergood	inclusive
n	cds	no	gangy	conservative
n	ddp	yes	tárajom	conservative
n	pr	no	hetaira	inclusive
n	svp	no	horedržanosť	inclusive
n	an	no	lunkhead	conservative
n	ddf	yes	half-pint	conservative
n	an	no	rod koza	inclusive
n	qas	no	obchodný magnát	inclusive
n	om	no	nambu-pamba	conservative
n	pa	yes	profesorom extraordinarius	inclusive
n	cds	no	verejné pohodlie	inclusive
n	ddp	yes	ornament	conservative
n	qas	no	železný šrot	inclusive
n	pr	no	prostitútka	conservative
n	ddp	yes	blbosť	inclusive
n	an	no	sviňa	conservative
