id	pos	category	stereotype	lemma	level
SK1483	n	cds	no	ľudia	conservative
SK601	n	cds	no	škrabopis	inclusive
SK1481	n	cds	no	masa	inclusive
SK1536	n	ddf	yes	handicap	inclusive
SK1248	n	cds	no	finagler	conservative
SK1668	n	cds	no	mussiness	conservative
SK1833	n	cds	no	superbia	inclusive
SK366	n	dmc	yes	rogue	conservative
SK1538	n	ddf	yes	nespôsobilosť	inclusive
SK401	n	qas	no	priemyselník	inclusive
SK897	n	an	no	výr	inclusive
SK2529	n	ps	yes	ľudí zulu	inclusive
SK1637	n	an	no	hmyzu	inclusive
SK95	n	cds	no	zmiešať-mandel	inclusive
SK1046	n	cds	no	pôdy	inclusive
SK436	n	re	no	vydieranie	conservative
SK1952	n	an	no	zelenáč	inclusive
SK46	n	pa	yes	dopisujúcim členom	inclusive
SK476	n	qas	no	konformista	conservative
SK1973	n	an	no	brant	inclusive
SK974	n	cds	no	vtipálek	conservative
SK689	n	an	no	psov	inclusive
SK297	n	pr	no	žena z ulice	conservative
SK1589	n	cds	no	inštruktor	inclusive
SK581	n	svp	no	ničnerobenie	conservative
SK2168	a	svp	no	agresívne	inclusive
SK107	n	cds	no	fanatici	inclusive
SK848	n	an	no	kravička	inclusive
SK2460	n	cds	no	%e2%80%99ndrangheta	inclusive
SK1300	n	svp	no	zlosť	inclusive
SK569	n	svp	no	conceitedness	conservative
SK1212	n	pr	no	comar	conservative
SK1040	n	ps	yes	krauthead	conservative
SK1870	n	an	no	mikrób	inclusive
SK157	n	an	no	truľo	conservative
SK313	n	pr	no	rentboy	conservative
SK1852	n	an	no	ropušnice	inclusive
SK1194	n	dmc	yes	trávia-all	inclusive
SK1568	n	is	yes	ochudobňovanie	inclusive
SK557	n	cds	no	opuchla hlava	conservative
SK655	n	asm	no	idiotia	inclusive
SK231	n	ps	yes	barbar	conservative
SK84	n	qas	no	nasledovník	inclusive
SK356	n	cds	no	gangsterizmom	conservative
SK887	n	ddp	yes	bláznovstvo	inclusive
SK282	n	asf	no	soft touch	conservative
SK1701	n	an	no	mollusca	inclusive
SK2369	a	cds	no	šikovný	inclusive
SK1137	n	an	no	helix pomatia	inclusive
SK138	n	an	no	animovať je	inclusive
SK2366	n	qas	no	bloodhound	inclusive
SK1368	n	svp	no	no-účet	conservative
SK1067	n	ddp	yes	prdel	conservative
SK1867	n	an	no	pleurotremata	inclusive
SK518	n	ddp	yes	poškodenie mozgu	inclusive
SK375	n	cds	no	psanec	conservative
SK1872	n	an	no	mikroorganizmus	inclusive
SK163	n	asm	no	hlupáčik	conservative
SK2029	n	cds	no	úžera	inclusive
SK573	n	dmc	yes	ten a ten	conservative
SK2227	n	ddp	yes	nezmysly	inclusive
SK1860	n	ps	yes	mestic	conservative
SK2292	n	an	no	ropuchy	inclusive
SK169	n	an	no	šmejd	conservative
SK353	n	cds	no	vojny gangov	inclusive
SK363	n	cds	no	zostava	inclusive
SK362	n	cds	no	krúžok	inclusive
SK366	n	cds	no	rogue	conservative
SK320	n	qas	no	klamstvo	conservative
SK156	n	om	no	somár	inclusive
SK1202	n	cds	no	rodiny	inclusive
SK2306	v	re	no	šlohnúť	inclusive
SK1130	n	cds	no	kopáč	inclusive
SK1930	n	ps	yes	darkie	conservative
SK165	n	asf	no	peň	conservative
SK322	n	cds	no	vole	inclusive
SK586	n	re	no	zlosyn	conservative
SK2283	n	qas	no	opustené lode	inclusive
SK1807	n	asm	no	žrď	inclusive
SK357	n	cds	no	kultúry gangu	inclusive
SK194	n	svp	no	lakomec	conservative
SK939	n	ps	yes	šľachtiteľov rastlín	inclusive
SK383	n	ddp	yes	blabbermouth	conservative
SK1292	n	an	no	vyjadrebie mračením	inclusive
SK32	n	cds	no	maklér	inclusive
SK466	n	cds	no	babranie	inclusive
SK2067	v	asm	no	ošmeknúť	conservative
SK1298	n	cds	no	fundamentalizmu	inclusive
SK2252	n	re	no	lúpež	inclusive
SK1425	n	qas	no	tagalong	conservative
SK1619	n	dmc	yes	cigánstvo	inclusive
SK583	n	dmc	yes	darebný	conservative
SK1059	n	svp	no	odpor	inclusive
SK234	n	ddp	yes	neotesanec	conservative
SK2116	v	an	no	vystrájať	conservative
SK206	n	cds	no	športové dom	inclusive
SK1815	n	svp	no	nafúkanosť	inclusive
SK2264	n	re	no	uchvátiteľ	inclusive
SK1892	n	asm	no	jeerer	conservative
SK983	n	cds	no	dastardliness	conservative
SK367	n	an	no	tulák	conservative
SK8	n	svp	no	abulia	inclusive
SK1254	n	asm	no	mäkký lúč	inclusive
SK2304	v	re	no	potiahnuť	inclusive
SK161	n	cds	no	muggins	conservative
SK420	n	cds	no	štrajkokaz	inclusive
SK1745	n	re	no	sicílskej mafie	conservative
SK2163	n	cds	no	náboženskej diskriminácie	inclusive
SK45	n	pa	yes	akademik	inclusive
SK1904	n	ps	yes	mongoloidné plemeno	conservative
SK155	n	ddp	yes	obmedzenec	conservative
SK1434	n	pr	no	sexuálnych služieb	inclusive
SK1117	n	re	no	delikvent	conservative
SK2505	n	dmc	yes	dezertér	conservative
SK937	n	cds	no	miešanec	inclusive
SK1351	n	qas	no	zväzovanie	inclusive
SK1720	n	dmc	yes	vliekli	conservative
SK2035	n	pa	yes	radový vojak	inclusive
SK1505	n	cds	no	hybris	conservative
SK1049	n	an	no	špinavosť	conservative
SK926	n	an	no	krokodílovité	inclusive
SK1170	n	dmc	yes	morálka	inclusive
SK449	n	qas	no	babráctvo	inclusive
SK290	n	is	yes	chudák	conservative
SK69	n	svp	no	amour propre	conservative
SK464	n	qas	no	fušerská práca	inclusive
SK1858	n	ps	yes	polovica-plemeno	conservative
SK569	n	cds	no	conceitedness	conservative
SK796	n	svp	no	eros	inclusive
SK326	n	cds	no	sveták	inclusive
SK1838	n	cds	no	priekupník	inclusive
SK1263	n	qas	no	kanvica rýb	inclusive
SK1334	n	pr	no	pištoľ moll	inclusive
SK88	n	cds	no	groteskné	inclusive
SK677	n	dmc	yes	chiseller	conservative
SK667	n	re	no	hanobenia	inclusive
SK281	n	an	no	patsy	conservative
SK214	n	svp	no	tightwad	conservative
SK1304	n	dmc	yes	dallier	conservative
SK1245	n	dmc	yes	zápachu	conservative
SK97	n	qas	no	sekanina	inclusive
SK1609	n	cds	no	nezákonnosť	inclusive
SK2226	n	pr	no	rečičky	conservative
SK831	n	or	no	homosexuálny	conservative
SK1384	n	an	no	húsatko	inclusive
SK70	a	an	no	tvrdohlavý	inclusive
SK58	n	ddp	yes	amentia	inclusive
SK1492	n	qas	no	maliar	inclusive
SK227	n	cds	no	bandita	conservative
SK292	n	cds	no	pudden hlava	conservative
SK1620	n	cds	no	prekrúcanie pravdy	conservative
SK700	n	om	no	homosexuál	inclusive
SK1993	n	re	no	zabitie	inclusive
SK520	n	asm	no	hnedý	inclusive
SK173	n	ddp	yes	nevzdelaný človek	conservative
SK1986	n	re	no	vrážd	inclusive
SK653	n	asm	no	retard	inclusive
SK1303	n	cds	no	swaggerer	conservative
SK200	n	qas	no	hlúposť	inclusive
SK1828	n	svp	no	vystatovačnosť	inclusive
SK1305	n	svp	no	dillydallier	conservative
SK1045	n	cds	no	špina	inclusive
SK395	n	qas	no	priemyselníkov	inclusive
SK913	n	an	no	krokodíl	inclusive
SK1743	n	re	no	cosa nostra	inclusive
SK1675	n	ps	yes	metic	inclusive
SK1424	n	qas	no	parazit	conservative
SK1069	n	om	no	ventrolaterálně	inclusive
SK1257	n	pa	yes	rybami	inclusive
SK848	n	pr	no	kravička	inclusive
SK654	n	ps	yes	kritin	conservative
SK93	n	qas	no	mišmaš	inclusive
SK167	n	or	no	kretén	conservative
SK1580	n	an	no	neúprosnosťou	conservative
SK840	n	ddp	yes	newsmonger	conservative
SK512	n	an	no	dobytok	inclusive
SK1790	n	an	no	papagáj	inclusive
SK933	n	cds	no	biotechnológia rastlín	inclusive
SK321	n	qas	no	lož	conservative
SK2428	n	pa	yes	white-collar worker	inclusive
SK1172	n	dmc	yes	morálne hodnoty	inclusive
SK2274	n	cds	no	fawner	conservative
SK845	n	ddp	yes	udavač	conservative
SK332	n	qas	no	chaos	inclusive
SK1739	n	cds	no	policajtov	conservative
SK294	n	ddp	yes	podvedený	conservative
SK1654	n	cds	no	dohadzovač	inclusive
SK2065	v	re	no	obrať o niečo	inclusive
SK834	n	om	no	gej	conservative
SK154	n	an	no	idiot	conservative
SK2279	a	svp	no	pažravý	inclusive
SK454	n	cds	no	boo-boo	inclusive
SK1711	n	an	no	moskyt	inclusive
SK386	n	cds	no	donášača	conservative
SK571	n	cds	no	objem	inclusive
SK1648	n	qas	no	kramář	inclusive
SK2432	n	om	no	cross-dressing	inclusive
SK2029	n	cds	no	úžera	conservative
SK432	n	cds	no	bastard	inclusive
SK831	n	om	no	homosexuálny	inclusive
SK342	n	cds	no	klamár	conservative
SK335	n	ps	yes	beduíni	inclusive
SK676	n	cds	no	camorra	inclusive
SK888	n	an	no	vamper	conservative
SK1919	n	cds	no	narcis	inclusive
SK352	n	cds	no	fanatik	conservative
SK1833	n	svp	no	superbia	conservative
SK232	n	pa	yes	hulvát	conservative
SK675	n	re	no	ohovárač	conservative
SK2398	n	an	no	slizovcovité	inclusive
SK979	n	om	no	ušľachtilá žena	inclusive
SK259	n	pa	yes	právnik	inclusive
SK2173	n	cds	no	ručné práce	conservative
SK1207	n	cds	no	fanatizmu	conservative
SK1117	n	dmc	yes	delikvent	conservative
SK1667	n	cds	no	trma-vrma	conservative
SK213	n	is	yes	držgroš	conservative
SK1095	n	om	no	gluteálnej oblasti	inclusive
SK321	n	dmc	yes	lož	inclusive
SK1914	n	an	no	midge	inclusive
SK1211	n	cds	no	kupliarstva	inclusive
SK1055	n	svp	no	hnus	inclusive
SK2308	v	re	no	kradnúť	inclusive
SK624	n	ddp	yes	väzeň	inclusive
SK658	n	ddp	yes	changelings	conservative
SK2002	n	or	no	paradajka	inclusive
SK842	n	ddp	yes	informátor	conservative
SK567	n	cds	no	arogancia	conservative
SK564	n	svp	no	spupnosť	conservative
SK655	n	asf	no	idiotia	conservative
SK671	n	re	no	libeler	conservative
SK341	n	dmc	yes	luhár	inclusive
SK1926	n	ps	yes	nigra	conservative
SK1031	n	an	no	diddlysquat	conservative
SK1737	n	cds	no	poliš	conservative
SK1763	n	cds	no	papparazzi	inclusive
SK2125	n	dmc	yes	lingerer	conservative
SK2278	a	svp	no	dychtivý	inclusive
