n	ps	yes	črnina
n	svp	no	korporativnega pohlepa
n	or	no	blockhead
n	an	no	moškega spremstva
n	cds	no	zvodništva
a	qas	no	blazen
n	dmc	yes	mečkač
n	cds	no	fanatik
n	qas	no	cadger
n	asf	no	tehnična podrobnost
n	qas	no	kmetovalcev
n	cds	no	mešanček
n	an	no	caiman
a	dmc	yes	katastrofalen
n	asm	no	mehko ray
n	pa	yes	beli ovratnik delavcev
v	re	no	prevarati
n	asm	no	norec
n	cds	no	švadroner
v	cds	no	umirati
n	qas	no	barbarsko
n	cds	no	vrvi
n	svp	no	dilly-dallier
n	qas	no	boner
n	an	no	vlačuga
n	cds	no	blamaža
a	cds	no	zvit
n	svp	no	oholosti
n	qas	no	zmešnjava
n	ddp	yes	nespametnost
n	om	no	bazalni
n	re	no	zlorabljanje
n	an	no	ličinka
n	an	no	diddly sranje
v	re	no	pofuliti
n	re	no	tat
n	cds	no	mladinskih tolp
n	dmc	yes	teslo
n	om	no	pogoji za anatomske lokacije
n	cds	no	luftar
n	asm	no	doofus
n	ddf	yes	ljudi s posebnimi potrebami
n	asf	no	kreten
n	re	no	grand theft
n	svp	no	tightwad
n	dmc	yes	moralo
n	qas	no	granger
n	cds	no	posrednik,
n	cds	no	reakcionarna
n	ps	yes	mongol
n	cds	no	antični
n	an	no	spogledljivka
n	cds	no	krog
n	cds	no	prepovedali
n	cds	no	mladič
n	om	no	analni spolni odnos
n	an	no	caprinae
n	ps	yes	zamorec
n	ddp	yes	bukselj
n	cds	no	camarilla
a	svp	no	opolzek
a	svp	no	nabrekel
n	cds	no	mafioso
n	or	no	buzerant
n	dmc	yes	krepost
a	dmc	yes	razvraten
a	qas	no	diletantski
n	an	no	hemipteron
n	dmc	yes	hobo
n	cds	no	imbecil
n	qas	no	zajedavka
n	cds	no	drskost
n	an	no	bizgec
n	dmc	yes	prepovedali
n	an	no	vešče
n	cds	no	dandy
n	qas	no	bungler
n	pr	no	moškega spremstva
n	cds	no	prelat
n	or	no	irski krompir
n	ps	yes	preplet
n	cds	no	gobs
n	cds	no	potegavščina
n	cds	no	prostozidarjev
a	is	yes	žalosten
n	cds	no	blaznica
n	asm	no	flouter
n	cds	no	podkupljivost
n	dmc	yes	lump
n	an	no	angvila
n	cds	no	outlawry
n	asm	no	bob
n	is	yes	parija
a	ddf	yes	slàb
n	cds	no	barbari
n	cds	no	conventicles
n	dmc	yes	hinavsko
n	an	no	ološ in bobtail
n	cds	no	fanatizem
n	an	no	veliki morski pes
n	cds	no	yokel
n	re	no	tatvina
n	asm	no	bedak
n	qas	no	baraka
n	dmc	yes	zmuzne
n	an	no	belega morskega volka
n	cds	no	razbojnikov
n	cds	no	pikolovstvo
n	cds	no	porednež
n	cds	no	izločene
n	an	no	psiček
n	ps	yes	imbecil
n	cds	no	šala
n	ps	yes	tepec
n	an	no	fulvus
n	re	no	mučitelj
n	cds	no	rotter
n	dmc	yes	brezdelnik
n	cds	no	modrijan
n	dmc	yes	pripovedovalec zgodb
n	an	no	lenuh
n	asm	no	maxilliped
n	cds	no	ponòs
n	cds	no	hlastač
n	pa	yes	zaslužni profesor
n	re	no	hudodelec
n	om	no	paederasty
n	pa	yes	porter
n	re	no	nasilja
n	qas	no	slab klobuk
a	svp	no	skopuški
n	re	no	zlorabe
n	dmc	yes	dobro-za-ničla
n	cds	no	drkam
n	asm	no	angleški fižol
n	pa	yes	portir
n	ps	yes	mongoloids
a	an	no	kljubovalen
n	an	no	pediculus humanus
a	ddp	yes	omejen
n	cds	no	majhna laž
n	cds	no	zvodník
n	re	no	traducement
n	cds	no	kazenske
a	ddp	yes	bedast
n	cds	no	postavač
n	cds	no	klike
n	svp	no	minginess
n	an	no	norec
n	cds	no	egoizem
a	cds	no	premeten
n	an	no	ptica minerva
n	pr	no	rjava podgana
n	dmc	yes	izprijenost
n	asm	no	pisum sativum
n	re	no	svirepost
n	cds	no	samozadovoljstvo
n	rci	yes	kmet
n	ps	yes	osel
n	or	no	sativus
v	cds	no	miniti
n	ps	yes	cigani
n	an	no	insekt
n	cds	no	rod
n	ps	yes	hispanic
n	ddp	yes	ujetnica
n	an	no	slabotnež
n	qas	no	odan
n	cds	no	nezakonski otrok
n	cds	no	glavni dejavnik
