pos	category	stereotype	lemma	level
v	asm	no	poneveriti	conservative
a	svp	no	skop	inclusive
n	cds	no	vlačugar	conservative
n	cds	no	mafijo	conservative
n	an	no	animalculum	inclusive
n	ddp	yes	teslo	conservative
n	ddp	yes	butec	inclusive
n	svp	no	oholosti	conservative
n	an	no	nevednež	conservative
n	cds	no	pilferer	conservative
n	asf	no	budala	conservative
n	cds	no	velika množina	inclusive
n	an	no	papagaj	inclusive
a	qas	no	razburjen	inclusive
n	re	no	izsiliti	inclusive
n	cds	no	grešnica	conservative
n	or	no	koromač	inclusive
n	om	no	sodomist	inclusive
n	cds	no	kifeljc	conservative
n	pa	yes	pedantnost	inclusive
n	cds	no	trik	inclusive
n	re	no	obrekljivec	conservative
n	cds	no	predrznost	conservative
n	cds	no	pobožnjaški	conservative
n	cds	no	star avtomobil	inclusive
n	svp	no	lakota	conservative
n	ps	yes	križanec	inclusive
n	cds	no	komunalnih odpadkov	inclusive
n	om	no	homosexualism	inclusive
n	cds	no	trop	inclusive
n	an	no	culex pipiens	inclusive
n	cds	no	konformističnega	conservative
n	qas	no	neplemič	inclusive
n	cds	no	strikebreakers	inclusive
n	cds	no	mess-up	inclusive
n	cds	no	klepetalo	conservative
n	dmc	yes	ne storiti ničesar	conservative
n	svp	no	skopuha	conservative
n	ps	yes	hebraizem	inclusive
n	cds	no	scads	inclusive
n	ps	yes	bolgarščina	inclusive
v	cds	no	čvekati	inclusive
n	asm	no	tepec	conservative
a	svp	no	zlonameren	conservative
n	dmc	yes	dissimulator	conservative
n	cds	no	precenjevanje samega sebe	conservative
n	cds	no	religioznost	inclusive
n	cds	no	zbunjujuće	conservative
n	cds	no	potegavščina	inclusive
n	ddp	yes	traparija	inclusive
n	svp	no	stiskač	inclusive
n	is	yes	revež	inclusive
n	re	no	umor	inclusive
n	an	no	deklina	conservative
a	cds	no	zvijačen	conservative
n	cds	no	pretkanost	inclusive
n	cds	no	fundamentalist	inclusive
n	an	no	kokoš	inclusive
n	re	no	bandit	inclusive
n	dmc	yes	loiterer	conservative
n	asf	no	budalo	conservative
v	cds	no	stisniti se	inclusive
n	ddp	yes	barbarizem	inclusive
a	asm	no	rjavo	inclusive
n	dmc	yes	nravoslovje	inclusive
n	is	yes	slaba	inclusive
n	cds	no	schoolma'am	conservative
n	ps	yes	zamorec	conservative
n	svp	no	niggardliness	conservative
n	asm	no	debilizem	inclusive
a	dmc	yes	slab	conservative
n	cds	no	retard	inclusive
n	cds	no	sas	inclusive
a	ddf	yes	nerazveseljiv	conservative
n	an	no	kljun	inclusive
n	dmc	yes	dobro-za-ničla	conservative
n	dmc	yes	scattergood	inclusive
a	is	yes	žal	inclusive
n	pr	no	hetaira	inclusive
n	re	no	odtujitev	inclusive
n	an	no	lunkhead	conservative
n	an	no	culicidae	inclusive
n	cds	no	površnost	inclusive
n	an	no	blattaria	inclusive
n	cds	no	bungle	inclusive
n	an	no	fris	inclusive
n	pa	yes	pastir	inclusive
v	cds	no	snovati	inclusive
a	an	no	trdovratne	inclusive
v	re	no	varati	inclusive
n	ddp	yes	neumnost	inclusive
a	ddf	yes	slinast	conservative
n	cds	no	napuh	conservative
n	cds	no	posredovalec	inclusive
n	an	no	bos taurus	inclusive
n	or	no	osel	conservative
n	qas	no	mooch	conservative
n	ddf	yes	škrat	conservative
n	qas	no	pasja uta	inclusive
n	cds	no	postavač	conservative
a	ddf	yes	slabo	inclusive
v	is	yes	rotiti	inclusive
n	cds	no	ovaduh	conservative
a	is	yes	žalostno	inclusive
n	an	no	strahopetec	conservative
n	re	no	usmrtitev	inclusive
n	asm	no	fižol faba	inclusive
n	ddp	yes	duševno prizadetih	inclusive
a	ddp	yes	brezčuten	conservative
n	om	no	homoseksuálec	inclusive
n	qas	no	retorik	inclusive
n	re	no	nezakonite dejavnosti	inclusive
a	cds	no	oster	inclusive
a	dmc	yes	posran	conservative
n	ddp	yes	klepetulja	conservative
n	is	yes	revni ljudje	inclusive
n	or	no	neumna	conservative
v	cds	no	miniti	inclusive
n	an	no	mulo	inclusive
n	cds	no	lump	inclusive
a	cds	no	nepostaven	inclusive
n	or	no	bimbo	conservative
n	cds	no	budala	inclusive
n	asm	no	jebeš	conservative
n	an	no	kajmani	inclusive
n	asm	no	sranje	inclusive
a	dmc	yes	katastrofalen	conservative
n	qas	no	zmešnjava	inclusive
n	cds	no	wangler	conservative
n	cds	no	gossipmonger	conservative
n	re	no	ubijanje	inclusive
n	cds	no	učitelj	inclusive
n	dmc	yes	libertine	conservative
n	cds	no	vsiljivec	conservative
n	cds	no	banda	inclusive
n	cds	no	navihanec	inclusive
a	dmc	yes	slinast	conservative
v	asm	no	posmehovati	inclusive
n	dmc	yes	hajduk	conservative
a	cds	no	boječ	conservative
n	an	no	mleka koz	inclusive
a	cds	no	prekanjen	inclusive
a	qas	no	besen	inclusive
n	an	no	bivol	inclusive
n	ps	yes	bolgár	inclusive
n	svp	no	mirovanje	inclusive
n	pr	no	kurba	conservative
n	qas	no	kmetavzar	conservative
n	ddp	yes	tapica	conservative
n	cds	no	družabna prireditev	inclusive
n	cds	no	zabavljač	conservative
n	ddp	yes	nesmiselno	conservative
n	ps	yes	mongoloid	conservative
n	dmc	yes	bumbler	conservative
n	an	no	despoiler	inclusive
n	qas	no	mešanico	inclusive
n	dmc	yes	postopač	conservative
n	cds	no	barbari	conservative
n	an	no	angvila	inclusive
n	cds	no	dandy	inclusive
n	cds	no	nerdy	conservative
n	dmc	yes	rube	conservative
n	pa	yes	uradnik	inclusive
n	an	no	debeloglavec	conservative
n	re	no	ubijalec	inclusive
n	ps	yes	rdeči karton	inclusive
n	svp	no	aboulia	inclusive
n	or	no	irski krompirja	inclusive
n	ddf	yes	pritlikava oseba	conservative
v	asm	no	zbadati	inclusive
n	re	no	plagiarizem	inclusive
n	cds	no	poltroon	conservative
n	cds	no	hudodelec	conservative
n	cds	no	posojanje denarja	conservative
n	svp	no	gorger	conservative
n	pa	yes	cepec	conservative
n	an	no	mikrob	inclusive
n	qas	no	mešanic	inclusive
n	cds	no	kišta	inclusive
n	an	no	žaba	inclusive
n	an	no	krilo chaser	conservative
n	qas	no	klasične retorike	inclusive
n	ddp	yes	blockhead	conservative
n	an	no	kine	inclusive
a	om	no	nepravilen	inclusive
n	cds	no	teroristično zaroto	inclusive
n	qas	no	jajce	inclusive
n	svp	no	skopost	conservative
n	dmc	yes	lopov	conservative
n	dmc	yes	potratnež	conservative
n	om	no	repna	inclusive
n	cds	no	fawner	conservative
n	cds	no	bordel	inclusive
n	dmc	yes	plitev	conservative
n	an	no	moškega spremstva	conservative
n	cds	no	botch	inclusive
n	an	no	pujska	inclusive
a	ddp	yes	neobdelan	conservative
n	qas	no	kmet	inclusive
n	ps	yes	drugih ras	inclusive
n	an	no	pijavka	inclusive
n	om	no	shirtlifter	inclusive
n	cds	no	butec	inclusive
n	cds	no	moralizma	inclusive
n	ps	yes	bela	inclusive
v	cds	no	moralizirati	conservative
n	pr	no	govedo	inclusive
a	qas	no	žalosten	conservative
n	or	no	natančnost	inclusive
v	cds	no	!?izdihniti	inclusive
v	cds	no	krošnjariti	inclusive
n	cds	no	heretik	conservative
n	cds	no	scamp	conservative
n	dmc	yes	lenoba	conservative
n	qas	no	hiša slika	inclusive
n	pa	yes	seljak	conservative
a	svp	no	pohoten	conservative
a	svp	no	prepotenten	conservative
v	cds	no	uničiti	inclusive
a	cds	no	klečeplazen	conservative
a	qas	no	srednjeveški	inclusive
n	cds	no	topsy-turvyness	inclusive
v	re	no	poneveriti	inclusive
n	cds	no	tatinstvo	inclusive
n	an	no	brant	inclusive
v	cds	no	ščebetati	inclusive
a	cds	no	maziljen	conservative
n	an	no	čuk	inclusive
n	re	no	izsiljevanje	inclusive
n	ps	yes	neotesanac	conservative
n	ps	yes	retard	conservative
n	pa	yes	akademiki	inclusive
a	dmc	yes	lažen	conservative
n	om	no	homophile	conservative
n	cds	no	priprošnjik	inclusive
n	qas	no	mazač	conservative
n	ddp	yes	šarlatanstvo	conservative
n	an	no	gosak	inclusive
n	an	no	budala	conservative
n	svp	no	spiritlessness	inclusive
n	cds	no	kanalizacija	inclusive
n	asm	no	vicia faba	inclusive
n	cds	no	nezakonite dejavnosti	inclusive
n	cds	no	procuress	inclusive
n	re	no	posilil	conservative
n	cds	no	sodi človeka	conservative
n	re	no	camorre	inclusive
n	cds	no	pleme	inclusive
n	om	no	sodomite	inclusive
n	ps	yes	barbarsko	conservative
n	re	no	ukradenih predmetih	inclusive
n	cds	no	kmetavzar	conservative
