id	pos	category	stereotype	lemma	level
SL2647	n	cds	no	paragrafar	conservative
SL289	a	svp	no	skop	inclusive
SL670	n	qas	no	srednji sloj	inclusive
SL381	n	cds	no	stupe	conservative
SL92	n	svp	no	kasne	conservative
SL2815	a	cds	no	glavat	conservative
SL152	n	ddp	yes	metazojev	inclusive
SL144	n	an	no	jegulje	inclusive
SL3014	n	cds	no	birič	conservative
SL1034	n	dmc	yes	deželan	conservative
SL1253	n	ddp	yes	abotnež	conservative
SL508	n	dmc	yes	zlo	conservative
SL2196	n	cds	no	dojenček	inclusive
SL203	n	cds	no	bukselj	conservative
SL242	n	svp	no	skopost	inclusive
SL3110	n	re	no	zlorabljal	inclusive
SL775	n	ddp	yes	zaporniki	inclusive
SL1862	n	qas	no	hiša slikar	inclusive
SL492	n	ddp	yes	tattletale	conservative
SL474	n	re	no	hudodelec	inclusive
SL1272	n	ps	yes	dimwit	conservative
SL22	n	re	no	zlorabe	inclusive
SL1082	n	qas	no	odpadek	inclusive
SL781	n	ddp	yes	arestant	inclusive
SL858	n	cds	no	grifter	conservative
SL818	n	ddp	yes	debil	inclusive
SL1608	n	cds	no	mason	inclusive
SL1402	n	qas	no	kmet	inclusive
SL2018	a	dmc	yes	len	conservative
SL3156	n	re	no	mučili	inclusive
SL639	n	pr	no	krava	conservative
SL2249	n	dmc	yes	yokel	conservative
SL1011	n	om	no	poove	conservative
SL818	n	cds	no	debil	inclusive
SL908	n	qas	no	mare gnezdo	inclusive
SL2914	n	re	no	lovilca	inclusive
SL713	n	dmc	yes	potepin	inclusive
SL3277	a	cds	no	neotesan	conservative
SL92	n	cds	no	kasne	conservative
SL1047	n	cds	no	strašljivec	conservative
SL183	n	ddp	yes	bedastoča	conservative
SL852	n	dmc	yes	slepar	conservative
SL919	n	asm	no	cura	conservative
SL482	n	cds	no	izobčenec	inclusive
SL1210	n	or	no	cucurbita maxima	inclusive
SL2789	a	cds	no	banalen	inclusive
SL447	a	ddp	yes	otroški	conservative
SL309	n	ddp	yes	banavz	conservative
SL2950	a	cds	no	fašističen	inclusive
SL312	n	ddp	yes	barbari	conservative
SL2661	v	an	no	razploditi se	conservative
SL1553	n	cds	no	trik	conservative
SL1635	n	svp	no	jalovost	conservative
SL2244	n	dmc	yes	nesramen	conservative
SL999	n	an	no	kunec	inclusive
SL656	n	qas	no	lastnik podjetja	inclusive
SL1610	n	cds	no	prosto zidar	inclusive
