pos	category	stereotype	lemma	level
n	pr	no	zuskë	conservative
n	dmc	yes	qen të pista	conservative
n	cds	no	horr	conservative
n	pr	no	zonja e kënaqësi	conservative
n	an	no	plesht	inclusive
n	an	no	animalculum	inclusive
n	ddf	yes	njerëzit me aftësi të kufizuara	inclusive
n	qas	no	amatori	inclusive
n	pa	yes	avokatët gjykim	inclusive
n	cds	no	masonëria e lirë	inclusive
n	re	no	mashtrues	conservative
n	or	no	pederast	conservative
n	cds	no	demagog	conservative
n	svp	no	conceitedness	conservative
n	qas	no	piktor shtëpi	inclusive
n	cds	no	dhunës bandës	conservative
n	cds	no	dreq	conservative
n	qas	no	industrialistëve	inclusive
n	cds	no	stok	inclusive
n	pa	yes	pyronia tithonus	inclusive
n	dmc	yes	kriminel	conservative
n	an	no	mikrobet	inclusive
n	an	no	pirat	inclusive
a	qas	no	çmendur	conservative
n	re	no	përdhunim me forcë	conservative
n	qas	no	katranosje	inclusive
n	an	no	culex pipiens	inclusive
n	dmc	yes	moralisht falimentuar	inclusive
n	qas	no	blooper	inclusive
n	re	no	hajdutë	inclusive
n	asm	no	bimë bizele	inclusive
n	cds	no	strikebreakers	inclusive
n	cds	no	mess-up	inclusive
n	qas	no	pseudodijetar	conservative
n	dmc	yes	fundërrinë	conservative
n	cds	no	batakçi	inclusive
n	re	no	shpërdorim	inclusive
n	ddf	yes	spurdhjak	conservative
n	cds	no	mburrje	conservative
n	re	no	maligner	conservative
n	cds	no	njeri i shushatur	conservative
n	dmc	yes	i dëbuar	inclusive
n	cds	no	mason	inclusive
n	cds	no	njeri i bezdisshëm	conservative
n	ddp	yes	twirp	conservative
n	an	no	ngjala	inclusive
n	an	no	snatcher trupit	inclusive
n	dmc	yes	dissimulator	conservative
n	an	no	morrit trupit	inclusive
n	dmc	yes	xhymert	inclusive
n	om	no	derriere	inclusive
n	ps	yes	vandal	inclusive
n	dmc	yes	rrenacak	conservative
n	cds	no	whiner	conservative
n	dmc	yes	gënjeshtra	inclusive
n	pa	yes	barbare	conservative
n	asm	no	ngjyrë kafe të errët	inclusive
n	pr	no	lavire crack	conservative
n	an	no	molë	inclusive
n	re	no	terrorist	inclusive
n	an	no	fauna	inclusive
n	dmc	yes	ligësi	inclusive
n	pa	yes	shkencore	inclusive
n	or	no	njeri i trashë	conservative
n	or	no	kokë	inclusive
n	cds	no	culchie	inclusive
n	an	no	thi	inclusive
n	cds	no	fundamentalist	inclusive
n	ps	yes	negroes	inclusive
n	re	no	bandit	inclusive
n	cds	no	maskarai	conservative
n	pr	no	armë moll	inclusive
a	ddf	yes	verbër	inclusive
n	dmc	yes	loiterer	conservative
n	an	no	person i keq	conservative
n	cds	no	qartësi	inclusive
n	svp	no	inat	inclusive
n	cds	no	qen	inclusive
n	cds	no	sjellje kriminale	inclusive
n	qas	no	fjalëmadhësi	inclusive
n	pa	yes	deklarues	inclusive
n	cds	no	schoolma'am	conservative
n	dmc	yes	personi pastrehë	inclusive
n	svp	no	niggardliness	conservative
n	an	no	doodly-mbledhje	conservative
n	dmc	yes	personi për të ardhur keq	inclusive
n	re	no	keq-përdorimi	inclusive
n	cds	no	thashethemaxhi	conservative
n	re	no	dëbuar	inclusive
n	or	no	piçkë	conservative
n	an	no	caprinae	inclusive
n	cds	no	palaçollëk	inclusive
n	dmc	yes	gdhë	conservative
n	dmc	yes	varfër djalli	inclusive
n	dmc	yes	scattergood	inclusive
n	an	no	pajisje të dëgjuarit	inclusive
n	pr	no	hetaira	inclusive
n	asm	no	trutharë	conservative
n	an	no	american buall	inclusive
n	an	no	blattaria	inclusive
n	pa	yes	komunitetit akademik	inclusive
n	cds	no	blooper	inclusive
n	cds	no	i padobishëm	conservative
n	cds	no	junk mail	inclusive
n	ps	yes	harbut	conservative
n	dmc	yes	mirë-për-asgjë	conservative
n	dmc	yes	bredharak	inclusive
n	asf	no	gdhë	conservative
n	re	no	e bën për vdekje	inclusive
n	dmc	yes	bishtnues	conservative
n	cds	no	i mitur	inclusive
n	is	yes	djalë rrugësh	conservative
n	an	no	wisent	inclusive
n	ddp	yes	trutharë	conservative
n	qas	no	punë tavolinë	inclusive
n	ps	yes	seleksionuesit të bimëve	inclusive
n	an	no	budalla	conservative
n	pa	yes	roje dera	inclusive
n	cds	no	bandës rrugë	conservative
n	qas	no	person të përbashkët	inclusive
n	svp	no	shtatë mëkatet vdekjeprurëse	inclusive
n	pr	no	prostitutë mashkull	conservative
n	qas	no	i padobishëm	conservative
n	svp	no	superbia	conservative
n	ddp	yes	ga	conservative
n	cds	no	maskara	conservative
n	cds	no	potere	inclusive
n	re	no	abuzim seksual	inclusive
n	qas	no	fieldhand	inclusive
n	qas	no	kastat	inclusive
n	an	no	shënoni	inclusive
n	cds	no	loanshark	inclusive
n	om	no	fisnike	inclusive
n	or	no	ngalakaq	conservative
n	cds	no	regjimit fashist	conservative
n	re	no	abuzimet e pushtetit	inclusive
n	cds	no	weisenheimer	conservative
n	an	no	athinë noctua	inclusive
n	ps	yes	zulus	inclusive
n	dmc	yes	imoralitet	inclusive
n	qas	no	shtëpi qen	inclusive
n	an	no	qeve	inclusive
n	an	no	hienë	inclusive
n	cds	no	banditti	conservative
n	pr	no	rat norvegjia	inclusive
n	an	no	krokodilat	inclusive
n	cds	no	fashiste	conservative
n	ps	yes	doofus	conservative
n	cds	no	përzierje	inclusive
n	an	no	insekt	inclusive
n	ddp	yes	fumbler	conservative
n	an	no	anguillidae	inclusive
n	svp	no	bishtnues	conservative
n	re	no	vepër të dënueshme	inclusive
n	cds	no	fiseve	inclusive
n	cds	no	mësues	inclusive
n	ddp	yes	pudden-kreu	conservative
n	cds	no	kreu rrit	conservative
n	ddp	yes	ferociousness	conservative
n	qas	no	katranos	inclusive
n	or	no	budalla	conservative
n	pr	no	courtesans	inclusive
n	re	no	terrorizëm	conservative
n	an	no	ngjalë	inclusive
n	qas	no	famullisë	inclusive
v	cds	no	thahem	inclusive
n	dmc	yes	homunculus	inclusive
n	svp	no	neveri	inclusive
n	an	no	hirudinea	inclusive
n	cds	no	vetë-adhurim	inclusive
a	dmc	yes	ndotura	inclusive
n	pa	yes	pjesëtar fakulteti	inclusive
n	cds	no	wangler	conservative
n	cds	no	gomar	conservative
v	asm	no	be intimate	conservative
n	cds	no	anëtar i bandës	inclusive
n	cds	no	tualete publike	inclusive
n	ddp	yes	fundërrine	conservative
n	an	no	lepujt	inclusive
n	cds	no	gënjej	conservative
n	cds	no	huadhënës	inclusive
n	cds	no	çrregullim	inclusive
n	cds	no	lëpirës	conservative
n	pa	yes	uncouthness	conservative
n	cds	no	letër-pusher	inclusive
n	cds	no	fanatizem	conservative
n	cds	no	fundamentalistët	inclusive
n	cds	no	foxiness	conservative
n	cds	no	moron	inclusive
n	om	no	homoseksuali	inclusive
n	pr	no	lopë	inclusive
n	an	no	metazoans	inclusive
n	cds	no	spurdhjak	conservative
n	asm	no	bollocks	inclusive
v	asm	no	know	conservative
n	ddp	yes	i burgosur	inclusive
n	qas	no	partner në krim	inclusive
n	dmc	yes	budalla-off	conservative
n	an	no	bagëti	inclusive
n	om	no	xhanan	inclusive
n	dmc	yes	penal	inclusive
n	pa	yes	profesor emeritus	inclusive
n	cds	no	peshk të varfër	conservative
n	asf	no	grua e re	conservative
n	an	no	crocodilia	inclusive
