n	asm	no	nookie
n	ps	yes	nigga
n	asf	no	piçkë
n	om	no	homo
n	cds	no	kusar
n	om	no	homoseksual
n	or	no	lëvizja homophile
n	ddp	yes	guak
n	cds	no	pompoziteti
n	asf	no	changeling
n	cds	no	jerking off
n	re	no	përdhunim me forcë
n	an	no	fundërrinë
n	cds	no	fanatik
n	asf	no	codswallop
n	cds	no	satyriasis
n	pr	no	djem qira
n	asf	no	gdhe
n	cds	no	malok
n	svp	no	slackers
n	asm	no	kërcu
n	an	no	codswallop
n	asf	no	fuckhead
n	cds	no	ekstreme right-krah
n	ddp	yes	pillock
n	cds	no	blowhard
n	pr	no	përcjellje mashkull
n	cds	no	fashistët
n	ddp	yes	ga
n	dmc	yes	grifter
n	or	no	njeri i trashë
n	dmc	yes	delikuent të mitur
n	cds	no	bragger
n	svp	no	gorger
n	cds	no	mizëri
n	asf	no	grua e re
n	an	no	vajzë e hedhur
n	dmc	yes	kërpaç
n	ddp	yes	gomar
n	ddp	yes	pakuptimta
n	pr	no	bisedë pa kuptim
n	ddp	yes	vrimë e bythës
n	cds	no	jacking off
n	dmc	yes	fanatizmit
n	pa	yes	harbut
n	qas	no	gënjej
n	cds	no	teveqel
n	om	no	rroço
n	dmc	yes	slackers
n	ps	yes	changelings
n	om	no	twink
n	qas	no	frekuentues i rregullt
n	dmc	yes	chiseler
n	cds	no	praktike joker
n	cds	no	nëna fucker
n	cds	no	mbeturinave të ngurta komunale
n	asf	no	njeri i trashë
n	cds	no	falsifikues
n	dmc	yes	trishtim
n	cds	no	folderol
n	qas	no	i padobishëm
n	cds	no	dëbuar
n	cds	no	patsy
n	asf	no	pidh
n	is	yes	villainess
n	qas	no	krijues telashe
n	dmc	yes	dembel
n	asm	no	doofus
n	cds	no	mburracak
n	rci	yes	harbut
n	asm	no	jacking off
n	cds	no	chiseler
n	svp	no	plogështi
n	cds	no	fundërrinë
n	dmc	yes	no-llogari
n	an	no	ndjekës skaj
n	dmc	yes	dallkauk
n	cds	no	nimfomani
n	dmc	yes	endacak
n	cds	no	bandës rrugë
n	cds	no	arrogancës
n	an	no	doodly-mbledhje
v	asm	no	hump
n	cds	no	rishtar
n	cds	no	konformist
n	or	no	gdhe
n	an	no	turpshëm
n	cds	no	ndjekës
n	cds	no	hustling
n	cds	no	trap
n	asf	no	changelings
n	an	no	knucklehead
n	cds	no	know-it-all
n	or	no	homoseksual
n	cds	no	bandës
n	pr	no	kurvë
n	cds	no	tutor prostitutash
n	ddp	yes	kokëtrashë
a	cds	no	budalla
n	ddp	yes	marrëzi
n	an	no	diddley
n	an	no	dhunë
n	cds	no	shkatërrime
n	dmc	yes	katundar
n	cds	no	loanshark
n	dmc	yes	faqezi
n	an	no	njeri i prapambetur
n	an	no	patsy
n	cds	no	arrogancë
n	ddp	yes	betise
n	or	no	poof
n	cds	no	line-shooter
v	qas	no	kërkim i ngathët
n	asf	no	gdhë
n	asm	no	copë gomar
n	ddp	yes	changeling
n	cds	no	conceitedness
n	an	no	bien djalë
n	dmc	yes	budalla-off
n	dmc	yes	prevaricator
n	cds	no	fanatizmit
a	qas	no	çmendur
n	qas	no	tagalong
n	cds	no	mësoj përmendsh
n	ddp	yes	folderol
n	ddp	yes	fundërrinave dhe bisht
n	an	no	i padobishëm
n	qas	no	fundërri
n	an	no	djem qira
n	svp	no	kotësi
v	asm	no	make out
n	asf	no	bien djalë
n	asm	no	flouter
n	or	no	gdhë
n	svp	no	tërbim
n	svp	no	pjatancë druri
n	ddp	yes	asshole
n	dmc	yes	tradhtar
n	dmc	yes	zemërlig
n	cds	no	bishtnues
n	re	no	maskara
n	cds	no	harbut
n	an	no	llum
n	ps	yes	barbarëve
n	ddp	yes	changelings
n	ps	yes	ruiner
n	qas	no	parazit
n	an	no	mashtrues
n	an	no	grabitës
n	dmc	yes	rakehell
n	re	no	terrorizmit
n	cds	no	ngordhalaq
n	dmc	yes	git
n	cds	no	mashtrim
n	an	no	diddly
n	cds	no	dhelpëri
n	cds	no	fundërrinave dhe bisht
n	cds	no	pisanjos
n	dmc	yes	barbarët
n	cds	no	personi çrregullt
n	svp	no	trishtim
n	ddp	yes	twaddler
n	cds	no	fanatizmin
n	ddp	yes	rumormonger
n	ddp	yes	rumourmonger
n	an	no	kurvë
n	cds	no	fanatizem
n	ps	yes	krauthead
n	dmc	yes	hobos
n	cds	no	katundar
n	re	no	përqesh
n	or	no	knucklehead
n	om	no	poove
n	asm	no	torollak
n	or	no	rroço
n	cds	no	mbeturinave shtëpiake
n	asm	no	trutharë
n	asf	no	vaginale
n	svp	no	conceitedness
n	cds	no	rumormonger
n	cds	no	i poshtër
n	qas	no	tradhti
n	qas	no	refuzoj
n	an	no	idiot
n	pr	no	zvarritje frenuar
n	ddp	yes	codswallop
n	cds	no	skrap
n	asm	no	jerking off
n	ddp	yes	grabitës
v	asm	no	have sex
n	dmc	yes	kriminel
n	cds	no	sharlatan
n	qas	no	hat e keqe
n	an	no	naze
n	re	no	përdhunues serial
n	cds	no	lartë-bujari
n	cds	no	schoolma'am
n	qas	no	barbarëve
n	ddp	yes	i shëmtuar
n	cds	no	kodosh
n	qas	no	vjedh
n	cds	no	vulgu-rouser
a	ddp	yes	qesharake
n	re	no	maligner
n	ddp	yes	gjepura
n	asm	no	idiot
n	cds	no	moneylenders
n	ddf	yes	gjysmë-pintë
n	cds	no	njeri që ndërhyn
n	svp	no	dillydallier
n	svp	no	përtac
n	dmc	yes	dallier
n	svp	no	hamës i madh
n	or	no	teveqel
n	ps	yes	euroaziat
n	or	no	trutharë
n	cds	no	shakaxhi
n	dmc	yes	që rri pa punë
n	pr	no	lavire crack
n	cds	no	frikacak
n	cds	no	tradhti
n	dmc	yes	thes i trishtuar
v	asm	no	sleep with
n	cds	no	delikuent të mitur
n	cds	no	egoist
n	an	no	shejtan tragjik
n	an	no	njeri i trashë
n	or	no	jes
n	or	no	ngalakaq
n	asf	no	kokëtrashë
n	dmc	yes	dissimulator
n	qas	no	zgjedh
n	ps	yes	vonoj
n	svp	no	ravenousness
n	an	no	ndjekës grua
n	cds	no	wuss
n	cds	no	hov-off
n	cds	no	i ashtuquajtur
n	cds	no	lexues i apasionuar
n	cds	no	rumourmonger
n	ps	yes	mongoloids
n	ddp	yes	sharlatan
n	asm	no	marrëzi
n	or	no	piçkë
n	cds	no	mësuese
n	cds	no	burracak
n	or	no	peshk të varfër
n	om	no	homoseksualëve
n	cds	no	telash
n	cds	no	wangler
n	cds	no	tregtari wheeler
n	dmc	yes	fanatik
n	asm	no	kaqol
n	dmc	yes	malodour
n	or	no	pillock
n	ps	yes	guak
n	re	no	aktin e terrorizmit
n	svp	no	superbia
n	cds	no	mafia
n	an	no	gjarpër në bar
n	an	no	relentlessness
n	cds	no	kërcu
n	cds	no	nymphomaniac
n	dmc	yes	mashtruese
n	rci	yes	barbare
n	svp	no	minginess
n	cds	no	gënjeshtër
n	svp	no	niggardliness
n	cds	no	rube
n	dmc	yes	maskara
n	re	no	shantazh
n	om	no	personi hendikepuar
n	ddp	yes	harbut
n	an	no	gdhë
n	cds	no	dogmatizëm
v	asm	no	do it
n	asm	no	nooky
n	asm	no	budalla
n	an	no	rrugë vajzë
n	cds	no	i padobishëm
n	cds	no	bastard
v	asm	no	get it on
n	dmc	yes	pseudo
n	dmc	yes	hipokrit
n	pr	no	prostitucion
n	ps	yes	gdhe
n	an	no	koprrac
n	dmc	yes	bandit
n	asf	no	trap
n	cds	no	fanatizëm
n	svp	no	cheapskate
n	pr	no	strumpet
n	an	no	brutalitet
n	cds	no	tricker
n	an	no	braktis
n	svp	no	kurnac
n	cds	no	korruptim
n	ddp	yes	trutharë
a	svp	no	epshor
n	cds	no	gangsterizëm
n	rci	yes	barbarët
n	cds	no	hypersexual
n	re	no	vilifier
n	an	no	muttonhead
n	svp	no	marezi
n	dmc	yes	libertinism
n	re	no	përdhunimin
n	cds	no	formalist
n	cds	no	maskara
n	cds	no	kërpaç
n	cds	no	foxiness
n	cds	no	regjimit fashist
n	cds	no	dickhead
n	is	yes	koprrac
n	cds	no	mafioz
n	ddp	yes	zooerastia
n	re	no	mashtrues
n	om	no	poof
n	svp	no	kotë
n	ps	yes	budalla
n	or	no	muttonhead
n	re	no	përdhunues
n	cds	no	turmë
n	asm	no	pjesë e bishtit
n	is	yes	turpshëm
n	ddp	yes	arsehole
n	cds	no	egoizmin
n	cds	no	shkatërrime-marrje
n	an	no	ngalakaq
n	cds	no	djallëzuar
n	re	no	terrorizmi
n	ps	yes	mestizaje
n	cds	no	mori
n	cds	no	budalla
n	dmc	yes	qen të pista
n	ddp	yes	koprrac
n	ddp	yes	torollak
n	dmc	yes	keqdashje
n	cds	no	dastardliness
n	ddp	yes	injorancë
n	cds	no	gdhë
n	cds	no	njeri i bezdisshëm
n	qas	no	grabitës
n	ddp	yes	tutkun
n	ddp	yes	knucklehead
n	re	no	përdhunuesit
n	ddp	yes	thes i trishtuar
n	an	no	papërkulim
n	re	no	përdhunim
n	an	no	folderol
n	dmc	yes	foetor
n	cds	no	fashiste
n	cds	no	i mjerë
n	cds	no	snob
n	ddp	yes	rojkë
n	cds	no	reaksionar
n	dmc	yes	chiseller
n	cds	no	rrëmujë
n	qas	no	gënjeshtër
n	re	no	kriminel
n	cds	no	pafytyrësi
n	ps	yes	barbare
n	cds	no	që rri pa punë
n	cds	no	llafazan
n	svp	no	fanatik
n	cds	no	mafiozët
n	pr	no	shërbimeve seksuale
n	asf	no	moron
n	cds	no	amour propre
n	asm	no	betise
n	asf	no	vonoj
n	cds	no	polici
n	cds	no	llum
v	asm	no	get laid
n	re	no	villainess
n	cds	no	thashethemexhi
n	cds	no	ankuesi
n	svp	no	tightfistedness
n	asm	no	hov-off
n	cds	no	huadhënës
v	qas	no	ngathtësi
n	asm	no	tutkun
n	asf	no	vaginë
n	dmc	yes	trifler
n	dmc	yes	rube
n	asm	no	shtup
n	cds	no	luftë bandës
n	is	yes	shejtan tragjik
n	cds	no	kreu rrit
n	or	no	pederast
n	cds	no	problemit
n	ddp	yes	nëna fucker
n	om	no	queer
n	an	no	vamper
n	ddp	yes	dhunë
n	cds	no	wank
n	an	no	frikacak
n	cds	no	ithtar
n	svp	no	mendjemadhësi
n	is	yes	maskarai
n	ddp	yes	bumbler
n	an	no	prostitutë mashkull
n	ddp	yes	blabbermouth
n	ps	yes	doofus
n	pr	no	lavire
n	cds	no	spurdhjak
n	cds	no	bumbler
n	an	no	trutharë
n	cds	no	whiner
n	qas	no	bumbler
n	asf	no	prekje të butë
n	an	no	zooerasty
n	ddp	yes	vonoj
n	an	no	koketë
n	re	no	terroristët
n	re	no	shtrembërues
n	an	no	prostitutë
n	dmc	yes	scammer
n	cds	no	wisenheimer
n	qas	no	amateurishness
n	cds	no	refuzoj
n	dmc	yes	mirë-për-asgjë
n	cds	no	ngalakaq
n	an	no	fundërrine
