id	pos	category	stereotype	lemma	level
SQ531	n	ddp	yes	moron	conservative
SQ118	n	an	no	animate qenë	inclusive
SQ1130	n	cds	no	gardian	inclusive
SQ436	n	qas	no	biznesmen	inclusive
SQ692	n	ddp	yes	rumormonger	conservative
SQ683	n	om	no	queer	conservative
SQ121	n	an	no	fauna	inclusive
SQ406	n	an	no	brutalitet	conservative
SQ950	n	dmc	yes	drifter	inclusive
SQ98	n	ddp	yes	analphabet	inclusive
SQ1005	n	dmc	yes	scattergood	inclusive
SQ1801	n	an	no	morri	inclusive
SQ38	n	pa	yes	pedagog	inclusive
SQ137	n	or	no	kokë	inclusive
SQ1621	n	pr	no	socialites	inclusive
SQ464	n	svp	no	conceitedness	conservative
SQ603	n	qas	no	deh	inclusive
SQ1724	n	pa	yes	karrocier	inclusive
SQ1170	v	asm	no	fuck	conservative
SQ979	n	qas	no	amateri	inclusive
SQ940	n	cds	no	masë	inclusive
SQ1261	n	ps	yes	israelit	inclusive
SQ122	n	ddp	yes	metazoans	inclusive
SQ65	n	dmc	yes	përtac	conservative
SQ234	n	dmc	yes	grabitës	conservative
SQ1381	n	cds	no	fajdexhi	inclusive
SQ954	n	an	no	xhuxh	conservative
SQ394	n	ddp	yes	blunderer	conservative
SQ1091	n	cds	no	fondamentalizmit fetar	inclusive
SQ667	n	an	no	bunnies	inclusive
SQ1800	n	an	no	pediculus corporis	inclusive
SQ1668	n	asf	no	terminologji	inclusive
SQ445	n	qas	no	borgjezisë	inclusive
SQ479	n	cds	no	turpshëm	conservative
SQ1149	n	qas	no	zhbirues	inclusive
SQ199	n	asm	no	bollocks	inclusive
SQ1322	n	pr	no	gjepura	conservative
SQ479	n	an	no	turpshëm	conservative
SQ697	n	pr	no	moo-lopë	inclusive
SQ621	n	cds	no	cockup	inclusive
SQ924	n	svp	no	gourmandizer	inclusive
SQ559	n	cds	no	i padobishëm	conservative
SQ1639	n	ps	yes	nigra	conservative
SQ1144	n	cds	no	njeri i bezdisshëm	conservative
SQ1819	n	re	no	plagiarisation	inclusive
SQ1914	n	an	no	bufo	inclusive
SQ939	n	cds	no	slews	inclusive
SQ622	n	cds	no	topa-up	inclusive
SQ1437	n	dmc	yes	brac	conservative
SQ265	n	an	no	përcjellje mashkull	conservative
SQ1211	n	cds	no	thieving	inclusive
SQ661	n	asm	no	shtup	conservative
SQ1654	n	pa	yes	mëtues	inclusive
SQ1631	n	cds	no	narcism	inclusive
SQ1787	n	cds	no	gërnjar	conservative
SQ554	n	re	no	defrauder	inclusive
SQ971	n	asm	no	mbledhje	inclusive
SQ142	n	ddp	yes	budalla	conservative
SQ1626	n	an	no	midges	inclusive
SQ343	n	an	no	personi çrregullt	conservative
SQ1100	n	svp	no	trishtim	conservative
SQ1322	n	ddp	yes	gjepura	conservative
SQ1767	n	cds	no	njeri që shet dije	conservative
SQ1562	n	qas	no	retorike	inclusive
SQ1629	n	dmc	yes	gjysmë-pintë	conservative
SQ1640	n	ps	yes	jigaboo	conservative
SQ480	n	is	yes	faqezi	conservative
SQ1648	n	ps	yes	lëkurëzi	inclusive
SQ1491	n	cds	no	mafia	inclusive
SQ1786	n	is	yes	djalë rrugësh	conservative
SQ1214	n	re	no	vjedh	inclusive
SQ529	n	asf	no	vonoj	conservative
SQ268	n	qas	no	falsitetin	conservative
SQ8	n	qas	no	acolytes	inclusive
SQ1853	n	pr	no	gruaja lirshme	conservative
SQ1047	n	or	no	kopër	inclusive
SQ1701	n	re	no	slayer	inclusive
SQ1658	n	ps	yes	hispanic	inclusive
SQ1988	n	cds	no	trasformismo	inclusive
SQ418	n	pr	no	qeve	inclusive
SQ303	n	cds	no	galeri	inclusive
SQ279	n	ps	yes	bedu	inclusive
