n	pr	no	tele
n	cds	no	хвалисавост
n	cds	no	банда културе
n	cds	no	нетрпељивост
n	cds	no	фоп
n	qas	no	ћумез
n	re	no	Слејер
n	cds	no	снивеллер
n	cds	no	педантерија
n	an	no	Европски бизон
n	re	no	плагирати
n	cds	no	много
n	cds	no	малишан
n	an	no	физиогномија
n	an	no	bos taurus
n	an	no	јарац
n	ps	yes	цхангелингс
n	re	no	говеда лопов
n	asf	no	pizda
n	qas	no	бомбастичан говор
n	ps	yes	Јеврејин
n	pr	no	курвање
n	an	no	Ајкуле
n	cds	no	домаће отпадне воде
n	cds	no	direktor
n	cds	no	оперите собу
n	an	no	Телесна ваш
n	an	no	она јарац
n	om	no	пих
n	qas	no	молер
n	an	no	Амерички бизон
n	re	no	злостављао
n	pa	yes	запосленик
n	qas	no	боо-боо
n	an	no	млакоња
n	an	no	прицктеасер
n	an	no	мрк поглед
n	ps	yes	црнац
n	ddp	yes	будала
n	cds	no	одбити
n	qas	no	боургеоисе
n	an	no	блаттариа
n	or	no	Дивљи купус
n	cds	no	негативац
n	om	no	пређе облачење
n	an	no	capra
n	re	no	насилник
n	pa	yes	истакнути професор
n	dmc	yes	блундерер
n	cds	no	умишљености
n	an	no	забрањено сова
n	cds	no	цулцхие
n	ddp	yes	Варвари
n	cds	no	ваунтер
n	pa	yes	академске
n	re	no	заробљивач
n	pa	yes	схеепхердерс
n	cds	no	десетине
n	cds	no	лењивац
n	dmc	yes	деликт
n	qas	no	идеолог
n	dmc	yes	дворска луда
n	pr	no	бос таурус
n	dmc	yes	лопов
n	asm	no	флоутер
n	an	no	хемиптероус инсеката
n	dmc	yes	варвара
n	or	no	Купус
n	an	no	Безрепи водоземци
n	cds	no	затворски чувар
n	an	no	думбасс
n	re	no	Инфантицид
n	cds	no	курвин син
n	qas	no	Реторика
n	or	no	муттонхеад
n	cds	no	момчић
n	cds	no	говеда шуштање
n	an	no	Мекушац
n	cds	no	сонни бои
n	ddf	yes	цроокбацк
n	cds	no	prelat
n	dmc	yes	кловнова
n	ddf	yes	онемогућавање
n	pa	yes	професуре
n	qas	no	станара фармера
n	dmc	yes	врдалама
n	svp	no	Абулија
a	is	yes	бедан
n	pa	yes	грубијан
n	re	no	кривично дело секс
n	asm	no	дрка
n	an	no	дрска девојка
n	an	no	бестијалност
n	an	no	Јегуља
n	ps	yes	метицс
n	asm	no	боб
n	an	no	випер
n	an	no	буве
n	ps	yes	црног човека
n	ps	yes	укрштањем
n	dmc	yes	простак
n	cds	no	ноувеау-богаташи
n	pa	yes	продавац карата
n	re	no	tortura
n	re	no	silovanje
n	or	no	Репа
n	cds	no	масона
n	cds	no	дрскост
n	or	no	бундеве
n	dmc	yes	дангуба
n	cds	no	бавдихоусе
n	svp	no	лењивац
n	an	no	glista
n	re	no	Гусарство
n	an	no	Јегуље
n	an	no	чељуст
n	asm	no	фава пасуљ
n	asf	no	кретен
n	re	no	krađa
n	an	no	поквареност
n	qas	no	блоодхоунд
n	an	no	нитков
n	cds	no	јавној кући
n	pr	no	доки
n	ps	yes	мелез
n	ddf	yes	физичким инвалидитетом
n	cds	no	матцхер
n	cds	no	непристојан кућу
n	asm	no	макиллипед
n	om	no	guza
n	ddp	yes	муттонхеад
n	re	no	финансијске злоупотребе
n	qas	no	трговац
n	or	no	говнар
n	qas	no	четкица за мазање
n	cds	no	ситне крађе
n	ddp	yes	варалица
n	dmc	yes	варалица
n	re	no	svet gusara
n	om	no	лепиње
n	an	no	цимицидае
n	cds	no	клика
n	ps	yes	швабама
n	qas	no	прост
n	an	no	ајкула
n	an	no	телесних вашки
n	cds	no	самозадовољство
n	asf	no	Идиот
n	qas	no	шепртља
n	an	no	ajkula
n	re	no	традуцер
n	cds	no	збуњујуће питање
n	qas	no	чврстог отпада
n	svp	no	фаинеанце
n	an	no	Свиња
n	cds	no	Новорођенче
n	cds	no	Велика завера
n	ddp	yes	унвисенесс
n	pa	yes	чиновник
n	cds	no	Иморализам
n	om	no	нон-вестернизед концепти мушке сексуалности
n	an	no	Говедо
n	cds	no	свот
a	dmc	yes	зло
n	dmc	yes	гангстера
n	cds	no	гласови
n	svp	no	срамоту
n	pa	yes	десетар
n	cds	no	Трачање
n	or	no	бонце
n	an	no	сова
n	cds	no	аљкавац
n	svp	no	мангуп
n	an	no	говнар
n	qas	no	парохији
n	ps	yes	интерфертилити
n	asf	no	стидне длаке
n	cds	no	егоизма
n	asm	no	pisum sativum
n	svp	no	gordost
n	ddp	yes	надрилекарство
n	cds	no	имбецил
n	qas	no	блооперс
n	cds	no	ноувеау-рицхе
