pos	category	stereotype	lemma	level
n	an	no	висент	inclusive
n	an	no	некомпетентна особа	conservative
n	ddp	yes	анимирати што	inclusive
n	qas	no	Говориштво	inclusive
n	cds	no	Хиперсексуалност	conservative
n	ps	yes	хибрид	inclusive
n	cds	no	сноб	conservative
n	ddp	yes	шепртља	conservative
n	cds	no	цонвентицле	inclusive
n	an	no	неумољивост	conservative
n	an	no	бизон	inclusive
n	cds	no	сасс	inclusive
n	an	no	Бубашвабе	inclusive
n	re	no	Отмица	inclusive
n	ps	yes	особа која испашта туђе грешке	conservative
n	ddp	yes	мацрофауна	inclusive
n	an	no	говеда	inclusive
n	an	no	пилића	inclusive
n	is	yes	шкртица	conservative
n	cds	no	папараца	inclusive
n	cds	no	цоса ностра	inclusive
n	cds	no	нитков	conservative
n	cds	no	варалица	conservative
n	dmc	yes	неистина	inclusive
n	an	no	sus domestica	inclusive
n	cds	no	пајац	inclusive
n	svp	no	прождрљивост	inclusive
n	qas	no	бизнисмен	inclusive
n	an	no	Крастача	inclusive
n	svp	no	ленштина	conservative
n	ddp	yes	имбецил	inclusive
n	asm	no	кретен	conservative
n	cds	no	банде	conservative
n	or	no	цуке	inclusive
n	an	no	жена цхасер	conservative
n	cds	no	ванбрачно дете	inclusive
n	cds	no	лоансхарк	conservative
n	cds	no	Иморализам	inclusive
n	cds	no	Мошти	inclusive
n	qas	no	лаж	conservative
n	pa	yes	Дипломатски рангови Русије	inclusive
n	an	no	необразована особа	conservative
n	cds	no	дркање	conservative
n	cds	no	курира	inclusive
n	an	no	моллусца	inclusive
n	cds	no	манмаде хибрида	inclusive
n	asm	no	пенис	inclusive
n	re	no	детектив за убиства	inclusive
n	ps	yes	жути картон	inclusive
n	asm	no	јебати	conservative
n	cds	no	компреса	conservative
n	an	no	ајкула	inclusive
n	qas	no	Средња класа	inclusive
n	ddf	yes	инвалидитет	inclusive
n	re	no	либелер	conservative
n	pr	no	црацк курве	inclusive
n	cds	no	препреденко	conservative
n	or	no	геј	conservative
n	cds	no	моанер	conservative
n	om	no	услови за анатомску локацију	inclusive
n	pr	no	проститутка	conservative
n	an	no	мацрофауна	inclusive
n	om	no	drag queen	inclusive
n	asm	no	петао	inclusive
n	or	no	татер	inclusive
n	dmc	yes	бескућник	inclusive
n	ps	yes	руинер	conservative
n	svp	no	apatheia	inclusive
n	cds	no	Брокер	inclusive
n	cds	no	Синдром Казанове	conservative
n	cds	no	скоројевић	inclusive
n	cds	no	супербиа	conservative
n	om	no	истополне	inclusive
n	qas	no	кућни послови	inclusive
n	dmc	yes	развратник	conservative
n	dmc	yes	сад врећа	conservative
n	an	no	Змије шарке	inclusive
n	dmc	yes	злочинац	inclusive
n	an	no	еуриптерид	inclusive
n	qas	no	трговац	inclusive
n	re	no	сексуалног злочина	inclusive
n	cds	no	Βάρβαρος	conservative
n	ddp	yes	незнање	conservative
n	om	no	хомосексуалних мушкараца	inclusive
n	re	no	чедоморство	inclusive
n	qas	no	поље рука	inclusive
n	om	no	Геј	conservative
n	an	no	blattaria	inclusive
n	qas	no	Комформизам	inclusive
n	ps	yes	црнац	inclusive
n	cds	no	ванк	conservative
n	an	no	мегасцопс	inclusive
n	re	no	плагирати	inclusive
n	ddp	yes	румормонгер	conservative
n	cds	no	гангстеризам	conservative
n	pa	yes	дописни члан	inclusive
n	an	no	Žabe	inclusive
n	cds	no	Зеленаш	inclusive
n	ps	yes	манмаде хибрида	inclusive
n	cds	no	грешка	inclusive
n	ddp	yes	Надрилекарство	conservative
n	cds	no	хајдучију	inclusive
n	cds	no	земљишта	inclusive
n	cds	no	фундаменталисти	inclusive
n	re	no	пљачке	inclusive
n	an	no	bos taurus	inclusive
n	an	no	Овце	inclusive
n	pa	yes	чувар врата	inclusive
n	svp	no	Танха	inclusive
n	qas	no	заједничко лице	inclusive
n	asm	no	Пенис	inclusive
n	cds	no	полицајац	conservative
n	an	no	životinja	inclusive
n	cds	no	konspirativna teorija	inclusive
n	asm	no	фалусни	inclusive
n	dmc	yes	лицемерно	conservative
n	an	no	гушче	inclusive
n	dmc	yes	смрдети	conservative
n	cds	no	сатириасис	conservative
n	cds	no	самопоштовање	conservative
n	dmc	yes	потрошити-све	inclusive
n	ps	yes	јеврејин	inclusive
n	re	no	фуриоуснесс	inclusive
n	ps	yes	хебрејско	inclusive
n	an	no	физиогномија	inclusive
n	ps	yes	упроотер	conservative
a	is	yes	ubog	inclusive
n	pa	yes	портира	inclusive
n	an	no	анималцулум	inclusive
n	cds	no	пудден главе	conservative
n	an	no	буфо	inclusive
a	svp	no	agresivan	conservative
