pos	category	stereotype	lemma	level
n	an	no	blötdjur	inclusive
n	cds	no	skurkaktiga	conservative
n	dmc	yes	dilly-dallier	conservative
n	pr	no	biston betularia	inclusive
n	is	yes	socialt utstött	inclusive
n	ddp	yes	djurart	inclusive
n	om	no	arsle	inclusive
n	an	no	animalculum	inclusive
n	re	no	småaktig tjuv	inclusive
n	an	no	oförsonlighet	conservative
n	svp	no	begäret	inclusive
n	re	no	dödande	inclusive
n	cds	no	latmask	conservative
n	svp	no	ilska	conservative
n	ddp	yes	utvecklingstörd	inclusive
n	cds	no	gänget krigföring	inclusive
n	an	no	insekter	inclusive
n	cds	no	demagog	conservative
n	ddp	yes	nonsensicality	conservative
n	re	no	kriminalitet	inclusive
n	ddp	yes	makrofauna	inclusive
n	re	no	serievåldtäksman	conservative
a	ps	yes	judisk	inclusive
n	svp	no	conceitedness	conservative
n	qas	no	lumber baron	inclusive
a	ddp	yes	dåraktig	conservative
n	cds	no	pomposity	inclusive
n	re	no	bedragare	inclusive
n	ps	yes	judedomen	inclusive
n	dmc	yes	missdådare	inclusive
n	an	no	Ålfiskar	inclusive
n	pa	yes	pyronia tithonus	inclusive
n	an	no	late	conservative
n	re	no	tragisk skurk	conservative
n	an	no	åsna	inclusive
n	om	no	homosexualism	inclusive
n	cds	no	kriminella	inclusive
n	ddp	yes	dumbom	conservative
n	asf	no	jänta	conservative
n	qas	no	snyltare	inclusive
n	cds	no	förtal	conservative
n	an	no	culex pipiens	inclusive
n	om	no	samkönade	inclusive
n	an	no	kycklingkött	inclusive
n	re	no	våldtäkt	conservative
n	qas	no	blooper	inclusive
n	svp	no	egenkärlek	conservative
n	qas	no	parasit	inclusive
n	or	no	meticulosity	inclusive
n	cds	no	lodare	conservative
n	re	no	plagiera	inclusive
n	or	no	dolt	conservative
n	pr	no	råtta	inclusive
n	cds	no	ynkrygg	conservative
n	cds	no	poliskonstapel	conservative
n	ddp	yes	outbildade personer	conservative
n	svp	no	vrede	inclusive
a	svp	no	sur	conservative
n	pr	no	hussy	conservative
n	ddp	yes	twirp	conservative
n	cds	no	småljuga	conservative
n	cds	no	rustler	inclusive
n	re	no	serievåldtäktsman	conservative
n	pa	yes	herde	inclusive
n	ddp	yes	animaliska	inclusive
n	dmc	yes	misstag	inclusive
n	qas	no	medelklassfamilj	inclusive
a	cds	no	lömsk	conservative
n	an	no	bed bug	inclusive
a	om	no	olika	inclusive
n	re	no	terroristnätverk	conservative
n	cds	no	gängvåld	inclusive
n	qas	no	pöbel	conservative
n	svp	no	odåga	conservative
n	an	no	fauna	inclusive
n	dmc	yes	ostadd karl	conservative
n	qas	no	värddjur	inclusive
a	dmc	yes	föraktlig	conservative
n	cds	no	falskhet	conservative
n	is	yes	skinflint	conservative
n	cds	no	culchie	inclusive
n	asf	no	idioti	conservative
n	cds	no	pudden-huvud	conservative
n	dmc	yes	ingen hänsyn	conservative
n	dmc	yes	svek	conservative
n	dmc	yes	medelmåtta	conservative
n	dmc	yes	trångsynthet	conservative
n	ps	yes	nigga	conservative
n	ps	yes	rött kort	inclusive
n	cds	no	fundamentalist	inclusive
n	ddp	yes	åsna	conservative
n	an	no	gap	inclusive
n	om	no	drag queen	inclusive
n	pr	no	kritter	inclusive
n	cds	no	begarder	inclusive
n	re	no	gruppvåldtäkt	conservative
n	pr	no	glädjeflicka	inclusive
n	cds	no	seloternas	inclusive
n	pr	no	rattus	inclusive
n	re	no	baneman	inclusive
n	dmc	yes	tragisk skurk	conservative
n	pr	no	gangster s moll	inclusive
n	an	no	equus asinus x caballus	inclusive
n	cds	no	omerta	inclusive
n	ps	yes	lugier	inclusive
n	cds	no	schoolma'am	conservative
n	svp	no	niggardliness	conservative
n	cds	no	band	inclusive
n	cds	no	handen jobb	conservative
n	re	no	utpressning	inclusive
n	qas	no	flub	inclusive
n	pa	yes	herdar	inclusive
n	cds	no	retard	inclusive
n	asm	no	cockerel	inclusive
n	dmc	yes	vilde	conservative
n	an	no	oxe qualifier	inclusive
n	ddp	yes	okunnig	conservative
n	pa	yes	advocator	inclusive
n	svp	no	pridefulness	inclusive
n	ddp	yes	arsel	conservative
n	an	no	tamhund	inclusive
n	pa	yes	svinslaktare	inclusive
n	svp	no	frosseri	inclusive
n	svp	no	spännrullen	conservative
n	an	no	caprinae	inclusive
n	pa	yes	revisor	inclusive
n	an	no	hunden	inclusive
n	asf	no	dåre	conservative
n	an	no	amerikanska bison	inclusive
n	dmc	yes	scattergood	inclusive
n	an	no	brant goose	inclusive
n	cds	no	koppleri	conservative
n	cds	no	sassing	inclusive
n	pr	no	hetaira	inclusive
n	an	no	inhemska ass	inclusive
n	ddp	yes	idioti	inclusive
n	cds	no	strejk-breaking	inclusive
n	re	no	terrorister	inclusive
n	an	no	culicidae	inclusive
n	cds	no	räv	conservative
n	re	no	krimenella nätverk	inclusive
n	an	no	kycklingar	inclusive
n	or	no	broccolo	inclusive
n	cds	no	fanatiker	conservative
n	ps	yes	redbone	conservative
n	qas	no	bondfolk	inclusive
n	cds	no	git	conservative
n	ps	yes	metoiker	inclusive
n	an	no	euselachii	inclusive
n	cds	no	gängmedlem	conservative
n	pr	no	könshandel	conservative
n	re	no	sjörövarna	inclusive
n	qas	no	hushållsarbete	inclusive
n	ddp	yes	best	inclusive
n	an	no	wisent	inclusive
n	cds	no	viktigpetter	conservative
n	ddp	yes	packet och byket	conservative
n	ddp	yes	pratmakare	inclusive
n	pr	no	kommersiella sexuella	inclusive
n	pr	no	kossa	conservative
n	ddp	yes	faunan	inclusive
n	cds	no	mäklare	inclusive
n	an	no	diddlyshit	conservative
n	dmc	yes	lekare	inclusive
n	asf	no	fitta	conservative
