id	pos	category	stereotype	lemma	level
SV1170	n	cds	no	öre fruktansvärda	inclusive
SV1139	n	asf	no	pundhuvud	conservative
SV376	n	cds	no	dandyn	inclusive
SV750	n	cds	no	grifter	inclusive
SV433	n	cds	no	skojare	inclusive
SV1291	n	cds	no	massor	conservative
SV371	n	cds	no	dandy	inclusive
SV354	n	pr	no	slagg	conservative
SV701	n	cds	no	krake	conservative
SV1797	n	dmc	yes	slyngel	inclusive
SV709	n	cds	no	idiotanstalt	inclusive
SV1431	n	is	yes	marginalisera	inclusive
SV1419	n	qas	no	campesino	inclusive
SV1132	n	an	no	plundrare	inclusive
SV2966	n	dmc	yes	renegat	conservative
SV1462	n	cds	no	trubbel	inclusive
SV322	n	cds	no	spärra	inclusive
SV2890	n	cds	no	kloak	inclusive
SV2052	n	cds	no	polis	inclusive
SV1864	a	dmc	yes	elak	conservative
SV2169	n	cds	no	superbia	conservative
SV525	n	cds	no	boo-boo	inclusive
SV1477	n	cds	no	gycklare	inclusive
SV1839	n	ddp	yes	okunnighet	conservative
SV2141	a	dmc	yes	gudlös	conservative
SV281	n	ddp	yes	barbari	conservative
SV1917	n	cds	no	tillbaka prata	inclusive
SV767	n	an	no	människans bästa vän	inclusive
SV1944	n	svp	no	avund	inclusive
SV941	n	an	no	fysionomi	inclusive
SV189	n	an	no	tok	conservative
SV1511	n	cds	no	gangster	inclusive
SV638	n	dmc	yes	avskum väska	conservative
SV1976	n	dmc	yes	pilferer	conservative
SV2749	n	ddp	yes	dumt	conservative
SV797	n	cds	no	släkting	inclusive
SV612	n	qas	no	medelklassfamilj	inclusive
SV453	n	cds	no	telltale	conservative
SV916	n	cds	no	tidningsman	inclusive
SV1502	n	cds	no	fundamentalister	inclusive
SV2303	n	ps	yes	negro	inclusive
SV2572	n	an	no	kycklingar	inclusive
SV1331	n	asm	no	bånge	inclusive
SV2894	n	cds	no	svartvatten	inclusive
SV782	n	cds	no	sub-klan	inclusive
SV1521	n	asm	no	bred-böna	inclusive
SV758	n	an	no	hunden	inclusive
SV1539	n	asf	no	slidsekret	conservative
SV2459	n	or	no	jordäpple	inclusive
SV1415	n	qas	no	dräng	inclusive
SV1674	n	pr	no	otukt	inclusive
SV379	n	cds	no	topsy-turvyness	inclusive
SV2980	n	ps	yes	zigensk historia	inclusive
SV798	n	cds	no	stam	inclusive
SV707	n	an	no	mjäkig	conservative
SV521	n	cds	no	foul-up	inclusive
SV128	n	an	no	Ålfiskar	inclusive
SV421	n	cds	no	ungdomsgäng	inclusive
SV284	n	qas	no	återförsäljare	inclusive
SV548	n	ddp	yes	zooerastia	conservative
SV461	n	cds	no	busig	conservative
SV2264	n	pr	no	socitet	inclusive
SV260	n	qas	no	pungkula	inclusive
SV2806	n	an	no	skogssniglar	inclusive
SV2865	n	om	no	påklädning	inclusive
