pos	category	stereotype	lemma	level
n	re	no	felony	inclusive
n	cds	no	kawadia	inclusive
n	asm	no	jogoo	inclusive
n	dmc	yes	dilly-dallier	conservative
n	an	no	animalculum	inclusive
n	ps	yes	blackamoor	inclusive
n	asm	no	laini ray	inclusive
n	or	no	boga	inclusive
n	cds	no	culchie	inclusive
n	asm	no	mjinga	conservative
n	cds	no	demagog	conservative
n	cds	no	ndani ya mduara	inclusive
n	qas	no	kulingana	inclusive
n	svp	no	conceitedness	conservative
n	asf	no	numskull	conservative
n	cds	no	daha	conservative
n	cds	no	genge	inclusive
n	cds	no	gossipmonger	conservative
n	cds	no	mwenye dhambi	conservative
n	pa	yes	wasomi	inclusive
n	om	no	homosexualism	inclusive
n	svp	no	vilema vikuu	inclusive
n	an	no	culex pipiens	inclusive
n	cds	no	karatasi-pusher	inclusive
n	ps	yes	mchina	inclusive
n	qas	no	blooper	inclusive
n	cds	no	gigolo	inclusive
n	om	no	kufira	inclusive
n	qas	no	taka ndani	inclusive
n	cds	no	strikebreakers	inclusive
n	an	no	parrot	inclusive
n	cds	no	outlaw	inclusive
n	or	no	dolt	conservative
n	dmc	yes	udanganyifu	conservative
n	cds	no	bookworm	conservative
n	qas	no	mpangaji kilimo	inclusive
n	cds	no	scads	inclusive
n	qas	no	uwongo	conservative
n	cds	no	mlariba	conservative
n	pr	no	hussy	conservative
n	ddp	yes	twirp	conservative
n	ps	yes	shenzi	conservative
n	cds	no	rustler	inclusive
n	dmc	yes	dissimulator	conservative
n	an	no	microorganism	inclusive
n	qas	no	parokia	inclusive
n	cds	no	scammer	conservative
n	ddp	yes	quackery	conservative
n	cds	no	whiner	conservative
n	dmc	yes	pilferer	conservative
n	pa	yes	kitaalamu	inclusive
n	ddf	yes	walemavu	inclusive
a	dmc	yes	soiled	inclusive
n	an	no	fauna	inclusive
n	cds	no	mjuaji	conservative
n	qas	no	kufuata	inclusive
n	pa	yes	mortician	inclusive
n	svp	no	angriness	inclusive
n	cds	no	fujo	conservative
n	om	no	upembeni	inclusive
n	dmc	yes	msaliti	conservative
n	cds	no	fundamentalist	inclusive
n	svp	no	ubwete	conservative
n	re	no	maharamia	inclusive
n	re	no	kingono	inclusive
n	an	no	dunce	conservative
n	om	no	mshamari	inclusive
n	cds	no	schoolma'am	conservative
n	qas	no	flub	inclusive
n	svp	no	avariciousness	inclusive
n	cds	no	retard	inclusive
n	pa	yes	advocator	inclusive
n	cds	no	aki-rouser	conservative
n	qas	no	safihi	conservative
n	cds	no	mchorachora	conservative
n	ps	yes	nusu-breed	conservative
n	ddp	yes	chump	conservative
n	cds	no	mhalifu	conservative
n	re	no	mbadhirifu	inclusive
n	dmc	yes	kugushi	inclusive
n	dmc	yes	scattergood	inclusive
n	re	no	wahalifu	inclusive
n	pr	no	hetaira	inclusive
n	an	no	lunkhead	conservative
n	an	no	culicidae	inclusive
n	pr	no	ukahaba	conservative
n	cds	no	mtoto	inclusive
n	an	no	screech-bundi	inclusive
n	an	no	microbes	inclusive
n	dmc	yes	merry andrew	inclusive
n	ps	yes	nyeusi	inclusive
n	an	no	profiteer	conservative
n	ddp	yes	kusikitisha gunia	conservative
n	qas	no	katikati ya daraja	inclusive
n	an	no	wisent	inclusive
n	asf	no	saphead	conservative
n	ddp	yes	ninny	conservative
n	an	no	diddlyshit	conservative
n	re	no	mateso	inclusive
n	svp	no	mope	conservative
n	svp	no	eros	inclusive
a	qas	no	kawaida	inclusive
n	dmc	yes	turncoat	conservative
n	svp	no	superbia	conservative
n	cds	no	coward	conservative
n	asf	no	fala	conservative
n	cds	no	lowlife	conservative
n	cds	no	uchafu	inclusive
n	cds	no	namby-pamby	conservative
n	qas	no	housekeeping	inclusive
n	svp	no	dallier	conservative
n	om	no	nance	conservative
n	cds	no	loanshark	inclusive
n	an	no	nguruwe-kaya	inclusive
n	qas	no	caste	inclusive
n	an	no	animalcule	inclusive
a	ps	yes	mweusi	inclusive
n	cds	no	weisenheimer	conservative
n	qas	no	commoners	inclusive
n	an	no	crocodilian	inclusive
n	or	no	meticulousness	inclusive
n	cds	no	banditti	conservative
n	cds	no	fala	conservative
n	cds	no	pomposity	inclusive
n	ps	yes	doofus	conservative
n	ps	yes	kichwamaji	conservative
n	ddp	yes	fumbler	conservative
n	cds	no	mwangalizi	inclusive
n	om	no	tako	inclusive
n	cds	no	ufashisti	conservative
n	cds	no	kukata-up	conservative
n	re	no	wezi	inclusive
n	dmc	yes	zimeshafuta	inclusive
n	an	no	midget	conservative
n	ddp	yes	safihi	conservative
n	pr	no	courtesans	inclusive
n	cds	no	mhalifu	inclusive
n	cds	no	charlatan	conservative
n	cds	no	antic	inclusive
n	an	no	sucker	inclusive
n	dmc	yes	homunculus	inclusive
n	an	no	hirudinea	inclusive
n	cds	no	wangler	conservative
n	cds	no	crossbred	inclusive
n	ddf	yes	kipofu	inclusive
n	re	no	uharamia	inclusive
n	asm	no	pumbu	inclusive
n	an	no	mnyakuzi mwili	inclusive
n	cds	no	juha	conservative
n	qas	no	kennel	inclusive
n	cds	no	sheria ya kuvunja	inclusive
n	dmc	yes	libertine	conservative
n	is	yes	niggard	conservative
n	cds	no	foxiness	conservative
n	cds	no	moron	inclusive
n	asm	no	bollocks	inclusive
n	cds	no	snoop	conservative
n	or	no	kuteketezwa machungwa	inclusive
n	pr	no	bunkum	conservative
n	rci	yes	shenzi	conservative
n	re	no	magaidi	inclusive
n	cds	no	wank	conservative
n	cds	no	mpayukaji	conservative
n	qas	no	fib	conservative
n	asm	no	twerp	conservative
a	cds	no	mhalifu	inclusive
n	pa	yes	shauri	inclusive
n	an	no	crocodilia	inclusive
n	an	no	helix pomatia	inclusive
n	cds	no	kukusa mtu	conservative
n	qas	no	watu common	inclusive
n	cds	no	slob	conservative
n	re	no	`anyi	conservative
n	or	no	mbatata	inclusive
n	ps	yes	mongoloid	conservative
n	rci	yes	barbaric	conservative
n	pr	no	nondo	inclusive
n	an	no	despoiler	inclusive
n	dmc	yes	unafiki	conservative
n	cds	no	homunculus	inclusive
