id	pos	category	stereotype	lemma	level
SW185	n	asm	no	ballock	inclusive
SW263	n	pr	no	kukusa mwanamke	conservative
SW1930	n	an	no	mnyonywaji	inclusive
SW1162	n	cds	no	mwangalizi	inclusive
SW320	n	dmc	yes	outlawry	inclusive
SW831	n	pr	no	courtesan	inclusive
SW1036	n	pr	no	comare	conservative
SW566	n	re	no	msingiziaji	conservative
SW1195	n	cds	no	wamekataliwa	conservative
SW1963	n	cds	no	wonk	conservative
SW1156	n	qas	no	snooper	inclusive
SW1225	n	pr	no	john	inclusive
SW1454	n	an	no	moluska	inclusive
SW1127	n	asf	no	uke	conservative
SW711	n	cds	no	mountebank	conservative
SW1603	n	pa	yes	sheepherder	inclusive
SW198	n	dmc	yes	wenyeji	conservative
SW117	n	re	no	kumbaka	conservative
SW125	n	cds	no	mjinga	inclusive
SW1783	n	cds	no	kujua-wote	conservative
SW1826	n	re	no	plagiarise	inclusive
SW450	n	om	no	mfiraji	inclusive
SW129	n	ps	yes	mjinja	conservative
SW462	n	qas	no	kazi dawati	inclusive
SW966	n	dmc	yes	mtanga	inclusive
SW485	n	an	no	lowlife	conservative
SW91	n	ddp	yes	analphabetic	inclusive
SW199	n	ps	yes	shenzi	conservative
SW484	n	an	no	rotter	conservative
SW192	n	dmc	yes	jambazi	conservative
SW1843	a	ps	yes	nyeusi	inclusive
SW20	n	re	no	uonevu	inclusive
SW951	n	dmc	yes	delinquent	conservative
SW1854	n	cds	no	protagonism	inclusive
SW482	n	an	no	git	conservative
SW202	n	ddp	yes	ushenzi	inclusive
SW1367	n	dmc	yes	mwongo	inclusive
SW919	n	om	no	tako	inclusive
SW1584	n	an	no	selachimorpha	inclusive
SW264	n	pr	no	slag	conservative
SW1529	n	an	no	psittacidae	inclusive
SW1504	n	cds	no	paparazzi	inclusive
SW780	n	ps	yes	kupanda breeder	inclusive
SW1846	n	is	yes	kibapara	inclusive
SW111	n	an	no	metazoans	inclusive
SW512	n	cds	no	cliques	inclusive
SW136	n	ddp	yes	knucklehead	conservative
SW1220	n	pr	no	ukahaba	conservative
SW224	n	an	no	pooch	inclusive
SW1897	n	cds	no	groveller	conservative
SW1329	n	asm	no	ujinga	conservative
