n	re	no	italyano mafia
n	asm	no	nookie
n	an	no	troso
n	asf	no	twat
n	om	no	homoseksuwal
n	pr	no	hindi tapat na pag-uusap
n	cds	no	masamang tao
n	cds	no	jerking off
n	an	no	kuripot
n	asf	no	codswallop
n	an	no	hangal
n	cds	no	pasismo
n	cds	no	bad guy
n	cds	no	bobo
n	asf	no	fuckhead
n	ddp	yes	pillock
n	ddp	yes	dalahira
n	cds	no	pasista rehimen
n	an	no	lunkhead
n	cds	no	alam-lahat
n	or	no	lunkhead
n	svp	no	trencher
n	re	no	rapist
n	dmc	yes	mapagpaimbabaw
n	qas	no	katulad
n	svp	no	gorger
n	ps	yes	barbaryano
n	cds	no	finagler
n	cds	no	tampalasan
n	re	no	defamer
n	pa	yes	mabangis
n	dmc	yes	slackers
n	ps	yes	changelings
n	cds	no	criminal
n	svp	no	lantutay
n	cds	no	matinding right-winger
n	cds	no	lantutay
n	cds	no	nobatos
n	ddp	yes	arbularyo
n	an	no	mangmang tao
n	pr	no	whore
n	ddp	yes	hayop
n	asf	no	puking pangtao
n	qas	no	barbarians
n	an	no	buhong
n	ddp	yes	hangal
n	asf	no	ari ng babae
n	asm	no	doofus
n	pr	no	mag-abo
n	an	no	salamangkahin
n	asm	no	jacking off
n	cds	no	chiseler
n	ddp	yes	kagagahan
n	svp	no	magandang-para-sero
n	cds	no	kriminal
n	cds	no	pagkasuhulin
n	ddp	yes	batang mahina ang ulo
n	ps	yes	barbaro
n	cds	no	pilyo-paggawa
n	cds	no	ragtag at buntot na punggi
n	cds	no	kahayupan
n	asm	no	mulala
n	ddp	yes	motherfucker
n	ddp	yes	soft ugnay
n	ddp	yes	knucklehead
n	pr	no	patutot na alta-sosyedad
n	cds	no	demagogo
n	qas	no	barbariano
n	dmc	yes	malungkot sako
n	dmc	yes	bapor na pangkargamento
n	cds	no	mafioso
n	ddp	yes	pandaraya
n	ddp	yes	satsatero
n	ps	yes	magbubukid
n	cds	no	demagohiko
n	ps	yes	nugger
n	or	no	poof
n	cds	no	scrawler
n	cds	no	adiksiyong seksuwal
n	cds	no	manyak
n	asm	no	sanggano
n	asm	no	utak-lamok
n	cds	no	conceitedness
n	an	no	hindi maunlad
n	cds	no	pilosopo
n	qas	no	tagalong
n	ddp	yes	simpleton
n	asm	no	flouter
n	dmc	yes	panamlayan
n	pr	no	alta-sosyedad na patutot
n	cds	no	manghihibo
n	re	no	italyano mapya
n	cds	no	nagmamarunong
n	re	no	manliligalig
n	an	no	codswallop
n	cds	no	hiperseksuwalidad
n	dmc	yes	manghuhuwad
n	ddp	yes	kabangisan
n	cds	no	hambog
n	re	no	bad guy
n	ddp	yes	rumormonger
n	cds	no	manlalabag ng batas
n	or	no	knucklehead
n	an	no	kalye prostitusyon
n	cds	no	maninipsip
n	pr	no	burikat
n	asf	no	kepyas
n	ddp	yes	codswallop
n	ddp	yes	bobo
n	dmc	yes	lantutay
n	or	no	nahihilo
n	an	no	palda tagahabol
n	cds	no	kawalang-hiyaan
n	asm	no	ulol
n	an	no	rogue
n	cds	no	manghaharang
n	cds	no	taong tampalasan
n	cds	no	ragtag
n	or	no	bading
n	dmc	yes	magdaraya
n	re	no	maligner
n	cds	no	pulis
n	an	no	tapal
n	asm	no	idiot
n	dmc	yes	palsipikado
n	cds	no	mandarambong
n	pa	yes	barbariano
n	dmc	yes	dallier
n	is	yes	batang marusing
n	ddf	yes	bulilit na tao
n	cds	no	supladong tao
n	an	no	kabangisan
n	re	no	pagdahas
n	asm	no	taong sisisihin
n	dmc	yes	taksil
n	cds	no	magtulisan
n	asm	no	gagaguhin
n	cds	no	gangs
n	dmc	yes	barbariano
n	cds	no	labis na pagpapatubo
n	re	no	pangligalig
n	ps	yes	napakawalang hiya
n	or	no	tapalan
n	cds	no	policemen
n	dmc	yes	shirker
n	cds	no	rumourmonger
n	ddp	yes	estupida
n	an	no	doodly-magtayo ng bahay sa lupa ng iba nang walang karapatan
n	ddp	yes	katangahan
n	asm	no	titi
n	ddp	yes	maang
n	asf	no	troso
n	cds	no	taong madaldal
n	dmc	yes	barbarismo
n	cds	no	opisyal
n	cds	no	gang kultura
n	ddp	yes	utu-uto
n	qas	no	nanghihingi
n	or	no	pillock
n	svp	no	superbia
n	pr	no	puting alipin
n	an	no	tao o hayop na mahina
n	cds	no	fascist
n	re	no	halayin
n	pr	no	hogwash
n	ddp	yes	tonta
n	svp	no	minginess
n	cds	no	lumabag ng batas
n	cds	no	kayabangan
n	cds	no	rube
n	cds	no	taong matamad
n	or	no	tanga
n	cds	no	jacking off
n	cds	no	magdaraya
n	svp	no	panatiko
n	ddp	yes	gagahin
n	an	no	hayop
n	cds	no	sobrang kalibugan
a	ddp	yes	bobo
n	cds	no	utu-uto
n	cds	no	pampanitikan paupahang karomata
n	cds	no	labis na pakikipagtalik
n	pr	no	prostitution
n	an	no	taong tamad at mabagal
n	an	no	salanggapang
n	rci	yes	barbaryano
n	cds	no	manunuwitik
n	ddp	yes	mahinang isda
n	re	no	raping
n	cds	no	probinsyano
n	an	no	taong tampalasan
n	or	no	ulol
n	re	no	mafiosa
n	re	no	mafia ng sicilia
n	re	no	vilifier
n	cds	no	sex addict
n	dmc	yes	libertinism
a	qas	no	masiraan ng ulo
n	pr	no	dyapayuki
n	ddp	yes	idyota
n	re	no	trahedya buhong
n	asm	no	lula
n	ddp	yes	zooerastia
n	cds	no	mafiang siciliano
n	cds	no	hipersexualidad
n	cds	no	gang
n	qas	no	baguhan
n	svp	no	tightfistedness
n	cds	no	panunubok
n	cds	no	makasalanan
n	is	yes	mahinang diyablo
n	re	no	gawan ng mahalay
n	ddp	yes	satsat
n	ps	yes	mestizaje
n	cds	no	mahusay na hindi naglinis
n	pr	no	hindi kabit-kabit babae
n	cds	no	dastardliness
n	pr	no	sekswal na serbisyo
n	pr	no	lalaking bayaran
n	pr	no	babaeng bayaran
n	cds	no	nambubugaw
n	asf	no	wench
n	ddp	yes	tonto
n	dmc	yes	mapigta
n	dmc	yes	marumi aso
n	cds	no	nagkakagulong mga tao
n	dmc	yes	napakawalang hiya
n	asm	no	idyota
n	cds	no	punla ng dayami
n	cds	no	linab bag
n	an	no	folderol
n	dmc	yes	malodor
n	or	no	nance
n	ddp	yes	magbubukid
n	ddp	yes	barbarismo
n	pa	yes	salbahe
n	dmc	yes	trifler
n	asf	no	kretin
n	asm	no	piraso ng asno
n	cds	no	taong palabasa
n	cds	no	wangler
n	qas	no	barbaryano
n	dmc	yes	bata delinkwenteng
n	re	no	panligalig
n	dmc	yes	manloloko
n	an	no	upa batang lalaki
n	dmc	yes	tamad
n	pr	no	prostitute
n	cds	no	tricker
n	pr	no	japayuki
n	re	no	villainess
n	ddp	yes	arsehole
n	ddp	yes	manggagawang hindi bihasa
n	cds	no	nagtulisan
n	re	no	kagahasaan
n	ps	yes	troso
n	svp	no	shirker
n	dmc	yes	rube
n	asm	no	shtup
n	cds	no	folderol
n	ddp	yes	pudden-ulo
n	or	no	gays
n	dmc	yes	mabangis
n	an	no	vamper
n	cds	no	tsismoso
n	an	no	limutin
n	ddp	yes	bumbler
n	cds	no	kamay trabaho
n	ddp	yes	barbarian
n	asf	no	taong sisisihin
n	an	no	zooerasty
n	pa	yes	barbarians
n	cds	no	kapalaluan
n	ps	yes	nigga
n	asm	no	maang
n	ddp	yes	mangmang tao
n	ddp	yes	napakawalang hiya
n	qas	no	magbubukid
n	qas	no	ragtag at buntot na punggi
n	re	no	pabaya
n	asm	no	istupida
n	asm	no	katontahan
n	cds	no	runaway
n	dmc	yes	lingerer
n	cds	no	groveler
n	ddp	yes	gunggong
n	is	yes	cheapskate
n	cds	no	pagkakabisa
n	asf	no	folderol
n	qas	no	salbahe
n	cds	no	uto
n	pr	no	pokpok
n	pa	yes	churl
n	an	no	kawalang-tinag
a	dmc	yes	masama
n	re	no	reyp
n	asm	no	idyot
n	cds	no	mafiosi
n	an	no	nanus
n	cds	no	fasismo
n	ddp	yes	tsismoso
n	rci	yes	napakawalang hiya
n	qas	no	ragtag
n	dmc	yes	buhong
n	ddp	yes	kretin
n	is	yes	taong tampalasan
n	or	no	puki
n	cds	no	wonk
n	svp	no	vanity
n	cds	no	churl
n	svp	no	pagkapanatiko
n	qas	no	malungkot sako
n	rci	yes	barbariano
n	asf	no	dumbass
n	re	no	libeler
n	ps	yes	barbarismo
n	ddp	yes	bagay na walang kapararakan
n	ddp	yes	muttonhead
n	dmc	yes	rogue
n	cds	no	egotistical
n	ddp	yes	gagohin
n	cds	no	mystifier
n	an	no	tanga
n	an	no	lowlife
n	an	no	diddlysquat
n	pr	no	call boy
a	dmc	yes	maling
n	cds	no	pahiga-higa
n	cds	no	mga walang kuwentang tao
n	ddp	yes	katontahan
n	pr	no	puta
n	dmc	yes	palaboy
n	cds	no	nimpomanya
n	cds	no	tamad
n	cds	no	sambahayan basura
n	cds	no	italyano mafia
n	ps	yes	patsy
n	cds	no	salanggapang
n	cds	no	lalaking manyak
n	asf	no	bahina
n	cds	no	manunulat
n	re	no	gahasa
n	or	no	batang mahina ang ulo
n	pr	no	courtesan
n	an	no	internet salamangkahin
n	ddp	yes	troso
n	cds	no	sicilianong mafia
n	cds	no	seks adik
n	qas	no	manghuhuthot
n	dmc	yes	walang kabuluhang tao
n	om	no	gay
n	cds	no	manunulat pangkomersiyo
n	dmc	yes	hindi tunay
n	ddp	yes	walang kaya
n	asm	no	wanker
n	dmc	yes	lakwatsero sa daan
n	re	no	panggagahasa
n	pr	no	john
n	cds	no	tagapagpaisip
n	asf	no	kiki
n	ddp	yes	idiyota
n	ps	yes	salbahe
n	cds	no	masamang manggagawa
n	asf	no	vaginal
n	cds	no	mga tulisan
n	pr	no	callboy
n	an	no	batang mahina ang ulo
n	asf	no	kiki sa tao
n	re	no	rape
n	cds	no	defrauder
n	cds	no	moaner
n	ddp	yes	lula
n	cds	no	kalye gang
n	cds	no	kalahating pinta
n	an	no	masuwaying batang babae
n	dmc	yes	masama
n	cds	no	munisipal solid basura
n	asm	no	kagaguhan
n	re	no	mapanligalig
n	cds	no	wisenheimer
n	rci	yes	salbahe
n	an	no	walang kaya
n	asf	no	kaluban
n	cds	no	vaunter
n	re	no	terrorism
n	ddp	yes	walang katuturan
n	qas	no	mabangis
n	cds	no	napakawalang hiya
n	asm	no	haltak-off
n	ddp	yes	tange
n	re	no	salanggapang
n	dmc	yes	bumantot
n	ddp	yes	ferociousness
n	cds	no	panatiko
n	cds	no	iperseksuwalidad
n	qas	no	pag-maker
n	an	no	marumi nanlilinlang
n	ps	yes	mabangis
n	cds	no	hipersekswalidad
n	cds	no	nerdy
n	cds	no	putik
n	cds	no	madamdamin
n	re	no	mafiosi
n	re	no	petsa panggagahasa
n	ddp	yes	madaldal
n	an	no	ahas sa damo
n	cds	no	splashiness
n	an	no	knucklehead
n	dmc	yes	barbaro
n	cds	no	alat
n	pr	no	sporting babae
n	or	no	utu-uto
n	cds	no	tattletale
n	dmc	yes	no-account
n	cds	no	pagpapalayas sa lipunan
n	re	no	gahis
n	dmc	yes	mag-dallier
n	cds	no	karaniwang tao
n	cds	no	bastardo
n	cds	no	pagkalulong sa seks
n	an	no	hitad
n	cds	no	dogmatismo
n	pr	no	comare
n	dmc	yes	karaniwang tao
n	cds	no	kaawa-awa
n	re	no	terroristic
n	cds	no	manulisan
n	ps	yes	churl
n	pr	no	kolgerl
n	asf	no	henitalya ng babae
n	asm	no	tonta
n	dmc	yes	masamang tao
n	cds	no	adik sa seks
n	cds	no	satsat
n	ddp	yes	kaestupiduhan
n	asf	no	puke sa tao
n	or	no	gay
n	cds	no	git
n	pa	yes	magbubukid
n	cds	no	loanshark
n	svp	no	kayabangan
n	pr	no	lalaki escort
n	qas	no	kabit
n	dmc	yes	kalahating pinta
n	pr	no	alta-sosyedad na puta
n	is	yes	trahedya buhong
n	asf	no	muttonhead
n	asf	no	ulol
n	cds	no	henchmen
n	om	no	nahihilo
n	cds	no	pagpapahiram ng pera
n	ddf	yes	kalahating pinta
n	cds	no	mambubugaw
n	cds	no	iperseksualidad
n	om	no	kapansanan tao
n	dmc	yes	trahedya buhong
n	re	no	ginahasa
n	ps	yes	boche
n	cds	no	barbaryano
n	ddp	yes	tanghol
n	an	no	dumbass
n	cds	no	procuring
n	cds	no	takas
n	cds	no	taong tamad at mabagal
n	rci	yes	mabangis
n	pr	no	lalakeng bayaran
n	asm	no	kagagahan
n	cds	no	fabricator
n	cds	no	sinungaling na tao
n	cds	no	basura
n	an	no	mapagsamantala
n	pr	no	gilid ng palitada pag-crawl
n	asf	no	pekpek
n	ddp	yes	anak ng isang asong babae
n	re	no	nangliligalig
n	cds	no	ostentatiousness
n	re	no	blackmailing
n	ps	yes	mestizos
n	dmc	yes	pagkapanatiko
n	svp	no	loko-off
n	re	no	pangdarahas
n	ddp	yes	utak-lamok
n	qas	no	fumbler
n	ddp	yes	estupido
n	dmc	yes	panlilinlang
n	asf	no	soft ugnay
n	dmc	yes	bulilit na tao
n	ddp	yes	fumbler
n	cds	no	gang miyembro
n	cds	no	culling
n	pr	no	sekswal na mga serbisyo
n	cds	no	mafiosa
n	asm	no	balasbas
n	qas	no	basag-ulero
n	svp	no	mangangain
n	pr	no	harlot
