pos	category	stereotype	lemma	level
n	an	no	ox	inclusive
n	ddf	yes	handicap	inclusive
n	re	no	tulisang dagat	inclusive
n	ps	yes	haybrid	inclusive
n	an	no	animalculum	inclusive
n	re	no	rapist	conservative
n	svp	no	kahalayan	inclusive
n	asf	no	kikeng pantao	conservative
n	svp	no	indolent	inclusive
n	cds	no	barbarian	conservative
n	dmc	yes	kalahating pinta	conservative
n	an	no	diyakal	inclusive
n	cds	no	bahay-pampagtatalik	inclusive
n	re	no	outlawed	inclusive
n	is	yes	taksil	conservative
n	cds	no	sagap	inclusive
n	an	no	taksil	conservative
n	ddp	yes	sanggano	conservative
n	pa	yes	akademya	inclusive
n	svp	no	kainipan	inclusive
n	om	no	pangil	inclusive
n	om	no	homosexualism	inclusive
n	an	no	culex pipiens	inclusive
n	re	no	mambubutang	inclusive
n	ddf	yes	lumpo	inclusive
n	cds	no	pagsasapakatan teorya	inclusive
n	cds	no	strikebreakers	inclusive
n	pr	no	babaeng mababa ang lipad	inclusive
n	om	no	madamoiselle	inclusive
n	cds	no	outlaw	inclusive
n	qas	no	testikulo	inclusive
n	is	yes	pulubi	conservative
n	pr	no	kortesano	inclusive
n	dmc	yes	bastos	conservative
n	asm	no	titing nakatayo	inclusive
n	dmc	yes	dissimulator	conservative
n	an	no	microorganism	inclusive
n	an	no	mandarambong	inclusive
n	svp	no	kalibugan	inclusive
n	ddp	yes	kagagohan	conservative
n	an	no	gallo	inclusive
n	an	no	fauna	inclusive
n	dmc	yes	ipokrita	conservative
n	an	no	panlilinlang	conservative
n	cds	no	bastardo	conservative
n	om	no	faggot	inclusive
n	re	no	nagtulisan	inclusive
n	asm	no	pea pod	inclusive
n	ps	yes	haredim	inclusive
n	cds	no	sanggana	inclusive
n	cds	no	fundamentalist	inclusive
n	an	no	tili-buho	inclusive
n	cds	no	gago	conservative
n	or	no	pepino	inclusive
n	dmc	yes	ugmang asal	inclusive
n	om	no	puwetan	inclusive
n	om	no	bata molester	conservative
n	cds	no	pudden-ulo	conservative
n	pr	no	kalapating mababa ang lipad	inclusive
n	cds	no	tagabugaw	conservative
n	cds	no	ipersekswalidad	conservative
n	dmc	yes	magdaraya	conservative
n	cds	no	schoolma'am	conservative
n	cds	no	paggalan sa sarili	inclusive
n	dmc	yes	mapanlinlang	conservative
n	an	no	katambukan	conservative
n	pr	no	bubuwit na malaki	inclusive
n	dmc	yes	scattergood	inclusive
n	cds	no	ganado	inclusive
n	an	no	lalaki escort	conservative
n	pr	no	hetaira	inclusive
n	dmc	yes	barbariano	conservative
n	an	no	lunkhead	conservative
n	an	no	culicidae	inclusive
n	an	no	blattaria	inclusive
n	ddp	yes	pinsala sa utak	inclusive
n	pa	yes	assistant professor	inclusive
n	ddp	yes	churl	conservative
n	re	no	ilegal	inclusive
n	svp	no	nakakatamad	inclusive
n	svp	no	suwapang	inclusive
n	svp	no	accidia	inclusive
n	an	no	bos taurus	inclusive
n	qas	no	taongbukid	inclusive
n	qas	no	taumbukid	inclusive
n	cds	no	teaching	inclusive
n	an	no	hayena	inclusive
n	cds	no	lowlife	conservative
n	an	no	bangkukang	inclusive
n	ps	yes	hudaismong askenasi	inclusive
n	qas	no	fieldhand	inclusive
n	svp	no	kasibaan sa pagkain	inclusive
n	cds	no	katusuhan	conservative
n	re	no	dambungin	inclusive
n	ps	yes	vandals	inclusive
n	or	no	b. oleracea	inclusive
n	qas	no	panretorika	inclusive
n	svp	no	listless	inclusive
n	pa	yes	mamamakyaw ng trabaho	inclusive
n	svp	no	maiyag	inclusive
n	asm	no	utaklamok	conservative
n	re	no	terrorism	conservative
n	asm	no	paghapon	inclusive
n	qas	no	testes	inclusive
n	is	yes	sayad	inclusive
n	svp	no	puot	inclusive
n	ddp	yes	tulala	inclusive
n	cds	no	tittle-tattle	inclusive
n	asf	no	hangal	conservative
n	svp	no	kapalaluan	inclusive
n	svp	no	panaghilian	inclusive
n	cds	no	presumptuousness	conservative
n	re	no	pang-aabusong seksuwal	inclusive
n	re	no	puhitibo	inclusive
n	cds	no	pagkasuhulin	inclusive
n	dmc	yes	panlilinlang	conservative
n	re	no	gumahis	conservative
n	asf	no	kaloban	conservative
n	cds	no	nobatos	conservative
n	dmc	yes	homunculus	inclusive
n	re	no	piratahin	inclusive
n	cds	no	defame	inclusive
n	qas	no	magsasaka	inclusive
n	cds	no	scrap	conservative
n	cds	no	wangler	conservative
n	re	no	panliligalig	conservative
n	qas	no	salbahe	conservative
n	cds	no	backbite	inclusive
n	cds	no	banda	inclusive
n	re	no	traducement	inclusive
n	cds	no	bulilit na tao	conservative
n	an	no	konger	inclusive
n	asm	no	bollocks	inclusive
n	ddp	yes	honyock	conservative
n	ddp	yes	arbularyo	conservative
n	is	yes	kinapos	inclusive
a	pa	yes	pampolitika	inclusive
n	asm	no	lula	conservative
n	svp	no	pangungupinyo	inclusive
n	ps	yes	hudaika	inclusive
n	cds	no	mga marka	inclusive
n	cds	no	makasalanan	inclusive
n	asm	no	burat	inclusive
n	svp	no	mapankamkam	inclusive
n	asm	no	tulala	inclusive
n	ps	yes	mongoloid	conservative
n	dmc	yes	bumbler	conservative
n	om	no	talampakan ng paa	inclusive
n	or	no	s. tuberosum	inclusive
n	re	no	italyano mapya	conservative
n	an	no	despoiler	inclusive
n	svp	no	kawalang-pagpapahalaga	inclusive
n	pa	yes	academicians	inclusive
n	qas	no	ritorika	inclusive
n	dmc	yes	tamang asal	inclusive
n	re	no	pang-aabusong sekswal	inclusive
n	dmc	yes	rube	conservative
n	cds	no	ulol	inclusive
n	cds	no	barya nobelang	inclusive
n	svp	no	kuripot	inclusive
n	svp	no	seks	inclusive
n	dmc	yes	mapagpaimbabaw	conservative
n	pa	yes	tagapagtaguyod	inclusive
n	cds	no	slews	inclusive
n	pr	no	puting alipin	conservative
n	cds	no	neonato	inclusive
n	is	yes	mahirap	inclusive
n	an	no	pulgas	inclusive
n	asm	no	tarugo	inclusive
n	cds	no	superbia	conservative
n	cds	no	poltroon	conservative
n	cds	no	walang hiya	inclusive
n	asf	no	kepyas	conservative
n	svp	no	mahalay	inclusive
n	pr	no	paniniwala	inclusive
n	cds	no	narcissistic	inclusive
n	an	no	kine	inclusive
n	svp	no	taong matamad	conservative
n	cds	no	maghugas room	inclusive
n	rci	yes	mabangis	conservative
n	dmc	yes	moralidad	inclusive
n	qas	no	crew	inclusive
n	pa	yes	abogado	inclusive
n	ddp	yes	salbahe	conservative
n	dmc	yes	sinungaling	conservative
n	asm	no	titi	conservative
n	svp	no	malibogan	inclusive
n	ps	yes	panghudyong kasaysayan	inclusive
n	asm	no	penis	inclusive
n	cds	no	bahag ang buntot	conservative
n	cds	no	fawner	conservative
n	dmc	yes	drifter	inclusive
n	an	no	crocodylian	inclusive
n	svp	no	galit	conservative
n	dmc	yes	gastusin-lahat	inclusive
n	dmc	yes	taong masagwa	conservative
n	svp	no	luxuría	inclusive
n	an	no	hayinido	inclusive
n	ddp	yes	tanga	conservative
n	or	no	poof	conservative
n	re	no	api	inclusive
n	an	no	puting kamatayan	inclusive
n	cds	no	chismis	inclusive
n	cds	no	hybrid	inclusive
n	om	no	anal na pagtatalik	inclusive
n	cds	no	clans	inclusive
n	re	no	mafia	conservative
n	cds	no	kalantare	inclusive
n	re	no	crime	inclusive
n	dmc	yes	panamlayan	conservative
n	asf	no	batang mahina ang ulo	conservative
n	ddp	yes	gago	conservative
n	asf	no	bobo	conservative
n	cds	no	kasilyas	inclusive
n	an	no	bugging	inclusive
n	om	no	baklito	inclusive
n	re	no	walang paggamot	inclusive
n	pr	no	patutot	conservative
n	cds	no	magnanakaw	conservative
n	pr	no	gamo-gamo	inclusive
n	cds	no	topsy-turvyness	inclusive
n	pr	no	hostes	conservative
n	an	no	brant	inclusive
n	cds	no	teacher	inclusive
n	re	no	pirates	inclusive
n	cds	no	hypersexuality	conservative
n	cds	no	kakapalan ng tao	inclusive
n	svp	no	pagsasamantala	inclusive
n	an	no	bonsay	conservative
n	om	no	homophile	conservative
n	om	no	biniboy	inclusive
n	an	no	eel	inclusive
n	qas	no	conformism	inclusive
n	svp	no	spiritlessness	inclusive
n	cds	no	magkamali	inclusive
n	asm	no	vicia faba	inclusive
n	pa	yes	propesor	inclusive
n	ps	yes	vandal	inclusive
n	pr	no	putang alta-sosyedad	conservative
n	cds	no	fascism	conservative
n	asm	no	istupida	conservative
n	om	no	sodomite	inclusive
n	asm	no	tunggak	conservative
n	svp	no	kaligayahang senswal	inclusive
n	qas	no	rhetorically	inclusive
n	om	no	hulihan ng pagtatapos	inclusive
n	qas	no	bloodhound	inclusive
n	re	no	rape	conservative
n	ddp	yes	idiyot	conservative
n	om	no	buttock	inclusive
n	pr	no	bakang karne	inclusive
n	an	no	dumbass	conservative
n	or	no	dumbass	conservative
n	ps	yes	hudaismong separdita	inclusive
n	re	no	dahas	inclusive
n	svp	no	buwayang pag-uugali	inclusive
n	om	no	omosekswal	inclusive
n	qas	no	halo	inclusive
n	asm	no	flouter	conservative
n	qas	no	testikel	inclusive
n	ps	yes	rroma	inclusive
n	cds	no	wads	inclusive
n	cds	no	si mang ano	conservative
n	an	no	baison	inclusive
n	asm	no	european bean	inclusive
n	asf	no	soft ugnay	conservative
n	cds	no	patutotan	inclusive
n	svp	no	pagkamainggitin	inclusive
n	re	no	pambubutang	inclusive
n	cds	no	mussiness	conservative
n	pr	no	sekswal na mga serbisyo	conservative
n	asm	no	nookie	conservative
n	svp	no	listlessness	inclusive
n	om	no	lesbyano	inclusive
n	ps	yes	nigra	conservative
n	svp	no	pagtitiim-bagang	inclusive
n	ps	yes	hudyong liberal	inclusive
n	cds	no	correspondents	inclusive
