id	pos	category	stereotype	lemma	level
TL1215	n	or	no	utu-uto	conservative
TL575	a	ddp	yes	bobo	conservative
TL2300	n	cds	no	teach	inclusive
TL1643	n	svp	no	panamlayan	conservative
TL2649	n	an	no	nakangiwi mukha	inclusive
TL2231	n	is	yes	manaid	inclusive
TL1669	n	cds	no	fascist	conservative
TL2673	n	re	no	mafiosi	inclusive
TL1271	n	an	no	diddly-tae	conservative
TL636	n	ps	yes	inkiness	inclusive
TL2075	n	ps	yes	jews	inclusive
TL3210	n	an	no	kuto	inclusive
TL2781	n	pr	no	bubwit na malaki	inclusive
TL946	n	cds	no	hapon unit ng pagsukat	inclusive
TL597	n	re	no	banditti	inclusive
TL87	n	svp	no	lazy	inclusive
TL582	n	cds	no	gang	inclusive
TL3573	n	asm	no	avafauna	inclusive
TL189	n	an	no	kongger	inclusive
TL3485	n	cds	no	conventicles	inclusive
TL456	n	asm	no	teste	inclusive
TL2257	n	is	yes	poorness	inclusive
TL2385	n	svp	no	luxuria	inclusive
TL3513	n	re	no	ligaligin	inclusive
TL2752	n	svp	no	prideful	inclusive
TL2304	n	cds	no	junk mail	inclusive
TL2260	n	is	yes	naghirap	inclusive
TL872	n	ddp	yes	tulala	conservative
TL1299	n	dmc	yes	pakunwaring kabanalan	conservative
TL1252	n	re	no	labagin	inclusive
TL1045	n	om	no	tomboy	conservative
TL3437	n	ddp	yes	kahangalan	inclusive
TL2519	n	svp	no	puot	inclusive
TL485	n	pa	yes	diplomatikong ranggo	inclusive
TL124	n	om	no	anal intercourse	inclusive
TL1492	n	dmc	yes	imoral	inclusive
TL2777	n	pr	no	rats	inclusive
TL2934	n	ps	yes	nugger	conservative
TL2504	n	svp	no	namumuhi	inclusive
TL2889	n	ddp	yes	kaestupiduhan	conservative
TL3	v	an	no	tahol	inclusive
TL2429	n	qas	no	market tagabantay	inclusive
TL1114	n	dmc	yes	sanggano	inclusive
TL337	n	svp	no	manglamang	inclusive
TL770	n	qas	no	burguesía	inclusive
TL597	n	cds	no	banditti	inclusive
TL2106	n	cds	no	magkawan-kawan	inclusive
TL1164	n	qas	no	baguhan	conservative
TL179	n	ddp	yes	analphabet	inclusive
TL741	n	ddp	yes	pinsala sa utak	inclusive
TL466	n	dmc	yes	barbarians	conservative
TL3281	n	cds	no	infant	inclusive
TL414	n	cds	no	house of ill repute	inclusive
TL979	n	cds	no	gulo-up	inclusive
TL1835	n	pr	no	kol gerl	conservative
TL2847	n	ddp	yes	mikrosepali	inclusive
