n	or	no	squash asma
n	asm	no	nookie
n	cds	no	hurda
n	svp	no	hiddet
n	an	no	direy
n	an	no	güzel ama yapmacıklı
n	pa	yes	olağanüstü profesör
n	an	no	ovis koç
n	cds	no	kavat
n	an	no	salyangoz
n	cds	no	fanatik
n	asf	no	codswallop
n	an	no	gece kuşu
n	qas	no	ektoparazit
n	dmc	yes	dolandırıcı
n	an	no	bos taurus
n	an	no	caiman
n	qas	no	er bezi
n	qas	no	halk
n	svp	no	boş gurur
n	or	no	lunkhead
n	an	no	fulvus
n	asm	no	çük
n	an	no	biti emme
n	ps	yes	beyaz
n	cds	no	soyguncu
n	an	no	pislik torbası
n	cds	no	çıkmaz sokak
n	svp	no	yedi Ölümcül günah
n	ddp	yes	alık
n	om	no	kaudal
n	cds	no	ücretsiz mason
n	cds	no	lağım döşemi
n	re	no	yağma
n	pr	no	hayat kadını
n	or	no	yeni patates vardır
n	dmc	yes	slackers
n	cds	no	blackballed
n	ps	yes	changelings
n	an	no	cahil
n	an	no	köpek balığı
n	cds	no	kamarillada
n	om	no	eş cinsellik
n	om	no	homofil
n	ddp	yes	saçmalık
n	ddf	yes	cüce
n	cds	no	bitki ıslahı
a	svp	no	sinirli
n	svp	no	tembel
n	svp	no	abuli
n	cds	no	paparazi
n	pr	no	cüruf
n	asm	no	doofus
n	re	no	bir hırsız
n	an	no	grossness
n	an	no	kırmızı davul
n	re	no	cinsel istismar
n	qas	no	sahtelik
n	an	no	amerikan manda
n	qas	no	çiftlik işçisi
n	ps	yes	mürekkeplilik
n	an	no	caprinae
n	cds	no	avam
n	svp	no	duyarsızlık
n	pr	no	rattus norvegicus
n	qas	no	hurda
n	an	no	yerli sığır
n	qas	no	fitneci
n	cds	no	boy
n	ddp	yes	barbarlar
n	dmc	yes	sefillik
n	cds	no	meraklısı
n	cds	no	haydut
n	qas	no	mahalle
n	an	no	hemipteron
n	dmc	yes	hobo
n	asf	no	embesil
n	an	no	hemipteran
n	dmc	yes	yalancı
n	pr	no	nedim
n	qas	no	tagalong
n	cds	no	fabrikatör
n	pr	no	sığır
n	or	no	yanık turuncu
n	cds	no	gobs
n	ps	yes	musevîlik
n	ps	yes	hödük
n	ddp	yes	microcephalic
n	asm	no	yeşil bezelye
n	asm	no	flouter
n	dmc	yes	serserilik
n	qas	no	yavşak
n	cds	no	azamet
n	qas	no	homojen karışım
n	ps	yes	doğal melez
n	an	no	koyun
n	pr	no	fahişeler
n	cds	no	neonatal
n	re	no	hırsızlık
n	dmc	yes	kafasız
n	dmc	yes	zavallı
n	om	no	nonoş
n	pa	yes	yanlısı
n	cds	no	fanatizmin
n	qas	no	şaşırtmak
n	ddp	yes	rumormonger
