pos	category	stereotype	lemma	level
n	asf	no	піська	conservative
n	qas	no	чайник риби	inclusive
n	an	no	курча	inclusive
n	pr	no	biston betularia	inclusive
n	an	no	дрочила	conservative
n	an	no	молі	inclusive
n	an	no	порося	inclusive
n	an	no	animalculum	inclusive
n	qas	no	псувати	inclusive
n	cds	no	ривок-офф	conservative
n	cds	no	сноб	conservative
n	ddf	yes	Інвалід	inclusive
n	pr	no	Шлюха	inclusive
n	qas	no	Трейдер	inclusive
n	cds	no	Штрейбрехер	inclusive
n	cds	no	culchie	inclusive
n	cds	no	Реліквії	inclusive
n	ps	yes	негроїдів	inclusive
n	cds	no	бовдур	inclusive
n	cds	no	продажних	inclusive
n	an	no	вольт	inclusive
n	om	no	гомосексуалізм	inclusive
n	dmc	yes	хандрити	conservative
n	dmc	yes	зрадника	conservative
n	pr	no	Куртизанка	inclusive
n	cds	no	племінних	inclusive
n	an	no	мошок	inclusive
n	ddp	yes	нікчемність	conservative
n	qas	no	Закони риторики	inclusive
n	an	no	Откриточелюстні	inclusive
n	svp	no	conceitedness	conservative
n	om	no	Голубі	inclusive
n	an	no	doodly-приземкуватих	conservative
n	cds	no	масонські	inclusive
n	cds	no	Санітарний вузол	inclusive
n	cds	no	перевертиши	inclusive
n	asm	no	fuck	conservative
n	cds	no	туалет	inclusive
n	qas	no	селян	inclusive
n	an	no	sus domestica	inclusive
n	an	no	болван	conservative
n	an	no	сволота мішок	conservative
n	an	no	пості´льний клоп	inclusive
n	ps	yes	джеррі	conservative
n	ddp	yes	розумово відсталих	inclusive
n	an	no	culex pipiens	inclusive
n	ddp	yes	одушевлена істота	inclusive
n	cds	no	Злочинність	inclusive
n	re	no	Вагітність внаслідок зґвалтування	conservative
n	an	no	щоб крокодили	inclusive
n	asf	no	болван	conservative
n	svp	no	діллі-далье	conservative
n	re	no	коза ностра	inclusive
n	or	no	meticulosity	inclusive
n	dmc	yes	злочинниця	inclusive
n	asm	no	Натовп	inclusive
n	or	no	ґей	conservative
n	cds	no	естрадних співаків	inclusive
n	an	no	коза антилопа	inclusive
n	om	no	трансвестизм	inclusive
n	an	no	pediculus humanus	inclusive
n	cds	no	розумник	conservative
n	asm	no	боби	inclusive
n	cds	no	rustler	inclusive
