n	asm	no	nookie
n	cds	no	фанатик
n	om	no	гомосексуальний
n	cds	no	молокосос
n	or	no	blockhead
n	dmc	yes	погана людина
n	dmc	yes	лицемір
n	cds	no	зарозумілості
n	an	no	козел відпущення
n	cds	no	самолюбство
n	asf	no	fuckhead
n	asf	no	перевертиши
n	cds	no	бешкетництво рішень
n	ddp	yes	болван
n	dmc	yes	горе-нуль
n	rci	yes	скнара
n	svp	no	Марнославство
n	dmc	yes	бродяг
n	asf	no	кретин
n	re	no	defamer
n	cds	no	вуличної банди
n	or	no	пі́дор
n	or	no	дурна людина
n	pr	no	оренду хлопчиків
n	rci	yes	варвар
n	dmc	yes	розбійник
n	ddp	yes	Дурень
n	pr	no	звідниця
n	cds	no	зубрила
n	cds	no	виробник
n	pa	yes	варварка
n	pr	no	Вулична проституція
n	cds	no	яблуко чищення
n	ddp	yes	дурень
n	asm	no	doofus
n	asm	no	валятися в сіні
n	ddp	yes	Варвари
n	an	no	блудниця
n	ddp	yes	пліткар
n	cds	no	боягу́зка
n	an	no	жінка мисливець
n	asm	no	рукою
n	ddp	yes	motherfucker
n	cds	no	літературні зламати
n	ps	yes	чорна
n	asf	no	йолоп
n	cds	no	конформістом
n	om	no	дивний
n	an	no	нехлюй
n	re	no	сицилійської мафії
n	ps	yes	Невігластво
n	cds	no	німфоманія
n	ps	yes	нікчемність
n	cds	no	правопорушник
n	asm	no	ебать
n	cds	no	scrawler
n	an	no	погана людина
n	cds	no	conceitedness
n	svp	no	далье
n	cds	no	літературний раб
n	qas	no	попрошайка
n	cds	no	лінійний шутер
n	cds	no	пройдисвіт
n	svp	no	фанатизму
n	ps	yes	грубий
n	asf	no	гівнюк
n	asm	no	flouter
n	pr	no	відьма
n	an	no	Лиходій
n	cds	no	офіцер
n	an	no	валяти дурня
n	cds	no	фанатичним
n	cds	no	уілер дилерів
n	dmc	yes	недотепа
n	dmc	yes	ошуканець
n	re	no	серійний гвалтівник
n	dmc	yes	фанатизму
n	dmc	yes	смердіти
n	cds	no	сволота мішок
n	or	no	простак
n	svp	no	Скнара
n	ddp	yes	балакуха
n	re	no	Терорист
n	or	no	підора́с
n	ddp	yes	Йолоп
n	cds	no	онанізм
n	cds	no	лиходій
n	cds	no	лиходійка
n	an	no	вульгарність
n	an	no	стерва
n	svp	no	гнів
n	an	no	дідлі-приземкуватих
n	dmc	yes	ледар
n	dmc	yes	трагічним лиходієм
n	an	no	неосвічена людина
n	cds	no	Той, хто злягається з власною матір'ю
n	cds	no	Фашисти
n	dmc	yes	лукавий чоловік
n	re	no	maligner
n	ps	yes	Ідіотія
n	rci	yes	варварів
n	is	yes	скнара
n	cds	no	співробітник поліції
n	dmc	yes	перебіжчик
n	an	no	боягу́зка
n	cds	no	бред собачий
n	cds	no	Барбари
n	svp	no	не-рахунки
n	or	no	го́мік
n	cds	no	ізгоїв
n	cds	no	мафії
n	cds	no	поліціянт
n	cds	no	італійська мафія
n	cds	no	брехня
n	ps	yes	метис
n	cds	no	половина пінти
n	pr	no	Коханка
n	ddp	yes	варварів
n	ddp	yes	pudden голови
n	an	no	нечупара
n	cds	no	бандити
n	om	no	Голубі
n	svp	no	зарозумілість
n	cds	no	недотепа
n	or	no	pudden голови
n	cds	no	марнославства
n	asf	no	Піхва жінки
n	re	no	трагічний лиходій
n	cds	no	Коза Ностра
n	ddp	yes	поганий працівник
n	cds	no	безцеремонність
n	asm	no	дурень
